feature_set,method,heldout_source,n_eval,n_positive,observed_rate,mean_predicted_probability,predicted_minus_observed_rate
family::particle_gradient,raw,11_c2_x10_050723,3,3,1.0,0.47030782642013075,-0.5296921735798692
family::particle_gradient,raw,12_c2_x10_070723,6,6,1.0,0.38101026083362305,-0.618989739166377
family::particle_gradient,raw,14_c2_x10_HighCOV_110723,3,0,0.0,0.5851581476410288,0.5851581476410288
family::particle_gradient,raw,15_c2_x5_HighCOV_120723,3,0,0.0,0.3457626007884666,0.3457626007884666
family::particle_gradient,raw,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5512760184744699,-0.11539064819219669
family::particle_gradient,raw,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.1545380868140119,-0.8454619131859881
family::particle_gradient,raw,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.43956117883276075,0.43956117883276075
family::particle_gradient,raw,5_c2_x10_260623,6,3,0.5,0.31469478668325784,-0.18530521331674216
family::particle_gradient,raw,9_c2_x10_010723,9,9,1.0,0.1812568382483966,-0.8187431617516034
family::particle_gradient,source_confound_filter_0.50,11_c2_x10_050723,3,3,1.0,0.6341260241633547,-0.36587397583664527
family::particle_gradient,source_confound_filter_0.50,12_c2_x10_070723,6,6,1.0,0.5039257582188783,-0.4960742417811217
family::particle_gradient,source_confound_filter_0.50,14_c2_x10_HighCOV_110723,3,0,0.0,0.6374929509394289,0.6374929509394289
family::particle_gradient,source_confound_filter_0.50,15_c2_x5_HighCOV_120723,3,0,0.0,0.4380037641439251,0.4380037641439251
family::particle_gradient,source_confound_filter_0.50,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.3736068006676321,-0.29305986599903455
family::particle_gradient,source_confound_filter_0.50,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.5225916743337716,-0.4774083256662284
family::particle_gradient,source_confound_filter_0.50,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.45699461858575113,0.45699461858575113
family::particle_gradient,source_confound_filter_0.50,5_c2_x10_260623,6,3,0.5,0.4174485976889908,-0.08255140231100921
family::particle_gradient,source_confound_filter_0.50,9_c2_x10_010723,9,9,1.0,0.38204302398860196,-0.6179569760113981
family::particle_intensity,raw,11_c2_x10_050723,3,3,1.0,0.2441348676822684,-0.7558651323177316
family::particle_intensity,raw,12_c2_x10_070723,6,6,1.0,0.602532652349863,-0.397467347650137
family::particle_intensity,raw,14_c2_x10_HighCOV_110723,3,0,0.0,0.6037104376422359,0.6037104376422359
family::particle_intensity,raw,15_c2_x5_HighCOV_120723,3,0,0.0,0.21946244223540848,0.21946244223540848
family::particle_intensity,raw,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.2308003020889273,-0.4358663645777393
family::particle_intensity,raw,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.1782130698471191,-0.8217869301528808
family::particle_intensity,raw,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.583242561836403,0.583242561836403
family::particle_intensity,raw,5_c2_x10_260623,6,3,0.5,0.6384247041156409,0.1384247041156409
family::particle_intensity,raw,9_c2_x10_010723,9,9,1.0,0.37534192092371826,-0.6246580790762817
family::particle_intensity,source_confound_filter_0.50,11_c2_x10_050723,3,3,1.0,0.36346360933073174,-0.6365363906692683
family::particle_intensity,source_confound_filter_0.50,12_c2_x10_070723,6,6,1.0,0.6499688508565108,-0.3500311491434892
family::particle_intensity,source_confound_filter_0.50,14_c2_x10_HighCOV_110723,3,0,0.0,0.6484467008738255,0.6484467008738255
family::particle_intensity,source_confound_filter_0.50,15_c2_x5_HighCOV_120723,3,0,0.0,0.30936678397432393,0.30936678397432393
family::particle_intensity,source_confound_filter_0.50,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.11756626823786176,-0.5491003984288049
family::particle_intensity,source_confound_filter_0.50,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.29783400661007575,-0.7021659933899242
family::particle_intensity,source_confound_filter_0.50,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.44222805196564874,0.44222805196564874
family::particle_intensity,source_confound_filter_0.50,5_c2_x10_260623,6,3,0.5,0.6835507457051516,0.18355074570515162
family::particle_intensity,source_confound_filter_0.50,9_c2_x10_010723,9,9,1.0,0.6064423494866162,-0.39355765051338376
family::particle_vs_context,raw,11_c2_x10_050723,3,3,1.0,0.6876775330853121,-0.3123224669146879
family::particle_vs_context,raw,12_c2_x10_070723,6,6,1.0,0.488409302026622,-0.511590697973378
family::particle_vs_context,raw,14_c2_x10_HighCOV_110723,3,0,0.0,0.5990903425589502,0.5990903425589502
family::particle_vs_context,raw,15_c2_x5_HighCOV_120723,3,0,0.0,0.381680857092662,0.381680857092662
family::particle_vs_context,raw,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.08667520635446196,-0.5799914603122047
family::particle_vs_context,raw,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.3131322942244145,-0.6868677057755854
family::particle_vs_context,raw,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.349031437093341,0.349031437093341
family::particle_vs_context,raw,5_c2_x10_260623,6,3,0.5,0.7111607913575542,0.21116079135755417
family::particle_vs_context,raw,9_c2_x10_010723,9,9,1.0,0.3910259648324185,-0.6089740351675814
family::particle_vs_context,source_confound_filter_0.50,11_c2_x10_050723,3,3,1.0,0.7390330991848827,-0.2609669008151173
family::particle_vs_context,source_confound_filter_0.50,12_c2_x10_070723,6,6,1.0,0.4914493917632366,-0.5085506082367635
family::particle_vs_context,source_confound_filter_0.50,14_c2_x10_HighCOV_110723,3,0,0.0,0.623407555061303,0.623407555061303
family::particle_vs_context,source_confound_filter_0.50,15_c2_x5_HighCOV_120723,3,0,0.0,0.3202433776031565,0.3202433776031565
family::particle_vs_context,source_confound_filter_0.50,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5017697174323383,-0.1648969492343283
family::particle_vs_context,source_confound_filter_0.50,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.40657091922351435,-0.5934290807764857
family::particle_vs_context,source_confound_filter_0.50,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.2429561553112026,0.2429561553112026
family::particle_vs_context,source_confound_filter_0.50,5_c2_x10_260623,6,3,0.5,0.6633307800641198,0.16333078006411983
family::particle_vs_context,source_confound_filter_0.50,9_c2_x10_010723,9,9,1.0,0.4185066963182927,-0.5814933036817074
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,raw,11_c2_x10_050723,3,3,1.0,0.4079978091942531,-0.5920021908057469
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,raw,12_c2_x10_070723,6,6,1.0,0.42069554541848325,-0.5793044545815167
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,raw,14_c2_x10_HighCOV_110723,3,0,0.0,0.8691806654481007,0.8691806654481007
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,raw,15_c2_x5_HighCOV_120723,3,0,0.0,0.44762419528980263,0.44762419528980263
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,raw,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.47224969454086196,-0.19441697212580467
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,raw,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.21957548827044382,-0.7804245117295562
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,raw,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.5535050014959233,0.5535050014959233
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,raw,5_c2_x10_260623,6,3,0.5,0.381826721430044,-0.11817327856995602
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,raw,9_c2_x10_010723,9,9,1.0,0.3582309043542707,-0.6417690956457294
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,11_c2_x10_050723,3,3,1.0,0.4016138514866916,-0.5983861485133084
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,12_c2_x10_070723,6,6,1.0,0.41798690620028506,-0.582013093799715
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,14_c2_x10_HighCOV_110723,3,0,0.0,0.465843800830993,0.465843800830993
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,15_c2_x5_HighCOV_120723,3,0,0.0,0.4782050439486761,0.4782050439486761
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5112091375360559,-0.15545752913061073
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.41843831126583503,-0.581561688734165
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.5748590605163585,0.5748590605163585
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,5_c2_x10_260623,6,3,0.5,0.44708184507420273,-0.05291815492579727
pair::particle_norm_max+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,9_c2_x10_010723,9,9,1.0,0.3843592734348538,-0.6156407265651462
pair::particle_norm_max+particle_vs_context_mean_first_mean,raw,11_c2_x10_050723,3,3,1.0,0.5088130710880437,-0.49118692891195626
pair::particle_norm_max+particle_vs_context_mean_first_mean,raw,12_c2_x10_070723,6,6,1.0,0.4847910624649992,-0.5152089375350009
pair::particle_norm_max+particle_vs_context_mean_first_mean,raw,14_c2_x10_HighCOV_110723,3,0,0.0,0.8451830249546871,0.8451830249546871
pair::particle_norm_max+particle_vs_context_mean_first_mean,raw,15_c2_x5_HighCOV_120723,3,0,0.0,0.4817609662899602,0.4817609662899602
pair::particle_norm_max+particle_vs_context_mean_first_mean,raw,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.45228459479959504,-0.2143820718670716
pair::particle_norm_max+particle_vs_context_mean_first_mean,raw,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.4204449904677696,-0.5795550095322304
pair::particle_norm_max+particle_vs_context_mean_first_mean,raw,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.4789819076071124,0.4789819076071124
pair::particle_norm_max+particle_vs_context_mean_first_mean,raw,5_c2_x10_260623,6,3,0.5,0.4094632450596572,-0.0905367549403428
pair::particle_norm_max+particle_vs_context_mean_first_mean,raw,9_c2_x10_010723,9,9,1.0,0.4114974631334927,-0.5885025368665073
pair::particle_norm_max+particle_vs_context_mean_first_mean,source_confound_filter_0.50,11_c2_x10_050723,3,3,1.0,0.5359738870638346,-0.46402611293616536
pair::particle_norm_max+particle_vs_context_mean_first_mean,source_confound_filter_0.50,12_c2_x10_070723,6,6,1.0,0.5066916017500459,-0.4933083982499541
pair::particle_norm_max+particle_vs_context_mean_first_mean,source_confound_filter_0.50,14_c2_x10_HighCOV_110723,3,0,0.0,0.5247559258044672,0.5247559258044672
pair::particle_norm_max+particle_vs_context_mean_first_mean,source_confound_filter_0.50,15_c2_x5_HighCOV_120723,3,0,0.0,0.5271969934905113,0.5271969934905113
pair::particle_norm_max+particle_vs_context_mean_first_mean,source_confound_filter_0.50,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.501230751905142,-0.16543591476152464
pair::particle_norm_max+particle_vs_context_mean_first_mean,source_confound_filter_0.50,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.5049013027525978,-0.4950986972474022
pair::particle_norm_max+particle_vs_context_mean_first_mean,source_confound_filter_0.50,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.4946267105338791,0.4946267105338791
pair::particle_norm_max+particle_vs_context_mean_first_mean,source_confound_filter_0.50,5_c2_x10_260623,6,3,0.5,0.4921168376772262,-0.007883162322773807
pair::particle_norm_max+particle_vs_context_mean_first_mean,source_confound_filter_0.50,9_c2_x10_010723,9,9,1.0,0.484190140006173,-0.515809859993827
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,raw,11_c2_x10_050723,3,3,1.0,0.4575909186368412,-0.5424090813631588
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,raw,12_c2_x10_070723,6,6,1.0,0.44624358737898717,-0.5537564126210128
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,raw,14_c2_x10_HighCOV_110723,3,0,0.0,0.7180197951694173,0.7180197951694173
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,raw,15_c2_x5_HighCOV_120723,3,0,0.0,0.39385434308343276,0.39385434308343276
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,raw,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5103584600124995,-0.15630820665416711
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,raw,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.2791356601397503,-0.7208643398602497
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,raw,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.5891675566898733,0.5891675566898733
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,raw,5_c2_x10_260623,6,3,0.5,0.30801887150836427,-0.19198112849163573
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,raw,9_c2_x10_010723,9,9,1.0,0.32265286590932274,-0.6773471340906773
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,11_c2_x10_050723,3,3,1.0,0.4016138514866916,-0.5983861485133084
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,12_c2_x10_070723,6,6,1.0,0.41798690620028506,-0.582013093799715
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,14_c2_x10_HighCOV_110723,3,0,0.0,0.465843800830993,0.465843800830993
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,15_c2_x5_HighCOV_120723,3,0,0.0,0.4782050439486761,0.4782050439486761
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5112091375360559,-0.15545752913061073
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.25572864406216694,-0.7442713559378331
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.5748590605163585,0.5748590605163585
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,5_c2_x10_260623,6,3,0.5,0.44708184507420273,-0.05291815492579727
pair::particle_norm_mean+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,9_c2_x10_010723,9,9,1.0,0.3843592734348538,-0.6156407265651462
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,raw,11_c2_x10_050723,3,3,1.0,0.601000831246659,-0.39899916875334096
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,raw,12_c2_x10_070723,6,6,1.0,0.5311309872616045,-0.46886901273839554
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,raw,14_c2_x10_HighCOV_110723,3,0,0.0,0.724185290965463,0.724185290965463
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,raw,15_c2_x5_HighCOV_120723,3,0,0.0,0.3330884506408696,0.3330884506408696
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,raw,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5290565619532297,-0.13761010471343693
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,raw,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.38269127987574936,-0.6173087201242506
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,raw,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.5242611712838933,0.5242611712838933
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,raw,5_c2_x10_260623,6,3,0.5,0.38130493394101966,-0.11869506605898034
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,raw,9_c2_x10_010723,9,9,1.0,0.4002155395074732,-0.5997844604925269
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,source_confound_filter_0.50,11_c2_x10_050723,3,3,1.0,0.5211957114752207,-0.4788042885247793
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,source_confound_filter_0.50,12_c2_x10_070723,6,6,1.0,0.5104748973788608,-0.48952510262113924
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,source_confound_filter_0.50,14_c2_x10_HighCOV_110723,3,0,0.0,0.5058588678817308,0.5058588678817308
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,source_confound_filter_0.50,15_c2_x5_HighCOV_120723,3,0,0.0,0.4956275909633477,0.4956275909633477
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,source_confound_filter_0.50,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5041152013606669,-0.16255146530599973
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,source_confound_filter_0.50,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.3390522112245557,-0.6609477887754442
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,source_confound_filter_0.50,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.5829237448015716,0.5829237448015716
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,source_confound_filter_0.50,5_c2_x10_260623,6,3,0.5,0.6034722234546454,0.10347222345464535
pair::particle_norm_mean+particle_vs_context_mean_diff_q10,source_confound_filter_0.50,9_c2_x10_010723,9,9,1.0,0.49960331633454136,-0.5003966836654586
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,raw,11_c2_x10_050723,3,3,1.0,0.5736776586846016,-0.42632234131539837
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,raw,12_c2_x10_070723,6,6,1.0,0.5209830029266695,-0.47901699707333045
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,raw,14_c2_x10_HighCOV_110723,3,0,0.0,0.7333371971312678,0.7333371971312678
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,raw,15_c2_x5_HighCOV_120723,3,0,0.0,0.36662695454035427,0.36662695454035427
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,raw,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5281670782326677,-0.1384995884339989
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,raw,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.4054379632828688,-0.5945620367171311
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,raw,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.6328803820920931,0.6328803820920931
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,raw,5_c2_x10_260623,6,3,0.5,0.34963426594705,-0.15036573405295
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,raw,9_c2_x10_010723,9,9,1.0,0.39163374846272325,-0.6083662515372767
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,source_confound_filter_0.50,11_c2_x10_050723,3,3,1.0,0.5111034114322385,-0.4888965885677615
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,source_confound_filter_0.50,12_c2_x10_070723,6,6,1.0,0.5052786216838095,-0.49472137831619045
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,source_confound_filter_0.50,14_c2_x10_HighCOV_110723,3,0,0.0,0.5080240539344887,0.5080240539344887
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,source_confound_filter_0.50,15_c2_x5_HighCOV_120723,3,0,0.0,0.5070474065905894,0.5070474065905894
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,source_confound_filter_0.50,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5043185480479184,-0.1623481186187482
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,source_confound_filter_0.50,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.3699055050679715,-0.6300944949320285
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,source_confound_filter_0.50,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.7163659844503553,0.7163659844503553
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,source_confound_filter_0.50,5_c2_x10_260623,6,3,0.5,0.5681949100833057,0.0681949100833057
pair::particle_norm_mean+particle_vs_context_mean_diff_q90,source_confound_filter_0.50,9_c2_x10_010723,9,9,1.0,0.49224894086119103,-0.507751059138809
pair::particle_norm_mean+particle_vs_context_mean_first_mean,raw,11_c2_x10_050723,3,3,1.0,0.5380429063166305,-0.46195709368336946
pair::particle_norm_mean+particle_vs_context_mean_first_mean,raw,12_c2_x10_070723,6,6,1.0,0.48838995642571503,-0.511610043574285
pair::particle_norm_mean+particle_vs_context_mean_first_mean,raw,14_c2_x10_HighCOV_110723,3,0,0.0,0.6938001179861408,0.6938001179861408
pair::particle_norm_mean+particle_vs_context_mean_first_mean,raw,15_c2_x5_HighCOV_120723,3,0,0.0,0.41454530603602535,0.41454530603602535
pair::particle_norm_mean+particle_vs_context_mean_first_mean,raw,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.5081566204229881,-0.15851004624367848
pair::particle_norm_mean+particle_vs_context_mean_first_mean,raw,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.4889881650397127,-0.5110118349602872
pair::particle_norm_mean+particle_vs_context_mean_first_mean,raw,18_c2_xN_HighHighCOV_170723,3,0,0.0,0.5587525210661947,0.5587525210661947
pair::particle_norm_mean+particle_vs_context_mean_first_mean,raw,5_c2_x10_260623,6,3,0.5,0.30073964693678695,-0.19926035306321305
pair::particle_norm_mean+particle_vs_context_mean_first_mean,raw,9_c2_x10_010723,9,9,1.0,0.3392248745259242,-0.6607751254740758
pair::particle_norm_mean+particle_vs_context_mean_first_mean,source_confound_filter_0.50,11_c2_x10_050723,3,3,1.0,0.5359738870638346,-0.46402611293616536
pair::particle_norm_mean+particle_vs_context_mean_first_mean,source_confound_filter_0.50,12_c2_x10_070723,6,6,1.0,0.5066916017500459,-0.4933083982499541
pair::particle_norm_mean+particle_vs_context_mean_first_mean,source_confound_filter_0.50,14_c2_x10_HighCOV_110723,3,0,0.0,0.5247559258044672,0.5247559258044672
pair::particle_norm_mean+particle_vs_context_mean_first_mean,source_confound_filter_0.50,15_c2_x5_HighCOV_120723,3,0,0.0,0.5271969934905113,0.5271969934905113
pair::particle_norm_mean+particle_vs_context_mean_first_mean,source_confound_filter_0.50,16_c2_x10_HighHighCOV_130723,9,6,0.6666666666666666,0.501230751905142,-0.16543591476152464
pair::particle_norm_mean+particle_vs_context_mean_first_mean,source_confound_filter_0.50,17_c2_x10_HighHighCOV_150723,30,30,1.0,0.5049013027525978,-0.4950986972474022
