feature_set,method,features,feature_families,n_features,n_eval,n_sources,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,empirical_p_ge_observed,n_permutation,null_auc_mean,null_auc_p95
pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_range,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_norm_range,norm_heterogeneity;particle_vs_context,2,72,9,57,0.647953216374269,0.851147202143703,0.20834082856396602,0.07905117951632262,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_diff_positive_fraction+particle_norm_mean,raw,particle_vs_context_mean_diff_positive_fraction;particle_mean_diff_positive_fraction;particle_norm_mean,norm_heterogeneity;particle_intensity;particle_vs_context,3,72,9,57,0.647953216374269,0.8120365882888797,0.20817326038982648,0.07929801647248222,,,,
pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.6467836257309942,0.8282776557872322,0.2065409066905951,0.08173477150656153,,,,
single::particle_vs_context_mean_last_minus_first,raw,particle_vs_context_mean_last_minus_first,particle_vs_context,1,72,9,57,0.6467836257309941,0.8320474379630038,0.20651932031763118,0.08176738900659013,,,,
single::particle_vs_context_mean_last_minus_first,source_confound_filter_0.50,particle_vs_context_mean_last_minus_first,particle_vs_context,1,72,9,57,0.6467836257309941,0.8320474379630038,0.20651932031763118,0.08176738900659013,,,,
pair::particle_vs_context_mean_last_minus_first+particle_norm_mean,source_confound_filter_0.50,particle_vs_context_mean_last_minus_first;particle_norm_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.6467836257309941,0.8320474379630038,0.20651932031763118,0.08176738900659013,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_gradient_diff_abs_mean,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_norm_mean;particle_gradient_diff_abs_mean,norm_heterogeneity;particle_gradient;particle_vs_context,3,72,9,57,0.6444444444444445,0.8670039224315681,0.20322817577073665,0.08686246803200233,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_last_minus_first+particle_gradient_diff_abs_mean,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_mean_last_minus_first;particle_gradient_diff_abs_mean,particle_gradient;particle_intensity;particle_vs_context,3,72,9,57,0.6432748538011696,0.8426207716747457,0.20158260349728938,0.08950236885281539,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_mean_slope,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_mean;particle_mean_slope,norm_heterogeneity;particle_intensity;particle_vs_context,3,72,9,57,0.6385964912280702,0.8264125533006029,0.19500031440350032,0.10069918507450537,,,,
trio::particle_std_diff_positive_fraction+particle_vs_context_mean_last_minus_first+particle_norm_mean,source_confound_filter_0.50,particle_std_diff_positive_fraction;particle_vs_context_mean_last_minus_first;particle_norm_mean,norm_heterogeneity;particle_intensity;particle_vs_context,3,72,9,57,0.6374269005847952,0.8721209754652581,0.19335474213005308,0.10366225344585318,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_last_minus_first+particle_norm_mean,raw,particle_vs_context_mean_diff_positive_fraction;particle_mean_last_minus_first;particle_norm_mean,norm_heterogeneity;particle_intensity;particle_vs_context,3,72,9,57,0.6374269005847952,0.8274699260553258,0.19335474213005308,0.10366225344585318,,,,
pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_std,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_std,norm_heterogeneity;particle_vs_context,2,72,9,57,0.6339181286549708,0.8330452263696191,0.1884377196499852,0.11292081233441842,,,,
pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_range,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_range,norm_heterogeneity;particle_vs_context,2,72,9,57,0.6304093567251462,0.8376877793356063,0.18350048682072795,0.12284623588284312,,,,
pair::particle_vs_context_mean_slope+particle_prior_area_fraction,raw,particle_vs_context_mean_slope;particle_prior_area_fraction,norm_heterogeneity;particle_vs_context,2,72,9,57,0.6292397660818714,0.8381905546650323,0.18183573621592228,0.12633906233482103,,,,
single::particle_mean_last_minus_first,raw,particle_mean_last_minus_first,particle_intensity,1,72,9,57,0.6269005847953217,0.8490520303412945,0.17854459166902775,0.13346620904259116,,,,
single::particle_mean_last_minus_first,source_confound_filter_0.50,particle_mean_last_minus_first,particle_intensity,1,72,9,57,0.6269005847953217,0.8490520303412945,0.17854459166902775,0.13346620904259116,,,,
trio::particle_std_diff_positive_fraction+particle_vs_context_mean_last_minus_first+particle_norm_mean,raw,particle_std_diff_positive_fraction;particle_vs_context_mean_last_minus_first;particle_norm_mean,norm_heterogeneity;particle_intensity;particle_vs_context,3,72,9,57,0.6198830409356726,0.807309535319871,0.16867115802834418,0.15667478573819332,,,,
pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_max,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_max,norm_heterogeneity;particle_vs_context,2,72,9,57,0.6140350877192982,0.7885098079504385,0.16046780885845152,0.1781321164455705,,,,
pair::particle_prior_area_fraction+particle_vs_context_mean_first_mean,raw,particle_prior_area_fraction;particle_vs_context_mean_first_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.6128654970760233,0.871353513872861,0.15879772438766063,0.18275087327125483,,,,
trio::particle_vs_context_mean_last_minus_first+particle_mean_diff_positive_fraction+particle_norm_mean,raw,particle_vs_context_mean_last_minus_first;particle_mean_diff_positive_fraction;particle_norm_mean,norm_heterogeneity;particle_intensity;particle_vs_context,3,72,9,57,0.6128654970760233,0.8085086066098239,0.15879772438766063,0.18275087327125483,,,,
single::particle_mean_diff_positive_fraction,raw,particle_mean_diff_positive_fraction,particle_intensity,1,72,9,57,0.6076023391812866,0.8416056898851592,0.15167702361219035,0.2034190622937608,,,,
single::particle_mean_diff_positive_fraction,source_confound_filter_0.50,particle_mean_diff_positive_fraction,particle_intensity,1,72,9,57,0.6076023391812866,0.8416056898851592,0.15167702361219035,0.2034190622937608,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_std_diff_q10,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_norm_mean;particle_std_diff_q10,norm_heterogeneity;particle_intensity;particle_vs_context,3,72,9,57,0.6023391812865497,0.8288735406891999,0.14398757392663528,0.22755076665094176,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_gradient_diff_q90,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_mean;particle_gradient_diff_q90,norm_heterogeneity;particle_gradient;particle_vs_context,3,72,9,57,0.5964912280701755,0.8213087514881294,0.13575971255939898,0.25550817247194113,,,,
