feature,target,n,spearman_rho,p_value
shape_I_pos_fraction,roi_transferred_masked_residual_signature,18,0.281733746130031,0.25737537573231434
shape_charge_mAh_neg_abs,particle_norm_cv,81,0.12725907440962994,0.2575755177358721
shape_V_range,cross_modal_consensus_score,81,-0.12659163877275917,0.26010033579029723
all_dq_abs_midV_frac,n_modal_votes,81,-0.12537970771378745,0.26472773718714354
echem_regime_pc1,roi_transferred_masked_residual_signature,24,-0.23391304347826083,0.2712835998286824
all_dq_abs_peak_frac,max_abs_delta_prev,80,0.12408383240909206,0.27280894538686573
signed_charge_fraction,roi_diffusion_proxy_abs_median_um2_per_s,18,0.2714138286893705,0.2759523846158901
all_dq_abs_lowV_frac,max_abs_delta_prev,80,-0.12178421846104567,0.2818649895922803
pos_dq_abs_lowV_frac,roi_diffusion_proxy_abs_median_um2_per_s,18,-0.2672858617131063,0.28360817850986725
midV_charge_discharge_imbalance,roi_transferred_masked_residual_signature,18,0.26109391124871,0.2953326016338096
all_dq_abs_peak_frac,cross_modal_consensus_score,81,0.11641824751580847,0.30066733966146825
shape_charge_mAh_abs,particle_norm_cv,81,0.11523326125556999,0.30564770215100057
coulombic_efficiency_pct,roi_diffusion_proxy_abs_median_um2_per_s,18,-0.2528379772961816,0.31141340050989874
coulombic_inefficiency_pct,roi_diffusion_proxy_abs_median_um2_per_s,18,0.2528379772961816,0.31141340050989874
echem_regime_pc1,particle_norm_cv,89,-0.1081805761866122,0.31292124349671857
neg_dq_abs_peak_frac,max_abs_delta_prev,80,0.11377727248650085,0.31494197537587815
pos_dq_abs_highV_frac,roi_transferred_masked_residual_signature,18,0.2507739938080495,0.3155133959594859
dqdv_peak_concentration,roi_diffusion_proxy_abs_median_um2_per_s,18,-0.24871001031991744,0.31964521777772914
pos_dq_abs_peak_frac,roi_diffusion_proxy_abs_median_um2_per_s,18,-0.24871001031991744,0.31964521777772914
pos_dq_abs_entropy,n_modal_votes,81,0.11195562723550122,0.31970109440483546
echem_regime_pc3,max_abs_delta_prev,88,-0.10667026119607545,0.32257806801858957
shape_dVdt_abs_p95,roi_transferred_masked_residual_signature,18,-0.2425180598555212,0.33223109090531006
shape_charge_mAh_pos,roi_transferred_masked_residual_signature,18,0.23839009287925697,0.340779724454077
dqdv_peak_concentration,roi_transferred_masked_residual_signature,18,0.23632610939112486,0.34510124880977855
pos_dq_abs_peak_frac,roi_transferred_masked_residual_signature,18,0.23632610939112486,0.34510124880977855
echem_regime_pc4,roi_diffusion_proxy_abs_median_um2_per_s,24,-0.2008695652173913,0.3466205027349786
signed_charge_fraction,particle_norm_cv,81,0.10531902280555623,0.3494047881050592
dqdv_peak_concentration,max_abs_delta_prev,80,0.10580607180648524,0.35025776503873846
pos_dq_abs_peak_frac,max_abs_delta_prev,80,0.10580607180648524,0.35025776503873846
all_dq_abs_midV_frac,state_state_step_norm,80,-0.1039381153305204,0.358876651821492
echem_regime_pc4,roi_transferred_masked_residual_signature,24,-0.19565217391304346,0.3595479632342291
pos_dq_abs_lowV_frac,particle_norm_cv,81,-0.10301781329993169,0.360093102131879
pos_dq_abs_midV_frac,roi_transferred_masked_residual_signature,18,-0.22187822497420018,0.37622542106556206
neg_dq_abs_midV_frac,roi_transferred_masked_residual_signature,18,-0.2198142414860681,0.38079539135013735
shape_charge_mAh_pos,particle_norm_cv,81,0.09853262495993176,0.3814963418290792
coulombic_efficiency_pct,particle_norm_cv,81,-0.0984197065265603,0.38204487943267484
coulombic_inefficiency_pct,particle_norm_cv,81,0.0984197065265603,0.38204487943267484
all_dq_abs_midV_frac,roi_transferred_masked_residual_signature,18,-0.21775025799793604,0.3853959643781131
all_dq_abs_lowV_frac,cross_modal_consensus_score,81,-0.0949638663053297,0.3990613394796163
all_dq_abs_highV_frac,state_state_step_norm,80,0.09514767932489451,0.4011664691591343
shape_dVdt_sign_consistency,max_abs_delta_prev,80,0.09489184187689736,0.4024396190063911
all_dq_abs_highV_frac,n_modal_votes,81,-0.09394448427988128,0.4041649128641658
all_dq_abs_entropy,cross_modal_consensus_score,81,-0.09331526648599821,0.40733414527241846
echem_regime_pc4,n_modal_votes,89,-0.08420571795864389,0.4327116084550717
dqdv_peak_concentration,cross_modal_consensus_score,81,0.0866305329719964,0.44189106571926323
pos_dq_abs_peak_frac,cross_modal_consensus_score,81,0.0866305329719964,0.44189106571926323
all_dq_abs_lowV_frac,state_state_step_norm,80,-0.08455227379278013,0.4558529335137931
highV_charge_discharge_imbalance,particle_norm_cv,81,-0.08364997544157397,0.45781411724124293
dqdv_entropy_asymmetry,roi_transferred_masked_residual_signature,18,-0.1847265221878225,0.46306133291799095
shape_dVdt_abs_p95,roi_phase_slope_abs_median_per_s,18,-0.1847265221878225,0.46306133291799095
pos_dq_abs_entropy,max_abs_delta_prev,80,-0.07874688384786722,0.48747672306074513
all_dq_abs_entropy,n_modal_votes,81,0.07754663888846793,0.49138392796140223
shape_dVdt_abs_p95,roi_diffusion_proxy_abs_median_um2_per_s,18,-0.16821465428276572,0.5046325110850309
charge_discharge_capacity_gap_mAh,n_modal_votes,81,-0.07519892974652549,0.5046336662818042
echem_regime_pc1,n_modal_votes,89,0.07156357263509415,0.5051295013001992
dqdv_peak_concentration,n_modal_votes,81,-0.07464511117970829,0.5077859530679404
pos_dq_abs_peak_frac,n_modal_votes,81,-0.07464511117970829,0.5077859530679404
neg_dq_abs_peak_frac,cross_modal_consensus_score,81,0.07450316169828365,0.5085955460181025
all_dq_abs_entropy,roi_transferred_masked_residual_signature,18,-0.16615067079463364,0.5099504603438955
neg_dq_abs_highV_frac,roi_transferred_masked_residual_signature,18,0.16615067079463364,0.5099504603438955
charge_discharge_capacity_abs_gap_mAh,state_state_step_norm,80,-0.07444913267698079,0.5116151357534717
echem_regime_pc2,roi_diffusion_proxy_abs_median_um2_per_s,24,0.13999999999999999,0.5140986909290425
echem_regime_pc3,roi_transferred_masked_residual_signature,24,-0.1391304347826087,0.5167416555162506
pos_dq_abs_peak_voltage,state_state_step_norm,80,0.07306696173045228,0.5195060811722542
echem_regime_pc4,roi_phase_slope_abs_median_per_s,24,0.13565217391304346,0.527378541905856
shape_I_neg_fraction,n_modal_votes,81,-0.0683002767294331,0.544610104318919
