cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,cohort_role,event_reference_cycle,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,transfer_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
151.0,17_c2_x10_HighHighCOV_150723,5,4,1,24.793334808325394,transfer_warning_roi_candidate,transfer_warning,151.0,844.1818181818181,81.81818181818181,211.04545454545453,20.454545454545453,66,7941.5087890625,23.38615608215332,4,1.4388691546947752,1,1,0,6188,7426,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_151_17_c2_x10_HighHighCOV_150723_local5.png
151.0,17_c2_x10_HighHighCOV_150723,5,4,3,24.202153023992846,transfer_warning_roi_candidate,transfer_warning,151.0,1202.7692307692307,667.0769230769231,300.6923076923077,166.76923076923077,52,7830.56005859375,23.21497344970703,4,1.4388691546947752,1,1,0,6188,7426,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_151_17_c2_x10_HighHighCOV_150723_local5.png
151.0,17_c2_x10_HighHighCOV_150723,5,4,4,24.049243565455733,transfer_warning_roi_candidate,transfer_warning,151.0,1643.0588235294117,125.88235294117646,410.7647058823529,31.470588235294116,51,7748.6845703125,22.915050506591797,4,1.4388691546947752,1,1,0,6188,7426,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_151_17_c2_x10_HighHighCOV_150723_local5.png
151.0,17_c2_x10_HighHighCOV_150723,5,4,2,23.64798893669939,transfer_warning_roi_candidate,transfer_warning,151.0,1200.0701754385964,1107.2280701754387,300.0175438596491,276.8070175438597,114,5534.52734375,16.844011306762695,4,1.4388691546947752,1,1,0,6188,7426,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_151_17_c2_x10_HighHighCOV_150723_local5.png
152.0,17_c2_x10_HighHighCOV_150723,6,5,3,26.373247027867063,transfer_warning_roi_candidate,transfer_warning,152.0,1643.888888888889,126.77777777777777,410.97222222222223,31.694444444444443,36,11629.99609375,30.68789291381836,5,1.1876601241161993,1,1,0,7426,8663,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_152_17_c2_x10_HighHighCOV_150723_local6.png
152.0,17_c2_x10_HighHighCOV_150723,6,5,1,25.322432668607522,transfer_warning_roi_candidate,transfer_warning,152.0,845.448275862069,83.03448275862068,211.36206896551724,20.75862068965517,58,9596.337890625,25.399866104125977,5,1.1876601241161993,1,1,0,7426,8663,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_152_17_c2_x10_HighHighCOV_150723_local6.png
152.0,17_c2_x10_HighHighCOV_150723,6,5,4,24.956694563620736,transfer_warning_roi_candidate,transfer_warning,152.0,1349.0143540669856,185.16746411483254,337.2535885167464,46.291866028708135,209,3773.23681640625,14.761636734008789,5,1.1876601241161993,1,1,0,7426,8663,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_152_17_c2_x10_HighHighCOV_150723_local6.png
152.0,17_c2_x10_HighHighCOV_150723,6,5,2,24.182967554561685,transfer_warning_roi_candidate,transfer_warning,152.0,1198.936170212766,1104.6808510638298,299.7340425531915,276.17021276595744,94,7259.271484375,19.417682647705078,5,1.1876601241161993,1,1,0,7426,8663,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_152_17_c2_x10_HighHighCOV_150723_local6.png
154.0,17_c2_x10_HighHighCOV_150723,8,6,3,25.70071857444932,transfer_warning_roi_candidate,transfer_warning,154.0,1644.0,126.37837837837837,411.0,31.594594594594593,37,11474.6845703125,28.710601806640625,6,1.0097002411185476,1,1,0,9901,11139,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_154_17_c2_x10_HighHighCOV_150723_local8.png
154.0,17_c2_x10_HighHighCOV_150723,8,6,1,25.20795070859362,transfer_warning_roi_candidate,transfer_warning,154.0,845.1724137931035,83.17241379310344,211.29310344827587,20.79310344827586,58,9977.4794921875,25.08557891845703,6,1.0097002411185476,1,1,0,9901,11139,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_154_17_c2_x10_HighHighCOV_150723_local8.png
154.0,17_c2_x10_HighHighCOV_150723,8,6,4,24.682080719034794,transfer_warning_roi_candidate,transfer_warning,154.0,1349.1827956989248,186.66666666666666,337.2956989247312,46.666666666666664,186,4260.36083984375,15.381922721862793,6,1.0097002411185476,1,1,0,9901,11139,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_154_17_c2_x10_HighHighCOV_150723_local8.png
154.0,17_c2_x10_HighHighCOV_150723,8,6,2,24.22153496487533,transfer_warning_roi_candidate,transfer_warning,154.0,1203.1724137931035,1110.0229885057472,300.7931034482759,277.5057471264368,87,7686.73583984375,20.11772918701172,6,1.0097002411185476,1,1,0,9901,11139,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_154_17_c2_x10_HighHighCOV_150723_local8.png
153.0,17_c2_x10_HighHighCOV_150723,7,7,3,24.798684599240847,transfer_warning_roi_candidate,transfer_warning,153.0,1348.1869158878505,186.6355140186916,337.04672897196264,46.6588785046729,214,3723.540771484375,14.271251678466797,7,0.8710369083836372,1,1,0,8663,9901,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_153_17_c2_x10_HighHighCOV_150723_local7.png
153.0,17_c2_x10_HighHighCOV_150723,7,7,1,24.64300320224848,transfer_warning_roi_candidate,transfer_warning,153.0,844.375,82.625,211.09375,20.65625,64,8778.7138671875,23.28520393371582,7,0.8710369083836372,1,1,0,8663,9901,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_153_17_c2_x10_HighHighCOV_150723_local7.png
153.0,17_c2_x10_HighHighCOV_150723,7,7,2,23.935908267270758,transfer_warning_roi_candidate,transfer_warning,153.0,1199.3877551020407,1106.6938775510205,299.8469387755102,276.6734693877551,98,7020.06103515625,18.71480941772461,7,0.8710369083836372,1,1,0,8663,9901,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_153_17_c2_x10_HighHighCOV_150723_local7.png
153.0,17_c2_x10_HighHighCOV_150723,7,7,4,23.6125928020467,transfer_warning_roi_candidate,transfer_warning,153.0,1673.6140350877192,204.52631578947367,418.4035087719298,51.13157894736842,114,5706.380859375,17.064634323120117,7,0.8710369083836372,1,1,0,8663,9901,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_153_17_c2_x10_HighHighCOV_150723_local7.png
40.0,5_c2_x10_260623,5,8,3,26.09069854419696,transfer_warning_roi_candidate,transfer_warning,40.0,1178.5882352941176,583.6470588235294,294.6470588235294,145.91176470588235,34,12388.37890625,30.30314064025879,8,0.7842017555889671,0,0,0,4639,5567,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_40_5_c2_x10_260623_local5.png
40.0,5_c2_x10_260623,5,8,1,25.23539654321421,transfer_warning_roi_candidate,transfer_warning,40.0,563.8367346938776,158.77551020408163,140.9591836734694,39.69387755102041,49,10660.646484375,26.217365264892578,8,0.7842017555889671,0,0,0,4639,5567,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_40_5_c2_x10_260623_local5.png
40.0,5_c2_x10_260623,5,8,2,24.719680022265944,transfer_warning_roi_candidate,transfer_warning,40.0,1323.6972972972974,100.90810810810811,330.92432432432435,25.227027027027027,185,4437.248046875,15.645694732666016,8,0.7842017555889671,0,0,0,4639,5567,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_40_5_c2_x10_260623_local5.png
40.0,5_c2_x10_260623,5,8,4,23.491688623886883,transfer_warning_roi_candidate,transfer_warning,40.0,1172.4444444444443,1019.3086419753087,293.1111111111111,254.82716049382717,81,7621.6875,18.8198184967041,8,0.7842017555889671,0,0,0,4639,5567,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_40_5_c2_x10_260623_local5.png
148.0,17_c2_x10_HighHighCOV_150723,2,9,4,24.73572028985577,transfer_warning_roi_candidate,transfer_warning,148.0,1645.860465116279,128.27906976744185,411.4651162790698,32.06976744186046,43,9376.822265625,25.935644149780273,9,0.7480825471472065,1,1,0,2475,3713,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_148_17_c2_x10_HighHighCOV_150723_local2.png
148.0,17_c2_x10_HighHighCOV_150723,2,9,1,24.293498644747416,transfer_warning_roi_candidate,transfer_warning,148.0,847.625,84.625,211.90625,21.15625,64,8170.9912109375,22.64679718017578,9,0.7480825471472065,1,1,0,2475,3713,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_148_17_c2_x10_HighHighCOV_150723_local2.png
148.0,17_c2_x10_HighHighCOV_150723,2,9,2,23.782749057425157,transfer_warning_roi_candidate,transfer_warning,148.0,825.6,397.3176470588235,206.4,99.32941176470588,85,7041.38525390625,19.579477310180664,9,0.7480825471472065,1,1,0,2475,3713,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_148_17_c2_x10_HighHighCOV_150723_local2.png
148.0,17_c2_x10_HighHighCOV_150723,2,9,3,23.513103415416406,transfer_warning_roi_candidate,transfer_warning,148.0,1201.1089108910892,1100.990099009901,300.2772277227723,275.2475247524753,101,6349.900390625,17.71686363220215,9,0.7480825471472065,1,1,0,2475,3713,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_148_17_c2_x10_HighHighCOV_150723_local2.png
155.0,17_c2_x10_HighHighCOV_150723,9,10,1,24.60073868554239,transfer_warning_roi_candidate,transfer_warning,155.0,1346.1151832460732,185.34031413612564,336.5287958115183,46.33507853403141,191,4520.5576171875,14.979876518249512,10,0.7426923860413742,1,1,0,11139,12377,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_155_17_c2_x10_HighHighCOV_150723_local9.png
155.0,17_c2_x10_HighHighCOV_150723,9,10,2,24.163214804396006,transfer_warning_roi_candidate,transfer_warning,155.0,842.0298507462686,80.11940298507463,210.50746268656715,20.029850746268657,67,8648.0859375,21.85816764831543,10,0.7426923860413742,1,1,0,11139,12377,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_155_17_c2_x10_HighHighCOV_150723_local9.png
155.0,17_c2_x10_HighHighCOV_150723,9,10,3,23.460269822850847,transfer_warning_roi_candidate,transfer_warning,155.0,1201.7586206896551,1111.1724137931035,300.4396551724138,277.7931034482759,116,6033.2763671875,16.54679298400879,10,0.7426923860413742,1,1,0,11139,12377,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_155_17_c2_x10_HighHighCOV_150723_local9.png
155.0,17_c2_x10_HighHighCOV_150723,9,10,4,23.285963487547505,transfer_warning_roi_candidate,transfer_warning,155.0,1672.4961240310076,203.47286821705427,418.1240310077519,50.86821705426357,129,5227.31103515625,15.451332092285156,10,0.7426923860413742,1,1,0,11139,12377,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_155_17_c2_x10_HighHighCOV_150723_local9.png
147.0,17_c2_x10_HighHighCOV_150723,1,11,3,24.624743710237528,transfer_warning_roi_candidate,transfer_warning,147.0,1645.860465116279,128.27906976744185,411.4651162790698,32.06976744186046,43,9487.4189453125,25.715286254882812,11,0.6943342227566772,0,1,0,1237,2475,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_147_17_c2_x10_HighHighCOV_150723_local1.png
147.0,17_c2_x10_HighHighCOV_150723,1,11,1,24.26761527106625,transfer_warning_roi_candidate,transfer_warning,147.0,846.9375,84.625,211.734375,21.15625,64,8326.810546875,22.656352996826172,11,0.6943342227566772,0,1,0,1237,2475,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_147_17_c2_x10_HighHighCOV_150723_local1.png
147.0,17_c2_x10_HighHighCOV_150723,1,11,2,23.264156540689225,transfer_warning_roi_candidate,transfer_warning,147.0,1202.1509433962265,1102.4150943396226,300.5377358490566,275.60377358490564,106,6104.34765625,16.851280212402344,11,0.6943342227566772,0,1,0,1237,2475,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_147_17_c2_x10_HighHighCOV_150723_local1.png
147.0,17_c2_x10_HighHighCOV_150723,1,11,4,23.138560592904174,transfer_warning_roi_candidate,transfer_warning,147.0,826.0416666666666,395.4583333333333,206.51041666666666,98.86458333333333,96,6286.984375,17.252830505371094,11,0.6943342227566772,0,1,0,1237,2475,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_147_17_c2_x10_HighHighCOV_150723_local1.png
116.0,13_c2_x6_100723,1,12,1,27.363295086379125,transfer_warning_roi_candidate,transfer_warning,116.0,586.0,232.0,146.5,58.0,32,14779.474609375,34.200767517089844,12,0.6939075621668416,0,0,1,909,1819,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_116_13_c2_x6_100723_local1.png
116.0,13_c2_x6_100723,1,12,3,26.1177158996103,transfer_warning_roi_candidate,transfer_warning,116.0,1203.030303030303,651.6363636363636,300.75757575757575,162.9090909090909,33,13215.271484375,30.621023178100586,12,0.6939075621668416,0,0,1,909,1819,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_116_13_c2_x6_100723_local1.png
116.0,13_c2_x6_100723,1,12,2,25.378014840116585,transfer_warning_roi_candidate,transfer_warning,116.0,842.6666666666666,66.16666666666667,210.66666666666666,16.541666666666668,48,11402.7451171875,26.83770179748535,12,0.6939075621668416,0,0,1,909,1819,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_116_13_c2_x6_100723_local1.png
116.0,13_c2_x6_100723,1,12,4,24.263145715616087,transfer_warning_roi_candidate,transfer_warning,116.0,1347.975,171.6,336.99375,42.9,160,5153.689453125,16.010562896728516,12,0.6939075621668416,0,0,1,909,1819,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/transfer_ranked_roi_reconstruction/overlays/cycle_116_13_c2_x6_100723_local1.png
