roi_id,cohort_role,event_reference_cycle,cycleNo,phase_slope_median_per_s_protocol_residual,phase_slope_iqr_per_s_protocol_residual,phase_slope_positive_fraction_protocol_residual,phase_slope_negative_fraction_protocol_residual,phase_slope_abs_median_per_s_protocol_residual,radius2_slope_median_px2_per_s_protocol_residual,radius2_slope_iqr_px2_per_s_protocol_residual,radius2_slope_positive_fraction_protocol_residual,radius2_slope_negative_fraction_protocol_residual,diffusion_proxy_median_um2_per_s_protocol_residual,diffusion_proxy_iqr_um2_per_s_protocol_residual,default_q70_diffusion_proxy_um2_per_s_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,q70_phase_slope_bootstrap_p50_protocol_residual,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,threshold_robust_diffusion_score_protocol_residual
cycle62_rank2_obj2,control,60.0,62.0,-1.3612615101106182e-06,1.981533860175427e-07,-0.35964350644900234,0.35964350641455733,-1.2030917416834948e-06,-0.001200462405329034,0.0011417309395594746,-0.3570888760933821,0.35708887609338213,-2.7658653818781938e-06,2.6305480847660252e-06,-2.7503828425287398e-06,1.60085715319586e-06,-1.289417783324379e-06,-0.00119417613376982,-0.8666880311024134,0.18255575458814144
cycle62_rank1_obj4,control,60.0,62.0,-2.1169877958296168e-07,-1.1193440512590691e-08,-0.07392922073471664,0.07392922070027164,-5.3529011155838276e-08,0.0012493175220370661,0.0007612801678424744,0.6429111239066179,-0.6429111239066179,2.878427570773629e-06,1.7539895067300339e-06,2.893910110123083e-06,3.1989018492053685e-07,-1.9198187542383075e-07,0.00124150302996868,0.12369658428220193,0.06717113920352602
cycle62_rank3_obj9,control,60.0,62.0,1.4451650932196863e-06,9.019694835657468e-07,-0.07392922073471664,0.07392922070027164,1.6033348616468097e-06,-0.0017752040149332337,0.0009120389401942743,-0.3570888760933821,0.35708887609338213,-4.090070050406275e-06,2.101337718228442e-06,-4.074587511056821e-06,2.925061821723941e-06,1.6639923347953237e-06,-0.0017317952026046199,0.046773507359125055,0.29794036997275686
cycle62_rank4_obj1,control,60.0,62.0,-1.1051910013874067e-06,1.1072287405299596e-07,-0.07392922073471664,0.07392922070027164,-9.470212329602833e-07,1.8649231850366194e-05,0.00027916232029567443,-0.07137459037909638,0.07137459037909644,4.2967830183092984e-08,6.431899859822044e-07,-3.2312882142098053e-07,-1.207976058865427e-06,-1.2881621198347208e-06,-0.00017561519934792,-0.20322649264087495,-0.42321347618108934
cycle86_rank2_obj6,event,86.0,86.0,-1.0100235358942796e-06,-6.214479409551177e-07,0.06506421157506381,-0.0650642116252821,-1.1196054182392692e-06,3.98798739780163e-05,-0.0008076810960200982,-0.35610306368654604,0.3561030636865461,9.188322964528406e-08,-1.8608972452293112e-06,-3.9616985688305073e-07,-5.867342541429243e-07,-9.033826959628699e-07,-0.00016420738968651177,0.009318918437069168,0.14730683708397452
cycle86_rank5_obj8,event,86.0,86.0,-3.550782550877829e-07,-2.842859303331444e-07,0.06506421157506381,-0.0650642116252821,-4.6466013743277253e-07,0.0004585984672396163,0.0003506510832887019,-0.21324592082940325,0.2132459208294032,1.0566108685199387e-06,8.079000958982915e-07,1.0288954304537337e-06,-1.551461893017579e-06,-1.908602241581426e-07,0.0004919129699816882,-0.029142620024469157,-0.8815393167621792
cycle86_rank3_obj5,event,86.0,86.0,6.258193884483392e-07,-4.3924622775183496e-07,0.06506421157506381,-0.0650642116252821,5.162375061033496e-07,0.0011829078842482163,-0.0009503847030261982,0.6438969363134539,-0.6438969363134539,2.72541976530813e-06,-2.1896863557712033e-06,3.4930362890674163e-06,-1.1766263300920988e-06,5.322997770067537e-07,0.0015356031041698882,0.2400881492063,0.07038376016089765
cycle86_rank4_obj9,event,86.0,86.0,2.3241238390174905e-06,1.0206797551771054e-06,0.06506421157506381,-0.0650642116252821,2.214541956672501e-06,0.0009218151808248164,0.0003174470857927017,0.21532550774202536,-0.2153255077420254,2.1238621766205737e-06,7.313980856673917e-07,1.9795766899810116e-06,-1.778183918779655e-06,2.259046836479224e-06,0.0008099724820091882,0.16316507228322302,-1.1411547013775638
cycle86_rank6_obj78,event,86.0,86.0,-5.449564820244477e-07,1.357494377152125e-08,0.06506421157506381,-0.0650642116252821,-6.545383643694373e-07,0.0008712337434567163,-0.0009852257304595981,0.35818265059916826,-0.3581826505991682,2.0073225449244304e-06,-2.269960082977894e-06,2.736234947126191e-06,-1.8947235504757982e-06,-5.629118708712664e-07,0.0011658442722297883,-0.10606569694754625,-0.49692393214679464
cycle86_rank8_obj17,event,86.0,86.0,-5.44003265944729e-07,-9.956691595436834e-07,0.06506421157506381,-0.0650642116252821,-6.535851482897186e-07,0.00021487508564451633,-0.0008244156935509982,-0.21324592082940325,0.2132459208294032,4.950721973248174e-07,-1.8994537579404684e-06,3.507867106852551e-07,-9.899232218224577e-07,-8.674929237945512e-07,0.00014337128302538817,0.1823958415139923,-0.2661547013775639
