rho,p_value,n,residual_feature,context_feature
-0.04838953132913303,0.7333602307724937,52,default_q70_diffusion_proxy_um2_per_s_protocol_residual,n_frames_percentile
-0.04838953132913303,0.7333602307724937,52,radius2_slope_median_px2_per_s_protocol_residual,n_frames_percentile
-0.04838953132913303,0.7333602307724937,52,diffusion_proxy_median_um2_per_s_protocol_residual,n_frames_percentile
0.05694629732962595,0.7341654878933618,38,diffusion_proxy_iqr_um2_per_s_protocol_residual,V_mean
0.05694629732962595,0.7341654878933618,38,radius2_slope_iqr_px2_per_s_protocol_residual,V_mean
-0.05473763676449522,0.7441228304354129,38,radius2_slope_iqr_px2_per_s_protocol_residual,I_abs_mean_mA
-0.05473763676449522,0.7441228304354129,38,diffusion_proxy_iqr_um2_per_s_protocol_residual,I_abs_mean_mA
0.05473763676449522,0.7441228304354129,38,phase_slope_median_per_s_protocol_residual,I_abs_mean_mA
0.050766079014782826,0.762130355267778,38,radius2_slope_iqr_px2_per_s_protocol_residual,duration_s
0.050766079014782826,0.762130355267778,38,diffusion_proxy_iqr_um2_per_s_protocol_residual,duration_s
0.0429057486809295,0.762640093112816,52,diffusion_proxy_abs_median_um2_per_s_protocol_residual,cycles_to_block_end
0.04222076652659043,0.7663216604017589,52,phase_slope_negative_fraction_protocol_residual,cycles_from_block_start
-0.04222076652659043,0.7663216604017589,52,phase_slope_positive_fraction_protocol_residual,cycles_from_block_start
0.03730934667906913,0.7928644594532823,52,q70_phase_slope_bootstrap_p50_protocol_residual,cycles_to_block_end
0.03668752423441798,0.7962423227330051,52,phase_slope_median_per_s_protocol_residual,cycles_to_block_end
0.07550866850928138,0.7975248114494962,14,radius2_slope_negative_fraction_protocol_residual,block_fraction_elapsed
-0.07550866850928138,0.7975248114494962,14,radius2_slope_positive_fraction_protocol_residual,block_fraction_elapsed
0.03544387934511567,0.8030091078989402,52,phase_slope_abs_median_per_s_protocol_residual,cycles_to_block_end
0.07032108464077431,0.81119826155556,14,phase_slope_iqr_per_s_protocol_residual,block_fraction_elapsed
0.03246059308021913,0.8192990360599917,52,threshold_robust_phase_score_protocol_residual,n_frames_percentile
-0.0609449400220044,0.8360369066710462,14,diffusion_proxy_abs_median_um2_per_s_protocol_residual,block_fraction_elapsed
-0.0609449400220044,0.8360369066710462,14,threshold_robust_phase_score_protocol_residual,block_fraction_elapsed
0.056256867712619445,0.848511140411384,14,q70_phase_slope_bootstrap_p50_protocol_residual,block_fraction_elapsed
0.03127864957971156,0.8521161800276306,38,default_q70_diffusion_proxy_um2_per_s_protocol_residual,I_abs_mean_mA
0.03127864957971156,0.8521161800276306,38,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,I_abs_mean_mA
0.024126710852464702,0.8651866652389846,52,threshold_robust_phase_score_protocol_residual,cycles_to_block_end
-0.049629166698546515,0.866202177086342,14,phase_slope_negative_fraction_protocol_residual,block_fraction_elapsed
