roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png
source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,108.0,12_c2_x10_070723,3,11,1,source_fill,near_pre_event_1_8,source_balanced_pre_event_sampling,8.0,22.0,1.0,0.0,True,23.272265275644223,source_balanced_pre_event_candidate,1344.7118644067796,206.2372881355932,118.0,7579.54248046875,18.480348587036133,1249,110,1441,302,192,96,96,2712,3615,8847.9951171875,8846.1474609375,-1.84765625,0.07443984597921371,0.07437852770090103,-6.13182783126831e-05,0.2236067977498773,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle108_rank11_obj1_12_c2_x10_070723.npz,
source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,108.0,12_c2_x10_070723,3,11,2,source_fill,near_pre_event_1_8,source_balanced_pre_event_sampling,8.0,22.0,1.0,0.0,True,23.55256855416359,source_balanced_pre_event_candidate,1665.6533333333334,226.02666666666667,75.0,9762.6484375,21.80430603027344,1570,130,1762,322,192,96,96,2712,3615,8227.8125,8228.380859375,0.568359375,0.07692088931798935,0.07685554772615433,-6.534159183502197e-05,0.2236067977498773,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle108_rank11_obj2_12_c2_x10_070723.npz,
source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,110.0,12_c2_x10_070723,5,12,1,near_pre_event_1_8,near_pre_event_1_8,source_balanced_pre_event_sampling,6.0,24.0,1.0,0.0,True,23.03471399548354,source_balanced_pre_event_candidate,1346.7768595041323,202.54545454545453,121.0,6796.548828125,17.81061363220215,1251,107,1443,299,192,96,96,4521,5424,8822.193359375,8827.9375,5.744140625,0.07563094049692154,0.07578388601541519,0.00015294551849365234,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle110_rank12_obj1_12_c2_x10_070723.npz,
source_balanced_cycle110_rank12_obj2_12_c2_x10_070723,110.0,12_c2_x10_070723,5,12,2,near_pre_event_1_8,near_pre_event_1_8,source_balanced_pre_event_sampling,6.0,24.0,1.0,0.0,True,23.988204537386228,source_balanced_pre_event_candidate,839.8367346938776,97.3877551020408,49.0,11246.7548828125,25.28079605102539,744,1,936,193,192,96,96,4521,5424,8950.5302734375,8944.8525390625,-5.677734375,0.09027808159589767,0.08988620340824127,-0.0003918781876564026,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle110_rank12_obj2_12_c2_x10_070723.npz,
source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,112.0,12_c2_x10_070723,7,13,1,source_fill,near_pre_event_1_8,source_balanced_pre_event_sampling,4.0,26.0,1.0,0.0,True,24.199332988208194,source_balanced_pre_event_candidate,840.25,97.91666666666669,48.0,11418.2138671875,26.13363075256348,744,2,936,194,192,96,96,6329,7232,8936.3203125,8931.7939453125,-4.5263671875,0.08929891884326935,0.08905303478240967,-0.0002458840608596802,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle112_rank13_obj1_12_c2_x10_070723.npz,
source_balanced_cycle112_rank13_obj2_12_c2_x10_070723,112.0,12_c2_x10_070723,7,13,2,source_fill,near_pre_event_1_8,source_balanced_pre_event_sampling,4.0,26.0,1.0,0.0,True,23.08806596464201,source_balanced_pre_event_candidate,1199.6571428571428,1123.0285714285717,70.0,9125.0146484375,20.91178703308105,1104,1008,1296,1200,192,96,96,6329,7232,8304.390625,8298.8212890625,-5.5693359375,0.07390235364437103,0.07339195162057877,-0.0005104020237922668,0.2121320343559321,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle112_rank13_obj2_12_c2_x10_070723.npz,
source_balanced_cycle114_rank14_obj1_12_c2_x10_070723,114.0,12_c2_x10_070723,9,14,1,source_fill,near_pre_event_1_8,source_balanced_pre_event_sampling,2.0,28.0,1.0,0.0,True,23.942180100195944,source_balanced_pre_event_candidate,1343.728155339806,205.35922330097088,103.0,9044.693359375,21.196462631225582,1248,109,1440,301,192,96,96,8137,9041,8807.0703125,8800.0625,-7.0078125,0.07192617654800415,0.07156578451395035,-0.0003603920340538025,0.2121320343560125,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle114_rank14_obj1_12_c2_x10_070723.npz,
source_balanced_cycle114_rank14_obj2_12_c2_x10_070723,114.0,12_c2_x10_070723,9,14,2,source_fill,near_pre_event_1_8,source_balanced_pre_event_sampling,2.0,28.0,1.0,0.0,True,23.740731379998923,source_balanced_pre_event_candidate,1670.3333333333333,231.11111111111111,72.0,10013.48046875,22.64031219482422,1574,135,1766,327,192,96,96,8137,9041,8198.4326171875,8192.224609375,-6.2080078125,0.07656458020210266,0.0763106718659401,-0.00025390833616256714,0.2121320343560125,1.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle114_rank14_obj2_12_c2_x10_070723.npz,
source_balanced_cycle124_rank15_obj1_14_c2_x10_HighCOV_110723,124.0,14_c2_x10_HighCOV_110723,3,15,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,32.0,8.0,1.0,1.0,False,23.92572024499704,source_balanced_pre_event_candidate,843.9245283018868,77.66037735849056,53.0,11193.2998046875,25.66951560974121,748,0,940,192,192,96,96,3570,4759,8888.2724609375,8885.4208984375,-2.8515625,0.08036075532436371,0.0801430195569992,-0.00021773576736450195,0.22360679774992814,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle124_rank15_obj1_14_c2_x10_HighCOV_110723.npz,
source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723,124.0,14_c2_x10_HighCOV_110723,3,15,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,32.0,8.0,1.0,1.0,False,22.913194214165536,source_balanced_pre_event_candidate,1347.4820143884892,181.64028776978415,139.0,6108.63330078125,17.572914123535156,1251,86,1443,278,192,96,96,3570,4759,8780.8583984375,8777.6181640625,-3.240234375,0.06921637803316116,0.06909330934286118,-0.0001230686902999878,0.22360679774992814,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723.npz,
