comparison,match_scheme,treated_source,control_source,same_source,same_source_class,n_pairs,median_match_distance
near_vs_post_control,source_class_penalized_echem_context,12_c2_x10_070723,10_c2_x10_030723,False,True,2,1.0815109989907834
near_vs_post_control,source_class_penalized_echem_context,9_c2_x10_010723,8_c2_x10_300623,False,True,1,0.5447591571780988
near_vs_post_control,source_class_penalized_echem_context,6_c2_x10_270623_2,2_c2_x14_200623,False,True,1,1.0323471121126273
near_vs_any_non_near,same_source,9_c2_x10_010723,9_c2_x10_010723,True,True,8,0.8282555108583349
near_vs_any_non_near,same_source,12_c2_x10_070723,12_c2_x10_070723,True,True,8,3.032409523424534
near_vs_any_non_near,same_source,17_c2_x10_HighHighCOV_150723,17_c2_x10_HighHighCOV_150723,True,True,8,5.047491755153416
near_vs_any_non_near,same_source,6_c2_x10_270623_2,6_c2_x10_270623_2,True,True,4,0.36258076108857784
near_vs_any_non_near,same_source,7_c2_x10_290623,7_c2_x10_290623,True,True,4,0.6981650580598058
near_vs_any_non_near,source_penalized_echem_context,9_c2_x10_010723,9_c2_x10_010723,True,True,8,0.8282555108583349
near_vs_any_non_near,source_penalized_echem_context,17_c2_x10_HighHighCOV_150723,11_c2_x10_050723,False,False,5,1.323788545691621
near_vs_any_non_near,source_penalized_echem_context,6_c2_x10_270623_2,6_c2_x10_270623_2,True,True,4,0.36258076108857784
near_vs_any_non_near,source_penalized_echem_context,7_c2_x10_290623,7_c2_x10_290623,True,True,4,0.6981650580598058
near_vs_any_non_near,source_penalized_echem_context,12_c2_x10_070723,12_c2_x10_070723,True,True,3,0.5946229500912296
near_vs_any_non_near,source_penalized_echem_context,17_c2_x10_HighHighCOV_150723,7_c2_x10_290623,False,False,3,1.304829636108646
near_vs_any_non_near,source_penalized_echem_context,12_c2_x10_070723,15_c2_x5_HighCOV_120723,False,False,2,1.505369076593231
near_vs_any_non_near,source_penalized_echem_context,12_c2_x10_070723,14_c2_x10_HighCOV_110723,False,False,2,1.5597318027542473
near_vs_any_non_near,source_penalized_echem_context,12_c2_x10_070723,10_c2_x10_030723,False,True,1,1.6283804010225436
near_vs_any_non_near,source_class_penalized_echem_context,17_c2_x10_HighHighCOV_150723,11_c2_x10_050723,False,False,5,1.073788545691621
near_vs_any_non_near,source_class_penalized_echem_context,6_c2_x10_270623_2,6_c2_x10_270623_2,True,True,4,0.36258076108857784
near_vs_any_non_near,source_class_penalized_echem_context,9_c2_x10_010723,7_c2_x10_290623,False,True,4,0.6122548238891602
near_vs_any_non_near,source_class_penalized_echem_context,9_c2_x10_010723,8_c2_x10_300623,False,True,3,0.5041316264792121
near_vs_any_non_near,source_class_penalized_echem_context,17_c2_x10_HighHighCOV_150723,7_c2_x10_290623,False,False,3,1.054829636108646
near_vs_any_non_near,source_class_penalized_echem_context,7_c2_x10_290623,8_c2_x10_300623,False,True,2,0.28898758065670704
near_vs_any_non_near,source_class_penalized_echem_context,7_c2_x10_290623,5_c2_x10_260623,False,True,2,0.3378379164592845
near_vs_any_non_near,source_class_penalized_echem_context,12_c2_x10_070723,11_c2_x10_050723,False,True,2,0.5286681856135688
near_vs_any_non_near,source_class_penalized_echem_context,12_c2_x10_070723,15_c2_x5_HighCOV_120723,False,False,2,1.255369076593231
near_vs_any_non_near,source_class_penalized_echem_context,12_c2_x10_070723,14_c2_x10_HighCOV_110723,False,False,2,1.3097318027542473
near_vs_any_non_near,source_class_penalized_echem_context,9_c2_x10_010723,11_c2_x10_050723,False,True,1,0.5648784956518006
near_vs_any_non_near,source_class_penalized_echem_context,12_c2_x10_070723,10_c2_x10_030723,False,True,1,0.8783804010225437
near_vs_any_non_near,source_class_penalized_echem_context,12_c2_x10_070723,5_c2_x10_260623,False,True,1,0.9716449229427745
