feature,timebase_feature,n,spearman_rho,p_value,abs_rho
roi_norm_mean_positive_step_fraction,roi_elapsed_to_h5_max_abs_error,56,0.3301917975132387,0.012942856039072711,0.3301917975132387
persistence_mse_mean,roi_elapsed_to_h5_max_abs_error,56,0.3153575824011941,0.017911043976702776,0.3153575824011941
temporal_energy_late_minus_early,h5_dt_max_to_median_ratio,56,0.28951424905319406,0.030445559098398668,0.28951424905319406
velocity_minus_persistence_mse,roi_elapsed_to_h5_max_abs_error,56,0.28806702238570614,0.031323259732656705,0.28806702238570614
velocity_mse_mean,roi_elapsed_to_h5_max_abs_error,56,0.2871022046073808,0.03192003507766999,0.2871022046073808
temporal_energy_mean,roi_elapsed_to_h5_max_abs_error,56,0.28427666682799946,0.03372246165421539,0.28427666682799946
raw_roi_mean_delta_last_minus_first,roi_elapsed_to_h5_max_abs_error,56,0.28041739571469815,0.03632025092145541,0.28041739571469815
roi_norm_mean_late_minus_early,strict_timebase_fraction,56,0.26804636334314347,0.04578730051062051,0.26804636334314347
roi_norm_mean_delta_last_minus_first,roi_elapsed_to_h5_max_abs_error,56,0.2638087468163835,0.04946131820305885,0.2638087468163835
persistence_mse_late_mean,roi_elapsed_to_h5_max_abs_error,56,0.2562969512565648,0.05656274757476993,0.2562969512565648
velocity_mse_p95,roi_elapsed_to_h5_max_abs_error,56,0.24375432013833556,0.07023947428636332,0.24375432013833556
stage_drift_xy_recomputed,strict_timebase_fraction,56,-0.23771101573646988,0.0777103728847853,0.23771101573646988
temporal_energy_late_minus_early,strict_timebase_fraction,56,-0.23038695692303238,0.08759244086677809,0.23038695692303238
persistence_mse_p95,roi_elapsed_to_h5_max_abs_error,56,0.22624976901729024,0.09359502532099818,0.22624976901729024
stage_drift_xy_recomputed,h5_dt_max_to_median_ratio,56,0.19227170098391952,0.15570593492985718,0.19227170098391952
object_mean_residual,h5_dt_max_to_median_ratio,56,-0.19096500455282098,0.158589282460571,0.19096500455282098
object_mean_residual,strict_timebase_fraction,56,0.1905122913017383,0.159597342315407,0.1905122913017383
object_mean_residual,roi_elapsed_to_h5_max_abs_error,56,-0.19041368010806364,0.1598175439055033,0.19041368010806364
temporal_energy_p95,roi_elapsed_to_h5_max_abs_error,56,0.17656165343353566,0.19301210244682238,0.17656165343353566
roi_norm_mean_late_minus_early,roi_elapsed_to_h5_max_abs_error,56,-0.1455496534159357,0.28446621054383314,0.1455496534159357
object_mean_abs_z,strict_timebase_fraction,56,0.13513081127216323,0.3207183487895519,0.13513081127216323
object_mean_abs_z,h5_dt_max_to_median_ratio,56,-0.1186036711784211,0.3839676128348674,0.1186036711784211
object_mean_abs_z,roi_elapsed_to_h5_max_abs_error,56,-0.10371791116997314,0.4468344059210681,0.10371791116997314
raw_roi_mean_delta_last_minus_first,h5_dt_max_to_median_ratio,56,0.08290541338038383,0.5435446155314744,0.08290541338038383
object_area_ds_px,roi_elapsed_to_h5_max_abs_error,56,0.07585193901045467,0.5784686024404251,0.07585193901045467
roi_norm_mean_late_minus_early,h5_dt_max_to_median_ratio,56,0.041762826690367925,0.7599024109940324,0.041762826690367925
roi_norm_mean_delta_last_minus_first,h5_dt_max_to_median_ratio,56,0.039833191133717256,0.7706866161744511,0.039833191133717256
roi_norm_mean_positive_step_fraction,h5_dt_max_to_median_ratio,56,-0.03890180637864461,0.7759074686454386,0.03890180637864461
raw_roi_mean_delta_last_minus_first,strict_timebase_fraction,56,-0.033228888017745054,0.807911736634162,0.033228888017745054
roi_norm_mean_delta_last_minus_first,strict_timebase_fraction,56,-0.028798369615379047,0.8331289636547783,0.028798369615379047
object_area_ds_px,h5_dt_max_to_median_ratio,56,0.018919906640953936,0.8899222311688487,0.018919906640953936
object_area_ds_px,strict_timebase_fraction,56,-0.013293372607148505,0.9225365467623509,0.013293372607148505
roi_norm_mean_positive_step_fraction,strict_timebase_fraction,56,-0.010148176653913417,0.9408265415127968,0.010148176653913417
