target,axis,transform,n,n_positive,n_sources,direction,oriented_auc,average_precision,spearman_rho,spearman_p,source_eta2,source_macro_auc_mean,source_macro_auc_n,source_macro_auc_min
future_any_drop_within_16cycles,signed_optical_loss_axis,raw,72,57,9,higher_in_positive,0.815204678362573,0.9399484459214776,0.4434817276940367,9.55481150211761e-05,0.6844181562551893,0.7777777777777778,2,0.5555555555555556
future_any_drop_within_16cycles,signed_optical_loss_axis,source_mean_only,72,57,9,higher_in_positive,0.7736842105263159,0.9234113993116764,0.40091536131081895,0.00048308833009774374,1.0,,0,
future_any_drop_within_16cycles,signed_optical_loss_axis,source_residual,72,57,9,higher_in_positive,0.656140350877193,0.8991361462536058,0.21968389850520925,0.06371390573522479,0.0497774742738139,0.7777777777777778,2,0.5555555555555556
future_any_drop_within_16cycles,signed_optical_loss_axis,within_source_centered_z,72,57,9,higher_in_positive,0.6070175438596491,0.8547847943535566,0.1505698630204243,0.20677650376374052,0.001652418947247509,0.7777777777777778,2,0.5555555555555556
future_any_drop_within_16cycles,signed_optical_loss_axis,within_source_rank,72,57,9,higher_in_positive,0.5140350877192983,0.7945776654237964,0.019767855309910265,0.869088604068665,0.036798389041720406,0.7777777777777778,2,0.5555555555555556
future_any_drop_within_8cycles,combined_loss_mechanism_axis,raw,72,36,9,higher_in_positive,0.6813271604938271,0.6638567418475114,0.3140981511891995,0.007211137651381297,0.5562903793484213,0.3819444444444444,2,0.2777777777777778
future_any_drop_within_8cycles,combined_loss_mechanism_axis,source_mean_only,72,36,9,higher_in_positive,0.7569444444444444,0.71831677094835,0.46340597540301054,4.143979196419821e-05,1.0,,0,
future_any_drop_within_8cycles,combined_loss_mechanism_axis,source_residual,72,36,9,lower_in_positive,0.6134259259259259,0.6184306893996203,0.19647841797792476,0.09809434517659905,0.10352034344797038,0.6180555555555556,2,0.513888888888889
future_any_drop_within_8cycles,combined_loss_mechanism_axis,within_source_centered_z,72,36,9,lower_in_positive,0.5717592592592593,0.5626840955687438,0.12430267259827896,0.29818896818137514,0.018612050148063268,0.6180555555555556,2,0.513888888888889
future_any_drop_within_8cycles,combined_loss_mechanism_axis,within_source_rank,72,36,9,lower_in_positive,0.6080246913580247,0.6194206028073241,0.1873211864452009,0.11510942805259157,0.053113141991120674,0.6180555555555556,2,0.513888888888889
future_any_drop_within_8cycles,echem_degraded_state_axis,raw,72,36,9,higher_in_positive,0.7430555555555556,0.7889323911382735,0.42135048580019224,0.0002279058548567312,0.055399615634053975,0.65625,2,0.5
future_any_drop_within_8cycles,echem_degraded_state_axis,source_mean_only,72,36,9,lower_in_positive,0.5347222222222222,0.6107660455486542,0.06262242910851494,0.6012647741045308,1.0000000000000002,,0,
future_any_drop_within_8cycles,echem_degraded_state_axis,source_residual,72,36,9,higher_in_positive,0.6944444444444444,0.7927230378317336,0.33737388489831593,0.003754356591801162,0.007238318570750733,0.65625,2,0.5
future_any_drop_within_8cycles,echem_degraded_state_axis,within_source_centered_z,72,36,9,higher_in_positive,0.5833333333333334,0.5715721778221778,0.14458880781356398,0.2255949788813155,0.05909247771248018,0.65625,2,0.5
future_any_drop_within_8cycles,echem_degraded_state_axis,within_source_rank,72,36,9,lower_in_positive,0.5208333333333334,0.5797989821209636,0.03617084045310765,0.7629212234472855,0.10220965285346074,0.34375,2,0.1875
future_any_drop_within_8cycles,front_contraction_axis,raw,72,36,9,lower_in_positive,0.7847222222222222,0.7633470695970694,0.4935819976516537,1.0549588356510127e-05,0.29151675464674714,0.5,2,0.0
future_any_drop_within_8cycles,front_contraction_axis,source_mean_only,72,36,9,lower_in_positive,0.6041666666666666,0.6196862348178138,0.18786728732554484,0.11403492386648884,0.9999999999999998,,0,
future_any_drop_within_8cycles,front_contraction_axis,source_residual,72,36,9,lower_in_positive,0.7152777777777778,0.7867926742733246,0.37352108685170693,0.0012301785008992877,0.016192351973911924,0.5,2,0.0
future_any_drop_within_8cycles,front_contraction_axis,within_source_centered_z,72,36,9,lower_in_positive,0.625,0.630049648780299,0.21716715233294778,0.06689044685288867,0.018187626699706392,0.5,2,0.0
future_any_drop_within_8cycles,front_contraction_axis,within_source_rank,72,36,9,lower_in_positive,0.6736111111111112,0.689455330244804,0.3014236704425638,0.010080781656241801,0.0490651227652152,0.5,2,0.0
future_any_drop_within_8cycles,rollout_difficulty_axis,raw,72,36,9,higher_in_positive,0.7152777777777778,0.7650820176555471,0.3731961445658845,0.0012433019736243576,0.1474542650145742,0.3125,2,0.0
future_any_drop_within_8cycles,rollout_difficulty_axis,source_mean_only,72,36,9,higher_in_positive,0.7152777777777778,0.7244565217391304,0.3882590604727927,0.0007514710821188744,1.0000000000000007,,0,
future_any_drop_within_8cycles,rollout_difficulty_axis,source_residual,72,36,9,lower_in_positive,0.6875,0.6882275132275132,0.3253248175805189,0.0052961517055636976,0.0004254383434270828,0.6875,2,0.375
future_any_drop_within_8cycles,rollout_difficulty_axis,within_source_centered_z,72,36,9,lower_in_positive,0.625,0.6416223031354611,0.21716715233294778,0.06689044685288867,0.018337741254311885,0.6875,2,0.375
future_any_drop_within_8cycles,rollout_difficulty_axis,within_source_rank,72,36,9,lower_in_positive,0.638888888888889,0.6166771094402673,0.24113893635405104,0.0412966138994791,0.06311656593406634,0.6875,2,0.375
future_any_drop_within_8cycles,signed_optical_loss_axis,raw,72,36,9,higher_in_positive,0.6126543209876543,0.6408883163348162,0.19514183010052394,0.10044748351765956,0.6844181562551893,0.46527777777777773,2,0.22222222222222224
future_any_drop_within_8cycles,signed_optical_loss_axis,source_mean_only,72,36,9,higher_in_positive,0.6736111111111112,0.6608187134502924,0.3131121455425747,0.007405291911763458,1.0,,0,
future_any_drop_within_8cycles,signed_optical_loss_axis,source_residual,72,36,9,higher_in_positive,0.5378086419753088,0.6047240811336247,0.0654928059926416,0.584663003641646,0.0497774742738139,0.46527777777777773,2,0.22222222222222224
future_any_drop_within_8cycles,signed_optical_loss_axis,within_source_centered_z,72,36,9,higher_in_positive,0.5246913580246912,0.5410620902647462,0.04277081207682716,0.7212909362289943,0.001652418947247509,0.46527777777777773,2,0.22222222222222224
future_any_drop_within_8cycles,signed_optical_loss_axis,within_source_rank,72,36,9,higher_in_positive,0.4729938271604939,0.4739921401519387,-0.046830296611300226,0.6960721105479357,0.036798389041720406,0.46527777777777773,2,0.22222222222222224
