target,axis,dropped_source,full_oriented_auc,drop_source_oriented_auc,delta_auc_minus_full,n_after_drop,n_positive_after_drop
future_any_drop_within_8cycles,combined_loss_mechanism_axis,15_c2_x5_HighCOV_120723,0.6813271604938271,0.6523569023569022,-0.028970258136924887,69,36
future_any_drop_within_8cycles,combined_loss_mechanism_axis,18_c2_xN_HighHighCOV_170723,0.6813271604938271,0.6523569023569022,-0.028970258136924887,69,36
future_any_drop_within_8cycles,combined_loss_mechanism_axis,14_c2_x10_HighCOV_110723,0.6813271604938271,0.6557239057239057,-0.025603254769921424,69,36
future_any_drop_within_8cycles,combined_loss_mechanism_axis,16_c2_x10_HighHighCOV_130723,0.6813271604938271,0.6718106995884774,-0.009516460905349744,63,36
future_any_drop_within_8cycles,combined_loss_mechanism_axis,10_c2_x10_030723,0.6813271604938271,0.6813271604938271,0.0,72,36
future_any_drop_within_8cycles,combined_loss_mechanism_axis,13_c2_x6_100723,0.6813271604938271,0.6813271604938271,0.0,72,36
future_any_drop_within_8cycles,combined_loss_mechanism_axis,7_c2_x10_290623,0.6813271604938271,0.6813271604938271,0.0,72,36
future_any_drop_within_8cycles,combined_loss_mechanism_axis,5_c2_x10_260623,0.6813271604938271,0.6833333333333333,0.002006172839506215,66,36
future_any_drop_within_8cycles,combined_loss_mechanism_axis,12_c2_x10_070723,0.6813271604938271,0.6861111111111111,0.004783950617283983,66,30
future_any_drop_within_8cycles,combined_loss_mechanism_axis,11_c2_x10_050723,0.6813271604938271,0.723063973063973,0.04173681257014583,69,36
future_any_drop_within_8cycles,combined_loss_mechanism_axis,9_c2_x10_010723,0.6813271604938271,0.7232323232323232,0.04190516273849609,63,30
future_any_drop_within_8cycles,echem_degraded_state_axis,16_c2_x10_HighHighCOV_130723,0.7430555555555556,0.6944444444444444,-0.04861111111111116,63,36
future_any_drop_within_8cycles,echem_degraded_state_axis,17_c2_x10_HighHighCOV_150723,0.7430555555555556,0.7,-0.043055555555555625,42,12
future_any_drop_within_8cycles,echem_degraded_state_axis,14_c2_x10_HighCOV_110723,0.7430555555555556,0.7272727272727273,-0.015782828282828287,69,36
future_any_drop_within_8cycles,echem_degraded_state_axis,15_c2_x5_HighCOV_120723,0.7430555555555556,0.7272727272727273,-0.015782828282828287,69,36
future_any_drop_within_8cycles,echem_degraded_state_axis,12_c2_x10_070723,0.7430555555555556,0.7416666666666666,-0.001388888888888995,66,30
future_any_drop_within_8cycles,echem_degraded_state_axis,10_c2_x10_030723,0.7430555555555556,0.7430555555555556,0.0,72,36
future_any_drop_within_8cycles,echem_degraded_state_axis,13_c2_x6_100723,0.7430555555555556,0.7430555555555556,0.0,72,36
future_any_drop_within_8cycles,echem_degraded_state_axis,7_c2_x10_290623,0.7430555555555556,0.7430555555555556,0.0,72,36
future_any_drop_within_8cycles,echem_degraded_state_axis,9_c2_x10_010723,0.7430555555555556,0.7636363636363637,0.02058080808080809,63,30
future_any_drop_within_8cycles,echem_degraded_state_axis,11_c2_x10_050723,0.7430555555555556,0.7651515151515151,0.022095959595959558,69,36
future_any_drop_within_8cycles,echem_degraded_state_axis,5_c2_x10_260623,0.7430555555555556,0.7666666666666666,0.023611111111111027,66,36
future_any_drop_within_8cycles,echem_degraded_state_axis,18_c2_xN_HighHighCOV_170723,0.7430555555555556,0.7727272727272727,0.029671717171717127,69,36
future_any_drop_within_8cycles,front_contraction_axis,17_c2_x10_HighHighCOV_150723,0.7847222222222222,0.6,-0.18472222222222223,42,12
future_any_drop_within_8cycles,front_contraction_axis,16_c2_x10_HighHighCOV_130723,0.7847222222222222,0.7407407407407408,-0.0439814814814814,63,36
future_any_drop_within_8cycles,front_contraction_axis,11_c2_x10_050723,0.7847222222222222,0.765151515151515,-0.019570707070707183,69,36
future_any_drop_within_8cycles,front_contraction_axis,15_c2_x5_HighCOV_120723,0.7847222222222222,0.7727272727272726,-0.011994949494949614,69,36
future_any_drop_within_8cycles,front_contraction_axis,10_c2_x10_030723,0.7847222222222222,0.7847222222222222,0.0,72,36
future_any_drop_within_8cycles,front_contraction_axis,13_c2_x6_100723,0.7847222222222222,0.7847222222222222,0.0,72,36
future_any_drop_within_8cycles,front_contraction_axis,7_c2_x10_290623,0.7847222222222222,0.7847222222222222,0.0,72,36
future_any_drop_within_8cycles,front_contraction_axis,14_c2_x10_HighCOV_110723,0.7847222222222222,0.8030303030303031,0.018308080808080884,69,36
future_any_drop_within_8cycles,front_contraction_axis,18_c2_xN_HighHighCOV_170723,0.7847222222222222,0.8030303030303031,0.018308080808080884,69,36
