embedding_row_id,roi_id,cycleNo,source_stem,future_any_drop_within_8cycles,future_any_drop_within_16cycles,signed_optical_loss_axis,front_contraction_axis,rollout_difficulty_axis,echem_degraded_state_axis,combined_loss_mechanism_axis,signed_optical_loss_axis__raw,signed_optical_loss_axis__within_source_rank,signed_optical_loss_axis__within_source_centered_z,signed_optical_loss_axis__source_residual,signed_optical_loss_axis__source_mean_only,front_contraction_axis__raw,front_contraction_axis__within_source_rank,front_contraction_axis__within_source_centered_z,front_contraction_axis__source_residual,front_contraction_axis__source_mean_only,rollout_difficulty_axis__raw,rollout_difficulty_axis__within_source_rank,rollout_difficulty_axis__within_source_centered_z,rollout_difficulty_axis__source_residual,rollout_difficulty_axis__source_mean_only,echem_degraded_state_axis__raw,echem_degraded_state_axis__within_source_rank,echem_degraded_state_axis__within_source_centered_z,echem_degraded_state_axis__source_residual,echem_degraded_state_axis__source_mean_only,combined_loss_mechanism_axis__raw,combined_loss_mechanism_axis__within_source_rank,combined_loss_mechanism_axis__within_source_centered_z,combined_loss_mechanism_axis__source_residual,combined_loss_mechanism_axis__source_mean_only
selected_event_control::cycle88_rank4_obj8,cycle88_rank4_obj8,88.0,10_c2_x10_030723,,,0.0917307432888184,,,-0.3870435468498356,-0.1476564017805086,0.0917307432888184,0.7142857142857143,0.1644148429605138,-0.2431372547673889,0.01740230976111489,,,0.0,,,,,0.0,,,-0.3870435468498356,0.17857142857142858,-1.1408250468291867,-0.45150263679754665,-0.24518174414531552,-0.1476564017805086,0.5,-0.16656993017943744,-0.12826759110948333,-0.1138897171921003
selected_event_control::cycle90_rank6_obj3,cycle90_rank6_obj3,90.0,10_c2_x10_030723,,,-0.2061745707572163,,,-0.3132065098650228,-0.2596905403111196,-0.2061745707572163,0.35714285714285715,-0.4945531064679591,-0.5410425688134236,0.01740230976111489,,,0.0,,,,,0.0,,,-0.3132065098650228,0.4642857142857143,-0.5470419454584927,-0.37766559981273384,-0.24518174414531552,-0.2596905403111196,0.2857142857142857,-0.7192306032726905,-0.24030172964009436,-0.1138897171921003
selected_event_control::cycle90_rank3_obj4,cycle90_rank3_obj4,90.0,10_c2_x10_030723,,,0.2890585050147616,,,-0.3132065098650228,-0.0120740024251306,0.2890585050147616,0.9285714285714286,0.6009047757643355,-0.045809493041445715,0.01740230976111489,,,0.0,,,,,0.0,,,-0.3132065098650228,0.4642857142857143,-0.5470419454584927,-0.37766559981273384,-0.24518174414531552,-0.0120740024251306,0.9285714285714286,0.5022535290813136,0.007314808245894658,-0.1138897171921003
selected_event_control::cycle90_rank4_obj6,cycle90_rank4_obj6,90.0,10_c2_x10_030723,,,0.2491537493843335,,,-0.3132065098650228,-0.0320263802403446,0.2491537493843335,0.8571428571428571,0.5126352694803219,-0.08571424867187383,0.01740230976111489,,,0.0,,,,,0.0,,,-0.3132065098650228,0.4642857142857143,-0.5470419454584927,-0.37766559981273384,-0.24518174414531552,-0.0320263802403446,0.8571428571428571,0.40382911400756183,-0.012637569569319343,-0.1138897171921003
selected_event_control::cycle90_rank5_obj10,cycle90_rank5_obj10,90.0,10_c2_x10_030723,,,0.1968885584407047,,,-0.3132065098650228,-0.058158975712159,0.1968885584407047,0.7857142857142857,0.3970244224133624,-0.13797943961550263,0.01740230976111489,,,0.0,,,,,0.0,,,-0.3132065098650228,0.4642857142857143,-0.5470419454584927,-0.37766559981273384,-0.24518174414531552,-0.058158975712159,0.7142857142857143,0.2749178911200797,-0.038770165041133745,-0.1138897171921003
selected_event_control::cycle116_rank2_obj2,cycle116_rank2_obj2,116.0,13_c2_x6_100723,,,0.2501576426077381,,,-1.425606545549544,-0.5877244514709029,0.2501576426077381,0.2857142857142857,-0.5465263966690405,-0.5323212464350763,0.46501320074772196,,,0.0,,,,,0.0,,,-1.425606545549544,0.39285714285714285,-0.6324555320336759,-0.43268177633733007,-1.3025656033052404,-0.5877244514709029,0.2857142857142857,-0.9003734841633727,-0.2634491567132188,-0.4187762012787592
selected_event_control::cycle116_rank3_obj9,cycle116_rank3_obj9,116.0,13_c2_x6_100723,,,0.6569226280669741,,,-1.425606545549544,-0.3843419587412849,0.6569226280669741,0.7142857142857143,0.48815850382272014,-0.12555626097584027,0.46501320074772196,,,0.0,,,,,0.0,,,-1.425606545549544,0.39285714285714285,-0.6324555320336759,-0.43268177633733007,-1.3025656033052404,-0.3843419587412849,0.5714285714285714,0.1835099143834403,-0.06006666398360075,-0.4187762012787592
selected_event_control::cycle116_rank1_obj6,cycle116_rank1_obj6,116.0,13_c2_x6_100723,,,0.5541490593206801,,,-1.425606545549544,-0.4357287431144319,0.5541490593206801,0.6428571428571429,0.22673418375400328,-0.22832982972213423,0.46501320074772196,,,0.0,,,,,0.0,,,-1.425606545549544,0.39285714285714285,-0.6324555320336759,-0.43268177633733007,-1.3025656033052404,-0.4357287431144319,0.5,-0.09034493781764974,-0.11145344835674773,-0.4187762012787592
selected_event_control::cycle116_rank5_obj43,cycle116_rank5_obj43,116.0,13_c2_x6_100723,,,0.5126129772022148,,,-1.425606545549544,-0.4564967841736645,0.5126129772022148,0.5714285714285714,0.12107917771890574,-0.2698659118405996,0.46501320074772196,,,0.0,,,,,0.0,,,-1.425606545549544,0.39285714285714285,-0.6324555320336759,-0.43268177633733007,-1.3025656033052404,-0.4564967841736645,0.42857142857142855,-0.20102376086839474,-0.13222148941598036,-0.4187762012787592
selected_event_control::cycle116_rank7_obj37,cycle116_rank7_obj37,116.0,13_c2_x6_100723,,,0.801483252237583,,,-1.425606545549544,-0.3120616466559804,0.801483252237583,0.8571428571428571,0.8558762287545356,0.019004363194768614,0.46501320074772196,,,0.0,,,,,0.0,,,-1.425606545549544,0.39285714285714285,-0.6324555320336759,-0.43268177633733007,-1.3025656033052404,-0.3120616466559804,0.7142857142857143,0.5687123438530993,0.01221364810170375,-0.4187762012787592
