feature,target,n,spearman_rho,spearman_p
q55_avrami_logk,echem_regime_pc1,128,-0.08690825052458119,0.3293339947964521
q55_avrami_r2,visual_sanity_score,24,0.2078260869565217,0.3298186178055175
q55_avrami_n,echem_regime_pc1,128,-0.08506547055165119,0.33973106637277345
q55_avrami_logk,visual_review_score,24,0.2026086956521739,0.34237332678092086
masked_minus_bg_slope_r2,cycles_to_next_event,128,0.08456714547724004,0.3425779778068626
q75_logistic_k,capacity_fraction_of_first,121,-0.08608109525834738,0.3478296649139055
q75_phase_fraction_delta,shape_V_mean,122,-0.08570083069226277,0.3479463899687423
q55_phase_fraction_slope,visual_review_score,24,0.19999999999999998,0.3487557327235454
q75_logistic_amp,capacity_fraction_of_first,121,-0.08519697886206105,0.3528218803819449
q65_logistic_r2,visual_sanity_score,22,-0.2049689440993789,0.36017087023769606
q55_phase_fraction_delta,capacity_fraction_of_first,122,-0.08329436454264823,0.3616994861001081
q65_phase_fraction_last,capacity_fraction_of_first,122,-0.08317661562507214,0.36238094948590577
q55_phase_fraction_delta,cycles_to_next_event,128,-0.08012702665112781,0.3686059788121421
q55_time_of_max_abs_rate_frac,echem_regime_pc1,128,-0.07959213644330958,0.37182152385055545
q75_phase_fraction_last,capacity_fraction_of_first,122,-0.08104878891289242,0.3748321016131248
q55_logistic_r2,visual_sanity_score,22,-0.1925465838509317,0.39062682819034467
q75_logistic_r2,cycles_to_next_event,127,0.07664586148030382,0.3917348050052507
masked_minus_bg_delta,cycles_to_next_event,128,0.07595573493169182,0.39413473420586687
masked_mean_total_variation,visual_sanity_score,24,-0.18173913043478263,0.39537084197672373
q75_logistic_t0,visual_review_score,24,-0.18173913043478263,0.39537084197672373
masked_minus_bg_slope,visual_sanity_score,24,-0.1782608695652174,0.4046292620718748
q55_phase_fraction_last,visual_review_score,24,-0.17612524878195512,0.4103730415138841
q65_phase_fraction_first,visual_review_score,24,-0.1729096700667139,0.41910575259892396
q55_phase_fraction_last,capacity_fraction_of_first,122,-0.07272510940469751,0.42599679474529645
masked_minus_bg_slope_r2,visual_sanity_score,24,-0.1695652173913043,0.42829525040358907
q75_avrami_logk,echem_regime_pc1,128,-0.07025455573816401,0.4306869314349962
q75_logistic_k,shape_V_mean,121,-0.07222655096405176,0.43112137694916497
q65_logistic_k,echem_regime_pc1,124,0.06913330815769131,0.44549159059945215
q55_logistic_r2,shape_V_mean,119,0.0705601656125515,0.4457335936295756
q55_logistic_amp,cycles_to_next_event,124,-0.06722512050847265,0.4581809164498585
q55_phase_fraction_first,visual_sanity_score,24,-0.15484994940307809,0.46999621200146174
q65_logistic_r2,visual_review_score,22,-0.1609260304912479,0.4743408871688149
q55_avrami_r2,capacity_fraction_of_first,122,-0.06478722927384456,0.4783387936592552
q65_phase_fraction_first,visual_sanity_score,24,-0.15156817426502883,0.479571833491148
q75_logistic_k,echem_regime_pc1,127,-0.06318836275915014,0.4803363780249174
q75_time_of_max_abs_rate_frac,echem_regime_pc1,128,0.06147326864112369,0.49062168610839446
masked_minus_bg_delta,visual_review_score,24,0.1408695652173913,0.5114622818846748
q55_phase_fraction_delta,echem_regime_pc1,128,0.05753267103451702,0.518890107427116
masked_minus_background_mean_slope_source_echem_context_residual,visual_review_score,24,0.13826086956521738,0.519391149459146
q55_avrami_n,shape_V_mean,122,0.058494896865285084,0.5221762875072126
phase_fraction_slope_per_norm_time_source_echem_context_residual,cycles_to_next_event,128,-0.056910938755110115,0.5234248882045784
q75_time_of_max_abs_rate_frac,visual_review_score,24,-0.13385708870072419,0.5329084088580907
q55_logistic_r2,echem_regime_pc1,124,0.055948810361491984,0.5371070718179077
q75_phase_fraction_first,echem_regime_pc1,128,0.054715064897390364,0.5396003115813313
q65_logistic_amp,echem_regime_pc1,124,-0.05551122950044169,0.5403003101269647
q65_logistic_amp,capacity_fraction_of_first,119,-0.054866182300935804,0.5534164148410328
q75_phase_fraction_last,visual_review_score,24,0.12573420123583479,0.5582668796167796
q55_logistic_amp,shape_V_mean,119,0.05317108898132489,0.5657565431567406
q75_phase_fraction_last,cycles_to_next_event,128,0.0511581528620043,0.5663154301969258
q65_phase_fraction_slope_r2,visual_sanity_score,24,-0.12,0.5764898720889464
q75_logistic_t0,visual_sanity_score,24,-0.11826086956521738,0.5820677933682573
q75_phase_fraction_delta,echem_regime_pc1,128,0.048221730848867835,0.5888320401866664
masked_mean_delta,visual_review_score,24,0.11478260869565216,0.5932933336915411
q55_phase_fraction_slope_r2,visual_sanity_score,24,-0.11478260869565216,0.5932933336915411
q55_logistic_t0,echem_regime_pc1,124,0.04667324501117252,0.6067289612941278
q75_avrami_n,visual_sanity_score,24,0.10695652173913042,0.6188809974331806
q65_phase_fraction_last,visual_review_score,24,0.10393564063922782,0.6288761579051161
q65_avrami_logk,cycles_to_next_event,128,-0.04123507764225586,0.6439796240338871
q55_avrami_logk,capacity_fraction_of_first,122,0.041680092613840425,0.6485118445552012
q65_phase_fraction_first,shape_V_mean,122,0.0408136287888923,0.6553469434125889
q55_phase_fraction_slope_r2,echem_regime_pc1,128,0.03903030874342445,0.6618122238230548
q65_avrami_r2,visual_sanity_score,24,0.09304347826086956,0.6654325452454302
q55_phase_fraction_first,shape_V_mean,122,-0.03916830977873862,0.6684044310679795
q75_phase_fraction_first,visual_review_score,24,-0.09102801270514663,0.6722818755998966
phase_fraction_slope_r2_source_echem_context_residual,cycles_to_next_event,128,0.03764842228529433,0.6730874244229772
q65_phase_fraction_slope_r2,echem_regime_pc1,128,-0.036992949518694376,0.678461299418554
q75_avrami_logk,visual_review_score,24,0.08869565217391304,0.6802397967489956
q75_logistic_amp,shape_V_mean,121,-0.037041428327169404,0.6866798799039894
q75_phase_fraction_first,shape_V_mean,122,-0.03617028096324363,0.6924514307158995
q55_logistic_amp,capacity_fraction_of_first,119,-0.036383967324505814,0.6944355048003926
q65_phase_fraction_slope_r2,visual_review_score,24,0.08347826086956521,0.6981606006787422
