physics_consistency_rank,roi_id,cohort_role,cycleNo,event_reference_cycle,physics_consistency_tier,claim_readiness,physics_consistency_score,physics_pillar_support_count,physics_pillar_strong_support_count,physics_pillar_contradiction_count,front_direction_score,optical_change_score,rollout_residual_score,kinetic_transition_score,precursor_context_score,echem_shape_context_score,mode_taxonomy_score,mode_label,manual_qc_status,manual_qc_decision,review_sources,auto_review_flags,precursor_review_tier,physics_consistency_reason,recommended_claim_language
28,cycle58_rank6_obj29,control,58.0,60.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.20178736110685425,2,0,2,0.7084638260638821,-1.1693885593978497,0.6005652177406577,0.1546982447052656,-0.5153116543513366,0.06186184457233925,0.14659955291906168,near_baseline_or_context_like,pending,,control_balanced_visual_qc;ranked_review_packet,diffusion_ci_crosses_zero,medium,discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
29,cycle86_rank5_obj8,event,86.0,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.2958360336584622,0,0,1,0.1386909786271328,0.2818794863481119,0.09029358534699222,0.4794180483146935,-0.009562955563253591,-0.00836266241849346,-0.593208716264419,near_baseline_or_context_like,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;diffusion_ci_crosses_zero,medium,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
30,cycle86_rank6_obj78,event,86.0,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.406615769211635,0,0,1,-0.0033746295365627123,0.31972886086780145,-0.08376773161392753,0.1666560251286378,-0.04898911525221248,-0.00836266241849346,-0.7382011316566883,near_baseline_or_context_like,pending,,control_balanced_visual_qc,fragmented_q70_mask;diffusion_ci_crosses_zero,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
31,cycle60_rank1_obj1,event,60.0,60.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.5258343838190875,1,0,2,0.029318615801538894,0.359689306341091,0.7599886378721735,-0.5390263354564815,-0.3685860482288883,-0.9731946398746771,0.2009697768116306,optical_brightening_decorrelating_rollout_hard_front_positive,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;already_in_primary_qc,medium,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
32,cycle116_rank3_obj9,event,116.0,116.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.5397926604327209,0,0,1,-0.14589695760483598,0.061469442544488176,-0.02207172583140933,-0.17221737656807493,,-0.2534922765311201,-0.6065470686053732,near_baseline_or_context_like,,,,,,discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
33,cycle86_rank2_obj6,event,86.0,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.553710077284754,0,0,1,0.033705950244641056,-0.1877632797443432,-0.4096579912029954,0.10770497479164173,-0.10013123268809997,-0.00836266241849346,-0.8614662999756287,near_baseline_or_context_like,pending,,control_balanced_visual_qc,fragmented_q70_mask,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
34,cycle88_rank3_obj6,control,88.0,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.5738293842480257,0,0,1,-0.3044366173430892,-0.2790707245634159,0.009753682498642696,-0.03931111547815241,-0.2446655656398467,-0.17452495078777117,-0.5345503984225474,front_negative_high_apparent_front_proxy,pending,,primary_visual_qc;control_balanced_visual_qc,fragmented_q70_mask;already_in_primary_qc,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
35,cycle116_rank1_obj6,event,116.0,116.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.7252273802375817,0,0,1,-0.07290458466774619,-0.07299438680308841,0.17831734374821265,-0.44718462753846905,-1.587914379876674,-0.2534922765311201,-0.37041874999418667,near_baseline_or_context_like,pending,,primary_visual_qc,fragmented_q70_mask;diffusion_ci_crosses_zero,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
36,cycle90_rank6_obj3,control,90.0,86.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-1.0210959205557102,0,0,2,-0.5872754869319021,-0.4278738715600622,0.18514768349109628,-0.19596415336047096,-0.2629200212060549,-0.1714972398295689,-0.7872883544930088,near_baseline_or_context_like,pending,,control_balanced_visual_qc,fragmented_q70_mask,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
37,cycle62_rank1_obj4,control,62.0,60.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-1.0761256789220264,0,0,2,-0.03486578143480763,-1.3115473695088171,-0.24717889430434078,-0.03380437863376765,-0.5294718224805935,-0.29749484378042046,-0.17851666231143767,near_baseline_or_context_like,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
38,cycle118_rank3_obj9,control,118.0,116.0,routine_or_low_consistency,manual_qc_required_no_physics_claim,-1.147485894751321,0,0,2,-0.21576271387592488,-0.15944044387115971,-0.14820552756851832,-0.307740961311723,,-1.221518125432538,-0.6322475964480618,near_baseline_or_context_like,,,,,,discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
39,cycle62_rank4_obj1,control,62.0,60.0,discordant_guardrail,manual_qc_required_no_physics_claim,-1.314881227920979,0,0,3,-0.7675300290647802,0.40415656073315587,0.012202861931258104,-0.17500947722429697,-0.52777086197181,-0.29749484378042046,-0.5027228060699604,optical_loss_rollout_hard,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;diffusion_ci_crosses_zero;active_control,medium,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
40,cycle88_rank2_obj4,control,88.0,86.0,discordant_guardrail,manual_qc_required_no_physics_claim,-1.3907325758004925,0,0,3,-1.0374611591772596,-0.6038054617204827,-0.6756891890734665,0.35605100218371577,-0.06876869635585997,-0.17452495078777117,-0.1809295756723238,front_negative_high_apparent_front_proxy,pending,,primary_visual_qc;control_balanced_visual_qc,fragmented_q70_mask;already_in_primary_qc,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
41,cycle90_rank4_obj6,control,90.0,86.0,discordant_guardrail,manual_qc_required_no_physics_claim,-1.492513583097668,0,0,3,-0.5129639160392364,-0.43337000039086143,-0.7235987975070215,-0.12868581859951417,,-0.1714972398295689,-0.6849657262198056,front_negative_high_apparent_front_proxy,,,,,,discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
42,cycle58_rank4_obj2,control,58.0,60.0,discordant_guardrail,manual_qc_required_no_physics_claim,-1.6575546036948254,1,0,4,0.5045296761654969,-1.7868549258325337,-0.9504565222444252,-0.23922603868881454,-0.5198546276634186,0.06186184457233925,-0.622881632172423,near_baseline_or_context_like,pending,,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;already_in_primary_qc,medium,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
43,cycle116_rank5_obj43,event,116.0,116.0,discordant_guardrail,manual_qc_required_no_physics_claim,-1.6578459622560946,0,0,3,-0.4239408024564676,0.06912096203925569,-0.6228656047019431,-0.4569730613298887,-1.6246659455104713,-0.2534922765311201,-0.9421050073020276,front_negative_high_apparent_front_proxy,pending,,primary_visual_qc,fragmented_q70_mask,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
44,cycle60_rank5_obj18,event,60.0,60.0,discordant_guardrail,manual_qc_required_no_physics_claim,-1.7044390714719269,0,0,3,-2.4447649313044333,0.3681688807609266,-0.30026565078937756,-0.48882214850408034,-0.12299446127775104,-0.9731946398746771,-0.6192005493140957,front_negative_high_apparent_front_proxy,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;threshold_sign_unstable,high,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
45,cycle118_rank1_obj7,control,118.0,116.0,discordant_guardrail,manual_qc_required_no_physics_claim,-1.7311551926548425,0,0,3,-0.09116602716350071,-0.16232134894040767,-0.27429541406289915,-0.488410793333948,-1.7954849222711087,-1.221518125432538,-0.7348897173794965,near_baseline_or_context_like,pending,,primary_visual_qc;control_balanced_visual_qc,fragmented_q70_mask;already_in_primary_qc,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
46,cycle58_rank1_obj1,control,58.0,60.0,discordant_guardrail,manual_qc_required_no_physics_claim,-1.8846910440568867,0,0,3,0.0511335868078495,-2.1210417518712608,-1.6749631162565126,-0.29626669448830534,,0.06186184457233925,-1.0288701331054309,near_baseline_or_context_like,,,,,,discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
47,cycle90_rank3_obj4,control,90.0,86.0,discordant_guardrail,manual_qc_required_no_physics_claim,-1.9880485009540898,0,0,4,-0.7180713339490753,-0.7963424910392106,-1.0597948735201703,-0.37016557940894723,-0.2561053655499704,-0.1714972398295689,-0.7443626233816859,front_negative_high_apparent_front_proxy,pending,,control_balanced_visual_qc,none,routine,discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
48,cycle116_rank2_obj2,event,116.0,116.0,discordant_guardrail,manual_qc_required_no_physics_claim,-2.1232123026696206,0,0,4,-0.34910588818396815,-0.4113877416782203,-1.077045272881798,-0.6202392672870245,-1.603891881030084,-0.2534922765311201,-0.7473237910951287,near_baseline_or_context_like,pending,,primary_visual_qc,none,routine,discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
49,cycle116_rank8_obj20,event,116.0,116.0,discordant_guardrail,manual_qc_required_no_physics_claim,-2.446858352185597,0,0,5,-0.8370612859357912,-0.003542399804550267,-0.7266965133684654,-0.5636985004373731,-1.614260593004336,-0.2534922765311201,-0.8792568962175439,front_negative_high_apparent_front_proxy,pending,,primary_visual_qc,fragmented_q70_mask,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
50,cycle62_rank2_obj2,control,62.0,60.0,discordant_guardrail,manual_qc_required_no_physics_claim,-2.5936484331366736,0,0,5,-2.185132863887426,-1.337030135894683,-0.7560496792750175,-0.5533167314278233,-0.27095300719198867,-0.29749484378042046,-0.5055617704993564,front_negative_high_apparent_front_proxy,pending,,control_balanced_visual_qc;ranked_review_packet,fragmented_q70_mask;threshold_sign_unstable,high,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
51,cycle118_rank4_obj1,control,118.0,116.0,discordant_guardrail,manual_qc_required_no_physics_claim,-2.599118160960915,0,0,5,-0.6343557047276759,-0.2400320288182193,-0.21962261648360232,-0.7640081645041709,-1.8085769746802431,-1.221518125432538,-1.055713512079956,near_baseline_or_context_like,pending,,control_balanced_visual_qc,fragmented_q70_mask;diffusion_ci_crosses_zero,routine,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
52,cycle118_rank2_obj2,control,118.0,116.0,discordant_guardrail,manual_qc_required_no_physics_claim,-3.0119373545286323,0,0,6,-0.568591959407532,-0.5785410737046869,-1.0178719153404676,-0.8420917680810988,,-1.221518125432538,-1.243009285205472,near_baseline_or_context_like,,,,,,discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode
