target,feature_family,method,comparison,delta_roc_auc,delta_average_precision,delta_spearman_rho,comparison_metric,base_metric
future_any_drop_within_8cycles,norm_heterogeneity,source_confound_filter_0.50,norm_heterogeneity_source_confound_filter_0.50_minus_same_raw,0.11651234567901236,0.040044732573261854,0.20182476948752825,0.33719135802469136,0.220679012345679
future_any_drop_within_8cycles,handcrafted_particle,source_mean_resid_4,handcrafted_particle_source_mean_resid_4_minus_same_raw,0.11496913580246904,0.06568526846694178,0.19915159373272656,0.7901234567901234,0.6751543209876544
future_any_drop_within_8cycles,particle_vs_context,source_mean_resid_4,particle_vs_context_source_mean_resid_4_minus_same_raw,0.09799382716049382,0.0412106542647549,0.16974666042990785,0.44367283950617287,0.34567901234567905
future_any_drop_within_8cycles,video_embedding,source_mean_resid_4,video_embedding_source_mean_resid_4_minus_same_raw,0.09722222222222232,0.02735542761915133,0.16841007255250698,0.6049382716049383,0.507716049382716
future_any_drop_within_8cycles,all_video,source_confound_filter_0.50,all_video_source_confound_filter_0.50_minus_same_raw,0.09104938271604957,0.06458490622143642,0.15771736953330018,0.8024691358024693,0.7114197530864197
future_any_drop_within_8cycles,handcrafted_particle,source_mean_resid_4,handcrafted_particle_source_mean_resid_4_minus_all_video_raw,0.07870370370370372,0.040976586669361215,0.13633196349488663,0.7901234567901234,0.7114197530864197
future_any_drop_within_8cycles,particle_intensity,raw,particle_intensity_raw_minus_all_video_raw,0.07407407407407418,0.012433827861012547,0.1283124362304815,0.7854938271604939,0.7114197530864197
future_any_drop_within_8cycles,particle_intensity,source_mean_resid_2,particle_intensity_source_mean_resid_2_minus_all_video_raw,0.05787037037037046,0.03316326521708424,0.10024409080506369,0.7692901234567902,0.7114197530864197
future_any_drop_within_8cycles,all_video,source_mean_resid_4,all_video_source_mean_resid_4_minus_same_raw,0.044753086419753174,0.019426894373808845,0.07752209688924927,0.7561728395061729,0.7114197530864197
future_any_drop_within_8cycles,handcrafted_particle,source_mean_resid_2,handcrafted_particle_source_mean_resid_2_minus_same_raw,0.043209876543209846,-0.03653952990717502,0.07484892113444763,0.7183641975308642,0.6751543209876544
future_any_drop_within_8cycles,particle_gradient,source_confound_filter_0.50,particle_gradient_source_confound_filter_0.50_minus_all_video_raw,0.013117283950617398,-0.011286161617384938,0.022721993915814476,0.7245370370370371,0.7114197530864197
future_any_drop_within_8cycles,handcrafted_particle,source_mean_resid_2,handcrafted_particle_source_mean_resid_2_minus_all_video_raw,0.006944444444444531,-0.061248211704755584,0.012029290896607703,0.7183641975308642,0.7114197530864197
future_any_drop_within_8cycles,particle_intensity,source_mean_resid_2,particle_intensity_source_mean_resid_2_minus_same_raw,-0.01620370370370372,0.02072943735607169,-0.028068345425417807,0.7692901234567902,0.7854938271604939
future_any_drop_within_8cycles,particle_gradient,source_mean_resid_2,particle_gradient_source_mean_resid_2_minus_all_video_raw,-0.023919753086419693,-0.01624663005116256,-0.04143422419942633,0.6875,0.7114197530864197
future_any_drop_within_8cycles,handcrafted_particle,source_confound_filter_0.50,handcrafted_particle_source_confound_filter_0.50_minus_same_raw,-0.026234567901234684,-0.05518351613700734,-0.04544398783162884,0.6489197530864197,0.6751543209876544
future_any_drop_within_8cycles,handcrafted_particle,raw,handcrafted_particle_raw_minus_all_video_raw,-0.036265432098765316,-0.024708681797580567,-0.06281963023783993,0.6751543209876544,0.7114197530864197
future_any_drop_within_8cycles,video_embedding,source_mean_resid_2,video_embedding_source_mean_resid_2_minus_same_raw,-0.04243827160493818,0.0017365756415145261,-0.07351233325704669,0.4652777777777778,0.507716049382716
future_any_drop_within_8cycles,handcrafted_particle,source_confound_filter_0.50,handcrafted_particle_source_confound_filter_0.50_minus_all_video_raw,-0.0625,-0.0798921979345879,-0.10826361806946877,0.6489197530864197,0.7114197530864197
future_any_drop_within_8cycles,particle_vs_context,source_mean_resid_2,particle_vs_context_source_mean_resid_2_minus_same_raw,-0.091820987654321,-0.0339874671084438,-0.159053957410701,0.25385802469135804,0.34567901234567905
future_any_drop_within_8cycles,video_embedding,source_mean_resid_4,video_embedding_source_mean_resid_4_minus_all_video_raw,-0.1064814814814814,-0.2126774577939483,-0.1844491270813171,0.6049382716049383,0.7114197530864197
future_any_drop_within_8cycles,video_embedding,source_confound_filter_0.50,video_embedding_source_confound_filter_0.50_minus_same_raw,-0.11033950617283944,-0.0860952249208023,-0.1911320664683214,0.39737654320987653,0.507716049382716
future_any_drop_within_8cycles,particle_vs_context,source_confound_filter_0.50,particle_vs_context_source_confound_filter_0.50_minus_same_raw,-0.13966049382716056,-0.045634872688036565,-0.24192240580955365,0.2060185185185185,0.34567901234567905
future_any_drop_within_8cycles,particle_intensity,source_mean_resid_4,particle_intensity_source_mean_resid_4_minus_all_video_raw,-0.14429012345679004,-0.21459391850768106,-0.24994193307395873,0.5671296296296297,0.7114197530864197
future_any_drop_within_8cycles,particle_intensity,source_confound_filter_0.50,particle_intensity_source_confound_filter_0.50_minus_all_video_raw,-0.1967592592592593,-0.2802082337775429,-0.34082990873721647,0.5146604938271604,0.7114197530864197
future_any_drop_within_8cycles,norm_heterogeneity,source_mean_resid_2,norm_heterogeneity_source_mean_resid_2_minus_all_video_raw,-0.19907407407407396,-0.2823521029336892,-0.344839672369419,0.5123456790123457,0.7114197530864197
future_any_drop_within_8cycles,video_embedding,raw,video_embedding_raw_minus_all_video_raw,-0.20370370370370372,-0.24003288541309964,-0.3528591996338241,0.507716049382716,0.7114197530864197
future_any_drop_within_8cycles,particle_gradient,source_mean_resid_4,particle_gradient_source_mean_resid_4_minus_all_video_raw,-0.20987654320987648,-0.18080524333358394,-0.3635519026530309,0.5015432098765432,0.7114197530864197
future_any_drop_within_8cycles,particle_intensity,source_mean_resid_4,particle_intensity_source_mean_resid_4_minus_same_raw,-0.21836419753086422,-0.2270277463686936,-0.37825436930444023,0.5671296296296297,0.7854938271604939
future_any_drop_within_8cycles,video_embedding,source_mean_resid_2,video_embedding_source_mean_resid_2_minus_all_video_raw,-0.2461419753086419,-0.2382963097715851,-0.42637153289087076,0.4652777777777778,0.7114197530864197
