feature_family,feature,source_eta2
all_video,particle_mean_diff_positive_fraction,0.28065863664872037
all_video,particle_gradient_diff_positive_fraction,0.26362043738992896
all_video,particle_std_last_minus_first,0.2601425250828799
all_video,particle_gradient_mean,0.25688976120803925
all_video,particle_std_slope,0.2504706970866339
all_video,video_embed_pc16,0.2195871171744012
all_video,particle_std_diff_positive_fraction,0.19009184138361196
all_video,video_embed_pc15,0.16027224877163734
all_video,particle_gradient_slope,0.14900088899567304
all_video,video_embed_pc08,0.13517452645911082
all_video,particle_mean_last_mean,0.1329329536312319
all_video,video_embed_pc04,0.13219945699546676
all_video,particle_vs_context_mean_first_mean,0.13090836449114815
all_video,particle_vs_context_mean_last_mean,0.12673537655365966
all_video,particle_std_first_mean,0.12437641047833742
all_video,particle_gradient_last_minus_first,0.12165747328379142
all_video,particle_std_last_mean,0.11915630178494943
all_video,video_embed_pc03,0.11477364508398731
all_video,video_embed_pc13,0.10853287400878261
all_video,particle_mean_first_mean,0.10380409122895073
all_video,particle_prior_area_fraction,0.10015503470483049
all_video,video_embed_pc05,0.09388584303555551
all_video,particle_vs_context_mean_mean,0.08619865157539401
all_video,particle_mean_mean,0.08541111288414818
all_video,video_embed_pc02,0.08390925608807064
all_video,particle_std_mean,0.07804667073513255
all_video,video_embed_pc06,0.0646629759091152
all_video,video_embed_pc11,0.05471633899845382
all_video,video_embed_pc07,0.047553044334011085
all_video,video_embed_pc10,0.043520332922258924
all_video,video_embed_pc01,0.03662772215578881
all_video,video_embed_pc14,0.02672911870901118
all_video,video_embed_pc09,0.015123956123367317
all_video,video_embed_pc12,0.012395467259566816
