feature_family,method,target,n_eval,n_sources,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,mean_features_after,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
particle_vs_context,source_mean_resid_2,future_any_drop_within_16cycles,72,9,24,57,0.6526315789473685,0.891741892203917,0.21474718168486745,0.07006395248643099,10.0,0.031936127744510975,0.49773333333333336,0.6351461988304093,500.0
particle_vs_context,source_mean_resid_4,future_any_drop_within_16cycles,72,9,24,57,0.7029239766081872,0.9028305966313144,0.2855067894430996,0.01505557742233053,10.0,0.00998003992015968,0.4948444444444444,0.6350877192982456,500.0
particle_vs_context,source_confound_filter_0.50,future_any_drop_within_16cycles,72,9,24,57,0.5485380116959064,0.8120957675998512,0.0682912493480613,0.5686811050543049,5.0,0.28542914171656686,0.49796257309941516,0.6316959064327484,500.0
particle_gradient,raw,future_any_drop_within_16cycles,72,9,24,57,0.14970760233918126,0.652087567344374,-0.4928488958974545,1.0923078092461597e-05,10.0,1.0,0.497646783625731,0.6374853801169589,500.0
particle_gradient,source_mean_resid_2,future_any_drop_within_16cycles,72,9,24,57,0.3309941520467836,0.7564163816178625,-0.2377851935131291,0.04429268556622683,10.0,0.9900199600798403,0.49744327485380113,0.6327485380116958,500.0
particle_gradient,source_mean_resid_4,future_any_drop_within_16cycles,72,9,24,57,0.3847953216374269,0.8049702281723337,-0.16208886893455512,0.17373080598715637,10.0,0.9181636726546906,0.4981216374269005,0.6270760233918127,500.0
particle_gradient,source_confound_filter_0.50,future_any_drop_within_16cycles,72,9,24,57,0.5567251461988304,0.816053227541511,0.07981025526219211,0.505139788040488,5.0,0.2774451097804391,0.5011812865497076,0.643391812865497,500.0
norm_heterogeneity,raw,future_any_drop_within_16cycles,72,9,24,57,0.3052631578947368,0.6737277946133844,-0.2739877835289688,0.019862618682533025,8.0,0.9880239520958084,0.49420818713450293,0.6292397660818713,500.0
norm_heterogeneity,source_mean_resid_2,future_any_drop_within_16cycles,72,9,24,57,0.6339181286549709,0.8428368247639774,0.1884180253097113,0.11295913695762003,8.0,0.05788423153692615,0.4979228070175438,0.6385964912280702,500.0
norm_heterogeneity,source_mean_resid_4,future_any_drop_within_16cycles,72,9,24,57,0.7380116959064327,0.9172624484590894,0.33487395764651745,0.004036634886720717,8.0,0.001996007984031936,0.506961403508772,0.6387134502923976,500.0
norm_heterogeneity,source_confound_filter_0.50,future_any_drop_within_16cycles,72,9,24,57,0.3064327485380117,0.7005511261651064,-0.2723422112555216,0.020646352198990532,4.0,0.9880239520958084,0.4957684210526315,0.6304093567251462,500.0
video_embedding,raw,future_any_drop_within_16cycles,72,9,24,57,0.4619883040935673,0.7528314178416632,-0.053481098887035956,0.6554675752048152,16.0,0.6786427145708582,0.505012865497076,0.6350877192982456,500.0
video_embedding,source_mean_resid_2,future_any_drop_within_16cycles,72,9,24,57,0.4444444444444445,0.7574268263796378,-0.07816468298874485,0.5139876643389225,16.0,0.7405189620758483,0.5002760233918129,0.6305847953216372,500.0
video_embedding,source_mean_resid_4,future_any_drop_within_16cycles,72,9,24,57,0.4514619883040935,0.7666893360021496,-0.0682912493480613,0.5686811050543049,16.0,0.6946107784431138,0.4944631578947368,0.6258479532163742,500.0
video_embedding,source_confound_filter_0.50,future_any_drop_within_16cycles,72,9,24,57,0.3672514619883041,0.7248818689959904,-0.18677245303626402,0.11619694253130375,8.0,0.9301397205588823,0.5012046783625731,0.6435087719298244,500.0
handcrafted_particle,raw,future_any_drop_within_16cycles,72,9,24,57,0.36374269005847953,0.7318860383739054,-0.19170916985660585,0.10669267423357845,48.0,0.9600798403193613,0.5044865497076023,0.6468421052631578,500.0
handcrafted_particle,source_mean_resid_2,future_any_drop_within_16cycles,72,9,24,57,0.45146198830409356,0.7852983346841327,-0.0682912493480613,0.5686811050543049,48.0,0.7085828343313373,0.5055953216374269,0.6563157894736841,500.0
handcrafted_particle,source_mean_resid_4,future_any_drop_within_16cycles,72,9,24,57,0.5461988304093567,0.8272077767409987,0.06500010480116677,0.5874978329019918,48.0,0.2894211576846307,0.5016023391812865,0.6502923976608187,500.0
handcrafted_particle,source_confound_filter_0.50,future_any_drop_within_16cycles,72,9,24,57,0.4596491228070176,0.7982131109673962,-0.056772243433930475,0.6357282243437138,24.0,0.7025948103792415,0.5068070175438596,0.6435087719298244,500.0
all_video,raw,future_any_drop_within_16cycles,72,9,24,57,0.4888888888888889,0.8145320827935935,-0.015632936597748972,0.8963004167927221,64.0,0.5728542914171657,0.5039415204678362,0.6538596491228068,500.0
all_video,source_mean_resid_2,future_any_drop_within_16cycles,72,9,24,57,0.7286549707602339,0.9213973959433809,0.32170937945893935,0.0058568852924379775,64.0,0.005988023952095809,0.5063087719298246,0.6409941520467836,500.0
all_video,source_mean_resid_4,future_any_drop_within_16cycles,72,9,24,57,0.5789473684210527,0.8495530698697502,0.11107612845769006,0.35294322185468224,64.0,0.18163672654690619,0.49665730994152046,0.637485380116959,500.0
all_video,source_confound_filter_0.50,future_any_drop_within_16cycles,72,9,24,57,0.7695906432748537,0.9186761028760683,0.3793044090295935,0.0010166032877115525,32.0,0.001996007984031936,0.5033333333333334,0.6294152046783623,500.0
