task,feature_set,target,n_eval,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,r2,mae,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
regression,echem_regime,cross_modal_consensus_score,172,34,,,,0.7172217381139616,1.8248418917787994e-28,-4.357761025317632,0.1339989526670181,,,,
regression,residual_dictionary,cross_modal_consensus_score,172,34,,,,-0.19915741138948662,0.008814388063948323,-0.9469015198273585,0.13825653517863082,,,,
regression,handcrafted_scalar,cross_modal_consensus_score,172,34,,,,0.5680645412288833,4.3961022288643694e-16,-0.16756385386376405,0.10750200650996847,,,,
regression,pca_video,cross_modal_consensus_score,172,34,,,,-0.31541231564247424,2.5031181459644282e-05,-3.035503675518229,0.1509743821049181,,,,
regression,residual_dictionary_plus_echem,cross_modal_consensus_score,172,34,,,,0.6647741483111196,2.6863352250177177e-23,-0.29066230449124175,0.09110427014613554,,,,
regression,residual_dictionary_plus_handcrafted,cross_modal_consensus_score,172,34,,,,0.4877674504317867,1.1489660133669832e-11,-0.3702337542613292,0.11790398192677531,,,,
regression,residual_dictionary_handcrafted_echem,cross_modal_consensus_score,172,34,,,,0.6786694317599072,1.4604064744107766e-24,-6.328690229194227,0.13206949205892107,,,,
regression,pca_video_plus_echem,cross_modal_consensus_score,172,34,,,,0.6948562098127663,3.9874598042684975e-26,-2.228154907139346,0.11716368542246954,,,,
regression,handcrafted_plus_echem,cross_modal_consensus_score,172,34,,,,0.678099508024703,1.6508606989831662e-24,-4.238585536941366,0.1205647877266672,,,,
regression,acquisition_context,particle_norm_cv,172,34,,,,-0.21877115285193674,0.003936007663499309,-0.19606761136210737,0.027848436108603877,,,,
regression,echem_regime,particle_norm_cv,172,34,,,,0.6587721597604492,9.010720583337812e-23,-137.58886948156353,0.08954876255306897,,,,
regression,residual_dictionary,particle_norm_cv,172,34,,,,-0.0841922354240745,0.2721738371576712,-0.5140047920729738,0.030355726464020415,,,,
regression,handcrafted_scalar,particle_norm_cv,172,34,,,,0.9801309591253361,2.2840675295289043e-121,0.9630220575611477,0.0037949645918152223,,,,
regression,pca_video,particle_norm_cv,172,34,,,,-0.43922033130330357,1.6655664651814186e-09,-2.8584087449709394,0.03625472694817808,,,,
regression,residual_dictionary_plus_echem,particle_norm_cv,172,34,,,,0.6973294192309607,2.2521653904782548e-26,-70.93299863072211,0.06826983886532598,,,,
regression,residual_dictionary_plus_handcrafted,particle_norm_cv,172,34,,,,0.9782783759492212,4.128339456480001e-118,0.9614555924981621,0.00374168292354155,,,,
regression,residual_dictionary_handcrafted_echem,particle_norm_cv,172,34,,,,0.891905866301704,1.7569174475574832e-60,-2.6939826319113402,0.016422822309590246,,,,
regression,pca_video_plus_echem,particle_norm_cv,172,34,,,,0.626435862430128,3.9043998756713475e-20,-113.7715942160717,0.08356946702559828,,,,
regression,handcrafted_plus_echem,particle_norm_cv,172,34,,,,0.8955283629209106,1.1358336346496216e-61,-2.1471931599500507,0.014809870326703847,,,,
regression,acquisition_context,state_step_norm,172,34,,,,-0.3270437414535901,1.1928612140244086e-05,-0.1328533900412867,5.710168100368651,,,,
regression,echem_regime,state_step_norm,172,34,,,,0.39781891517242524,6.51615194852462e-08,-4.932237607009856,7.539251045682002,,,,
regression,residual_dictionary,state_step_norm,172,34,,,,-0.41474381358218826,1.5449369772839177e-08,-2.1759393117070482,8.969617326090027,,,,
regression,handcrafted_scalar,state_step_norm,172,34,,,,0.31534741623184603,2.5132768629157242e-05,0.12025995516395904,5.2873779060920585,,,,
regression,pca_video,state_step_norm,172,34,,,,-0.27750161992131567,0.0002282426794148853,-1.2751412032719118,7.098093849231846,,,,
regression,residual_dictionary_plus_echem,state_step_norm,172,34,,,,0.3184021132660362,2.074937884891401e-05,-4.108070239862473,7.467259725546918,,,,
regression,residual_dictionary_plus_handcrafted,state_step_norm,172,34,,,,0.14446136810129986,0.05866335225328329,-0.3584000772918998,6.519273025720839,,,,
regression,residual_dictionary_handcrafted_echem,state_step_norm,172,34,,,,0.24779292834964273,0.0010478933084369345,0.16954328566401533,4.751829760157665,,,,
regression,pca_video_plus_echem,state_step_norm,172,34,,,,0.33107731153428316,9.158878574092748e-06,-6.037801948404816,8.473226849500149,,,,
regression,handcrafted_plus_echem,state_step_norm,172,34,,,,0.27546785854732136,0.0002547837487092638,0.1081427318338718,5.028313402696111,,,,
