method,x,target,n,spearman_rho,p_value,abs_rho
persistence,weighted_center_distance_to_transition_frac,future_any_drop_within_16cycles,48,-0.17017582341421034,0.24752050995647581,0.17017582341421034
velocity,near_minus_far_particle_mse_median,future_any_drop_within_8cycles,48,-0.16471888747597188,0.26323104990237217,0.16471888747597188
low_rank_dmd,near_minus_far_particle_mse_median,future_any_drop_within_16cycles,48,0.14586499149789459,0.3225420498789901,0.14586499149789459
velocity,near_transition_residual_fraction,future_any_drop_within_16cycles,48,-0.13891903952180434,0.3463637612385973,0.13891903952180434
velocity,weighted_center_distance_to_transition_frac,future_any_drop_within_16cycles,48,-0.11460820760548858,0.43795003277865024,0.11460820760548858
low_rank_dmd,near_minus_far_particle_mse_median,any_abrupt_drop,48,-0.11298653657320643,0.444502178786736,0.11298653657320643
persistence,near_transition_residual_fraction,future_any_drop_within_8cycles,48,-0.10676224188257434,0.47014622812719914,0.10676224188257434
velocity,near_transition_residual_fraction,future_any_drop_within_8cycles,48,-0.1037118921145008,0.48299613306030226,0.1037118921145008
persistence,peak_distance_to_transition_frac,any_abrupt_drop,48,-0.1009137053563198,0.4949439757118739,0.1009137053563198
low_rank_dmd,residual_peak_particle_mse,future_any_drop_within_16cycles,48,0.06598654377285705,0.6558836262543073,0.06598654377285705
velocity,peak_distance_to_transition_frac,any_abrupt_drop,48,-0.040364386013971625,0.7853205512231649,0.040364386013971625
velocity,near_transition_residual_fraction,any_abrupt_drop,48,-0.028246634143301606,0.8488563787165918,0.028246634143301606
velocity,weighted_center_distance_to_transition_frac,future_any_drop_within_8cycles,48,0.027453147912661978,0.853054783329866,0.027453147912661978
low_rank_dmd,residual_peak_particle_mse,any_abrupt_drop,48,0.012105700347129258,0.934914801025994,0.012105700347129258
velocity,peak_distance_to_transition_frac,future_any_drop_within_8cycles,48,0.006102521555244721,0.96716404926653,0.006102521555244721
persistence,weighted_center_distance_to_transition_frac,future_any_drop_within_8cycles,48,-0.006100699536147106,0.9671738476870738,0.006100699536147106
persistence,near_transition_residual_fraction,any_abrupt_drop,48,0.0,1.0,0.0
