roi_id,cycleNo,source_stem,local_cycle_index,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,object_x_full_approx,object_y_full_approx,x_bin,y_bin,xy_region,transferred_masked_residual_signature,validation_score_recon,radius2_slope_median_px2_per_s,diffusion_proxy_median_um2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,phase_slope_positive_fraction,threshold_robust_phase_score,threshold_robust_diffusion_score,persistence_particle_mse_fraction_of_full_mean,velocity_particle_mse_fraction_of_full_mean,mask_instability_score,node_index
cycle76_rank8_obj3,76.0,9_c2_x10_010723,1,0,1,0,576.0,184.22857142857143,low,mid,low_mid,0.2739127589669339,25.981851806001654,0.000504202261325,1.1616820100929252e-06,0.0003678175346755,0.0015208279534082,1.0,0.7916666666666667,0.7986111111111112,0.9284328959738262,0.8898933077343856,0.9641052684070622,15
cycle149_rank20_obj3,149.0,17_c2_x10_HighHighCOV_150723,3,1,1,0,847.1746031746031,84.19047619047619,mid,low,mid_low,0.5580241541936951,24.526324661175103,-0.001482098159438,-3.414754159345294e-06,-0.0016606333395983,-0.0010676911564844,1.0,0.7916666666666666,1.0763888888888888,1.163022553250634,1.1120155173600224,2.2967409572921964,16
cycle108_rank21_obj3,108.0,12_c2_x10_070723,3,1,1,0,839.0,97.76923076923076,low,low,low_low,0.3455880466883458,24.6156452256459,-0.0010483445835766,-2.4153859205605697e-06,-0.0008297122803012,-0.0004256483347982,1.0,0.7638888888888888,1.0347222222222223,1.3536814088096163,1.3085906589608245,2.301100299932066,17
cycle152_rank15_obj2,152.0,17_c2_x10_HighHighCOV_150723,6,1,1,0,1198.936170212766,1104.6808510638298,mid,high,mid_high,1.1876601241161993,24.14244513883759,0.0050829743412172,1.1711172882164502e-05,0.0050876361616602,0.0078842138461675,1.0,0.7638888888888888,0.6875000000000001,1.7097487058740553,1.60797223464682,1.494019227387301,18
cycle158_rank12_obj1,158.0,18_c2_xN_HighHighCOV_170723,2,0,0,0,1196.3478260869565,1048.8260869565215,mid,high,mid_high,0.1268052199398837,24.06814112304627,-1.261057282994533e-05,-2.9054759800194044e-08,0.0003821488036096,0.0008287264102853,1.0,0.7638888888888888,-0.0833333333333333,2.07552163420161,1.3686106114276049,0.1662275044067205,19
cycle147_rank3_obj2,147.0,17_c2_x10_HighHighCOV_150723,1,0,1,0,1202.1509433962265,1102.4150943396226,mid,high,mid_high,0.6943342227566772,23.407189597254643,-0.0030985626073469,-7.139088247327485e-06,-0.0032331533727941,-0.0025504775689938,1.0,0.75,0.9930555555555556,1.31222285523313,1.2208501562968292,0.3053508066294099,20
cycle148_rank18_obj3,148.0,17_c2_x10_HighHighCOV_150723,2,1,1,0,1201.1089108910892,1100.990099009901,mid,high,mid_high,0.7480825471472065,23.585572593335268,-0.001907088840306,-4.3939326880650246e-06,-0.0017295031664333,-0.0003965756279552,1.0,0.75,0.9375,1.4774642048137248,1.3985321603151737,0.4497928584232515,21
cycle110_rank24_obj3,110.0,12_c2_x10_070723,5,1,1,0,1199.9344262295083,1126.295081967213,mid,high,mid_high,0.1861489207307045,24.508921888371106,-0.0006672000604322,-1.5372289392358196e-06,-0.0011252613052939,-0.000663480963628,1.0,0.75,0.3194444444444445,1.2958736693199535,1.0904543068955703,0.1581514923105906,22
cycle104_rank6_obj1,104.0,11_c2_x10_050723,9,0,1,0,1343.0384615384614,203.2692307692308,high,mid,high_mid,0.3719069574735253,25.17135094255524,-0.0008926168145609,-2.0565891407483154e-06,-0.0007504249566373,-0.0003191430682518,0.0,0.7361111111111112,1.0763888888888888,0.9903473063619408,0.8506305736502302,2.0996648654376195,23
cycle146_rank1_obj1,146.0,17_c2_x10_HighHighCOV_150723,0,0,1,0,1202.8387096774193,1101.247311827957,high,high,high_high,3.21719464829548,23.663902942445056,-0.0025193224589635,-5.804518945452093e-06,-0.0025699409652525,-0.002103034116054,1.0,0.7361111111111112,0.7986111111111112,1.2075225266846523,1.0881842096153636,1.101851053559365,24
cycle44_rank4_obj3,44.0,5_c2_x10_260623,9,0,1,0,1178.0,578.0,mid,mid,mid_mid,0.6286054582853854,26.52636345001568,0.00047589033866,1.0964513402728377e-06,0.0004433237756732,0.001033986934036,1.0,0.7361111111111112,0.2361111111111111,0.7954762936273038,0.7801536947396102,0.6125568211986886,25
cycle110_rank24_obj2,110.0,12_c2_x10_070723,5,1,1,0,1346.9830508474577,203.66101694915253,high,mid,high_mid,0.1861489207307045,24.24315454606201,6.806651549368948e-05,1.5682525169746057e-07,0.0001082285605483,0.0005779837452496,1.0,0.7222222222222222,-0.2152777777777777,1.4726915272426582,1.2268791999886908,1.137421863647814,26
cycle143_rank10_obj3,143.0,16_c2_x10_HighHighCOV_130723,7,0,1,0,1349.1666666666667,184.0208333333333,high,mid,high_mid,0.2351301084038065,24.550014363282017,-0.0007617531006464,-1.755079143889532e-06,-0.0007928063354548,0.0003144237997502,0.0,0.7083333333333334,0.8125,1.118399313556434,0.9739704184245566,2.0690850569863093,27
cycle148_rank18_obj2,148.0,17_c2_x10_HighHighCOV_150723,2,1,1,0,825.6,397.3176470588235,low,mid,low_mid,0.7480825471472065,23.85521823534402,-0.0002289045195621,-5.273960130712847e-07,-0.0002799766026621,0.0009214716860056,1.0,0.7083333333333334,-0.7638888888888888,1.823915162038476,1.7665818848747854,0.293766075266743,28
cycle139_rank11_obj1,139.0,16_c2_x10_HighHighCOV_130723,3,0,0,0,844.1379310344828,79.3103448275862,low,low,low_low,0.2177667218010263,25.11639127342968,0.0013956179061917,3.215503655865696e-06,0.0012399802522975,0.0024238085581692,0.0,0.6805555555555556,0.9791666666666669,1.4112427906400529,1.3826401346923425,1.9387785555231545,29
