edge_type,src_roi_id,dst_roi_id,source_stem,src_cycleNo,dst_cycleNo,cycle_lag,spatial_rank,distance_px,distance_um_96nm,src_future8,dst_future8,same_future8,src_radius2_slope_median_px2_per_s,dst_radius2_slope_median_px2_per_s,abs_delta_radius2_slope_median_px2_per_s,src_diffusion_proxy_median_um2_per_s,dst_diffusion_proxy_median_um2_per_s,abs_delta_diffusion_proxy_median_um2_per_s,src_q70_radius2_slope_bootstrap_p50_px2_per_s,dst_q70_radius2_slope_bootstrap_p50_px2_per_s,abs_delta_q70_radius2_slope_bootstrap_p50_px2_per_s,src_q70_radius2_slope_bootstrap_p95_px2_per_s,dst_q70_radius2_slope_bootstrap_p95_px2_per_s,abs_delta_q70_radius2_slope_bootstrap_p95_px2_per_s,src_phase_slope_positive_fraction,dst_phase_slope_positive_fraction,abs_delta_phase_slope_positive_fraction,src_threshold_robust_phase_score,dst_threshold_robust_phase_score,abs_delta_threshold_robust_phase_score,src_threshold_robust_diffusion_score,dst_threshold_robust_diffusion_score,abs_delta_threshold_robust_diffusion_score,src_persistence_particle_mse_fraction_of_full_mean,dst_persistence_particle_mse_fraction_of_full_mean,abs_delta_persistence_particle_mse_fraction_of_full_mean,src_velocity_particle_mse_fraction_of_full_mean,dst_velocity_particle_mse_fraction_of_full_mean,abs_delta_velocity_particle_mse_fraction_of_full_mean,src_mask_instability_score,dst_mask_instability_score,abs_delta_mask_instability_score
next_observed_cycle_spatial_knn,cycle150_rank13_obj2,cycle151_rank14_obj2,17_c2_x10_HighHighCOV_150723,150.0,151.0,1.0,3,803.587808758098,77.14442964077742,1,1,1,0.0007317504868457,0.0042699960166277,0.003538245529782,1.685953121692708e-06,9.838070822310428e-06,8.152117700617721e-06,0.0006720700934092,0.0041028700114584,0.0034307999180492,0.0017428272518736,0.0070774542369489,0.0053346269850753,1.0,1.0,0.0,1.0,1.2916666666666663,0.2916666666666663,0.8402777777777779,0.6875,0.1527777777777779,1.5793839369871592,1.8348492774237868,0.2554653404366276,1.4788672162514565,1.7492969560184195,0.27042973976696305,0.5748033877889499,2.140486797928024,1.5656834101390742
previous_observed_cycle_spatial_knn,cycle150_rank13_obj2,cycle149_rank20_obj1,17_c2_x10_HighHighCOV_150723,150.0,149.0,1.0,1,0.16747684878279465,0.016077777483148287,1,1,1,0.0007317504868457,0.0007853276345363,5.357714769059995e-05,1.685953121692708e-06,1.809394869971684e-06,1.23441748278976e-07,0.0006720700934092,0.0003773558608171,0.00029471423259209994,0.0017428272518736,0.0014973885505387,0.00024543870133490004,1.0,1.0,0.0,1.0,0.9444444444444444,0.05555555555555558,0.8402777777777779,0.0069444444444444,0.8333333333333335,1.5793839369871592,1.5804751652539413,0.001091228266782096,1.4788672162514565,1.5292847961159537,0.05041757986449724,0.5748033877889499,0.676565592045472,0.10176220425652205
previous_observed_cycle_spatial_knn,cycle150_rank13_obj2,cycle149_rank20_obj3,17_c2_x10_HighHighCOV_150723,150.0,149.0,1.0,2,313.2973272798698,30.0765434188675,1,1,1,0.0007317504868457,-0.001482098159438,0.0022138486462837,1.685953121692708e-06,-3.414754159345294e-06,5.100707281038002e-06,0.0006720700934092,-0.0016606333395983,0.0023327034330075,0.0017428272518736,-0.0010676911564844,0.002810518408358,1.0,1.0,0.0,1.0,0.7916666666666666,0.20833333333333337,0.8402777777777779,1.0763888888888888,0.23611111111111094,1.5793839369871592,1.163022553250634,0.4163613837365252,1.4788672162514565,1.1120155173600224,0.3668516988914341,0.5748033877889499,2.2967409572921964,1.7219375695032464
previous_observed_cycle_spatial_knn,cycle150_rank13_obj2,cycle149_rank20_obj2,17_c2_x10_HighHighCOV_150723,150.0,149.0,1.0,3,799.9533629239871,76.79552284070276,1,1,1,0.0007317504868457,0.0002825828491831,0.0004491676376626,1.685953121692708e-06,6.51070884517866e-07,1.0348822371748419e-06,0.0006720700934092,0.0002134931357361,0.00045857695767309993,0.0017428272518736,0.0024252239635009,0.0006823967116272999,1.0,1.0,0.0,1.0,0.875,0.125,0.8402777777777779,0.2708333333333333,0.5694444444444446,1.5793839369871592,1.344147483500472,0.2352364534866871,1.4788672162514565,1.272642976398534,0.20622423985292238,0.5748033877889499,2.1313904206259275,1.5565870328369775
same_cycle_spatial_knn,cycle158_rank12_obj3,cycle158_rank12_obj2,18_c2_xN_HighHighCOV_170723,158.0,158.0,0.0,1,560.2620767520368,53.785159368195536,0,0,1,0.0002910999227354,-0.0011592083711711,0.0014503082939065,6.706942219824927e-07,-2.6708160871783503e-06,3.3415103091608432e-06,0.0004032799977385,-0.0011629240973708,0.0015662040951093,0.0007020745446107,-0.0005063339881865,0.0012084085327971998,1.0,0.7142857142857143,0.2857142857142857,0.9861111111111112,-0.1666666666666666,1.1527777777777777,0.0902777777777777,0.8125,0.7222222222222223,2.934190128744058,1.889270386843732,1.0449197419003262,1.859992329878,1.318107197376552,0.541885132501448,0.8947755537454258,2.0840484243771,1.189272870631674
same_cycle_spatial_knn,cycle158_rank12_obj3,cycle158_rank12_obj1,18_c2_xN_HighHighCOV_170723,158.0,158.0,0.0,2,815.6771770632732,78.30500899807423,0,0,1,0.0002910999227354,-1.261057282994533e-05,0.00030371049556534533,6.706942219824927e-07,-2.9054759800194044e-08,6.997489817826867e-07,0.0004032799977385,0.0003821488036096,2.1131194128899992e-05,0.0007020745446107,0.0008287264102853,0.00012665186567460001,1.0,1.0,0.0,0.9861111111111112,0.7638888888888888,0.22222222222222232,0.0902777777777777,-0.0833333333333333,0.173611111111111,2.934190128744058,2.07552163420161,0.8586684945424481,1.859992329878,1.3686106114276049,0.491381718450395,0.8947755537454258,0.1662275044067205,0.7285480493387053
same_cycle_spatial_knn,cycle76_rank8_obj2,cycle76_rank8_obj1,9_c2_x10_010723,76.0,76.0,0.0,1,936.3110455222358,89.88586037013464,0,0,1,0.0003649855616665,-0.0014639828054539,0.0018289683671203999,8.409267340797663e-07,-3.3730163837659693e-06,4.213943117845735e-06,0.0002471315436033,-0.0014556598840693,0.0017027914276726,0.0007968862264942,-0.0006355980856176,0.0014324843121117999,1.0,0.8571428571428571,0.1428571428571429,0.986111111111111,0.0138888888888888,0.9722222222222222,0.826388888888889,0.7291666666666666,0.09722222222222232,0.9693747266642662,0.9647639708160224,0.004610755848243775,0.9184087210067672,0.8773258566886756,0.041082864318091605,0.1262177448463502,2.0977475609576888,1.9715298161113386
same_cycle_spatial_knn,cycle76_rank8_obj2,cycle76_rank8_obj3,9_c2_x10_010723,76.0,76.0,0.0,2,1059.9172138994907,101.75205253435111,0,0,1,0.0003649855616665,0.000504202261325,0.00013921669965849998,8.409267340797663e-07,1.1616820100929252e-06,3.207552760131589e-07,0.0002471315436033,0.0003678175346755,0.00012068599107219999,0.0007968862264942,0.0015208279534082,0.000723941726914,1.0,1.0,0.0,0.986111111111111,0.7916666666666667,0.1944444444444443,0.826388888888889,0.7986111111111112,0.02777777777777779,0.9693747266642662,0.9284328959738262,0.040941830690439995,0.9184087210067672,0.8898933077343856,0.028515413272381607,0.1262177448463502,0.9641052684070622,0.837887523560712
next_observed_cycle_spatial_knn,cycle76_rank8_obj2,cycle78_rank22_obj2,9_c2_x10_010723,76.0,78.0,2.0,1,5.514519949061316,0.5293939151098863,0,1,0,0.0003649855616665,0.0015002222799752,0.0011352367183087,8.409267340797663e-07,3.456512133062921e-06,2.6155853989831547e-06,0.0002471315436033,0.0014662539025067,0.0012191223589034,0.0007968862264942,0.0018347705672022,0.001037884340708,1.0,1.0,0.0,0.986111111111111,0.9583333333333331,0.0277777777777779,0.826388888888889,0.7986111111111112,0.02777777777777779,0.9693747266642662,1.0153278215235606,0.04595309485929444,0.9184087210067672,0.9160143766228234,0.002394344383943814,0.1262177448463502,0.207056541648032,0.0808387968016818
next_observed_cycle_spatial_knn,cycle76_rank8_obj2,cycle78_rank22_obj1,9_c2_x10_010723,76.0,78.0,2.0,2,937.569812034085,90.00670195527216,0,1,0,0.0003649855616665,-0.0009601304070802,0.0013251159687467,8.409267340797663e-07,-2.212140457912842e-06,3.0530671919926084e-06,0.0002471315436033,-0.0009404233233049,0.0011875548669082001,0.0007968862264942,-0.0004812612516539,0.0012781474781481,1.0,1.0,0.0,0.986111111111111,0.6666666666666666,0.3194444444444444,0.826388888888889,0.4791666666666667,0.34722222222222227,0.9693747266642662,1.0316958729374175,0.06232114627315133,0.9184087210067672,0.8670838449103709,0.051324876096396244,0.1262177448463502,1.014428882774607,0.8882111379282569
