roi_id,cycleNo,cohort_role,event_reference_cycle,method,n_eval_frames,transition_center_frac,transition_iqr_frac,residual_peak_step_fraction,residual_peak_particle_mse,residual_weighted_center_frac,peak_distance_to_transition_frac,weighted_center_distance_to_transition_frac,near_transition_residual_fraction,near_transition_particle_mse_median,far_transition_particle_mse_median,near_minus_far_particle_mse_median,near_far_wilcoxon_p,particle_to_nonparticle_mse_ratio_median,mask_fallback_fraction_eval,alignment_permutation_p,mode_label,is_event_enriched_mode,duration_s,roi_norm_total_variation,q60_time_of_max_abs_rate_frac,q70_time_of_max_abs_rate_frac,q80_time_of_max_abs_rate_frac,q60_max_abs_rate_per_s,q70_max_abs_rate_per_s,q80_max_abs_rate_per_s,q70_transformed_fraction_delta,q80_transformed_fraction_delta,transition_center_frac_ctx,transition_iqr_frac_ctx
cycle116_rank7_obj37,116.0,event,116.0,velocity,32,0.6,0.2894736842105263,0.22580645161290322,0.0006984499050304,0.49002065584686394,0.37419354838709673,0.10997934415313604,0.30476460421420054,0.000516118860105,0.000522465823451,-6.346963346000041e-06,0.232421875,0.8590478185417896,0.0,,optical_brightening_decorrelating_rollout_hard_front_positive,1,11946.889967679976,0.0468433856964111,0.0210526315789473,0.6,0.6,3.3391600854215144e-05,2.890487412445008e-05,2.5539829077126383e-05,-0.0018012152777777,-0.0023003472222222,0.6,0.2894736842105263
cycle116_rank8_obj20,116.0,event,116.0,low_rank_dmd,32,0.0842105263157894,0.27894736842105267,0.967741935483871,0.0110796196386218,0.5183483390620183,0.8835314091680816,0.43413781274622887,0.236471180441218,0.00892175082117315,0.0094270291738212,-0.000505278352648051,0.7421875,7.702716145477305,0.0,,front_negative_high_apparent_front_proxy,0,11946.889967679976,0.036527606844902,0.0842105263157894,0.0210526315789473,0.5789473684210527,2.510841304541778e-05,2.2002217617118906e-05,1.6738942030278302e-05,0.0024522569444443,0.0015842013888889,0.0842105263157894,0.27894736842105267
cycle116_rank8_obj20,116.0,event,116.0,persistence,32,0.0842105263157894,0.27894736842105267,0.22580645161290322,0.0001456520840292,0.4931719438012571,0.14159592529711382,0.4089614174854677,0.2942230438152953,6.911212949489709e-05,5.8902052842313424e-05,1.0210076652583666e-05,0.078125,0.8940752600807687,0.0,,front_negative_high_apparent_front_proxy,0,11946.889967679976,0.036527606844902,0.0842105263157894,0.0210526315789473,0.5789473684210527,2.510841304541778e-05,2.2002217617118906e-05,1.6738942030278302e-05,0.0024522569444443,0.0015842013888889,0.0842105263157894,0.27894736842105267
cycle116_rank8_obj20,116.0,event,116.0,velocity,32,0.0842105263157894,0.27894736842105267,0.22580645161290322,0.0004701917932834,0.4927019441326868,0.14159592529711382,0.4084914178168974,0.283194954489312,0.00017415955517205,0.00018004799494515,-5.888439773099998e-06,0.3828125,0.8767723164167054,0.0,,front_negative_high_apparent_front_proxy,0,11946.889967679976,0.036527606844902,0.0842105263157894,0.0210526315789473,0.5789473684210527,2.510841304541778e-05,2.2002217617118906e-05,1.6738942030278302e-05,0.0024522569444443,0.0015842013888889,0.0842105263157894,0.27894736842105267
cycle118_rank1_obj7,118.0,control,116.0,low_rank_dmd,32,0.9684210526315788,0.2526315789473683,1.0,0.0054786410182714,0.5335136034820442,0.03157894736842115,0.4349074491495346,0.23570603667355486,0.0047043159138411,0.0034927378874272,0.0012115780264138998,0.03125,3.794894788284731,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.047929061949253,0.9684210526315788,0.4736842105263158,0.9789473684210526,3.4620076022954605e-05,2.7540658980854203e-05,2.0979248063785405e-05,0.0031249999999999,0.0006076388888889,0.9684210526315788,0.2526315789473683
cycle118_rank1_obj7,118.0,control,116.0,persistence,32,0.9684210526315788,0.2526315789473683,0.45161290322580644,0.0001419707841705,0.5308065957960013,0.5168081494057724,0.43761445683557754,0.22985924410639066,7.367830039584078e-05,6.159732947708108e-05,1.2080970918759704e-05,0.03125,0.9936065451588958,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.047929061949253,0.9684210526315788,0.4736842105263158,0.9789473684210526,3.4620076022954605e-05,2.7540658980854203e-05,2.0979248063785405e-05,0.0031249999999999,0.0006076388888889,0.9684210526315788,0.2526315789473683
cycle118_rank1_obj7,118.0,control,116.0,velocity,32,0.9684210526315788,0.2526315789473683,0.45161290322580644,0.0003803846775554,0.5185763428132159,0.5168081494057724,0.449844709818363,0.2055237732362065,0.00019716349925140002,0.00017236535495605,2.479814429535003e-05,0.15625,0.9507473724210658,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.047929061949253,0.9684210526315788,0.4736842105263158,0.9789473684210526,3.4620076022954605e-05,2.7540658980854203e-05,2.0979248063785405e-05,0.0031249999999999,0.0006076388888889,0.9684210526315788,0.2526315789473683
cycle118_rank2_obj2,118.0,control,116.0,low_rank_dmd,32,0.9789473684210526,0.0,1.0,0.0065583949908614,0.5371641278449789,0.021052631578947434,0.44178324057607365,0.23219311620443603,0.00595766073092815,0.00433237385004755,0.0016252868808805995,0.03125,5.461874271195578,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.022774589061737,0.9789473684210526,0.9789473684210526,0.9789473684210526,2.4950628355695312e-05,2.2274263376364636e-05,1.666253035518758e-05,0.0005208333333333,0.0009765625,0.9789473684210526,0.0
cycle118_rank2_obj2,118.0,control,116.0,persistence,32,0.9789473684210526,0.0,0.967741935483871,0.000103411519376,0.544548786338484,0.01120543293718157,0.43439858208256854,0.2580497677901909,5.365904689824674e-05,3.919000118912663e-05,1.446904570912011e-05,0.03125,1.1195551374953925,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.022774589061737,0.9789473684210526,0.9789473684210526,0.9789473684210526,2.4950628355695312e-05,2.2274263376364636e-05,1.666253035518758e-05,0.0005208333333333,0.0009765625,0.9789473684210526,0.0
cycle118_rank2_obj2,118.0,control,116.0,velocity,32,0.9789473684210526,0.0,0.45161290322580644,0.0002453906927257,0.5262827797225273,0.5273344651952461,0.4526645886985252,0.21903682625062623,0.00012804411016985,0.000103779057099,2.426505307085e-05,0.0625,0.9748513058289228,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.022774589061737,0.9789473684210526,0.9789473684210526,0.9789473684210526,2.4950628355695312e-05,2.2274263376364636e-05,1.666253035518758e-05,0.0005208333333333,0.0009765625,0.9789473684210526,0.0
