source_table,source_path,row_index,feature_set,method,target,split,auc,average_precision,spearman_rho,empirical_p_ge_observed,null_auc_p95,source_eta2,n_eval,leakage_penalty,control_bonus,auc_component,ap_component,rho_component,scientific_score,promotion_status
echem_conditioned_residual_dictionary,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_conditioned_residual_dictionary/echem_conditioned_residual_dictionary_metrics.csv,17,handcrafted_plus_echem_context,leave_cycle,future_any_drop_within_8cycles,leave_cycle,0.9166666666666666,0.9577408897831432,0.7217574537964584,,,0.0,72.0,0.12,0.05,0.9166666666666666,0.9577408897831432,0.7217574537964584,1.2541,promote_for_followup
acquisition_residualized_video_physics,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/acquisition_residualized_video_physics_benchmark/acquisition_residualized_metrics.csv,14,residualized_handcrafted_particle_plus_context_logit,,future_any_drop_within_8cycles,,0.9166666666666666,0.9577408897831432,0.7217574537964584,,,0.0,72.0,0.12,0.05,0.9166666666666666,0.9577408897831432,0.7217574537964584,1.2541,promote_for_followup
acquisition_residualized_video_physics,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/acquisition_residualized_video_physics_benchmark/acquisition_residualized_metrics.csv,10,echem_context_plus_all_video,,future_any_drop_within_8cycles,,0.9151234567901234,0.9561535881958416,0.7190842780416568,,,0.0,72.0,0.12,0.05,0.9151234567901234,0.9561535881958416,0.7190842780416568,1.2517,promote_for_followup
echem_residual_dictionary_fusion,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_residual_dictionary_fusion_audit/echem_residual_dictionary_metrics.csv,19,handcrafted_plus_echem,,future_any_drop_within_16cycles,,0.7812865497076024,0.9453780991646494,0.3957601317640661,0.0039920159680638,0.6316374269005847,0.0,72.0,0.04,0.14,0.7812865497076024,0.9453780991646494,0.3957601317640661,1.2517,promote_for_followup
echem_residual_dictionary_fusion,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_residual_dictionary_fusion_audit/echem_residual_dictionary_metrics.csv,17,residual_dictionary_handcrafted_echem,,future_any_drop_within_16cycles,,0.775438596491228,0.9430358215690876,0.3875322703968298,0.0019960079840319,0.6304678362573098,0.0,72.0,0.04,0.14,0.775438596491228,0.9430358215690876,0.3875322703968298,1.2443,promote_for_followup
echem_residual_dictionary_fusion,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_residual_dictionary_fusion_audit/echem_residual_dictionary_metrics.csv,0,acquisition_context,,future_any_drop_within_8cycles,,1.0,1.0,0.9341987329938278,0.0019960079840319,0.6041666666666667,0.0,72.0,0.34,0.14,1.0,1.0,0.9341987329938278,1.2434,leakage_guarded
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,8,trio::particle_vs_context_mean_diff_positive_fraction+particle_std_diff_positive_fraction+particle_norm_mean,source_confound_filter_0.50,,source_confound_filter_0.50,0.727485380116959,0.8816077514368907,0.3200843933766815,0.0039920159680638,0.6287134502923977,0.0,72.0,0.0,0.17,0.727485380116959,0.8816077514368907,0.3200843933766815,1.2381,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,9,trio::particle_vs_context_mean_diff_positive_fraction+particle_std_diff_positive_fraction+particle_gradient_std,source_confound_filter_0.50,,source_confound_filter_0.50,0.727485380116959,0.8816077514368907,0.3200843933766815,0.0039920159680638,0.6287134502923977,0.0,72.0,0.0,0.17,0.727485380116959,0.8816077514368907,0.3200843933766815,1.2381,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,10,trio::particle_vs_context_mean_diff_positive_fraction+particle_std_diff_positive_fraction+particle_gradient_diff_q90,source_confound_filter_0.50,,source_confound_filter_0.50,0.727485380116959,0.8816077514368907,0.3200843933766815,0.0039920159680638,0.6287134502923977,0.0,72.0,0.0,0.17,0.727485380116959,0.8816077514368907,0.3200843933766815,1.2381,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,11,trio::particle_vs_context_mean_diff_positive_fraction+particle_std_diff_positive_fraction+particle_gradient_diff_abs_mean,source_confound_filter_0.50,,source_confound_filter_0.50,0.727485380116959,0.8816077514368907,0.3200843933766815,0.0039920159680638,0.6287134502923977,0.0,72.0,0.0,0.17,0.727485380116959,0.8816077514368907,0.3200843933766815,1.2381,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,4,single::particle_vs_context_mean_diff_positive_fraction,source_confound_filter_0.50,,source_confound_filter_0.50,0.7274853801169591,0.8796559875996621,0.320311103963499,0.0079840319361277,0.6363157894736841,0.0,72.0,0.0,0.17,0.7274853801169591,0.8796559875996621,0.320311103963499,1.2374,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,5,pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean,source_confound_filter_0.50,,source_confound_filter_0.50,0.7274853801169591,0.8796559875996621,0.320311103963499,0.0079840319361277,0.6363157894736841,0.0,72.0,0.0,0.17,0.7274853801169591,0.8796559875996621,0.320311103963499,1.2374,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,6,pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_max,source_confound_filter_0.50,,source_confound_filter_0.50,0.7274853801169591,0.8796559875996621,0.320311103963499,0.0079840319361277,0.6363157894736841,0.0,72.0,0.0,0.17,0.7274853801169591,0.8796559875996621,0.320311103963499,1.2374,promote_for_followup
