roi_id,cohort,cycleNo,control_for_event_cycle,roi_norm_mean_delta_last_minus_first,roi_mean_delta_last_minus_first,stage_drift_xy_sampled,temporal_diff_energy,cumulative_abs_norm_change,first_last_corr,mean_norm_intensity,std_norm_intensity
cycle90_rank2_obj2,control,90.0,,-0.000320166349411,-7.6943359375,0.2500000000000227,9.140958718489856e-05,0.00975965429097414,0.9917229784002575,0.10021285712718964,0.11985647678375244
cycle90_rank3_obj3,control,90.0,,-0.0006375983357429,-8.2841796875,0.2500000000000227,0.00014376275066751987,0.011606598272919655,0.9910231632558882,0.10009009391069412,0.12419330328702927
cycle90_rank4_obj4,control,90.0,,-0.0001276656985282,-2.9443359375,0.2500000000000227,4.91481987410225e-05,0.007225142791867256,0.9958372897103711,0.08445276319980621,0.1336248219013214
cycle90_rank5_obj5,control,90.0,,-0.0003396570682525,-6.7255859375,0.2500000000000227,5.3160129027673975e-05,0.007792809046804905,0.9949024799844683,0.09724017232656479,0.13941097259521484
cycle90_rank6_obj6,control,90.0,,-0.0002948641777038,-6.1552734375,0.2500000000000227,5.370757935452275e-05,0.008053120225667953,0.994759762401674,0.09564590454101562,0.13986508548259735
cycle90_rank7_obj7,control,90.0,,-0.000444658100605,-8.044921875,0.2500000000000227,0.00013760723231825978,0.011821278370916843,0.9887544640555382,0.11234518885612488,0.12583878636360168
cycle90_rank8_obj8,control,90.0,,-0.0006633475422859,-12.38671875,0.2500000000000227,9.953293192666024e-05,0.009496908634901047,0.9952127887179798,0.08957746624946594,0.14582334458827972
cycle92_rank1_obj1,control,92.0,,-0.000704176723957,-9.6572265625,0.1802775637732877,0.0001393479178659618,0.009754819795489311,0.994116176994081,0.0984664335846901,0.12264125049114227
cycle92_rank2_obj2,control,92.0,,-0.0002655088901519,-5.3583984375,0.1802775637732877,8.937328675528988e-05,0.007853405550122261,0.995786422575395,0.07681817561388016,0.12414334714412689
cycle92_rank3_obj3,control,92.0,,-0.0001963004469871,-4.4208984375,0.1802775637732877,9.510938980383798e-05,0.008222258649766445,0.9952162659345873,0.10103952139616013,0.11992356181144714
cycle92_rank4_obj4,control,92.0,,-9.053945541381836e-05,-2.0400390625,0.1802775637732877,5.404847615864128e-05,0.006296813488006592,0.9975702113078239,0.09727830439805984,0.1389303058385849
cycle92_rank5_obj5,control,92.0,,-0.0004275813698768,-6.7470703125,0.1802775637732877,0.00013975091860629618,0.009959135204553604,0.9935721210258729,0.11354473233222961,0.12569144368171692
cycle92_rank6_obj6,control,92.0,,-0.0007065162062644,-10.5380859375,0.1802775637732877,0.00010258026304654777,0.00830359198153019,0.9967616904846949,0.09066701680421829,0.1466393917798996
cycle92_rank7_obj7,control,92.0,,-7.829070091247559e-05,-1.896484375,0.1802775637732877,5.0576418288983405e-05,0.006082525476813316,0.9977687203757944,0.08480636030435562,0.1340082883834839
cycle92_rank8_obj8,control,92.0,,-0.0001398175954818,-2.73046875,0.1802775637732877,5.545547173824161e-05,0.00642037158831954,0.997500647474197,0.09400524199008942,0.13939088582992554
cycle118_rank1_obj1,control,118.0,,-0.0010294690728187,-15.0693359375,0.2915475947422533,0.0001226103340741247,0.010377761907875538,0.9922051251323988,0.0961351990699768,0.12398421764373779
cycle118_rank2_obj2,control,118.0,,-0.0006678476929664,-14.9296875,0.2915475947422533,4.301892840885557e-05,0.006651425734162331,0.9963855896098381,0.08056621998548508,0.13205142319202423
cycle118_rank3_obj3,control,118.0,,-0.0006101354956626,-12.515625,0.2915475947422533,7.416454900521785e-05,0.008375201374292374,0.9936028116116193,0.09394346177577972,0.11805906891822815
cycle118_rank4_obj4,control,118.0,,-0.0010041743516921,-17.9208984375,0.2915475947422533,7.508232374675572e-05,0.008539942093193531,0.9938461836530551,0.07353881001472473,0.12370508909225464
cycle118_rank5_obj5,control,118.0,,-0.0010472387075424,-15.4873046875,0.2915475947422533,0.00010882683272939175,0.009817160665988922,0.9921912110029287,0.12895125150680542,0.1222139298915863
cycle118_rank6_obj6,control,118.0,,-0.0007484853267669,-16.23681640625,0.2915475947422533,4.464562516659498e-05,0.0067180306650698185,0.9964308112455584,0.0942748561501503,0.13801223039627075
cycle118_rank7_obj7,control,118.0,,-0.0009625628590583,-15.626953125,0.2915475947422533,7.762988389004022e-05,0.008249950595200062,0.9957983315752155,0.08508499711751938,0.14506539702415466
cycle118_rank8_obj8,control,118.0,,-0.0009383484721183,-19.7041015625,0.2915475947422533,4.6556335291825235e-05,0.007075749337673187,0.9962112254456177,0.09099973738193512,0.14007200300693512
