target,context_feature,n,rho,p_value,abs_rho
mode_pc2,event_reference_cycle,52,0.05298461516902506,0.7091098937805898,0.05298461516902506
is_event_enriched_mode,event_reference_cycle,52,-0.052033042290896135,0.7141092855219874,0.052033042290896135
mode_pc1,V_range,38,0.0516489673454747,0.7581161841786112,0.0516489673454747
mode_pc2,cycles_to_block_end,52,-0.047755963749208485,0.7367248110791015,0.047755963749208485
mode_pc1,cycles_to_block_end,52,0.04613922539311549,0.7453326243884718,0.04613922539311549
mode_pc2,object_x_full_approx,52,0.03671134636728421,0.7961128475235197,0.03671134636728421
is_high_apparent_front_proxy_mode,cycleNo,52,-0.035924523141375855,0.8003921538910602,0.035924523141375855
mode_pc1,cycles_from_block_start,52,0.03505080017846497,0.8051508946469517,0.03505080017846497
mode_pc2,object_y_full_approx,52,0.03483309143686502,0.8063377447004535,0.03483309143686502
is_event_enriched_mode,V_mean,38,-0.02968494905929624,0.8595741035655189,0.02968494905929624
mode_review_priority,front_candidate_rank,52,0.025592174013596973,0.8570810970098536,0.025592174013596973
is_high_apparent_front_proxy_mode,V_range,38,-0.022772549888633004,0.8920525269460059,0.022772549888633004
mode_review_priority,I_mean_mA,38,-0.020198280804863928,0.9041952680296953,0.020198280804863928
mode_review_priority,I_pos_fraction,38,-0.020198280804863928,0.9041952680296953,0.020198280804863928
is_high_apparent_front_proxy_mode,front_candidate_rank,52,-0.01807708748623036,0.8987842919264293,0.01807708748623036
mode_pc2,I_abs_mean_mA,38,-0.01563932478985578,0.9257507414468725,0.01563932478985578
mode_pc2,cycleNo,52,-0.012177988876377126,0.9317167361395263,0.012177988876377126
mode_pc2,cycles_from_block_start,52,-0.012158246311905038,0.9318271729651159,0.012158246311905038
mode_pc1,event_reference_cycle,52,-0.007594461507560259,0.9573861896963621,0.007594461507560259
