review_rank,roi_id,cycleNo,source_stem,future16_label,source_heldout_future16_probability,review_priority_score,review_tier,review_reason,manual_qc_status,dictionary_recon_error_last_minus_first_source_residual,masked_minus_background_mean_slope_source_residual,front_radius_q80_slope_source_residual,front_radius_q60_slope_source_residual,apparent_diffusion_q70_source_residual,preview_png,npz_path,manual_qc_instruction
11,source_balanced_cycle114_rank9_obj1_12_c2_x10_070723,114.0,12_c2_x10_070723,1.0,0.6470005699971494,0.7615985716735005,high_priority,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;front_motion_check;diffusion_guardrail,pending,2.0970655896235257e-05,-0.005294648260142075,-1.3836340206185571,-1.6575386597938153,-0.5992252701030929,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle114_rank9_obj1_12_c2_x10_070723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
12,source_balanced_cycle74_rank44_obj2_8_c2_x10_300623,74.0,8_c2_x10_300623,1.0,0.5504562445047182,0.7548528107130852,high_priority,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.7406269762432203e-05,0.0020463251290943874,-0.5914948453608251,-1.4802405498281792,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle74_rank44_obj2_8_c2_x10_300623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
13,source_balanced_cycle70_rank42_obj2_8_c2_x10_300623,70.0,8_c2_x10_300623,1.0,0.5572570684380314,0.7542922064952985,high_priority,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.976242128876038e-05,0.0013811034249434874,-0.3685567010309282,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle70_rank42_obj2_8_c2_x10_300623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
14,source_balanced_cycle72_rank43_obj1_8_c2_x10_300623,72.0,8_c2_x10_300623,1.0,0.5515763350864928,0.7369843209323592,high_priority,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.779385274858214e-05,0.0012755380159113873,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle72_rank43_obj1_8_c2_x10_300623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
15,source_balanced_cycle125_rank11_obj2_14_c2_x10_HighCOV_110723,125.0,14_c2_x10_HighCOV_110723,0.0,0.546530894535314,0.7269611674561192,high_priority,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,8.636385246063583e-06,0.0059326801659987626,,,0.14252564359352005,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle125_rank11_obj2_14_c2_x10_HighCOV_110723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
16,source_balanced_cycle125_rank11_obj1_14_c2_x10_HighCOV_110723,125.0,14_c2_x10_HighCOV_110723,0.0,0.5499190777916085,0.7198212457004556,high_priority,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,9.288809451390989e-06,0.0021722776838997626,-0.6435244845360825,-0.6668814432989689,-0.17784911929307806,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle125_rank11_obj1_14_c2_x10_HighCOV_110723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
17,source_balanced_cycle74_rank44_obj1_8_c2_x10_300623,74.0,8_c2_x10_300623,1.0,0.5477278849349096,0.7140280783998161,high_priority,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.6462912753922865e-05,0.0013998904095640875,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle74_rank44_obj1_8_c2_x10_300623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
18,source_balanced_cycle38_rank33_obj1_5_c2_x10_260623,38.0,5_c2_x10_260623,0.0,0.5484631319550142,0.7111614211216946,high_priority,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,9.385365046910009e-06,0.003333033284546866,,-2.095521907216496,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle38_rank33_obj1_5_c2_x10_260623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
19,source_balanced_cycle70_rank42_obj1_8_c2_x10_300623,70.0,8_c2_x10_300623,1.0,0.5509182927469711,0.7088883995061159,high_priority,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.7566129827173427e-05,0.0012306017328902875,0.12564432989690738,0.1389604810996563,-0.03058540206185567,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle70_rank42_obj1_8_c2_x10_300623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
20,source_balanced_cycle127_rank13_obj2_14_c2_x10_HighCOV_110723,127.0,14_c2_x10_HighCOV_110723,0.0,0.5407848449781325,0.6960775199720879,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,7.531796654802747e-06,0.005004360061348863,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle127_rank13_obj2_14_c2_x10_HighCOV_110723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
21,source_balanced_cycle100_rank4_obj2_11_c2_x10_050723,100.0,11_c2_x10_050723,1.0,0.5428974660059538,0.6887792666822536,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.0217593323128918e-05,0.00219429932579495,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle100_rank4_obj2_11_c2_x10_050723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
22,source_balanced_cycle114_rank9_obj2_12_c2_x10_070723,114.0,12_c2_x10_070723,1.0,0.6434446774831883,0.6813503694851978,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,2.0444771507754922e-05,-0.005994169220937975,0.21752577319587638,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle114_rank9_obj2_12_c2_x10_070723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
23,source_balanced_cycle100_rank4_obj1_11_c2_x10_050723,100.0,11_c2_x10_050723,1.0,0.540215560349552,0.6575532272777695,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,9.582795125121871e-06,0.0036642961148044503,-0.00547680412371135,,-0.28279026804123747,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle100_rank4_obj1_11_c2_x10_050723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
24,source_balanced_cycle36_rank32_obj2_5_c2_x10_260623,36.0,5_c2_x10_260623,0.0,0.526335466408521,0.6367577608081003,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;front_motion_check,pending,5.011641405872071e-06,-0.0009196196963588334,-1.216817010309279,-1.3023518041237117,-0.2963134020618556,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle36_rank32_obj2_5_c2_x10_260623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
25,source_balanced_cycle102_rank5_obj2_11_c2_x10_050723,102.0,11_c2_x10_050723,1.0,0.5346680179510012,0.6193395858325317,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;diffusion_guardrail,pending,8.271416542508328e-06,-0.00054363381274405,,,0.5849863917525779,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle102_rank5_obj2_11_c2_x10_050723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
26,source_balanced_cycle36_rank32_obj1_5_c2_x10_260623,36.0,5_c2_x10_260623,0.0,0.5165440002366254,0.6144635792466173,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;diffusion_guardrail,pending,3.083818228333257e-06,0.003981481437072066,,,-0.7877779793814438,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle36_rank32_obj1_5_c2_x10_260623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
27,source_balanced_cycle6_rank25_obj2_2_c2_x14_200623,6.0,2_c2_x14_200623,0.0,0.5613895293044279,0.6117277309727576,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.1902071491931565e-05,-0.01264913651111686,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle6_rank25_obj2_2_c2_x14_200623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
28,source_balanced_cycle127_rank13_obj1_14_c2_x10_HighCOV_110723,127.0,14_c2_x10_HighCOV_110723,0.0,0.5415428278630295,0.6096114435204489,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,7.677381290704943e-06,-0.0018600256672217372,,,-0.26402346980854213,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle127_rank13_obj1_14_c2_x10_HighCOV_110723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
29,source_balanced_cycle28_rank29_obj2_4_c2_x10_240623,28.0,4_c2_x10_240623,0.0,0.5220608329329355,0.609307735873434,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,4.031958269479219e-06,0.0021792350027268126,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle28_rank29_obj2_4_c2_x10_240623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
30,source_balanced_cycle34_rank31_obj2_4_c2_x10_240623,34.0,4_c2_x10_240623,0.0,0.5241715655509025,0.6083459428528761,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;diffusion_guardrail,pending,4.44362831331091e-06,0.0016417755954179127,,0.401417525773196,0.600764437113403,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle34_rank31_obj2_4_c2_x10_240623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
31,source_balanced_cycle152_rank23_obj2_17_c2_x10_HighHighCOV_150723,152.0,17_c2_x10_HighHighCOV_150723,1.0,0.5102418427046731,0.6076837586242827,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,2.2497370082419366e-06,0.004431210357265399,-0.4598367697594504,-0.23861683848797288,-0.2119284123711343,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle152_rank23_obj2_17_c2_x10_HighHighCOV_150723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
32,source_balanced_cycle6_rank25_obj1_2_c2_x14_200623,6.0,2_c2_x14_200623,0.0,0.5563138099536954,0.603073892141401,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.0887511962209828e-05,-0.010730498215632463,,0.41280068728522346,-0.3043892783505159,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle6_rank25_obj1_2_c2_x14_200623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
33,source_balanced_cycle84_rank48_obj2_9_c2_x10_010723,84.0,9_c2_x10_010723,1.0,0.5418974041704915,0.6008960909201468,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,8.529998012818398e-06,-0.003256552065686638,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle84_rank48_obj2_9_c2_x10_010723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
34,source_balanced_cycle102_rank5_obj1_11_c2_x10_050723,102.0,11_c2_x10_050723,1.0,0.5329180935111824,0.5948905331639458,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,7.858189443747202e-06,-0.00185381795225275,,-0.42783505154639195,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle102_rank5_obj1_11_c2_x10_050723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
35,source_balanced_cycle26_rank28_obj2_4_c2_x10_240623,26.0,4_c2_x10_240623,0.0,0.5099843342252289,0.5754866862835029,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;diffusion_guardrail,pending,1.6791063899290748e-06,0.002830342102805412,,-0.401417525773196,0.5850877360824751,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle26_rank28_obj2_4_c2_x10_240623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
36,source_balanced_cycle28_rank29_obj1_4_c2_x10_240623,28.0,4_c2_x10_240623,0.0,0.5171835775084601,0.5565829825320028,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,3.0812780096312054e-06,-0.0005418787741572877,,,0.5665369731958773,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle28_rank29_obj1_4_c2_x10_240623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
37,source_balanced_cycle82_rank47_obj2_9_c2_x10_010723,82.0,9_c2_x10_010723,1.0,0.5070769917778312,0.5532375729062005,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.7714628484100103e-06,0.0020158424725655634,,-1.2996134020618562,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle82_rank47_obj2_9_c2_x10_010723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
38,source_balanced_cycle34_rank31_obj1_4_c2_x10_240623,34.0,4_c2_x10_240623,0.0,0.5110624484904656,0.5517872338986805,standard_review,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.8890214050770737e-06,0.0004721171133815123,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle34_rank31_obj1_4_c2_x10_240623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
39,source_balanced_cycle30_rank30_obj1_4_c2_x10_240623,30.0,4_c2_x10_240623,0.0,0.5250573767766777,0.5451965548151503,routine,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;diffusion_guardrail,pending,4.616443220584188e-06,-0.0033455526698667874,,,-2.573767521649488,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle30_rank30_obj1_4_c2_x10_240623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
40,source_balanced_cycle56_rank39_obj2_7_c2_x10_290623,56.0,7_c2_x10_290623,1.0,0.5073009427431232,0.5412839751902978,routine,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.4993438526289538e-06,0.0010130328669923,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle56_rank39_obj2_7_c2_x10_290623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
41,source_balanced_cycle2_rank24_obj2_2_c2_x14_200623,2.0,2_c2_x14_200623,0.0,0.4868426555876552,0.5386678469583999,routine,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,-2.854108970495872e-06,0.02138312644422404,0.6312285223367703,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle2_rank24_obj2_2_c2_x14_200623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
42,source_balanced_cycle151_rank22_obj1_17_c2_x10_HighHighCOV_150723,151.0,17_c2_x10_HighHighCOV_150723,1.0,0.5208294704236115,0.5305367271496205,routine,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,4.255958629073575e-06,-0.0014261803075693996,0.09493127147766395,0.5262027491408943,0.36343026804123735,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle151_rank22_obj1_17_c2_x10_HighHighCOV_150723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
43,source_balanced_cycle54_rank38_obj2_6_c2_x10_270623_2,54.0,6_c2_x10_270623_2,1.0,0.5066080763394984,0.5294449871465512,routine,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling,pending,1.684627932263538e-06,0.0006592835515099251,,,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle54_rank38_obj2_6_c2_x10_270623_2.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
44,source_balanced_cycle56_rank39_obj1_7_c2_x10_290623,56.0,7_c2_x10_290623,1.0,0.4951177851859945,0.5290391257444159,routine,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;front_motion_check,pending,-8.914375939639285e-07,0.0014289259177287,-1.0579896907216502,0.0,-0.42570556701030926,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle56_rank39_obj1_7_c2_x10_290623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
45,source_balanced_cycle123_rank10_obj2_14_c2_x10_HighCOV_110723,123.0,14_c2_x10_HighCOV_110723,0.0,0.5140341409557739,0.5289990114315636,routine,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;diffusion_guardrail,pending,2.4120326997945085e-06,-0.0021285571407864373,0.47245489690721654,0.38530927835051576,0.5732073755522826,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle123_rank10_obj2_14_c2_x10_HighCOV_110723.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
46,source_balanced_cycle64_rank40_obj2_7_c2_x10_290623,64.0,7_c2_x10_290623,0.0,0.4981184107799113,0.5281504385311232,routine,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;front_motion_check,pending,-3.0260889616329223e-07,-0.00026688610201160015,1.0579896907216502,,0.42570556701030926,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle64_rank40_obj2_7_c2_x10_290623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
47,source_balanced_cycle30_rank30_obj2_4_c2_x10_240623,30.0,4_c2_x10_240623,0.0,0.5258737917386133,0.5263253267383926,routine,source_residual_reconstruction_error;source_heldout_future16_readout;contrast_coupling;diffusion_guardrail,pending,4.775746674567927e-06,-0.0027116912083469877,0.0,,0.821378375257733,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle30_rank30_obj2_4_c2_x10_240623.npz,"Review preview/NPZ crop for particle identity, stable mask, phase-front plausibility, and artifact risk; do not treat automatic scores as labels."
