feature,direction,n,n_positive,median_positive,median_negative,oriented_auc,average_precision,mannwhitney_p,spearman_rho_oriented,spearman_p_oriented,source_eta2
charge_discharge_capacity_abs_gap_mAh,high,54,42,0.0157195648271991,0.01480126467489775,0.5714285714285714,0.8792097608274079,0.4595197693920776,0.10302801669778636,0.45847568289500246,0.19812441879350007
shape_charge_mAh_signed,high,54,42,0.015719564827199002,0.01480126467489775,0.5714285714285714,0.8792097608274079,0.4595197693920776,0.10302801669778636,0.45847568289500246,0.1981244187935
shape_V_q50,low,54,42,3.8705605,3.910712,0.5714285714285714,0.8456623558514315,0.4595197693920776,0.10302801669778636,0.45847568289500246,0.7797994274766675
particle_mean_diff_q10,low,72,57,-0.0017317324876785,-0.0011930748820304,0.5707602339181286,0.8266176527273283,0.4054369946887778,0.09955712254355924,0.40537765146848254,0.7058533122715718
particle_gradient_last_minus_first,high,72,57,0.0006903380854055,0.0006012615049257,0.5695906432748539,0.8694729698028187,0.4133089571682813,0.09791155027011199,0.4132228082704882,0.09864882790160918
cycle_state_pc5,high,72,57,-1.0515427746496735,-1.2526467599117244,0.5684210526315789,0.8670826595688093,0.4209120113945476,0.0963403577473763,0.4207948102443424,0.4377869041768141
particle_mean_std,high,72,57,0.0104258259668088,0.0077084364331338,0.5637426900584795,0.8520834310246258,0.45400472075838283,0.08968368890287569,0.4537460429318511,0.4787515837346344
particle_std_std,high,72,57,0.0120751133966368,0.0111129593196308,0.5625730994152047,0.8556910367242782,0.46240683180550424,0.08803811662942843,0.462105814316074,0.495551927814665
shape_V_max,low,54,42,4.401023,4.6003325,0.5625,0.8738060375665418,0.5170561610408477,0.09042991813254031,0.5154940273911721,0.9998270532070962
particle_vs_context_mean_first_mean,low,72,57,0.0508279424393549,0.0538473435444757,0.5602339181286551,0.8191891678006717,0.4794684446432157,0.0847469720825339,0.4790748150261993,0.10650746066631689
echem_regime_pc1,high,72,57,-0.6634367127347924,-1.780365703221577,0.5578947368421053,0.8836811875817976,0.49653546160042417,0.08151876424777996,0.4960372938989561,0.0718208459260793
object_mean_abs_z,low,72,57,21.67879295349121,23.285369873046875,0.5578947368421052,0.8515469421267112,0.49653546160042417,0.08151876424777996,0.4960372938989561,0.5602732158962991
cycle_state_pc1,low,72,57,-0.514430179763499,6.784218386522095,0.5578947368421052,0.8236627379959698,0.49653546160042417,0.08151876424777996,0.4960372938989561,0.7050800972487614
degradation_state_axis,high,72,57,0.514430179763499,-6.784218386522095,0.5578947368421052,0.8236627379959698,0.49653546160042417,0.08151876424777996,0.4960372938989561,0.7050800972487614
phase_slope_abs_median_per_s,high,72,57,1.7219407685915105e-06,1.189906067866168e-06,0.5578947368421052,0.8043441710714702,0.49653546160042417,0.08151876424777996,0.4960372938989561,0.7847038751465781
particle_mean_diff_q90,high,72,57,0.0013525262475013,0.0011008605360984,0.5567251461988304,0.8240618630869718,0.5056922240731798,0.07981025526219211,0.505139788040488,0.6148494189521732
particle_gradient_mean,low,72,57,0.0335412722779437,0.0361700217666414,0.5567251461988304,0.8225361229241619,0.5056922240731798,0.07981025526219211,0.505139788040488,0.23457091624064227
pos_dq_abs_lowV_frac,low,54,42,0.00178227198857695,0.0018677322589341,0.5535714285714286,0.863890556222489,0.580863380636609,0.07727101252333976,0.5786425036862606,0.4037689945235843
pos_dq_abs_peak_frac,high,54,42,0.16670232933874485,0.15295581818737392,0.5535714285714286,0.7842991450659518,0.580863380636609,0.07727101252333976,0.5786425036862606,0.8141630591574475
radius2_slope_positive_fraction,low,72,57,0.2857142857142857,0.4285714285714285,0.5526315789473684,0.8736842105263158,0.5213768755480939,0.07695438870286847,0.5205451154688454,0.24801223241590215
cycle_state_pc6,high,72,57,2.4100384120839724,1.3456024256101098,0.5473684210526315,0.871029411841379,0.5788522026693945,0.0666971707481836,0.5777598504681172,0.3716367550895878
state_step_norm,low,72,57,1.6389462244070354,1.889283937086472,0.5473684210526315,0.8625006813699242,0.5788522026693945,0.0666971707481836,0.5777598504681172,0.09922795337385493
cycle_state_pc7,low,72,57,-0.0584170269542658,0.3151817791020266,0.5473684210526315,0.8434241823072757,0.5788522026693945,0.0666971707481836,0.5777598504681172,0.234445892607184
persistence_particle_to_nonparticle_mse_ratio_mean,low,72,57,1.883156768650285,2.2325019791687706,0.5368421052631579,0.8129066811872814,0.6670697227458654,0.05187557724858723,0.6651842775154219,0.408928816546868
q70_radius2_slope_bootstrap_p50_px2_per_s,low,72,57,-8.959182824491732e-05,0.0003821488036096,0.5368421052631578,0.8457574484563312,0.6670697227458654,0.05187557724858723,0.6651842775154219,0.10491063361690384
neg_dq_abs_entropy,low,54,42,2.667811461086637,2.880163771404721,0.5357142857142857,0.871164234924739,0.7154023944589916,0.05151400834889318,0.711429224624734,0.30401793473785205
particle_norm_cv,low,72,57,0.0648176884730777,0.0832061733408327,0.5263157894736842,0.8102306482194863,0.7601497535607922,0.03705398374899088,0.7573086540061531,0.4100042805911761
persistence_particle_mse_fraction_of_full_mean,low,72,57,1.3729633191500403,1.4125587003405409,0.5263157894736842,0.8093402643651136,0.7601497535607922,0.03705398374899088,0.7573086540061531,0.5367310374734355
diffusion_proxy_median_um2_per_s,low,72,57,-2.151813115094546e-07,-2.9054759800194044e-08,0.5263157894736841,0.8457026056383304,0.7601497535607922,0.03705398374899088,0.7573086540061531,0.10805448339835416
radius2_slope_median_px2_per_s,low,72,57,-9.339466645375634e-05,-1.261057282994533e-05,0.5263157894736841,0.8457026056383304,0.7601497535607922,0.03705398374899088,0.7573086540061531,0.10805448339835338
particle_vs_context_mean_std,high,72,57,0.0068281199109808,0.0062599427438689,0.5228070175438596,0.8232993349929922,0.7922030398416903,0.032088659332221575,0.7890188696247851,0.499518547692748
particle_vs_context_mean_diff_q90,high,72,57,0.0009378492832183,0.0007505595684051,0.519298245614035,0.7861001565306044,0.8244279962250451,0.027151942511879794,0.8208892462431995,0.5928322936660504
frames_percentile,high,72,57,0.8089887640449438,0.6853932584269663,0.5157894736842106,0.8243213351878895,0.8567807327071056,0.022242062814676767,0.8528760827206554,0.9931670133396445
axis_step,high,72,57,0.2614759978057061,-0.0097605972040852,0.5157894736842105,0.8235180910328448,0.8568423426658393,0.022232390249394527,0.8529393495744491,0.1399828220065162
velocity_particle_to_nonparticle_mse_ratio_mean,low,72,57,1.6854774454822128,2.242984903505327,0.5157894736842105,0.8235180910328448,0.8568423426658393,0.022232390249394527,0.8529393495744491,0.35234499980027495
particle_mean_first_mean,high,72,57,0.1117697302252054,0.1114397381898015,0.512280701754386,0.7978307727121303,0.8897201047929506,0.01727850887119623,0.8854548381351067,0.16564120904142887
particle_vs_context_mean_last_mean,low,72,57,0.0524410397047176,0.0550677080173045,0.5087719298245613,0.8002220822122521,0.922678056046004,0.012341792050854453,0.9180465819246068,0.11284833625548442
particle_std_first_mean,high,72,57,0.1705539091490209,0.1671696659177541,0.5076023391812865,0.8135816127085704,0.9336964640244189,0.01069621977740719,0.9289432154553393,0.12223925686664841
particle_vs_context_mean_mean,low,72,57,0.054128715962482,0.0560551056405529,0.5064327485380117,0.8016862964856997,0.9447275896252497,0.009050647503959931,0.9398529002359098,0.08028257991310409
low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,high,72,57,8.273374330391274,7.564897489046257,0.5052631578947369,0.8104890495847697,0.9557351847666635,0.0074107967497981765,0.9507356528717842,0.42997560461123474
all_dq_abs_entropy,low,54,42,2.7310626642400315,2.8203120105505866,0.5000000000000001,0.807938175270108,1.0,0.0,1.0,0.17082762200801718
