n_eval,n_positive,n_covered,n_covered_positive,coverage,precision,recall,base_rate,lift,binary_auc,fisher_p_greater,heldout_source,n_cycles,rule_name,terms
9,9,9,9,1.0,1.0,1.0,1.0,1.0,,1.0,9_c2_x10_010723,3,shape_dVdt_slope,low(shape_dVdt_slope)
3,3,0,0,0.0,,0.0,1.0,,,1.0,11_c2_x10_050723,1,cycle_state_pc4,low(cycle_state_pc4)
6,6,0,0,0.0,,0.0,1.0,,,1.0,12_c2_x10_070723,2,cycle_state_pc4,low(cycle_state_pc4)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,cycle_state_pc4,low(cycle_state_pc4)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,cycle_state_pc4,low(cycle_state_pc4)
9,6,3,3,0.3333333333333333,1.0,0.5,0.6666666666666666,1.5,0.75,0.2380952380952381,16_c2_x10_HighHighCOV_130723,3,cycle_state_pc4,low(cycle_state_pc4)
30,30,21,21,0.7,1.0,0.7,1.0,1.0,,1.0,17_c2_x10_HighHighCOV_150723,10,cycle_state_pc4,low(cycle_state_pc4)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,cycle_state_pc4,low(cycle_state_pc4)
6,3,0,0,0.0,,0.0,0.5,,,1.0,5_c2_x10_260623,2,cycle_state_pc4,low(cycle_state_pc4)
9,9,0,0,0.0,,0.0,1.0,,,1.0,9_c2_x10_010723,3,cycle_state_pc4,low(cycle_state_pc4)
3,3,3,3,1.0,1.0,1.0,1.0,1.0,,1.0,11_c2_x10_050723,1,particle_std_diff_positive_fraction,low(particle_std_diff_positive_fraction)
6,6,3,3,0.5,1.0,0.5,1.0,1.0,,1.0,12_c2_x10_070723,2,particle_std_diff_positive_fraction,low(particle_std_diff_positive_fraction)
3,0,1,0,0.3333333333333333,0.0,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,particle_std_diff_positive_fraction,low(particle_std_diff_positive_fraction)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,particle_std_diff_positive_fraction,low(particle_std_diff_positive_fraction)
9,6,3,3,0.3333333333333333,1.0,0.5,0.6666666666666666,1.5,0.75,0.2380952380952381,16_c2_x10_HighHighCOV_130723,3,particle_std_diff_positive_fraction,low(particle_std_diff_positive_fraction)
30,30,12,12,0.4,1.0,0.4,1.0,1.0,,1.0,17_c2_x10_HighHighCOV_150723,10,particle_std_diff_positive_fraction,low(particle_std_diff_positive_fraction)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,particle_std_diff_positive_fraction,low(particle_std_diff_positive_fraction)
6,3,4,2,0.6666666666666666,0.5,0.6666666666666666,0.5,1.0,,0.7999999999999999,5_c2_x10_260623,2,particle_std_diff_positive_fraction,low(particle_std_diff_positive_fraction)
9,9,1,1,0.1111111111111111,1.0,0.1111111111111111,1.0,1.0,,1.0,9_c2_x10_010723,3,particle_std_diff_positive_fraction,low(particle_std_diff_positive_fraction)
3,3,3,3,1.0,1.0,1.0,1.0,1.0,,1.0,11_c2_x10_050723,1,dqdv_integral_asymmetry,high(dqdv_integral_asymmetry)
6,6,0,0,0.0,,0.0,1.0,,,1.0,12_c2_x10_070723,2,dqdv_integral_asymmetry,high(dqdv_integral_asymmetry)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,dqdv_integral_asymmetry,high(dqdv_integral_asymmetry)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,dqdv_integral_asymmetry,high(dqdv_integral_asymmetry)
9,6,0,0,0.0,,0.0,0.6666666666666666,,,1.0,16_c2_x10_HighHighCOV_130723,3,dqdv_integral_asymmetry,high(dqdv_integral_asymmetry)
30,30,3,3,0.1,1.0,0.1,1.0,1.0,,1.0,17_c2_x10_HighHighCOV_150723,10,dqdv_integral_asymmetry,high(dqdv_integral_asymmetry)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,dqdv_integral_asymmetry,high(dqdv_integral_asymmetry)
6,3,0,0,0.0,,0.0,0.5,,,1.0,5_c2_x10_260623,2,dqdv_integral_asymmetry,high(dqdv_integral_asymmetry)
9,9,9,9,1.0,1.0,1.0,1.0,1.0,,1.0,9_c2_x10_010723,3,dqdv_integral_asymmetry,high(dqdv_integral_asymmetry)
3,3,3,3,1.0,1.0,1.0,1.0,1.0,,1.0,11_c2_x10_050723,1,all_dq_abs_highV_frac,low(all_dq_abs_highV_frac)
6,6,6,6,1.0,1.0,1.0,1.0,1.0,,1.0,12_c2_x10_070723,2,all_dq_abs_highV_frac,low(all_dq_abs_highV_frac)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,all_dq_abs_highV_frac,low(all_dq_abs_highV_frac)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,all_dq_abs_highV_frac,low(all_dq_abs_highV_frac)
9,6,0,0,0.0,,0.0,0.6666666666666666,,,1.0,16_c2_x10_HighHighCOV_130723,3,all_dq_abs_highV_frac,low(all_dq_abs_highV_frac)
30,30,0,0,0.0,,0.0,1.0,,,1.0,17_c2_x10_HighHighCOV_150723,10,all_dq_abs_highV_frac,low(all_dq_abs_highV_frac)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,all_dq_abs_highV_frac,low(all_dq_abs_highV_frac)
6,3,0,0,0.0,,0.0,0.5,,,1.0,5_c2_x10_260623,2,all_dq_abs_highV_frac,low(all_dq_abs_highV_frac)
9,9,9,9,1.0,1.0,1.0,1.0,1.0,,1.0,9_c2_x10_010723,3,all_dq_abs_highV_frac,low(all_dq_abs_highV_frac)
