x,y,n,spearman_rho,spearman_p,abs_rho
qc_evidence_score,front_radius2_slope_px2_per_norm_time,19,0.12280701754385966,0.6164660517594385,0.12280701754385966
q75_avrami_n,visual_sanity_score,24,0.10695652173913042,0.6188809974331806,0.10695652173913042
q75_avrami_n,front_radius2_slope_px2_per_norm_time,48,0.06860616587060356,0.6431243959219343,0.06860616587060356
q75_logistic_amp,shape_V_mean,121,-0.037041428327169404,0.6866798799039894,0.037041428327169404
front_evidence_score,shape_V_mean,97,-0.036130474813355275,0.7253290714204026,0.036130474813355275
q75_avrami_n,front_consensus_score,64,-0.043223443223443216,0.7345111163810232,0.043223443223443216
kinetic_evidence_score,front_quantile_positive_fraction,64,-0.041270174077108916,0.7460953849750058,0.041270174077108916
front_evidence_score,front_quantile_positive_fraction,64,0.040509871503437364,0.7506198613344298,0.040509871503437364
front_kinetic_product,visual_sanity_score,24,0.0626086956521739,0.7713343005112614,0.0626086956521739
q65_phase_fraction_slope,visual_sanity_score,24,-0.06173913043478261,0.7744295754905791,0.06173913043478261
q55_phase_fraction_slope,front_radius2_slope_px2_per_norm_time,48,0.041467650890143294,0.7795974819388872,0.041467650890143294
q55_phase_fraction_slope,visual_sanity_score,24,0.05739130434782608,0.7899551413098405,0.05739130434782608
q75_phase_fraction_slope,front_raw_outward_z_mean,64,-0.032509157509157505,0.7987116620937476,0.032509157509157505
masked_minus_bg_slope,front_residual_outward_z_mean,64,0.0320054945054945,0.8017663058556344,0.0320054945054945
q75_logistic_amp,front_residual_outward_z_mean,64,0.031456043956043955,0.8051020176110614,0.031456043956043955
q55_phase_fraction_delta,strict_qc_priority_score,24,0.05304347826086955,0.8055586374612034,0.05304347826086955
q55_phase_fraction_slope,strict_qc_priority_score,24,0.05304347826086955,0.8055586374612034,0.05304347826086955
masked_minus_bg_slope,front_consensus_score,64,0.0309065934065934,0.8084411937603093,0.0309065934065934
q75_phase_fraction_slope,visual_sanity_score,24,-0.046956521739130425,0.8275237958648594,0.046956521739130425
q55_phase_fraction_delta,front_quantile_positive_fraction,64,-0.02684818463277667,0.8332071001628645,0.02684818463277667
q55_phase_fraction_delta,front_radius2_slope_px2_per_norm_time,48,0.030612244897959183,0.8363647457936728,0.030612244897959183
q55_phase_fraction_delta,shape_V_mean,122,-0.018725069404445432,0.837795638261772,0.018725069404445432
q65_phase_fraction_slope,strict_qc_priority_score,24,0.04,0.8527804394339903,0.04
kinetic_evidence_score,front_raw_outward_z_mean,64,-0.021794871794871794,0.8642687755323348,0.021794871794871794
front_evidence_score,visual_review_score,24,0.03217391304347826,0.8813617120284872,0.03217391304347826
front_kinetic_concordance_score,front_quantile_positive_fraction,64,-0.015087254196294853,0.905809463459006,0.015087254196294853
q75_logistic_amp,front_radius2_slope_px2_per_norm_time,48,-0.013894919669995658,0.9253206843617414,0.013894919669995658
q75_avrami_n,front_quantile_positive_fraction,64,0.01090559004110132,0.9318418686495661,0.01090559004110132
front_kinetic_product,front_quantile_positive_fraction,64,-0.00384903177921223,0.9759191421452044,0.00384903177921223
