task,feature_set,target,n_eval,n_cycles,n_positive,positive_rate,roc_auc,average_precision,spearman_rho,spearman_p,r2,mae,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
regression,video_embedding,phase_slope_abs_median_per_s,116,24,,,,,0.22821591519871665,0.013741567342210182,-3.0233606080326245,1.6259310031269564e-06,,,,
regression,video_all,phase_slope_abs_median_per_s,116,24,,,,,0.43459799659169296,1.090463438132816e-06,-0.7336397879363719,1.3539399677837048e-06,,,,
regression,video_plus_echem,phase_slope_abs_median_per_s,116,24,,,,,0.395218567848265,1.1300706587296028e-05,-51.058904681209725,4.029883201918528e-06,,,,
regression,video_plus_echem_acquisition,phase_slope_abs_median_per_s,116,24,,,,,0.44501106846745614,5.584535498088514e-07,-53.26936028383731,3.90130867490661e-06,,,,
regression,acquisition_context,diffusion_proxy_abs_median_um2_per_s,116,24,,,,,0.37873593632829533,2.7625397416180853e-05,-0.603878512362412,2.9251659664946778e-06,,,,
regression,echem_regime,diffusion_proxy_abs_median_um2_per_s,116,24,,,,,0.18110551834179955,0.05170733173108076,-95.72197810497742,1.1443675685914584e-05,,,,
regression,video_scalar,diffusion_proxy_abs_median_um2_per_s,116,24,,,,,0.7146423212333728,2.0894230067862573e-19,0.2419440121496298,2.265983129709118e-06,,,,
regression,video_embedding,diffusion_proxy_abs_median_um2_per_s,116,24,,,,,0.3025941480609371,0.0009616983799809243,0.029497409258822826,2.6140111841813262e-06,,,,
regression,video_all,diffusion_proxy_abs_median_um2_per_s,116,24,,,,,0.5733460053529948,1.73812661465344e-11,-0.10076724963338735,2.559621887033669e-06,,,,
regression,video_plus_echem,diffusion_proxy_abs_median_um2_per_s,116,24,,,,,0.40894555151386264,5.171422180030126e-06,-128.57927471110696,1.2682063166268226e-05,,,,
regression,video_plus_echem_acquisition,diffusion_proxy_abs_median_um2_per_s,116,24,,,,,0.4493606386450175,4.1947464470304936e-07,-107.76775483405171,1.1904985808026161e-05,,,,
regression,acquisition_context,persistence_particle_mse_fraction_of_full_mean,116,24,,,,,0.6340903483454825,2.1578807335641056e-14,0.21973835999134028,0.2787003078054284,,,,
regression,echem_regime,persistence_particle_mse_fraction_of_full_mean,116,24,,,,,0.6911532324579321,8.927728996003184e-18,-66.24852575025213,1.0873204415542808,,,,
regression,video_scalar,persistence_particle_mse_fraction_of_full_mean,116,24,,,,,0.817290595609937,4.633165957682936e-29,0.6787929794319488,0.17748071696259166,,,,
regression,video_embedding,persistence_particle_mse_fraction_of_full_mean,116,24,,,,,-0.00916158752779654,0.9222445571414676,-3.516684121155902,0.46544464794506984,,,,
regression,video_all,persistence_particle_mse_fraction_of_full_mean,116,24,,,,,0.6706820987260466,1.780631051199779e-16,-0.10153803118791971,0.24982920703577677,,,,
regression,video_plus_echem,persistence_particle_mse_fraction_of_full_mean,116,24,,,,,0.7652851134668566,1.4974932933171798e-23,-15.763137831712111,0.6030141250623043,,,,
regression,video_plus_echem_acquisition,persistence_particle_mse_fraction_of_full_mean,116,24,,,,,0.7426910324071786,1.393885903394393e-21,-12.88741989457648,0.5662395853270958,,,,
regression,acquisition_context,velocity_particle_mse_fraction_of_full_mean,116,24,,,,,0.5642354814584172,4.226401546044297e-11,0.09134194214914215,0.27865973854893017,,,,
regression,echem_regime,velocity_particle_mse_fraction_of_full_mean,116,24,,,,,0.552905627799061,1.2296418954082742e-10,-93.3200976663282,1.2565174894910298,,,,
regression,video_scalar,velocity_particle_mse_fraction_of_full_mean,116,24,,,,,0.7578865541271823,6.978385782508115e-23,0.6163358461429354,0.198955881834272,,,,
regression,video_embedding,velocity_particle_mse_fraction_of_full_mean,116,24,,,,,0.08780496281892398,0.34862549016573274,-2.4479514193157983,0.41262857000167596,,,,
regression,video_all,velocity_particle_mse_fraction_of_full_mean,116,24,,,,,0.6362145127076053,1.66213877270368e-14,0.10763065154759532,0.24267719841817628,,,,
regression,video_plus_echem,velocity_particle_mse_fraction_of_full_mean,116,24,,,,,0.6877965601330145,1.4831749423564383e-17,-16.436681799010554,0.610898556828565,,,,
regression,video_plus_echem_acquisition,velocity_particle_mse_fraction_of_full_mean,116,24,,,,,0.6357916846450241,1.7510650333551036e-14,-17.174627700872183,0.6249205844596075,,,,
regression,acquisition_context,low_rank_dmd_particle_mse_fraction_of_full_mean,116,24,,,,,0.4547648833612088,2.9232720775443653e-07,-0.36263784522731846,0.3652528579519384,,,,
regression,echem_regime,low_rank_dmd_particle_mse_fraction_of_full_mean,116,24,,,,,-0.2588818401153155,0.005015280591665552,-134.92393823568884,2.031001385382033,,,,
regression,video_scalar,low_rank_dmd_particle_mse_fraction_of_full_mean,116,24,,,,,0.17871254729642105,0.05492988956468896,-0.8232739102639961,0.4960187577273698,,,,
regression,video_embedding,low_rank_dmd_particle_mse_fraction_of_full_mean,116,24,,,,,0.1258217016527553,0.1783604009058346,-2.6244479215694763,0.4827442604218426,,,,
regression,video_all,low_rank_dmd_particle_mse_fraction_of_full_mean,116,24,,,,,0.11554378623291635,0.21678989445203325,-2.46801232490949,0.637226526599756,,,,
regression,video_plus_echem,low_rank_dmd_particle_mse_fraction_of_full_mean,116,24,,,,,0.053306581548288434,0.5698203257932494,-49.50343500461303,1.639260176559698,,,,
regression,video_plus_echem_acquisition,low_rank_dmd_particle_mse_fraction_of_full_mean,116,24,,,,,0.12086416245613019,0.1962211216450759,-31.022520641050278,1.3669799714724526,,,,
regression,acquisition_context,object_mean_residual,116,24,,,,,0.4913859547499867,2.1321341817893332e-08,0.361080941919646,1091.797585253672,,,,
regression,echem_regime,object_mean_residual,116,24,,,,,0.262982633295049,0.004342889933400791,-371.6714258671189,9764.904251216212,,,,
regression,video_scalar,object_mean_residual,116,24,,,,,0.7191846209320284,9.674774219158246e-20,0.40045235528194123,1052.3760606966966,,,,
regression,video_embedding,object_mean_residual,116,24,,,,,0.053883992526931074,0.5656423623484806,-2.1010722095258028,1983.693870324515,,,,
regression,video_all,object_mean_residual,116,24,,,,,0.6564469933992435,1.2453349780976652e-15,-0.05404110350236224,1252.3833531979267,,,,
regression,video_plus_echem,object_mean_residual,116,24,,,,,0.12280376693771645,0.18908518942758015,-244.1786334762855,8722.179897614395,,,,
regression,video_plus_echem_acquisition,object_mean_residual,116,24,,,,,0.08306524285997736,0.37535640944343024,-310.7444236027756,9594.599151896027,,,,
regression,acquisition_context,cross_modal_consensus_score,172,34,,,,,0.6022064339028348,2.365810059339656e-18,0.41200969842212176,0.07634095561007435,,,,
regression,echem_regime,cross_modal_consensus_score,172,34,,,,,0.5288115260273133,8.874169456000107e-14,0.32866575149656907,0.08729876781943118,,,,
regression,video_scalar,cross_modal_consensus_score,172,34,,,,,0.5776177344733585,1.0830887938896313e-16,-0.18408831389515767,0.1082500845926785,,,,
regression,video_embedding,cross_modal_consensus_score,172,34,,,,,-0.3115891503618295,3.1725466012629234e-05,-4.9687747142085295,0.16256752330836222,,,,
regression,video_all,cross_modal_consensus_score,172,34,,,,,0.5252993695927333,1.3808408867617158e-13,-2.272560762292082,0.14217349499315368,,,,
regression,video_plus_echem,cross_modal_consensus_score,172,34,,,,,0.6803971611013576,1.0054272449846992e-24,-18.358075292361583,0.2030871034732053,,,,
regression,video_plus_echem_acquisition,cross_modal_consensus_score,172,34,,,,,0.7479712139876749,4.4555547956132523e-32,0.15016653179831496,0.08438731855078362,,,,
regression,acquisition_context,particle_norm_cv,172,34,,,,,0.11424433963244005,0.1356296153130194,-2.909962489932782,0.03030827294425341,,,,
regression,echem_regime,particle_norm_cv,172,34,,,,,0.16997631411777767,0.025799894444127593,-12.469020543264287,0.04796401346546864,,,,
regression,video_scalar,particle_norm_cv,172,34,,,,,0.9882304055717389,1.4981523624183017e-140,0.9787512393072707,0.003199365271107571,,,,
regression,video_embedding,particle_norm_cv,172,34,,,,,-0.4325982314406559,3.096847408090156e-09,-4.403433763172431,0.038538322107963686,,,,
regression,video_all,particle_norm_cv,172,34,,,,,0.9791126283731149,1.5319736235896141e-119,0.955260309954921,0.003916328430354187,,,,
regression,video_plus_echem,particle_norm_cv,172,34,,,,,0.9324700119492493,4.394060011549883e-77,-0.11637894664598769,0.010131751026122175,,,,
regression,video_plus_echem_acquisition,particle_norm_cv,172,34,,,,,0.9407470324457441,9.332429507276685e-82,0.8856946555903913,0.005820528226600394,,,,
