src_roi_id,dst_roi_id,edge_type,neighbor_rank,src_cycle,dst_cycle,cycle_delta_dst_minus_src,event_reference_cycle,distance_px,same_xy_region,src_is_event_roi,dst_is_event_roi,src_is_event_enriched_mode,dst_is_event_enriched_mode,src_front_positive_residual_binary,dst_front_positive_residual_binary,src_mode_review_priority,dst_mode_review_priority,src_phase_slope_positive_fraction_protocol_residual,dst_phase_slope_positive_fraction_protocol_residual,src_threshold_robust_phase_score_protocol_residual,dst_threshold_robust_phase_score_protocol_residual,src_diffusion_proxy_abs_median_um2_per_s_protocol_residual,dst_diffusion_proxy_abs_median_um2_per_s_protocol_residual,src_mode_label,dst_mode_label,src_cohort_role,dst_cohort_role,src_xy_region,dst_xy_region,is_event_roi_same,is_event_roi_both_positive,is_event_enriched_mode_same,is_event_enriched_mode_both_positive,front_positive_residual_binary_same,front_positive_residual_binary_both_positive
cycle58_rank1_obj1,cycle58_rank4_obj2,same_cycle_spatial_knn,3,58.0,58.0,0.0,60.0,760.090846118948,False,0,0,0,0,1,1,1.9615384615384617,2.4903846153846154,0.0849698428160106,0.0849698428160106,0.056282377526325,0.2870516082955557,4.2578080735404723e-07,-5.58479872104488e-08,near_baseline_or_context_like,near_baseline_or_context_like,control,control,3_0,1_0,True,False,True,False,True,True
cycle58_rank1_obj1,cycle60_rank1_obj1,next_cycle_spatial_knn,1,58.0,60.0,2.0,60.0,4.906617052097925,True,0,1,0,1,1,1,1.9615384615384617,2.6538461538461537,0.0849698428160106,0.1594674278574455,0.056282377526325,0.0028853964969761,4.2578080735404723e-07,-2.501069885685212e-07,near_baseline_or_context_like,optical_brightening_decorrelating_rollout_hard_front_positive,control,event,3_0,3_0,False,False,False,False,True,True
cycle58_rank1_obj1,cycle60_rank5_obj18,next_cycle_spatial_knn,2,58.0,60.0,2.0,60.0,335.5964778849116,True,0,1,0,0,1,0,1.9615384615384617,2.75,0.0849698428160106,-0.5548182864282688,0.056282377526325,-0.7374992188876393,4.2578080735404723e-07,4.276389356478945e-07,near_baseline_or_context_like,front_negative_high_apparent_front_proxy,control,event,3_0,3_0,False,False,True,False,False,False
cycle58_rank1_obj1,cycle60_rank3_obj9,next_cycle_spatial_knn,3,58.0,60.0,2.0,60.0,563.7464393952423,False,0,1,0,1,1,1,1.9615384615384617,3.673076923076923,0.0849698428160106,0.1594674278574455,0.056282377526325,0.1567315503431298,4.2578080735404723e-07,1.877002417149028e-06,near_baseline_or_context_like,optical_brightening_decorrelating_rollout_hard_front_positive,control,event,3_0,1_0,False,False,False,False,True,True
cycle58_rank3_obj9,cycle60_rank3_obj9,same_reference_spatial_knn,1,58.0,60.0,2.0,60.0,5.9612184458145565,True,0,1,0,1,1,1,2.9134615384615383,3.673076923076923,0.0849698428160106,0.1594674278574455,0.0947439159878634,0.1567315503431298,1.0798715843163389e-07,1.877002417149028e-06,near_baseline_or_context_like,optical_brightening_decorrelating_rollout_hard_front_positive,control,event,1_0,1_0,False,False,False,False,True,True
cycle58_rank3_obj9,cycle62_rank3_obj9,same_reference_spatial_knn,2,58.0,62.0,4.0,60.0,10.418575106916114,True,0,0,0,1,1,0,2.9134615384615383,3.307692307692308,0.0849698428160106,-0.0739292207347166,0.0947439159878634,0.046773507359125,1.0798715843163389e-07,2.925061821723941e-06,near_baseline_or_context_like,optical_brightening_decorrelating_rollout_hard_front_positive,control,control,1_0,1_0,True,False,False,False,False,False
cycle58_rank3_obj9,cycle58_rank4_obj2,same_reference_spatial_knn,3,58.0,58.0,0.0,60.0,278.14896792751915,True,0,0,0,0,1,1,2.9134615384615383,2.4903846153846154,0.0849698428160106,0.0849698428160106,0.0947439159878634,0.2870516082955557,1.0798715843163389e-07,-5.58479872104488e-08,near_baseline_or_context_like,near_baseline_or_context_like,control,control,1_0,1_0,True,False,True,False,True,True
cycle58_rank3_obj9,cycle58_rank4_obj2,same_cycle_spatial_knn,1,58.0,58.0,0.0,60.0,278.14896792751915,True,0,0,0,0,1,1,2.9134615384615383,2.4903846153846154,0.0849698428160106,0.0849698428160106,0.0947439159878634,0.2870516082955557,1.0798715843163389e-07,-5.58479872104488e-08,near_baseline_or_context_like,near_baseline_or_context_like,control,control,1_0,1_0,True,False,True,False,True,True
cycle58_rank3_obj9,cycle58_rank1_obj1,same_cycle_spatial_knn,2,58.0,58.0,0.0,60.0,564.5969120353495,False,0,0,0,0,1,1,2.9134615384615383,1.9615384615384617,0.0849698428160106,0.0849698428160106,0.0947439159878634,0.056282377526325,1.0798715843163389e-07,4.2578080735404723e-07,near_baseline_or_context_like,near_baseline_or_context_like,control,control,1_0,3_0,True,False,True,False,True,True
cycle58_rank3_obj9,cycle58_rank6_obj29,same_cycle_spatial_knn,3,58.0,58.0,0.0,60.0,676.6836889555002,False,0,0,0,0,1,1,2.9134615384615383,2.6634615384615383,0.0849698428160106,0.0849698428160106,0.0947439159878634,0.1524362236801711,1.0798715843163389e-07,-2.8884899133849952e-06,near_baseline_or_context_like,near_baseline_or_context_like,control,control,1_0,2_2,True,False,True,False,True,True
cycle58_rank3_obj9,cycle60_rank3_obj9,next_cycle_spatial_knn,1,58.0,60.0,2.0,60.0,5.9612184458145565,True,0,1,0,1,1,1,2.9134615384615383,3.673076923076923,0.0849698428160106,0.1594674278574455,0.0947439159878634,0.1567315503431298,1.0798715843163389e-07,1.877002417149028e-06,near_baseline_or_context_like,optical_brightening_decorrelating_rollout_hard_front_positive,control,event,1_0,1_0,False,False,False,False,True,True
cycle58_rank3_obj9,cycle60_rank4_obj5,next_cycle_spatial_knn,2,58.0,60.0,2.0,60.0,282.55815347184915,True,0,1,0,1,1,1,2.9134615384615383,3.4807692307692304,0.0849698428160106,0.1594674278574455,0.0947439159878634,0.0413469349585145,1.0798715843163389e-07,-2.1059433793047044e-06,near_baseline_or_context_like,optical_brightening_decorrelating_rollout_hard_front_positive,control,event,1_0,1_0,False,False,False,False,True,True
cycle58_rank3_obj9,cycle60_rank1_obj1,next_cycle_spatial_knn,3,58.0,60.0,2.0,60.0,569.4046347986783,False,0,1,0,1,1,1,2.9134615384615383,2.6538461538461537,0.0849698428160106,0.1594674278574455,0.0947439159878634,0.0028853964969761,1.0798715843163389e-07,-2.501069885685212e-07,near_baseline_or_context_like,optical_brightening_decorrelating_rollout_hard_front_positive,control,event,1_0,3_0,False,False,False,False,True,True
cycle60_rank3_obj9,cycle62_rank3_obj9,same_reference_spatial_knn,1,60.0,62.0,2.0,60.0,4.583149494611648,True,1,0,1,1,1,0,3.673076923076923,3.307692307692308,0.1594674278574455,-0.0739292207347166,0.1567315503431298,0.046773507359125,1.877002417149028e-06,2.925061821723941e-06,optical_brightening_decorrelating_rollout_hard_front_positive,optical_brightening_decorrelating_rollout_hard_front_positive,event,control,1_0,1_0,False,False,True,True,False,False
cycle60_rank3_obj9,cycle58_rank3_obj9,same_reference_spatial_knn,2,60.0,58.0,-2.0,60.0,5.9612184458145565,True,1,0,1,0,1,1,3.673076923076923,2.9134615384615383,0.1594674278574455,0.0849698428160106,0.1567315503431298,0.0947439159878634,1.877002417149028e-06,1.0798715843163389e-07,optical_brightening_decorrelating_rollout_hard_front_positive,near_baseline_or_context_like,event,control,1_0,1_0,False,False,False,False,True,True
cycle60_rank3_obj9,cycle58_rank4_obj2,same_reference_spatial_knn,3,60.0,58.0,-2.0,60.0,273.8793339057548,True,1,0,1,0,1,1,3.673076923076923,2.4903846153846154,0.1594674278574455,0.0849698428160106,0.1567315503431298,0.2870516082955557,1.877002417149028e-06,-5.58479872104488e-08,optical_brightening_decorrelating_rollout_hard_front_positive,near_baseline_or_context_like,event,control,1_0,1_0,False,False,False,False,True,True
cycle60_rank3_obj9,cycle60_rank4_obj5,same_cycle_spatial_knn,1,60.0,60.0,0.0,60.0,278.19256211374426,True,1,1,1,1,1,1,3.673076923076923,3.4807692307692304,0.1594674278574455,0.1594674278574455,0.1567315503431298,0.0413469349585145,1.877002417149028e-06,-2.1059433793047044e-06,optical_brightening_decorrelating_rollout_hard_front_positive,optical_brightening_decorrelating_rollout_hard_front_positive,event,event,1_0,1_0,True,True,True,True,True,True
cycle60_rank3_obj9,cycle60_rank1_obj1,same_cycle_spatial_knn,2,60.0,60.0,0.0,60.0,568.5436956893977,False,1,1,1,1,1,1,3.673076923076923,2.6538461538461537,0.1594674278574455,0.1594674278574455,0.1567315503431298,0.0028853964969761,1.877002417149028e-06,-2.501069885685212e-07,optical_brightening_decorrelating_rollout_hard_front_positive,optical_brightening_decorrelating_rollout_hard_front_positive,event,event,1_0,3_0,True,True,True,True,True,True
cycle60_rank3_obj9,cycle60_rank6_obj26,same_cycle_spatial_knn,3,60.0,60.0,0.0,60.0,676.6131341002427,False,1,1,1,1,1,1,3.673076923076923,3.5961538461538463,0.1594674278574455,0.1594674278574455,0.1567315503431298,0.1759623195738991,1.877002417149028e-06,-1.4897371927501488e-06,optical_brightening_decorrelating_rollout_hard_front_positive,optical_brightening_decorrelating_rollout_hard_front_positive,event,event,1_0,2_2,True,True,True,True,True,True
cycle60_rank3_obj9,cycle58_rank3_obj9,previous_cycle_spatial_knn,1,60.0,58.0,-2.0,60.0,5.9612184458145565,True,1,0,1,0,1,1,3.673076923076923,2.9134615384615383,0.1594674278574455,0.0849698428160106,0.1567315503431298,0.0947439159878634,1.877002417149028e-06,1.0798715843163389e-07,optical_brightening_decorrelating_rollout_hard_front_positive,near_baseline_or_context_like,event,control,1_0,1_0,False,False,False,False,True,True
cycle60_rank3_obj9,cycle58_rank4_obj2,previous_cycle_spatial_knn,2,60.0,58.0,-2.0,60.0,273.8793339057548,True,1,0,1,0,1,1,3.673076923076923,2.4903846153846154,0.1594674278574455,0.0849698428160106,0.1567315503431298,0.2870516082955557,1.877002417149028e-06,-5.58479872104488e-08,optical_brightening_decorrelating_rollout_hard_front_positive,near_baseline_or_context_like,event,control,1_0,1_0,False,False,False,False,True,True
cycle60_rank3_obj9,cycle58_rank1_obj1,previous_cycle_spatial_knn,3,60.0,58.0,-2.0,60.0,563.7464393952423,False,1,0,1,0,1,1,3.673076923076923,1.9615384615384617,0.1594674278574455,0.0849698428160106,0.1567315503431298,0.056282377526325,1.877002417149028e-06,4.2578080735404723e-07,optical_brightening_decorrelating_rollout_hard_front_positive,near_baseline_or_context_like,event,control,1_0,3_0,False,False,False,False,True,True
cycle60_rank3_obj9,cycle62_rank3_obj9,next_cycle_spatial_knn,1,60.0,62.0,2.0,60.0,4.583149494611648,True,1,0,1,1,1,0,3.673076923076923,3.307692307692308,0.1594674278574455,-0.0739292207347166,0.1567315503431298,0.046773507359125,1.877002417149028e-06,2.925061821723941e-06,optical_brightening_decorrelating_rollout_hard_front_positive,optical_brightening_decorrelating_rollout_hard_front_positive,event,control,1_0,1_0,False,False,True,True,False,False
cycle60_rank3_obj9,cycle62_rank4_obj1,next_cycle_spatial_knn,2,60.0,62.0,2.0,60.0,281.0124926711506,True,1,0,1,0,1,0,3.673076923076923,2.923076923076923,0.1594674278574455,-0.0739292207347166,0.1567315503431298,-0.2032264926408749,1.877002417149028e-06,-1.207976058865427e-06,optical_brightening_decorrelating_rollout_hard_front_positive,optical_loss_rollout_hard,event,control,1_0,1_0,False,False,False,False,False,False
cycle60_rank3_obj9,cycle62_rank2_obj2,next_cycle_spatial_knn,3,60.0,62.0,2.0,60.0,565.7643885673386,False,1,0,1,0,1,0,3.673076923076923,2.682692307692308,0.1594674278574455,-0.3596435064490023,0.1567315503431298,-0.8666880311024134,1.877002417149028e-06,1.60085715319586e-06,optical_brightening_decorrelating_rollout_hard_front_positive,front_negative_high_apparent_front_proxy,event,control,1_0,3_0,False,False,False,False,False,False
cycle60_rank1_obj1,cycle58_rank1_obj1,same_reference_spatial_knn,1,60.0,58.0,-2.0,60.0,4.906617052097925,True,1,0,1,0,1,1,2.6538461538461537,1.9615384615384617,0.1594674278574455,0.0849698428160106,0.0028853964969761,0.056282377526325,-2.501069885685212e-07,4.2578080735404723e-07,optical_brightening_decorrelating_rollout_hard_front_positive,near_baseline_or_context_like,event,control,3_0,3_0,False,False,False,False,True,True
cycle60_rank1_obj1,cycle62_rank2_obj2,same_reference_spatial_knn,2,60.0,62.0,2.0,60.0,8.83679357444094,True,1,0,1,0,1,0,2.6538461538461537,2.682692307692308,0.1594674278574455,-0.3596435064490023,0.0028853964969761,-0.8666880311024134,-2.501069885685212e-07,1.60085715319586e-06,optical_brightening_decorrelating_rollout_hard_front_positive,front_negative_high_apparent_front_proxy,event,control,3_0,3_0,False,False,False,False,False,False
cycle60_rank1_obj1,cycle60_rank5_obj18,same_reference_spatial_knn,3,60.0,60.0,0.0,60.0,331.6152034085875,True,1,1,1,0,1,0,2.6538461538461537,2.75,0.1594674278574455,-0.5548182864282688,0.0028853964969761,-0.7374992188876393,-2.501069885685212e-07,4.276389356478945e-07,optical_brightening_decorrelating_rollout_hard_front_positive,front_negative_high_apparent_front_proxy,event,event,3_0,3_0,True,True,False,False,False,False
cycle60_rank1_obj1,cycle60_rank5_obj18,same_cycle_spatial_knn,1,60.0,60.0,0.0,60.0,331.6152034085875,True,1,1,1,0,1,0,2.6538461538461537,2.75,0.1594674278574455,-0.5548182864282688,0.0028853964969761,-0.7374992188876393,-2.501069885685212e-07,4.276389356478945e-07,optical_brightening_decorrelating_rollout_hard_front_positive,front_negative_high_apparent_front_proxy,event,event,3_0,3_0,True,True,False,False,False,False
cycle60_rank1_obj1,cycle60_rank3_obj9,same_cycle_spatial_knn,2,60.0,60.0,0.0,60.0,568.5436956893977,False,1,1,1,1,1,1,2.6538461538461537,3.673076923076923,0.1594674278574455,0.1594674278574455,0.0028853964969761,0.1567315503431298,-2.501069885685212e-07,1.877002417149028e-06,optical_brightening_decorrelating_rollout_hard_front_positive,optical_brightening_decorrelating_rollout_hard_front_positive,event,event,3_0,1_0,True,True,True,True,True,True
cycle60_rank1_obj1,cycle60_rank6_obj26,same_cycle_spatial_knn,3,60.0,60.0,0.0,60.0,734.8576699379872,False,1,1,1,1,1,1,2.6538461538461537,3.5961538461538463,0.1594674278574455,0.1594674278574455,0.0028853964969761,0.1759623195738991,-2.501069885685212e-07,-1.4897371927501488e-06,optical_brightening_decorrelating_rollout_hard_front_positive,optical_brightening_decorrelating_rollout_hard_front_positive,event,event,3_0,2_2,True,True,True,True,True,True
cycle60_rank1_obj1,cycle58_rank1_obj1,previous_cycle_spatial_knn,1,60.0,58.0,-2.0,60.0,4.906617052097925,True,1,0,1,0,1,1,2.6538461538461537,1.9615384615384617,0.1594674278574455,0.0849698428160106,0.0028853964969761,0.056282377526325,-2.501069885685212e-07,4.2578080735404723e-07,optical_brightening_decorrelating_rollout_hard_front_positive,near_baseline_or_context_like,event,control,3_0,3_0,False,False,False,False,True,True
