roi_id,cycleNo,cohort_role,event_reference_cycle,source_stem,object_x_full_approx,object_y_full_approx,n_frames_percentile,V_mean,I_mean_mA,front_quality_score,degradation_mode_hypothesis,mode_label,mode_review_priority,mode_pc1,mode_pc2,rollout_mobility_difficulty_score,phase_slope_positive_fraction_protocol_residual,phase_slope_median_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,is_event_roi,is_event_enriched_mode,front_positive_residual_binary,xy_region
cycle62_rank3_obj9,62.0,control,60.0,7_c2_x10_290623,798.3291139240506,318.0253164556962,0.3370786516853932,3.8226030426780016,0.002895681360255,1.5226033969557806,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,3.307692307692308,1.62566835348404,-4.318265455494974,3.057692307692308,-0.0739292207347166,1.4451650932196863e-06,0.046773507359125,2.925061821723941e-06,0,1,0,1_0
cycle62_rank4_obj1,62.0,control,60.0,7_c2_x10_290623,566.4,166.8,0.3370786516853932,3.8226030426780016,0.002895681360255,1.1137010944495138,single_persistent_drop_needs_roi_qc,optical_loss_rollout_hard,2.923076923076923,-1.0686937289200429,-2.1458967639031936,2.1346153846153846,-0.0739292207347166,-1.1051910013874067e-06,-0.2032264926408749,-1.207976058865427e-06,0,0,0,1_0
cycle86_rank2_obj6,86.0,event,86.0,10_c2_x10_030723,1335.859296482412,171.678391959799,0.0786516853932584,3.821635612224316,0.0034861829990025,2.198397308847956,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,1.2692307692307692,-0.1039928785733935,0.5668024667676721,0.8269230769230769,0.0650642115750638,-1.0100235358942796e-06,0.0093189184370691,-5.867342541429243e-07,1,0,1,3_0
cycle86_rank5_obj8,86.0,event,86.0,10_c2_x10_030723,1660.7096774193549,191.1290322580645,0.0786516853932584,3.821635612224316,0.0034861829990025,1.9606669965442456,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,1.5673076923076923,1.0355498002330723,0.4185256361639397,1.5961538461538465,0.0650642115750638,-3.550782550877829e-07,-0.0291426200244691,-1.551461893017579e-06,1,0,1,3_0
cycle86_rank3_obj5,86.0,event,86.0,10_c2_x10_030723,1184.2469135802469,1085.9753086419753,0.0786516853932584,3.821635612224316,0.0034861829990025,1.456577760966197,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,1.7596153846153846,1.3764795394926783,1.550767425014406,1.5192307692307692,0.0650642115750638,6.258193884483392e-07,0.2400881492063,-1.1766263300920988e-06,1,0,1,2_3
cycle86_rank4_obj9,86.0,event,86.0,10_c2_x10_030723,810.7391304347826,383.69565217391306,0.0786516853932584,3.821635612224316,0.0034861829990025,1.1156177975150214,synchronized_persistent_drop_low_frame_count,optical_brightening_decorrelating_rollout_hard_front_positive,2.644230769230769,2.4912804264988435,0.5059659395672117,2.3269230769230766,0.0650642115750638,2.3241238390174905e-06,0.163165072283223,-1.778183918779655e-06,1,1,1,1_1
cycle86_rank6_obj78,86.0,event,86.0,10_c2_x10_030723,550.9333333333333,214.4,0.0786516853932584,3.821635612224316,0.0034861829990025,1.85813722649508,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,1.75,0.6367811927554117,0.8149974619032919,1.557692307692308,0.0650642115750638,-5.449564820244477e-07,-0.1060656969475462,-1.8947235504757984e-06,1,0,1,1_0
cycle86_rank8_obj17,86.0,event,86.0,10_c2_x10_030723,116.0,1002.9019607843136,0.0786516853932584,3.821635612224316,0.0034861829990025,1.248393377128957,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,2.3076923076923075,1.216400528583803,0.2811154383141606,1.8269230769230769,0.0650642115750638,-5.44003265944729e-07,0.1823958415139923,-9.899232218224577e-07,1,0,1,0_3
cycle88_rank2_obj4,88.0,control,86.0,10_c2_x10_030723,1335.142857142857,170.57142857142858,0.1797752808988764,3.831200505021645,0.0275566391094619,0.6746893715851342,synchronized_persistent_drop_low_frame_count,front_negative_high_apparent_front_proxy,1.8365384615384617,-2.978680414709413,-2.082882803748756,0.3846153846153844,-0.1866405016576523,-7.053877243660762e-07,-0.5973385837232317,3.149160158608212e-06,0,0,0,3_0
cycle88_rank5_obj9,88.0,control,86.0,10_c2_x10_030723,810.4086021505376,383.6559139784946,0.1797752808988764,3.831200505021645,0.0275566391094619,0.9442061661567512,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,1.0865384615384617,-0.2657564483837027,0.23381474465892,1.3076923076923077,-0.0437833588005094,1.6888060413402938e-06,0.1238152624306145,-1.6156425158340869e-06,0,0,0,1_1
