match_scheme,treated_index,control_index,treated_roi_id,control_roi_id,treated_source_stem,control_source_stem,treated_source_class,control_source_class,same_source,treated_cycleNo,control_cycleNo,match_distance,cycle_delta_treated_minus_control
same_source_class_echem_context,58,40,source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,154.0,138.0,4.1991478551006605,16.0
same_source_class_echem_context,59,41,source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,154.0,138.0,4.301548640941476,16.0
same_source_class_echem_context,96,81,source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2,source_balanced_cycle36_rank41_obj2_5_c2_x10_260623,6_c2_x10_270623_2,5_c2_x10_260623,nominal,nominal,False,52.0,36.0,0.5224720963408945,16.0
same_source_class_echem_context,97,79,source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,6_c2_x10_270623_2,4_c2_x10_240623,nominal,nominal,False,52.0,34.0,0.5851660962349522,18.0
same_source_class_echem_context,98,79,source_balanced_cycle54_rank50_obj1_6_c2_x10_270623_2,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,6_c2_x10_270623_2,4_c2_x10_240623,nominal,nominal,False,54.0,34.0,0.6914136322860763,20.0
same_source_class_echem_context,99,80,source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,6_c2_x10_270623_2,5_c2_x10_260623,nominal,nominal,False,54.0,36.0,0.6039935352423572,18.0
same_source_class_echem_context,100,75,source_balanced_cycle56_rank51_obj1_7_c2_x10_290623,source_balanced_cycle30_rank38_obj2_4_c2_x10_240623,7_c2_x10_290623,4_c2_x10_240623,nominal,nominal,False,56.0,30.0,0.7846020482711784,26.0
same_source_class_echem_context,101,81,source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,source_balanced_cycle36_rank41_obj2_5_c2_x10_260623,7_c2_x10_290623,5_c2_x10_260623,nominal,nominal,False,56.0,36.0,0.4973683948831404,20.0
same_source_class_echem_context,102,84,source_balanced_cycle58_rank52_obj1_7_c2_x10_290623,source_balanced_cycle40_rank43_obj1_5_c2_x10_260623,7_c2_x10_290623,5_c2_x10_260623,nominal,nominal,False,58.0,40.0,0.35178152989478745,18.0
same_source_class_echem_context,103,85,source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,source_balanced_cycle40_rank43_obj2_5_c2_x10_260623,7_c2_x10_290623,5_c2_x10_260623,nominal,nominal,False,58.0,40.0,0.319441969971765,18.0
same_source_class_echem_context,120,85,source_balanced_cycle78_rank61_obj1_9_c2_x10_010723,source_balanced_cycle40_rank43_obj2_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,78.0,40.0,0.7489165808426834,38.0
same_source_class_echem_context,121,80,source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,78.0,36.0,0.6700108870068558,42.0
same_source_class_echem_context,122,85,source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,source_balanced_cycle40_rank43_obj2_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,80.0,40.0,0.6794074756512479,40.0
same_source_class_echem_context,123,80,source_balanced_cycle80_rank62_obj2_9_c2_x10_010723,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,80.0,36.0,0.7320440494260342,44.0
same_source_class_echem_context,124,79,source_balanced_cycle82_rank63_obj1_9_c2_x10_010723,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,9_c2_x10_010723,4_c2_x10_240623,nominal,nominal,False,82.0,34.0,0.8003607413877033,48.0
same_source_class_echem_context,125,80,source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,82.0,36.0,0.8996392837826216,46.0
same_source_class_echem_context,126,87,source_balanced_cycle84_rank64_obj1_9_c2_x10_010723,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,84.0,42.0,0.6633068718346693,42.0
same_source_class_echem_context,127,80,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,84.0,36.0,0.9500269088963134,48.0
same_source_class_context_only,20,73,source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,source_balanced_cycle28_rank37_obj2_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,108.0,28.0,0.7484096441239984,80.0
same_source_class_context_only,21,73,source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,source_balanced_cycle28_rank37_obj2_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,108.0,28.0,0.9637088740726077,80.0
same_source_class_context_only,22,75,source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,source_balanced_cycle30_rank38_obj2_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,110.0,30.0,0.7695215454227727,80.0
same_source_class_context_only,23,74,source_balanced_cycle110_rank12_obj2_12_c2_x10_070723,source_balanced_cycle30_rank38_obj1_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,110.0,30.0,0.7438645986936235,80.0
same_source_class_context_only,24,74,source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,source_balanced_cycle30_rank38_obj1_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,112.0,30.0,0.6561767268494153,82.0
same_source_class_context_only,25,82,source_balanced_cycle112_rank13_obj2_12_c2_x10_070723,source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,nominal,nominal,False,112.0,38.0,0.8185645706553689,74.0
same_source_class_context_only,26,79,source_balanced_cycle114_rank14_obj1_12_c2_x10_070723,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,114.0,34.0,0.919155399044567,80.0
same_source_class_context_only,27,79,source_balanced_cycle114_rank14_obj2_12_c2_x10_070723,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,114.0,34.0,1.1260636295125759,80.0
same_source_class_context_only,52,41,source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,150.0,138.0,1.6255898340958492,12.0
same_source_class_context_only,53,40,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,150.0,138.0,0.5666968115451034,12.0
same_source_class_context_only,54,40,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,151.0,138.0,0.41478546520342885,13.0
same_source_class_context_only,55,41,source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,151.0,138.0,1.6802552833004012,13.0
same_source_class_context_only,56,40,source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,152.0,138.0,0.43308633143324593,14.0
same_source_class_context_only,57,41,source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,152.0,138.0,1.5679982618316204,14.0
same_source_class_context_only,58,40,source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,154.0,138.0,0.6221530074767044,16.0
same_source_class_context_only,59,41,source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723,17_c2_x10_HighHighCOV_150723,16_c2_x10_HighHighCOV_130723,HighHighCOV,HighHighCOV,False,154.0,138.0,1.6114432324209007,16.0
same_source_class_context_only,96,86,source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2,source_balanced_cycle42_rank44_obj1_5_c2_x10_260623,6_c2_x10_270623_2,5_c2_x10_260623,nominal,nominal,False,52.0,42.0,0.2451869697454259,10.0
same_source_class_context_only,97,87,source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,6_c2_x10_270623_2,5_c2_x10_260623,nominal,nominal,False,52.0,42.0,0.2006277776164401,10.0
same_source_class_context_only,98,79,source_balanced_cycle54_rank50_obj1_6_c2_x10_270623_2,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,6_c2_x10_270623_2,4_c2_x10_240623,nominal,nominal,False,54.0,34.0,0.6844873504845309,20.0
same_source_class_context_only,99,82,source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2,source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,6_c2_x10_270623_2,5_c2_x10_260623,nominal,nominal,False,54.0,38.0,0.7249619194114006,16.0
same_source_class_context_only,100,73,source_balanced_cycle56_rank51_obj1_7_c2_x10_290623,source_balanced_cycle28_rank37_obj2_4_c2_x10_240623,7_c2_x10_290623,4_c2_x10_240623,nominal,nominal,False,56.0,28.0,0.7195062467151802,28.0
same_source_class_context_only,101,81,source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,source_balanced_cycle36_rank41_obj2_5_c2_x10_260623,7_c2_x10_290623,5_c2_x10_260623,nominal,nominal,False,56.0,36.0,0.7013153339050356,20.0
same_source_class_context_only,102,84,source_balanced_cycle58_rank52_obj1_7_c2_x10_290623,source_balanced_cycle40_rank43_obj1_5_c2_x10_260623,7_c2_x10_290623,5_c2_x10_260623,nominal,nominal,False,58.0,40.0,0.40044419747445725,18.0
same_source_class_context_only,103,83,source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,source_balanced_cycle38_rank42_obj2_5_c2_x10_260623,7_c2_x10_290623,5_c2_x10_260623,nominal,nominal,False,58.0,38.0,0.23125702698301837,20.0
same_source_class_context_only,120,73,source_balanced_cycle78_rank61_obj1_9_c2_x10_010723,source_balanced_cycle28_rank37_obj2_4_c2_x10_240623,9_c2_x10_010723,4_c2_x10_240623,nominal,nominal,False,78.0,28.0,0.5473817358634837,50.0
same_source_class_context_only,121,82,source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,78.0,38.0,0.5295798711914842,40.0
same_source_class_context_only,122,87,source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,80.0,42.0,0.5382023507506951,38.0
same_source_class_context_only,123,82,source_balanced_cycle80_rank62_obj2_9_c2_x10_010723,source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,80.0,38.0,0.5601190478917067,42.0
same_source_class_context_only,124,79,source_balanced_cycle82_rank63_obj1_9_c2_x10_010723,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,9_c2_x10_010723,4_c2_x10_240623,nominal,nominal,False,82.0,34.0,0.7249019553332883,48.0
same_source_class_context_only,125,82,source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,82.0,38.0,0.694074520489169,44.0
same_source_class_context_only,126,79,source_balanced_cycle84_rank64_obj1_9_c2_x10_010723,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,9_c2_x10_010723,4_c2_x10_240623,nominal,nominal,False,84.0,34.0,0.5610267365455319,50.0
same_source_class_context_only,127,82,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,84.0,38.0,0.8384897819310042,46.0
global_echem_context,20,87,source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,nominal,nominal,False,108.0,42.0,0.9309080027190291,66.0
global_echem_context,21,87,source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,nominal,nominal,False,108.0,42.0,1.045989960230509,66.0
global_echem_context,22,83,source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,source_balanced_cycle38_rank42_obj2_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,nominal,nominal,False,110.0,38.0,0.9235792821303619,72.0
global_echem_context,23,72,source_balanced_cycle110_rank12_obj2_12_c2_x10_070723,source_balanced_cycle28_rank37_obj1_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,nominal,nominal,False,110.0,28.0,1.1410557166728947,82.0
global_echem_context,24,40,source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723,12_c2_x10_070723,16_c2_x10_HighHighCOV_130723,nominal,HighHighCOV,False,112.0,138.0,1.2447561417214303,-26.0
global_echem_context,25,41,source_balanced_cycle112_rank13_obj2_12_c2_x10_070723,source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723,12_c2_x10_070723,16_c2_x10_HighHighCOV_130723,nominal,HighHighCOV,False,112.0,138.0,1.539087193199338,-26.0
global_echem_context,26,38,source_balanced_cycle114_rank14_obj1_12_c2_x10_070723,source_balanced_cycle134_rank20_obj1_15_c2_x5_HighCOV_120723,12_c2_x10_070723,15_c2_x5_HighCOV_120723,nominal,HighCOV,False,114.0,134.0,0.7479697010109061,-20.0
global_echem_context,27,38,source_balanced_cycle114_rank14_obj2_12_c2_x10_070723,source_balanced_cycle134_rank20_obj1_15_c2_x5_HighCOV_120723,12_c2_x10_070723,15_c2_x5_HighCOV_120723,nominal,HighCOV,False,114.0,134.0,0.9168115225461692,-20.0
global_echem_context,52,82,source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,HighHighCOV,nominal,False,150.0,38.0,5.514904178142977,112.0
global_echem_context,53,72,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle28_rank37_obj1_4_c2_x10_240623,17_c2_x10_HighHighCOV_150723,4_c2_x10_240623,HighHighCOV,nominal,False,150.0,28.0,5.461641745361595,122.0
global_echem_context,54,84,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle40_rank43_obj1_5_c2_x10_260623,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,HighHighCOV,nominal,False,151.0,40.0,0.7634605519252731,111.0
global_echem_context,55,80,source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,HighHighCOV,nominal,False,151.0,36.0,0.8394633993628682,115.0
global_echem_context,56,84,source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle40_rank43_obj1_5_c2_x10_260623,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,HighHighCOV,nominal,False,152.0,40.0,0.774431332819369,112.0
global_echem_context,57,80,source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,HighHighCOV,nominal,False,152.0,36.0,0.8150535417483669,116.0
global_echem_context,58,76,source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle32_rank39_obj1_4_c2_x10_240623,17_c2_x10_HighHighCOV_150723,4_c2_x10_240623,HighHighCOV,nominal,False,154.0,32.0,0.7767540187402984,122.0
global_echem_context,59,80,source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,HighHighCOV,nominal,False,154.0,36.0,0.9217889993382838,118.0
global_echem_context,96,81,source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2,source_balanced_cycle36_rank41_obj2_5_c2_x10_260623,6_c2_x10_270623_2,5_c2_x10_260623,nominal,nominal,False,52.0,36.0,0.5224720963408945,16.0
global_echem_context,97,79,source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,6_c2_x10_270623_2,4_c2_x10_240623,nominal,nominal,False,52.0,34.0,0.5851660962349522,18.0
global_echem_context,98,79,source_balanced_cycle54_rank50_obj1_6_c2_x10_270623_2,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,6_c2_x10_270623_2,4_c2_x10_240623,nominal,nominal,False,54.0,34.0,0.6914136322860763,20.0
global_echem_context,99,80,source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,6_c2_x10_270623_2,5_c2_x10_260623,nominal,nominal,False,54.0,36.0,0.6039935352423572,18.0
global_echem_context,100,75,source_balanced_cycle56_rank51_obj1_7_c2_x10_290623,source_balanced_cycle30_rank38_obj2_4_c2_x10_240623,7_c2_x10_290623,4_c2_x10_240623,nominal,nominal,False,56.0,30.0,0.7846020482711784,26.0
global_echem_context,101,81,source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,source_balanced_cycle36_rank41_obj2_5_c2_x10_260623,7_c2_x10_290623,5_c2_x10_260623,nominal,nominal,False,56.0,36.0,0.4973683948831404,20.0
global_echem_context,102,84,source_balanced_cycle58_rank52_obj1_7_c2_x10_290623,source_balanced_cycle40_rank43_obj1_5_c2_x10_260623,7_c2_x10_290623,5_c2_x10_260623,nominal,nominal,False,58.0,40.0,0.35178152989478745,18.0
global_echem_context,103,85,source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,source_balanced_cycle40_rank43_obj2_5_c2_x10_260623,7_c2_x10_290623,5_c2_x10_260623,nominal,nominal,False,58.0,40.0,0.319441969971765,18.0
global_echem_context,120,85,source_balanced_cycle78_rank61_obj1_9_c2_x10_010723,source_balanced_cycle40_rank43_obj2_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,78.0,40.0,0.7489165808426834,38.0
global_echem_context,121,80,source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,78.0,36.0,0.6700108870068558,42.0
global_echem_context,122,85,source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,source_balanced_cycle40_rank43_obj2_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,80.0,40.0,0.6794074756512479,40.0
global_echem_context,123,80,source_balanced_cycle80_rank62_obj2_9_c2_x10_010723,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,80.0,36.0,0.7320440494260342,44.0
global_echem_context,124,79,source_balanced_cycle82_rank63_obj1_9_c2_x10_010723,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,9_c2_x10_010723,4_c2_x10_240623,nominal,nominal,False,82.0,34.0,0.8003607413877033,48.0
global_echem_context,125,80,source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,82.0,36.0,0.8996392837826216,46.0
global_echem_context,126,87,source_balanced_cycle84_rank64_obj1_9_c2_x10_010723,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,84.0,42.0,0.6633068718346693,42.0
global_echem_context,127,80,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,source_balanced_cycle36_rank41_obj1_5_c2_x10_260623,9_c2_x10_010723,5_c2_x10_260623,nominal,nominal,False,84.0,36.0,0.9500269088963134,48.0
