feature_set,method,target,n_eval,n_sources,n_cycles,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,mean_features_after,mean_removed_components,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
video_all,source_mean_resid_4,future_any_drop_within_16cycles,72,9,24,57,0.5789473684210527,0.8495530698697502,0.11107612845769006,0.35294322185468224,64.0,4.0,0.1936127744510978,0.4991485380116959,0.6480701754385965,500.0
video_all,source_mean_resid_8,future_any_drop_within_16cycles,72,9,24,57,0.6175438596491228,0.8466189360193488,0.16538001348144965,0.1650405695017773,64.0,8.0,0.09580838323353294,0.4996678362573099,0.643391812865497,500.0
video_all,source_confound_filter_0.10,future_any_drop_within_16cycles,72,9,24,57,0.5321637426900585,0.8242967075257228,0.045253237519799656,0.7058320818424975,58.0,0.0,0.36926147704590817,0.4974970760233919,0.6363157894736842,500.0
video_all,source_confound_filter_0.25,future_any_drop_within_16cycles,72,9,24,57,0.5719298245614035,0.8443514692602286,0.1012026948170065,0.3976202712407513,48.0,0.0,0.21357285429141717,0.4966479532163743,0.6409941520467836,500.0
video_all,source_confound_filter_0.50,future_any_drop_within_16cycles,72,9,24,57,0.7695906432748537,0.9186761028760683,0.3793044090295935,0.0010166032877115525,32.0,0.0,0.003992015968063872,0.4914713450292397,0.6306432748538011,500.0
video_plus_echem,raw,future_any_drop_within_16cycles,72,9,24,57,0.6116959064327485,0.8577473744740886,0.15715215211421335,0.18738619041094196,119.0,0.0,0.08782435129740519,0.4965754385964912,0.6339181286549708,500.0
video_plus_echem,source_mean_resid_1,future_any_drop_within_16cycles,72,9,24,57,0.6783625730994152,0.8780573578692342,0.2509497717007072,0.03348123379946209,119.0,1.0,0.017964071856287425,0.4980491228070176,0.6457309941520467,500.0
video_plus_echem,source_mean_resid_2,future_any_drop_within_16cycles,72,9,24,57,0.6561403508771929,0.8801170655001772,0.21968389850520925,0.06371390573522479,119.0,2.0,0.031936127744510975,0.4982947368421052,0.6433333333333332,500.0
video_plus_echem,source_mean_resid_4,future_any_drop_within_16cycles,72,9,24,57,0.7286549707602339,0.9266912866935257,0.3217197249762659,0.0058552088211514105,119.0,4.0,0.003992015968063872,0.4966479532163743,0.6281286549707602,500.0
video_plus_echem,source_mean_resid_8,future_any_drop_within_16cycles,72,9,24,57,0.7181286549707603,0.9180655171710781,0.30690909825101576,0.008735267986863492,119.0,8.0,0.001996007984031936,0.4967228070175438,0.627017543859649,500.0
video_plus_echem,source_confound_filter_0.10,future_any_drop_within_16cycles,72,9,24,57,0.5883040935672514,0.8071444774781823,0.12424070664526815,0.2984317822296606,108.0,0.0,0.15568862275449102,0.4968982456140351,0.6374269005847953,500.0
video_plus_echem,source_confound_filter_0.25,future_any_drop_within_16cycles,72,9,24,57,0.6233918128654972,0.8588835803103665,0.17360787484868595,0.14472199540139263,90.0,0.0,0.0658682634730539,0.4965076023391813,0.6328654970760234,500.0
video_plus_echem,source_confound_filter_0.50,future_any_drop_within_16cycles,72,9,24,57,0.7029239766081872,0.8982738803102361,0.2855067894430996,0.01505557742233053,60.0,0.0,0.011976047904191617,0.49808654970760236,0.6411111111111109,500.0
