cycleNo,source_stem,n_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,mask_base_area_fraction,mask_area_fraction_median,mask_area_fraction_iqr,mask_area_fraction_slope,mask_centroid_path_px,mask_centroid_max_step_px,mask_centroid_drift_px,masked_minus_background_mean_median,masked_minus_background_mean_slope,front_radius_q60_median_px,front_radius_q60_delta_px,front_radius_q60_slope_px_per_norm_time,front_radius_q70_median_px,front_radius_q70_delta_px,front_radius_q70_slope_px_per_norm_time,front_radius_q80_median_px,front_radius_q80_delta_px,front_radius_q80_slope_px_per_norm_time,front_radius_q70_positive_step_fraction,front_gradient_peak_radius_median_px,front_gradient_peak_radius_slope_px_per_norm_time,apparent_diffusion_q70_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,roi_norm_mean_delta_last_minus_first,object_area_ds_px,object_mean_residual,object_mean_abs_z
36.0,5_c2_x10_260623,2,0.0,0.0,0.2909613715277778,0.2679307725694444,0.009128146701388895,-0.0069061314254009205,10.764519356600509,0.45070104355117535,0.3661902612463828,0.1532715642824769,0.01110091969519662,6.0,0.0,-0.03157216494845369,6.0,-1.0,-0.7857603092783508,5.5,-0.5,-0.9626288659793819,0.0,6.5,-0.4223582474226805,-8.64336340206186,-0.3186289484536086,0.0005397722125053113,51.5,10516.2119140625,25.163411140441895
38.0,5_c2_x10_260623,2,0.0,0.0,0.2748480902777778,0.2505967881944444,0.008219401041666644,-0.011804150278762176,9.989804068060673,0.3940044642375143,0.64806162399237,0.14880016539245844,0.011723809372681701,7.5,1.0,1.650773195876289,7.0,1.0,2.9130154639175276,5.5,0.5,1.4710051546391758,0.010526315789473684,4.5,1.6066365979381452,40.79188144329899,1.5037519175257734,0.00083708018064495,120.5,6533.857421875,18.250073432922363
40.0,5_c2_x10_260623,2,0.0,0.0,0.2681206597222222,0.24384223090277776,0.007066514756944406,-0.006371706758304691,7.395495763101113,0.1917616912545926,0.5613775904925248,0.14728325232863426,0.006858262361853014,7.0,1.5,0.43427835051546415,6.5,-0.5,0.2229381443298972,6.0,0.0,0.13692010309278374,0.015789473684210527,5.0,-1.0847293814432994,3.246134020618555,0.11966548453608242,0.00019365549087525,115.0,7568.0390625,20.9948468208313
42.0,5_c2_x10_260623,2,0.0,0.0,0.2694227430555556,0.2529025607638889,0.004855685763888895,-0.005700354996688868,7.82098278074317,0.1939886462379739,0.3428929087609674,0.14320854377001524,0.005885237406641632,6.0,1.0,1.8131443298969083,5.5,0.5,0.06701030927835053,5.0,0.0,,0.010526315789473684,4.5,0.43234536082474245,0.737113402061856,0.02717294845360828,9.677931666375003e-05,95.5,10293.66015625,27.147003173828125
44.0,5_c2_x10_260623,2,0.0,1.0,0.2631293402777778,0.24473741319444445,0.007853190104166657,0.0037654776207223664,7.626571251932842,0.228615920536968,0.28070885451241023,0.1548501355573535,0.002777807690568038,5.5,0.0,,5.5,0.0,,5.5,0.0,-0.09600515463917528,0.0,6.0,6.795823926507082e-18,,,-0.00025162845849985,38.0,12459.96533203125,29.843070030212402
46.0,6_c2_x10_270623_2,2,0.0,1.0,0.29134114583333337,0.267578125,0.010213216145833343,0.006718901014819591,7.801700544785836,0.21324972729844427,0.6511013006734174,0.15165545232594013,0.003926174386318046,5.5,0.0,,5.5,0.0,,5.0,0.0,0.4432989690721651,0.0,6.0,0.7516108247422685,,,-0.00010906904935840001,52.5,10581.140625,25.80000591278076
48.0,6_c2_x10_270623_2,2,0.0,1.0,0.2916124131944444,0.2708604600694444,0.007486979166666657,0.0077603789129617705,7.479141309986327,0.20663071267040742,0.40314522808185577,0.14890414010733366,0.0032746445221980107,5.5,0.0,0.0006443298969072214,5.5,0.0,,5.0,0.0,,0.0,6.5,1.2760953608247432,,,-0.0004343129694461786,52.5,10466.70751953125,25.136672973632812
50.0,6_c2_x10_270623_2,2,0.0,1.0,0.2668728298611111,0.2478569878472222,0.005764431423611105,0.009879795000178982,8.130843397946036,0.21401021268706888,0.5895876947190604,0.1439239587634802,0.0019002828624617952,6.5,0.0,0.09471649484536088,5.5,-0.5,-1.4188144329896915,5.5,0.0,,0.005263157894736842,4.0,1.043814432989691,-18.444587628865985,-0.6799412783505157,0.00010935962200162744,94.5,8741.993408203125,22.94032096862793
52.0,6_c2_x10_270623_2,2,1.0,1.0,0.2685004340277778,0.2515190972222222,0.004014756944444434,0.01032791050302478,8.230235709736702,0.2424470337131437,0.3345064401470178,0.14321054331958294,0.0014665691102806922,6.5,0.0,,5.5,-0.5,-0.9046391752577323,5.5,0.0,,0.0,3.5,-0.2880154639175258,-11.760309278350519,-0.43353204123711353,-2.2899359464649994e-05,85.0,10127.38525390625,25.965062141418457
54.0,6_c2_x10_270623_2,2,1.0,1.0,0.2748480902777778,0.25830078125,0.003662109374999986,0.0016080980858032634,7.745956791319513,0.20548094697271052,0.07717735290084957,0.14491966553032398,0.0033927682520744898,8.5,0.0,,8.0,0.0,0.006443298969072194,6.5,0.0,0.0032216494845361023,0.010526315789473684,9.0,1.9490979381443312,0.12371134020618513,0.004560494845360827,-4.7691166400904416e-05,83.5,8958.46923828125,22.15390110015869
