roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,degradation_mode_hypothesis,timing_elapsed_s,thresholds_finite,phase_slope_median_per_s,phase_slope_iqr_per_s,phase_slope_positive_fraction,phase_slope_negative_fraction,phase_slope_abs_median_per_s,radius2_slope_median_px2_per_s,radius2_slope_iqr_px2_per_s,radius2_slope_positive_fraction,radius2_slope_negative_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_iqr_um2_per_s,default_q70_diffusion_proxy_um2_per_s,q70_phase_slope_bootstrap_p05,q70_phase_slope_bootstrap_p50,q70_phase_slope_bootstrap_p95,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,threshold_robust_diffusion_score
cycle153_rank7_obj2,153.0,transfer_warning,0,153.0,,,,12441.275319136,7,2.494765311742836e-06,1.9677713583430226e-06,1.0,0.0,2.494765311742836e-06,0.009099572608576589,0.004548067761362153,1.0,0.0,2.0965415290160462e-05,1.04787481221784e-05,2.0965415290160462e-05,-1.0690547851440503e-06,2.604444963852125e-06,5.4671888005852786e-06,0.006256971634439665,0.009219283734387414,0.01233762244804014,0.53125,2.0965415290160462e-05,0.7604166666666666
cycle146_rank2_obj3,146.0,transfer_warning,0,146.0,,,,12394.593684328,7,1.9851639780575305e-06,1.6408605823551048e-06,1.0,0.0,1.9851639780575305e-06,-0.004026162174732969,0.0013442904006293254,0.0,1.0,-9.276277650584762e-06,3.0972450830499655e-06,-9.276277650584762e-06,-1.8628986352137706e-06,1.6729189982764654e-06,5.211560805344128e-06,-0.005343161038405651,-0.003951963617260813,-0.0026525003532939604,0.5104166666666667,9.276277650584762e-06,0.90625
cycle40_rank8_obj2,40.0,transfer_warning,0,40.0,,,,9322.243530232,7,9.600876407879318e-07,5.400662179623426e-07,1.0,0.0,9.600876407879318e-07,-0.0006508661074446319,0.0010218501816552572,0.2857142857142857,0.7142857142857143,-1.499595511552432e-06,2.3543428185337127e-06,-1.499595511552432e-06,-5.26338851802982e-07,9.84301097656836e-07,2.508335499000078e-06,-0.0011469159446143567,-0.0006479573412437017,-0.000264932335004437,0.5104166666666666,1.499595511552432e-06,0.020833333333333343
cycle146_rank2_obj4,146.0,transfer_warning,0,146.0,,,,12394.593684328,7,1.7641472478071345e-06,1.6840310416904487e-06,1.0,0.0,1.7641472478071345e-06,-0.0021407623641096357,0.004041657323820795,0.0,1.0,-4.9323164869086005e-06,9.311978474083112e-06,-4.9323164869086005e-06,-8.770907519458258e-07,1.5058845307558427e-06,3.936379297180856e-06,-0.002484969222052607,-0.0021438641560287087,-0.0018376633788511935,0.4270833333333333,4.9323164869086005e-06,0.44791666666666663
cycle155_rank10_obj4,155.0,transfer_warning,0,155.0,,,,12444.43306612,7,-2.2802599320392358e-06,2.531960208627933e-06,0.0,1.0,2.2802599320392358e-06,0.0011999480872634503,0.002612468366226149,0.7142857142857143,0.2857142857142857,2.7646803930549897e-06,6.019127115785047e-06,2.7646803930549897e-06,-4.4863570000488906e-06,-2.3075597984627474e-06,-3.523882898232881e-08,-0.0011123020339053758,0.001120354562025809,0.003956340501592347,0.32291666666666663,2.7646803930549897e-06,-0.08333333333333337
cycle151_rank4_obj1,151.0,transfer_warning,0,151.0,,,,12438.259448892,7,9.446684719519224e-07,1.1257804016682544e-06,0.8571428571428571,0.14285714285714285,9.446684719519224e-07,0.0014115429679690367,0.0012169770720114076,1.0,0.0,3.2521949982006607e-06,2.8039151739142834e-06,3.2521949982006607e-06,-1.376992259670513e-06,9.754600802588925e-07,3.1135156648291254e-06,-5.104747401876375e-05,0.0014246117960208054,0.0029734225766776,-0.08333333333333334,3.2521949982006607e-06,0.6354166666666667
cycle154_rank6_obj3,154.0,transfer_warning,0,154.0,,,,12443.325540528,7,-2.4222712475944126e-06,3.461473245993314e-06,0.14285714285714285,0.8571428571428571,2.4222712475944126e-06,0.0011627388490553882,0.001262568211260584,0.7142857142857143,0.2857142857142857,2.6789503082236144e-06,2.9089571587443855e-06,2.6789503082236144e-06,-4.604389813622773e-06,-2.5156796252806394e-06,-7.82490784479724e-07,0.0007144327328334959,0.0011642488245053463,0.0016620284246377675,-0.12499999999999997,2.6789503082236144e-06,0.062499999999999944
cycle152_rank5_obj3,152.0,transfer_warning,0,152.0,,,,12557.445742552,7,-2.1025863546349785e-06,2.693457865689631e-06,0.14285714285714285,0.8571428571428571,2.1025863546349785e-06,0.000583114018154022,0.000851174261343913,0.7142857142857143,0.2857142857142857,1.3434946978268669e-06,1.9611054981363757e-06,1.3434946978268669e-06,-4.62292799467971e-06,-2.2646269596417405e-06,3.874352298406856e-08,-6.2320775488306466e-06,0.0005808650636739347,0.0011663635779646246,-0.1458333333333334,1.3434946978268669e-06,0.04166666666666666
cycle153_rank7_obj3,153.0,transfer_warning,0,153.0,,,,12441.275319136,7,-2.358105842964088e-06,3.833672939207291e-06,0.2857142857142857,0.7142857142857143,2.358105842964088e-06,0.0031654093063493657,0.008823870958210368,0.7142857142857143,0.2857142857142857,7.293103041828939e-06,2.0330198687716687e-05,7.293103041828939e-06,-3.793068206556368e-06,-2.335614044267155e-06,-9.876995191379733e-07,0.0006973316811325811,0.0031533127964959015,0.005237187583573914,-0.30208333333333337,7.293103041828939e-06,0.0
cycle153_rank7_obj1,153.0,transfer_warning,0,153.0,,,,12441.275319136,7,-9.976217790658355e-07,4.336198394098908e-06,0.42857142857142855,0.5714285714285714,2.507300439164271e-06,0.006414430590017098,0.0027934677834188567,1.0,0.0,1.4778848079399394e-05,6.436149772997048e-06,1.4778848079399394e-05,-3.5347553194761878e-06,-1.1873315254699035e-06,9.39289698266298e-07,0.004616354235734779,0.006610606698662362,0.008175534920223958,-0.3333333333333333,1.4778848079399394e-05,0.8437499999999999
cycle151_rank4_obj4,151.0,transfer_warning,0,151.0,,,,12438.259448892,7,-5.815024467303143e-07,1.3669363585514862e-06,0.2857142857142857,0.7142857142857143,7.78829734416293e-07,0.001007901779980484,0.000815853485544092,0.8571428571428571,0.14285714285714285,2.322205701075035e-06,1.8797264306935878e-06,2.322205701075035e-06,-3.453981326475181e-06,-6.290016680735006e-07,1.977896147719344e-06,0.00039765740682195605,0.0009160581993600222,0.001594952391004912,-0.34375,2.322205701075035e-06,0.3645833333333333
cycle155_rank10_obj1,155.0,transfer_warning,0,155.0,,,,12444.43306612,7,-1.1456991870567262e-06,1.926104430490163e-06,0.2857142857142857,0.7142857142857143,1.1456991870567262e-06,0.0004232246397482945,0.004314658770728903,0.5714285714285714,0.42857142857142855,9.751095699800706e-07,9.940973807759394e-06,9.751095699800706e-07,-2.8234445157481534e-06,-1.1637488646727938e-06,6.129919126075614e-07,-0.0017013994346840005,0.0005928545650485574,0.0023328287919097217,-0.3437500000000001,9.751095699800706e-07,-0.7083333333333333
cycle154_rank6_obj4,154.0,transfer_warning,0,154.0,,,,12443.325540528,7,-1.2899862936181575e-06,2.1921689880618657e-06,0.2857142857142857,0.7142857142857143,1.2899862936181575e-06,0.0021033269523847613,0.006098242547901674,0.7142857142857143,0.2857142857142857,4.84606529829449e-06,1.4050350830365455e-05,4.84606529829449e-06,-2.559791658849265e-06,-1.2629728221932458e-06,2.9385349314848023e-08,-0.00015090471915137044,0.002140049829311674,0.004211558265673594,-0.40625,4.84606529829449e-06,-0.10416666666666674
