cycleNo,addrs,n_frames,any_abrupt_drop,drop_count,synchronized_drop_2plus,future_any_drop_within_8cycles,future_any_drop_within_16cycles,cycles_to_next_drop_within_16,capacity_mAh,capacity_fraction_of_first,coulombic_efficiency_pct,V_min,V_max,shape_I_abs_mean_mA,cycle_state_pc1,cycle_state_cluster,cross_modal_consensus_score,n_modal_votes,consensus_class,hazard_probability_mean,echem_outlier_score,source_stem,local_cycle_index,charge_capacity_mAh,discharge_capacity_mAh,n_points,n_roi_balanced_future_roi_reconstruction,n_roi_balanced_future_roi_sequences,n_roi_control_roi_sequences,n_roi_control_roi_sequences_expanded,n_roi_multi_cycle_roi_cohort,n_roi_multi_cycle_roi_sequences,n_roi_selected_roi_sequences,n_roi_source_balanced_pre_event_roi_sequences,n_roi_source_balanced_pre_event_sampling_manifest,n_roi_source_balanced_roi_expansion_manifest,n_roi_source_balanced_roi_sequences,n_roi_transfer_ranked_roi_reconstruction,n_roi_transfer_ranked_roi_sequences,n_roi_total_across_tracked_cohorts,has_any_roi_video_sequence,has_primary_roi_sequence,has_event_echem_coupling,has_echem_optical_regime_atlas,has_cross_modal_degradation_consensus,has_cycle_state_space_transition_audit,has_cycle_hazard_warning_audit,has_masked_rollout_cycle_warning,has_masked_residual_state_transfer_warning
32,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle7.hdf5,934.0,0,0,0,0,0,,0.651167873005438,0.9839889260430932,99.07509948333896,2.967153,4.201617,0.500889,-3.354015049514063,1,0.5735788492498853,1,low_consensus,,0.3012345679012346,4_c2_x10_240623,7.0,0.657246751606787,0.651167873005438,55087.0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,True,True,True,True,True,True,True,False,False
34,D://NMC_degradation_3_160623_Halfthedata\4_c2_x10_240623chopped\4_c2_x10_240623_cycle9.hdf5,933.0,0,0,0,0,0,,0.6498317652090385,0.9819699147709476,98.7624204500116,2.995722,4.202389,0.500889,-3.766807266198673,1,0.476956807988331,0,low_consensus,,0.437037037037037,4_c2_x10_240623,9.0,0.6579747258603789,0.6498317652090385,47321.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
36,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle1.hdf5,921.0,0,0,0,0,0,,0.6436790965861274,0.9726725307298484,98.90136435694149,2.999776,4.200073,0.500889,-3.953793755181055,1,0.4987028262231134,1,low_consensus,,0.3753086419753086,5_c2_x10_260623,1.0,0.6508293396874157,0.6436790965861274,93037.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
38,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle3.hdf5,929.0,0,0,0,0,0,,0.6463712421912423,0.9767406697958962,98.9041707117209,2.972365,4.201617,0.500889,-4.49894978018939,1,0.5932911617212491,0,low_consensus,,0.3530864197530864,5_c2_x10_260623,3.0,0.6535328465320648,0.6463712421912423,76492.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
40,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle5.hdf5,927.0,0,0,0,0,0,,0.6456776883909884,0.9756926308993898,98.70623035375256,2.999969,4.201423999999999,0.500889,-5.235546508470637,1,0.6072249755146135,1,low_consensus,,0.4814814814814815,5_c2_x10_260623,5.0,0.65414076302676,0.6456776883909884,55703.0,3,3,0,0,0,0,0,2,2,0,0,4,4,18,True,True,True,True,True,True,True,False,True
42,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle7.hdf5,925.0,0,0,0,0,0,,0.6433550351988286,0.9721828370123308,98.73712122331123,2.94978,4.200073,0.500889,-5.497446492870384,1,0.5216326550986351,0,low_consensus,,0.474074074074074,5_c2_x10_260623,7.0,0.651583748065501,0.6433550351988286,46147.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
44,D://NMC_degradation_3_160623_Halfthedata\5_c2_x10_260623chopped\5_c2_x10_260623_cycle9.hdf5,925.0,0,0,0,0,1,16.0,0.6335059760529974,0.9572997852937144,97.30886282905732,2.999969,4.202003,0.500889,-6.525154720159276,1,0.5160301341897263,1,low_consensus,,0.671604938271605,5_c2_x10_260623,9.0,0.651025978143305,0.6335059760529974,68598.0,3,3,0,0,0,0,0,2,2,0,0,0,0,10,True,True,True,True,True,True,True,False,True
46,D://NMC_degradation_3_160623_Halfthedata\6_c2_x10_270623_2chopped\6_c2_x10_270623_2_cycle1.hdf5,919.0,0,0,0,0,1,14.0,0.6398801285556821,0.9669318567388288,98.9004507671446,2.999969,4.200073,0.500889,-5.003522844938644,1,0.4476915167068101,1,low_consensus,,0.3802469135802469,6_c2_x10_270623_2,1.0,0.6469941477438187,0.6398801285556821,92490.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
48,D://NMC_degradation_3_160623_Halfthedata\6_c2_x10_270623_2chopped\6_c2_x10_270623_2_cycle3.hdf5,924.0,0,0,0,0,1,12.0,0.6399956269773582,0.9671063880273276,98.86131990909708,2.999969,4.200073,0.500889,-5.197520556619703,1,0.3786159293727958,0,low_consensus,,0.3999999999999999,6_c2_x10_270623_2,3.0,0.6473670668830174,0.6399956269773582,92525.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
50,D://NMC_degradation_3_160623_Halfthedata\6_c2_x10_270623_2chopped\6_c2_x10_270623_2_cycle5.hdf5,924.0,0,0,0,0,1,10.0,0.6399385683032753,0.9670201658628756,98.86951111059348,2.999776,4.200073,0.500889,-4.406840460750499,1,0.4586556892268503,1,low_consensus,,0.3876543209876543,6_c2_x10_270623_2,5.0,0.6472557223302668,0.6399385683032753,92513.0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,True,True,True,True,True,True,True,False,False
52,D://NMC_degradation_3_160623_Halfthedata\6_c2_x10_270623_2chopped\6_c2_x10_270623_2_cycle7.hdf5,925.0,0,0,0,1,1,8.0,0.6399538715053725,0.9670432907466742,98.87612597794325,2.999776,4.200073,0.500889,-4.187961581777255,1,0.279470605976536,0,low_consensus,,0.3728395061728394,6_c2_x10_270623_2,7.0,0.6472278977112533,0.6399538715053725,92512.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
54,D://NMC_degradation_3_160623_Halfthedata\6_c2_x10_270623_2chopped\6_c2_x10_270623_2_cycle9.hdf5,924.0,0,0,0,1,1,6.0,0.6398704223287225,0.9669171895228345,98.85090799924473,2.999776,4.200073,0.500889,-4.739096779953182,1,0.3548229380782439,0,low_consensus,,0.4024691358024691,6_c2_x10_270623_2,9.0,0.6473085935979581,0.6398704223287225,92512.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
56,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle1.hdf5,913.0,0,0,0,1,1,4.0,0.6375714923988263,0.9634432441908478,98.80849336059764,2.999969,4.200073,0.500889,-4.3861552354009055,1,0.5298946340222869,1,low_consensus,,0.4444444444444443,7_c2_x10_290623,1.0,0.6452598058266455,0.6375714923988263,92199.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
58,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle3.hdf5,919.0,0,0,0,1,1,2.0,0.6391710499937513,0.9658603581567288,98.7462520346092,2.991089,4.201038,0.500889,-3.5474100700235667,1,0.4907264225694314,0,low_consensus,,0.4567901234567901,7_c2_x10_290623,3.0,0.6472863899378487,0.6391710499937513,71886.0,0,0,0,0,4,4,0,2,2,0,0,0,0,12,True,True,True,True,True,True,True,True,False
60,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle5.hdf5,920.0,1,1,0,0,0,,0.6398820700465511,0.9669347905529714,98.8206540493392,2.962327,4.20181,0.500889,-4.816019715064928,1,0.6682945470398655,1,trace_event_low_modal_support,,0.4074074074074073,7_c2_x10_290623,5.0,0.6475185538916496,0.6398820700465511,56443.0,0,0,0,0,6,6,0,0,0,0,0,0,0,12,True,True,True,True,True,True,True,True,True
62,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle7.hdf5,917.0,0,0,0,0,0,,0.6373127960633862,0.963052324521998,98.6439268464617,2.991282,4.201617,0.500889,-5.701628449484817,1,0.3867839863470325,0,low_consensus,,0.4864197530864197,7_c2_x10_290623,7.0,0.6460740325710648,0.6373127960633862,47050.0,0,0,0,0,4,4,0,2,2,0,0,0,0,12,True,True,True,True,True,True,True,True,False
64,D://NMC_degradation_3_160623_Halfthedata\7_c2_x10_290623chopped\7_c2_x10_290623_cycle9.hdf5,915.0,0,0,0,0,0,,0.6378367320564149,0.9638440515657726,98.85440826000784,2.999969,4.202003,0.500889,-5.040286837369052,1,0.3589315964472019,0,low_consensus,,0.3876543209876543,7_c2_x10_290623,9.0,0.6452284154883315,0.6378367320564149,44034.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
66,D://NMC_degradation_3_160623_Halfthedata\8_c2_x10_300623chopped\8_c2_x10_300623_cycle1.hdf5,908.0,0,0,0,0,0,,0.6341707408081786,0.9583043206595376,98.83560312289966,2.999969,4.200073,0.5008889999999999,-6.16227177126118,1,0.6238205914115059,1,low_consensus,0.67273427862754,0.4246913580246912,8_c2_x10_300623,1.0,0.6416420002209151,0.6341707408081786,91696.0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,True,True,True,True,True,True,True,False,False
68,D://NMC_degradation_3_160623_Halfthedata\8_c2_x10_300623chopped\8_c2_x10_300623_cycle3.hdf5,913.0,0,0,0,0,0,,0.6333962939103049,0.957134043066144,98.42825552854816,2.991475,4.200073,0.500889,-6.302052898234703,1,0.4224834375326703,0,low_consensus,0.6120672889232416,0.5407407407407407,8_c2_x10_300623,3.0,0.6435106367668931,0.6333962939103049,67822.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
70,D://NMC_degradation_3_160623_Halfthedata\8_c2_x10_300623chopped\8_c2_x10_300623_cycle5.hdf5,913.0,0,0,0,0,1,16.0,0.6342278371662973,0.9583905997688662,98.62141113462258,2.99688,4.200459,0.500889,-5.421419019396777,1,0.6249321059714319,1,low_consensus,0.5095937326785109,0.4864197530864197,8_c2_x10_300623,5.0,0.6430934518879965,0.6342278371662973,66196.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
72,D://NMC_degradation_3_160623_Halfthedata\8_c2_x10_300623chopped\8_c2_x10_300623_cycle7.hdf5,911.0,0,0,0,0,1,14.0,0.6336484013776601,0.9575150062038144,98.65242860018937,2.986071,4.200073,0.500889,-5.610100531016699,1,0.4689789085327928,0,low_consensus,0.4563104095395468,0.4765432098765432,8_c2_x10_300623,7.0,0.6423039051026909,0.6336484013776601,56714.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
74,D://NMC_degradation_3_160623_Halfthedata\8_c2_x10_300623chopped\8_c2_x10_300623_cycle9.hdf5,910.0,0,0,0,0,1,12.0,0.6312882726381965,0.9539485824904492,98.03900241291728,2.987036,4.200073,0.500889,-5.234875656696071,1,0.4221188480884023,0,low_consensus,0.558277404651741,0.6098765432098766,8_c2_x10_300623,9.0,0.6439154388570361,0.6312882726381965,48585.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
76,D://NMC_degradation_3_160623_Halfthedata\9_c2_x10_010723chopped\9_c2_x10_010723_cycle1.hdf5,905.0,0,0,0,0,1,10.0,0.6265629096357282,0.9468080200353298,98.49423902936768,2.999969,4.200073,0.500889,-3.7482156547020216,1,0.7100667532723229,2,low_consensus,0.8227760165580846,0.5308641975308641,9_c2_x10_010723,1.0,0.6361416828134568,0.6265629096357282,90754.0,3,3,0,0,0,0,0,2,2,0,0,0,0,10,True,True,True,True,True,True,True,False,True
78,D://NMC_degradation_3_160623_Halfthedata\9_c2_x10_010723chopped\9_c2_x10_010723_cycle3.hdf5,908.0,0,0,0,1,1,8.0,0.6281369715912719,0.949186607182162,98.81914382910963,2.998618,4.201038,0.500889,-4.27916383130494,1,0.587031555537657,0,low_consensus,0.7774683610451757,0.4296296296296296,9_c2_x10_010723,3.0,0.6356430011957244,0.6281369715912719,77251.0,3,3,0,0,0,0,0,2,2,2,2,0,0,14,True,True,True,True,True,True,True,False,True
80,D://NMC_degradation_3_160623_Halfthedata\9_c2_x10_010723chopped\9_c2_x10_010723_cycle5.hdf5,906.0,0,0,0,1,1,6.0,0.6281793822546397,0.9492506945317226,98.83713792081356,2.998811,4.200845,0.5008889999999999,-3.951105584341146,1,0.5744350932069912,0,low_consensus,0.941089475106074,0.4049382716049383,9_c2_x10_010723,5.0,0.6355701869452403,0.6281793822546397,58971.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
82,D://NMC_degradation_3_160623_Halfthedata\9_c2_x10_010723chopped\9_c2_x10_010723_cycle7.hdf5,905.0,0,0,0,1,1,4.0,0.6285797414432752,0.9498556829293208,98.51204426720564,2.999969,4.202196,0.500889,-3.556462509000508,1,0.5043613332622032,0,low_consensus,0.8934046700041016,0.5037037037037037,9_c2_x10_010723,7.0,0.6380740001073426,0.6285797414432752,46781.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
84,D://NMC_degradation_3_160623_Halfthedata\9_c2_x10_010723chopped\9_c2_x10_010723_cycle9.hdf5,907.0,0,0,0,1,1,2.0,0.626931303671796,0.9473647054415644,98.85731468571622,2.953254,4.200073,0.5008889999999999,-4.423886459980029,1,0.4625628185930831,1,low_consensus,0.731538128721427,0.3876543209876543,9_c2_x10_010723,9.0,0.6341779621112655,0.626931303671796,42444.0,3,3,0,0,0,0,0,2,2,2,2,0,0,14,True,True,True,True,True,True,True,False,True
86,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle1.hdf5,899.0,1,3,1,0,0,,0.623164453387729,0.9416725650285604,98.59700920601584,2.999776,4.200073,0.500889,-6.813171681880113,1,0.8126999459104489,4,synchronized_multimodal_degradation_candidate,0.6219984479106454,0.5111111111111111,10_c2_x10_030723,1.0,0.6320318013760877,0.623164453387729,90230.0,0,0,0,0,6,6,5,0,0,0,0,0,0,17,True,True,True,True,True,True,True,True,True
88,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle3.hdf5,904.0,0,0,0,0,0,,0.625657274255596,0.9454395016823436,99.09615709756363,2.99051,4.200073,0.500889,-6.01785605119535,1,0.6974769390575238,2,low_consensus,0.2253600715577973,0.3185185185185185,10_c2_x10_030723,3.0,0.6313638112521504,0.625657274255596,80850.0,0,0,8,8,4,4,0,2,2,0,0,0,0,28,True,True,True,True,True,True,True,True,False
90,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle5.hdf5,902.0,0,0,0,0,0,,0.6261703468961589,0.9462148129615064,98.8631993478899,2.980472,4.200652,0.5008889999999999,-6.899579395248483,1,0.6537558396927734,2,low_consensus,0.1596956506442356,0.3728395061728394,10_c2_x10_030723,5.0,0.6333705069494331,0.6261703468961589,59062.0,0,0,0,8,4,4,0,2,2,0,0,0,0,20,True,True,True,True,True,True,True,True,False
92,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle7.hdf5,905.0,0,0,0,0,0,,0.6253181712982415,0.9449270784368828,98.91909233405694,2.989738,4.201423999999999,0.500889,-6.3200589209783455,1,0.7007544485570945,1,low_consensus,0.1895997584395418,0.3432098765432098,10_c2_x10_030723,7.0,0.6321511414464831,0.6253181712982415,50572.0,0,0,0,8,0,0,0,2,2,2,2,0,0,16,True,True,True,True,True,True,True,False,False
94,D://NMC_degradation_3_160623_Halfthedata\10_c2_x10_030723chopped\10_c2_x10_030723_cycle9.hdf5,901.0,0,0,0,0,0,,0.6268646283366863,0.947263951405458,98.87589136011783,2.94534,4.201231,0.5008889999999999,-5.903740541066177,1,0.569990226281757,2,low_consensus,0.1437799281815917,0.3728395061728394,10_c2_x10_030723,9.0,0.6339913802178231,0.6268646283366863,45515.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
96,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle1.hdf5,893.0,0,0,0,0,0,,0.6264680253774085,0.9466646390988418,97.9904725551036,2.965416,4.200845,0.5008889999999999,-3.8451505077375328,1,0.5930616145518888,2,low_consensus,0.1479627706786541,0.5753086419753086,11_c2_x10_050723,1.0,0.6393152405966026,0.6264680253774085,83138.0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,True,True,True,True,True,True,True,False,False
98,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle3.hdf5,898.0,0,0,0,0,0,,0.624932044368529,0.944343596605799,98.1786664417081,2.999969,4.201617,0.500889,-4.569015536257349,1,0.396323918810931,1,low_consensus,0.3650220072438089,0.5777777777777778,11_c2_x10_050723,3.0,0.6365252931394945,0.624932044368529,60147.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
100,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle5.hdf5,899.0,0,0,0,0,1,16.0,0.6271394643536904,0.9476792599739868,99.00715790899734,2.999969,4.200845,0.500889,-3.6884175893799607,1,0.550540452157886,1,low_consensus,0.6312103242346581,0.3160493827160494,11_c2_x10_050723,5.0,0.633428408206735,0.6271394643536904,63808.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
102,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle7.hdf5,899.0,0,0,0,0,1,14.0,0.6269655434009839,0.9474164455776312,98.76904183464588,2.963485,4.200652,0.500889,-3.618076796282532,1,0.498490114240084,1,low_consensus,0.6522043337041512,0.4172839506172839,11_c2_x10_050723,7.0,0.6347794124100321,0.6269655434009839,60596.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
104,D://NMC_degradation_3_160623_Halfthedata\11_c2_x10_050723chopped\11_c2_x10_050723_cycle9.hdf5,899.0,0,0,0,0,1,12.0,0.6262963091730681,0.9464051563287332,98.70039232971492,2.963871,4.200073,0.500889,-2.958406183783669,1,0.6214992033011846,3,multimodal_outlier_without_trace_drop,0.8985716542053739,0.4617283950617284,11_c2_x10_050723,9.0,0.6345428770747796,0.6262963091730681,53824.0,3,3,0,0,0,0,0,2,2,0,0,0,0,10,True,True,True,True,True,True,True,False,True
106,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle1.hdf5,895.0,0,0,0,0,1,10.0,0.6215962920690086,0.9393028944169742,98.49084541838673,2.999776,4.200073,0.500889,-2.364553928367172,1,0.653099512589666,2,low_consensus,0.9403633721245898,0.5111111111111111,12_c2_x10_070723,1.0,0.6311208817717857,0.6215962920690086,90037.0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,True,True,True,True,True,True,True,False,False
108,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle3.hdf5,902.0,0,0,0,1,1,8.0,0.623962989806186,0.942879244635122,98.59027240129016,2.977191,4.201038,0.500889,-2.2576549596201296,1,0.4589576496713745,1,low_consensus,0.9168893589704746,0.491358024691358,12_c2_x10_070723,3.0,0.6328849435231105,0.623962989806186,62042.0,3,3,0,0,0,0,0,2,2,2,2,0,0,14,True,True,True,True,True,True,True,False,True
110,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle5.hdf5,900.0,0,0,0,1,1,6.0,0.6265993163629001,0.9468630347525104,99.00844061867976,2.995336,4.200845,0.5008889999999999,-2.9618547499190666,1,0.611098871807764,2,low_consensus,0.9516404439941396,0.3037037037037037,12_c2_x10_070723,5.0,0.6328746442701579,0.6265993163629001,55449.0,3,3,0,0,0,0,0,2,2,2,2,0,0,14,True,True,True,True,True,True,True,False,True
112,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle7.hdf5,901.0,0,0,0,1,1,4.0,0.831203029316235,1.2560425814094447,99.25550518434362,2.990317,4.400058,0.500889,5.498248175674021,0,0.6492858679943373,2,low_consensus,0.1990453058133759,0.4,12_c2_x10_070723,7.0,0.8374377096489228,0.831203029316235,117033.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
114,D://NMC_degradation_3_160623_Halfthedata\12_c2_x10_070723chopped\12_c2_x10_070723_cycle9.hdf5,900.0,0,0,0,1,1,2.0,0.8279939523711375,1.2511933001293012,98.56611683914352,2.972944,4.403532,0.500889,5.761328568576032,0,0.4918830406099344,1,low_consensus,0.203385771981906,0.6197530864197531,12_c2_x10_070723,9.0,0.8400391320299193,0.8279939523711375,61048.0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,True,True,True,True,True,True,True,False,False
