roi_id,cycleNo,source_stem,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,front_radius_slope_r2,apparent_diffusion_proxy_ds_px2_per_frame,n_event_particles,mean_drop_frac,evidence_score,degradation_mode_hypothesis,roi_mean_delta,timing_elapsed_s,seconds_per_sample,low_threshold,high_threshold,mid_threshold,high_fraction_first,high_fraction_last,high_fraction_delta,high_fraction_slope_per_frame,high_fraction_slope_r2,low_fraction_delta,low_fraction_slope_per_frame,mid_fraction_delta,mid_fraction_slope_per_frame,high_radius2_delta_px2,high_radius2_slope_px2_per_frame,high_radius2_slope_r2,low_radius2_delta_px2,low_radius2_slope_px2_per_frame,interface_density_mean,interface_density_delta,interface_density_slope_per_frame,centroid_path_px,centroid_net_px,temporal_diff_energy,first_last_corr,cumulative_abs_first_last,high_fraction_slope_per_s,low_fraction_slope_per_s,mid_fraction_slope_per_s,high_radius2_slope_px2_per_s,low_radius2_slope_px2_per_s,interface_density_slope_per_s
cycle62_rank2_obj2,62.0,7_c2_x10_290623,control,0,60.0,,2.079343177314194,0.6851130808604106,0.0004230040251199,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,-0.0006430745124816,9242.521957436,97.28970481511578,0.03728387206792831,0.07529472857713698,0.05628930032253265,0.28699820251647695,0.2932893948472139,0.006291192330736939,4.3215068627200865e-05,0.0031326517930988507,0.009436788496105464,-7.105997073440594e-05,-0.0016476932294787194,7.889795306647025e-05,-37.32084846494547,-0.14617866399372278,0.34913238091493193,23.08081156340222,0.04081895786359735,0.18788539794287998,0.0004493708807669361,-1.0934569519113687e-05,17.238929496162278,0.46552670876225316,3.990031109424308e-05,0.8894790053959069,0.02839396893978119,4.441895338188609e-07,-7.303955836791217e-07,8.109589109803936e-07,-0.0015025090709393455,0.0004195609179940215,-1.1239184598096135e-07
cycle62_rank1_obj4,62.0,7_c2_x10_290623,control,0,60.0,,1.9750338827400629,0.7803581370594694,-0.0010294590858875,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,0.0020438283681869,9242.521957436,97.28970481511578,0.032748479023575784,0.07186454385519028,0.05230651143938303,0.2847513481126423,0.29418813660874776,0.009436788496105464,0.0001394195711462453,0.016673182700073563,-0.017076093469143183,-0.00018349514152784925,0.027261833433193494,0.0002009022691075708,31.89118922295154,0.09210970879779776,0.1321243219278082,6.157580324976152,0.13210318372921157,0.1694939584581586,0.0002995805871779389,-6.1322179334164286e-06,18.38081405167292,0.7128287583423727,7.554845069535077e-05,0.9197271010614657,0.027302032336592674,1.4330351953599909e-06,-1.8860694651767494e-06,2.0649900160490245e-06,0.0009467569972880294,0.0013578331230447607,-6.303049171615611e-08
cycle62_rank3_obj9,62.0,7_c2_x10_290623,control,0,60.0,,1.5226033969557806,0.4351365854209194,0.0009999913697182,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,0.0019223168492317,9242.521957436,97.28970481511578,0.03167537748813629,0.06854446753859518,0.05010992251336574,0.2823547034152187,0.29343918514080286,0.011084481725584183,0.00031623591865582605,0.054724852697665916,-0.018124625524266025,-0.00042956105348334196,0.022618334331935275,0.0004349414753149182,5.417711358715792,-0.2021032242654954,0.49864455868426927,6.169565694471885,0.16973987624743336,0.19751566556820455,0.010784901138406217,4.5614720509031867e-05,19.72176073112985,0.07311789150360105,8.644965419080108e-05,0.8235944518090812,0.03948972001671791,3.250456142885664e-06,-4.415277590775479e-06,4.470580686224283e-06,-0.0020773341295418843,0.001744684872566918,4.688545473101771e-07
cycle62_rank4_obj1,62.0,7_c2_x10_290623,control,0,60.0,,1.1137010944495138,0.2855718058002995,-0.0004830536672512,1.0,0.1707317073170731,5.37722440775176,single_persistent_drop_needs_roi_qc,0.0005490258336067,9242.521957436,97.28970481511578,0.051409071683883666,0.10192077234387396,0.07666492201387881,0.28699820251647695,0.28819652486518876,0.001198322348711811,3.980658765195075e-05,0.001780870204872942,0.012582384661473933,-0.00015632787185297864,-0.008238466147393653,7.851799125283245e-05,-34.95757360057996,-0.04367370129255473,0.0039014884048093057,-33.19223940063239,-0.009038807180856652,0.20671216546834434,0.0005991611743559055,-1.0310781942717217e-05,19.35715540643079,0.4233200734149677,0.00010468629625393078,0.8175055906243376,0.03931436687707901,4.091551899309088e-07,-1.6068285143844961e-06,8.070534431371119e-07,-0.0004489036262937577,-9.290610140130987e-05,-1.0598019556448735e-07
cycle86_rank2_obj6,86.0,10_c2_x10_030723,event,1,86.0,,2.198397308847956,0.5428245893496153,-0.0003828212075766,3.0,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,0.0001316592097282,9098.537893392,95.77408308833684,0.03701905719935894,0.07482312694191932,0.05592109207063913,0.29673457159976036,0.2982324745356501,0.00149790293588975,0.00019659569657281824,0.034469651799353684,0.0032953864589574944,-0.00028412406570031305,0.0034451767525464083,0.00027480484185948823,6.473404930972833,-0.08131057971096169,0.04955216115578198,6.05951835567862,0.2752781452278216,0.17768873576992208,0.004793289394847217,-4.745662095854685e-05,13.230823180733385,0.024678101460404833,4.831897240364924e-05,0.9814205800323119,0.012960313819348812,2.052702466401991e-06,-2.9666070040916224e-06,2.869302769581444e-06,-0.0008489831182822727,0.0028742446427173825,-4.955058762063578e-07
cycle86_rank5_obj8,86.0,10_c2_x10_030723,event,1,86.0,,1.9606669965442456,0.4585768175560307,0.000766356757609,3.0,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,0.0003325119614601,9098.537893392,95.77408308833684,0.043722737580537796,0.0772898942232132,0.060506315901875496,0.2937387657279808,0.30332534451767523,0.009586578789694433,0.0002593899739496542,0.02306094017689919,0.0058418214499700305,-0.00039527813529858987,-0.0043439185140802805,0.00040341683607138983,16.67665955263442,-0.022078987140308228,0.004123716593030902,-0.4166062078102186,0.16596925264509746,0.2079370131815458,0.0010485320551228416,-2.3892892869135507e-05,15.492939511230466,0.38844676981616477,5.278667595121078e-05,0.976481740106244,0.014939644373953342,2.7083524643134087e-06,-4.127193104360045e-06,4.212171216500188e-06,-0.00023053196050902168,0.0017329244749022174,-2.494713820136288e-07
cycle86_rank3_obj5,86.0,10_c2_x10_030723,event,1,86.0,,1.456577760966197,0.1376679351873487,-0.0004042854948111,3.0,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,0.000612773001194,9098.537893392,95.77408308833684,0.0254464253783226,0.06762839481234549,0.04653741009533405,0.3013780707010186,0.3084182144997004,0.007040143798681842,0.000353265940434343,0.08566334275965992,-0.0059916117435590555,-0.0004400130511803279,0.006590772917914933,0.0004176867388369289,23.19464273127619,0.08039192559217148,0.09325584013894272,7.194468534869884,0.38428459080473953,0.15786804723387257,0.0038945476333133444,-4.241247549144604e-05,20.305278789786904,0.004890640801824833,9.460682485951111e-05,0.9832854610654862,0.01390142273157835,3.6885337770188786e-06,-4.59428100997306e-06,4.361166668144212e-06,0.0008393912319476065,0.004012406889349138,-4.4283875265427566e-07
cycle86_rank4_obj9,86.0,10_c2_x10_030723,event,1,86.0,,1.1156177975150214,0.000744874142998,0.0001313458507198,3.0,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,-0.0006619244813919,9098.537893392,95.77408308833684,0.02603551372885704,0.06732673346996307,0.046681123599410054,0.3081186339125225,0.3102156980227681,0.0020970641102456278,0.0005159617284580776,0.0950791952203982,-0.0022468544038345972,-0.0008004119111160799,0.0005991611743559333,0.0007663931375076561,11.124187596991305,0.017505691683341578,0.0016159986196523368,-8.14563836424486,0.2028762186439543,0.19024147443578987,0.008238466147393653,9.409540967117089e-05,23.08782386139515,0.26390212496882853,0.00012165113002993166,0.9761626362204234,0.01879122294485569,5.387279228579849e-06,-8.357291297456988e-06,8.002093184236246e-06,0.00018278109399591196,0.0021182788923892098,9.8247257125273e-07
cycle86_rank6_obj78,86.0,10_c2_x10_030723,event,1,86.0,,1.85813722649508,0.4228746509426062,-0.000538995063536,3.0,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,0.0003233179450035,9098.537893392,95.77408308833684,0.04203990250825882,0.09479583948850631,0.06841787099838256,0.2995805871779509,0.3030257639304973,0.0034451767525464083,0.00024115079095452142,0.04496683348022523,0.0058418214499700305,-0.0004714178094238328,0.012881965248651872,0.0004140130973446736,7.846877409787453,0.04898318515728117,0.0102797635132863,4.046161314210394,0.34173176729426774,0.19778872079089274,0.0031455961653684694,8.940277967872538e-06,16.281372471749982,0.17865502347921147,0.00013411413237918168,0.9731810239885106,0.017686286941170692,2.5179128129276577e-06,-4.9221855665172225e-06,4.3228093028341525e-06,0.0005114450963952506,0.003568102729619169,9.334757044477794e-08
cycle86_rank8_obj17,86.0,10_c2_x10_030723,event,1,86.0,,1.248393377128957,0.0505274760438475,0.0002578172714733,3.0,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,0.0004057213664054,9098.537893392,95.77408308833684,0.06861968487501144,0.1091850996017456,0.08890239223837852,0.304973037747154,0.3024266027561414,-0.0025464349910125916,0.00020403238233700276,0.12225533101475083,-0.001198322348711811,-0.00025513013468609984,0.005542240862792092,0.0002431867360735704,3.892501588543496,-0.0502564747284463,0.015281906696474112,-6.786659070868154,0.2733884509003282,0.2218113391252247,0.003145596165368497,-7.848344926977237e-05,17.2157252804701,0.48732903626372936,0.00010395733988843858,0.9595343557809409,0.018371963873505592,2.130350672726507e-06,-2.663874468532177e-06,2.539170600560781e-06,-0.0005247398159071118,0.0028545138944130583,-8.19464376363525e-07
cycle88_rank2_obj4,88.0,10_c2_x10_030723,control,0,86.0,,0.6746893715851342,0.0311247701866334,9.537964091090544e-05,3.0,0.1420951480652973,12.399287527913966,synchronized_persistent_drop_low_frame_count,0.0001411363482475,9106.526124716,95.85816973385263,0.03645125404000282,0.07542256340384483,0.05593690872192383,0.2932893948472139,0.2962852007189934,0.0029958058717795,0.0002698795614517363,0.06293842619323853,-0.001647693229478775,-0.0005581964143308429,0.0007489514679449027,0.00047169312934762037,-0.15237479485790573,-0.3006406489087662,0.5922487934080365,-5.448139947910022,-0.00998316454969475,0.17011496405032953,-0.0043439185140802805,-0.0002316385383848385,14.319556688927662,0.1340588277789706,5.6508928537368774e-05,0.9966883622618069,0.006905795074999332,2.8154049070731153e-06,-5.823149094966644e-06,4.920739991773913e-06,-0.003136307001724381,-0.0001041451613087618,-2.4164715331825763e-06
