x,y,n,spearman_rho,p_value,abs_rho
object_x_full_approx,q70_radius2_slope_bootstrap_p50_px2_per_s,72,-0.13293459386455722,0.26562462651528174,0.13293459386455722
object_y_full_approx,persistence_particle_to_nonparticle_mse_ratio_mean,72,0.13201919753463404,0.26895966655653525,0.13201919753463404
object_x_full_approx,threshold_robust_phase_score,72,-0.13184198027842056,0.26960855280407775,0.13184198027842056
first_frame_index,persistence_particle_to_nonparticle_mse_ratio_mean,72,0.13166604716200234,0.2702537757844203,0.13166604716200234
object_area_ds_px,radius2_slope_median_px2_per_s,72,-0.12671379276779615,0.28884122024875947,0.12671379276779615
object_area_ds_px,diffusion_proxy_median_um2_per_s,72,-0.12671379276779615,0.28884122024875947,0.12671379276779615
first_frame_index,velocity_particle_mse_fraction_of_full_mean,72,0.12548590266741622,0.29357724548464104,0.12548590266741622
transferred_masked_residual_signature,persistence_particle_mse_fraction_of_full_mean,72,0.12492762946045696,0.29574728878154927,0.12492762946045696
transferred_masked_residual_signature,persistence_particle_to_nonparticle_mse_ratio_mean,72,0.11865228485850203,0.3208611530559142,0.11865228485850203
object_y_full_approx,velocity_particle_to_nonparticle_mse_ratio_mean,72,0.11459028386668332,0.33782297786840176,0.11459028386668332
object_area_ds_px,low_rank_dmd_particle_mse_fraction_of_full_mean,72,0.11188575406594209,0.34942307895512587,0.11188575406594209
stage_drift_xy_sampled,mask_instability_score,72,0.10932285594600195,0.3606411116049535,0.10932285594600195
object_x_full_approx,persistence_particle_mse_fraction_of_full_mean,72,0.10749887452569298,0.36875793354623976,0.10749887452569298
object_area_ds_px,q70_radius2_slope_bootstrap_p50_px2_per_s,72,-0.10696451779396017,0.37115674743261257,0.10696451779396017
stage_drift_xy_sampled,radius2_slope_median_px2_per_s,72,0.10594476500991859,0.3757607980103376,0.10594476500991859
stage_drift_xy_sampled,diffusion_proxy_median_um2_per_s,72,0.10594476500991859,0.3757607980103376,0.10594476500991859
first_frame_index,velocity_particle_to_nonparticle_mse_ratio_mean,72,0.10453135024046023,0.3821989382784625,0.10453135024046023
validation_score_recon,low_rank_dmd_particle_mse_fraction_of_full_mean,72,-0.09826998520805198,0.4115065413424404,0.09826998520805198
object_x_full_approx,velocity_particle_to_nonparticle_mse_ratio_mean,72,0.09489356228696381,0.4278372558548841,0.09489356228696381
balanced_cycle_rank,phase_slope_positive_fraction,72,0.09219770884507267,0.44113713514092573,0.09219770884507267
stage_drift_xy_sampled,q70_radius2_slope_bootstrap_p50_px2_per_s,72,0.08851577409331463,0.45967061253253727,0.08851577409331463
cycleNo,threshold_robust_diffusion_score,72,-0.0851218053625241,0.4771255528120926,0.0851218053625241
local_cycle_index,velocity_particle_to_nonparticle_mse_ratio_mean,72,-0.08352588641890568,0.48545427345453585,0.08352588641890568
object_x_full_approx,mask_instability_score,72,0.08016592706926493,0.5032377921920457,0.08016592706926493
validation_score_recon,accepted_area_cv,72,0.0798765193903145,0.5047851523792318,0.0798765193903145
object_x_full_approx,accepted_area_cv,72,0.07707891182712714,0.5198685002931721,0.07707891182712714
local_cycle_index,velocity_particle_mse_fraction_of_full_mean,72,-0.06535329681991166,0.5854650584722316,0.06535329681991166
stage_drift_xy_sampled,low_rank_dmd_particle_mse_fraction_of_full_mean,72,-0.06511392673899803,0.5868423890097536,0.06511392673899803
object_x_full_approx,threshold_robust_diffusion_score,72,-0.06185020046858898,0.605766492463478,0.06185020046858898
local_cycle_index,persistence_particle_to_nonparticle_mse_ratio_mean,72,-0.05986264809080384,0.6174202365226279,0.05986264809080384
stage_drift_xy_sampled,phase_slope_positive_fraction,72,-0.05504500056333377,0.6460572906886705,0.05504500056333377
cycleNo,threshold_robust_phase_score,72,-0.05402970199575763,0.6521603347358758,0.05402970199575763
stage_drift_xy_sampled,threshold_robust_diffusion_score,72,-0.052126935990892104,0.6636593517532557,0.052126935990892104
validation_score_recon,threshold_robust_diffusion_score,72,-0.052008202890123964,0.6643795041127388,0.052008202890123964
local_cycle_index,low_rank_dmd_particle_mse_fraction_of_full_mean,72,-0.047034937785631586,0.694809206010059,0.047034937785631586
local_cycle_index,accepted_area_cv,72,0.046889168350345546,0.6957087100039063,0.046889168350345546
validation_score_recon,q70_radius2_slope_bootstrap_p50_px2_per_s,72,-0.03871631616181105,0.7467782697370584,0.03871631616181105
stage_drift_xy_sampled,threshold_robust_phase_score,72,-0.03550328270152535,0.7671718242471198,0.03550328270152535
object_area_ds_px,mask_instability_score,72,-0.034368241546488175,0.7744147694011214,0.034368241546488175
object_y_full_approx,threshold_robust_diffusion_score,72,-0.032855167808165595,0.784099873262733,0.032855167808165595
object_area_ds_px,accepted_area_cv,72,-0.029881232004387005,0.8032302318058625,0.029881232004387005
local_cycle_index,persistence_particle_mse_fraction_of_full_mean,72,-0.029008117621923617,0.8088692152355973,0.029008117621923617
last_frame_index,low_rank_dmd_particle_mse_fraction_of_full_mean,72,0.027708060011708776,0.8172835421790842,0.027708060011708776
first_frame_index,low_rank_dmd_particle_mse_fraction_of_full_mean,72,0.027086414542678145,0.8213143560555735,0.027086414542678145
validation_score_recon,radius2_slope_median_px2_per_s,72,-0.026464724419576827,0.825350081253322,0.026464724419576827
validation_score_recon,diffusion_proxy_median_um2_per_s,72,-0.026464724419576827,0.825350081253322,0.026464724419576827
object_x_full_approx,velocity_particle_mse_fraction_of_full_mean,72,0.02447102707569619,0.8383222353132561,0.02447102707569619
cycleNo,phase_slope_positive_fraction,72,-0.02425400678954348,0.8397369590892494,0.02425400678954348
transferred_masked_residual_signature,threshold_robust_diffusion_score,72,-0.02225816918441498,0.8527707353352512,0.02225816918441498
balanced_cycle_rank,low_rank_dmd_particle_mse_fraction_of_full_mean,72,-0.01602626467576187,0.8937062830099288,0.01602626467576187
object_area_ds_px,threshold_robust_diffusion_score,72,0.012225332189379292,0.9188172833887467,0.012225332189379292
balanced_cycle_rank,mask_instability_score,72,-0.011971426625267902,0.9204978229907037,0.011971426625267902
stage_drift_xy_sampled,accepted_area_cv,72,-0.011700923677158293,0.9222885987457771,0.011700923677158293
balanced_cycle_rank,threshold_robust_phase_score,72,0.011250152426283761,0.9252736336264976,0.011250152426283761
object_area_ds_px,threshold_robust_phase_score,72,0.0015764751305044713,0.989513924650356,0.0015764751305044713
balanced_cycle_rank,accepted_area_cv,72,0.0,1.0,0.0
