cycleNo,echem_points,duration_s,V_min,V_max,V_range,V_mean,I_mean_mA,I_abs_mean_mA,I_pos_fraction,I_neg_fraction,I_near_zero_fraction,block_mode,V_mean_delta,I_mean_delta,V_range_delta,event_cycle,offset,V_mean_minus_neighbor_mean,V_range_minus_neighbor_mean,I_mean_mA_minus_neighbor_mean,I_abs_mean_mA_minus_neighbor_mean,duration_s_minus_neighbor_mean,echem_points_minus_neighbor_mean
90.0,59062,9052.598627328873,2.980472,4.200652,1.22018,3.8270822785547383,0.0214392907791812,0.5008889999999999,0.5214012393755715,0.4785987606244286,0.0,galvanostatic_10,0.0043867132153376,0.0090775705971562,-0.0015439999999999,86.0,4,,,,,,
91.0,52559,9049.97000002861,2.99302,4.201617,1.2085969999999997,3.822763388211344,0.0120554916379687,0.500889,0.5120340950170285,0.4879659049829715,0.0,galvanostatic_12,-0.0043188903433946,-0.0093837991412124,-0.0115830000000003,86.0,5,,,,,,
92.0,50572,9037.710003376014,2.989738,4.201423999999999,1.2116859999999994,3.822322834236336,0.005368224274302,0.500889,0.5053586965119038,0.4946413034880962,0.0,galvanostatic_14,-0.0004405539750078,-0.0066872673636667,0.0030889999999996,86.0,6,,,,,,
110.0,55449,9052.117851018906,2.995336,4.200845,1.2055090000000002,3.836861087936663,0.0554736667748742,0.5008889999999999,0.5553752096521127,0.4446247903478872,0.0,galvanostatic_10,0.0177784711688424,0.0540183462041097,-0.0231639999999999,116.0,-6,,,,,,
111.0,120228,12022.660898208618,2.999776,4.400058,1.4002819999999994,3.91198591348937,0.0091405534983531,0.500889,0.5091243304388329,0.4908756695611671,0.0,galvanostatic_0,0.0751248255527072,-0.0463331132765211,0.1947729999999992,116.0,-5,,,,,,
112.0,117033,11992.88996219635,2.990317,4.400058,1.4097409999999997,3.914310885314398,0.0143504893235241,0.500889,0.5143250194389617,0.4856749805610383,0.0,galvanostatic_2,0.0023249718250282,0.005209935825171,0.0094590000000001,116.0,-4,,,,,,
113.0,84349,11980.801019430168,2.961169,4.400058,1.4388889999999996,3.925391005453532,0.0830588915458393,0.500889,0.58291147494339,0.41708852505661,0.0,galvanostatic_4,0.0110801201391335,0.0687084022223151,0.0291480000000001,116.0,-3,,,,,,
114.0,61048,11988.522614479063,2.972944,4.403532,1.4305880000000002,3.9093519758878257,0.0162948098873017,0.500889,0.5162658891364172,0.4837341108635827,0.0,galvanostatic_6,-0.016039029565706,-0.0667640816585375,-0.0083009999999994,116.0,-2,0.005659909856760237,0.004101750000000237,0.018479303682083403,0.0,31.17013740539005,-2596.75
115.0,66467,11952.63510799408,2.991861,4.404112,1.4122509999999997,3.889846083184136,-0.0544469138820768,0.500889,0.4456497209141378,0.5543502790858622,0.0,galvanostatic_9,-0.0195058927036892,-0.0707417237693786,-0.0183370000000007,116.0,-1,-0.013845982846929505,-0.014235250000000255,-0.0522624200872951,0.0,-4.717369079593482,2822.25
116.0,70712,11946.889967679976,2.987808,4.401795,1.413987,3.903938643271297,0.0070410067032469,0.500889,0.5070285100124449,0.4929714899875551,0.0,galvanostatic_10,0.0140925600871604,0.0614879205853238,0.0017360000000006,116.0,0,,,,,,
117.0,66467,11948.440020561218,2.977191,4.403339,1.426148,3.908374799735207,0.01224584568282,0.500889,0.5122241112130832,0.4877758887869168,0.0,galvanostatic_12,0.0044361564639099,0.005204838979573,0.0121609999999998,116.0,1,0.004682733704141739,-0.0003382499999999844,0.014430339477601702,0.0,-8.91245651245481,2822.25
118.0,60597,11939.81216526033,2.965223,4.402181,1.4369579999999995,3.907195405317094,0.0171682831328283,0.500889,0.5171378121029094,0.4828621878970906,0.0,galvanostatic_14,-0.0011793944181128,0.0049224374500083,0.0108099999999997,116.0,2,0.0035033392860284174,0.010471749999999558,0.01935277692761,0.0,-17.54031181334358,-3047.75
119.0,56623,11933.253553390505,2.985491,4.403919,1.418428,3.905865139996114,0.0039895614679547,0.500889,0.5039824806174169,0.496017519382583,0.0,galvanostatic_16,-0.0013302653209796,-0.0131787216648736,-0.0185299999999997,116.0,3,,,,,,
120.0,54185,11917.490015745165,2.973716,4.403339,1.429623,3.906799646378149,0.0066649620559195,0.500889,0.5066531327858264,0.4933468672141736,0.0,galvanostatic_18,0.0009345063820349,0.0026754005879648,0.0111949999999998,116.0,4,,,,,,
121.0,118482,11848.120042085648,2.999969,4.400058,1.4000889999999997,3.909219478460863,0.0052252561908138,0.5008889999999999,0.5052159821745075,0.4947840178254925,0.0,galvanostatic_0,0.002419832082714,-0.0014397058651057,-0.0295340000000003,116.0,5,,,,,,
122.0,109440,11906.230000019072,2.999969,4.400058,1.4000889999999997,3.917997399616228,0.0437362507675438,0.500889,0.5436586257309941,0.4563413742690058,0.0,galvanostatic_2,0.0087779211553646,0.03851099457673,0.0,116.0,6,,,,,,
