cycleNo,source_stem,n_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,persistence_mse_mean,velocity_mse_mean,temporal_energy_mean,temporal_energy_late_minus_early,roi_norm_mean_delta_last_minus_first,stage_drift_xy_recomputed,object_mean_abs_z
94.0,10_c2_x10_030723,2,0.0,0.0,0.00011156561231473461,0.0003240124206058681,0.010517009068280458,0.0001305718906223774,-0.0005793608725070953,0.24997559070633724,29.906248092651367
96.0,11_c2_x10_050723,2,0.0,0.0,6.307451440079603e-05,0.00017433376342523843,0.007511600386351347,0.000605541281402111,-9.18358564376831e-05,0.2500244143604941,24.708766937255863
98.0,11_c2_x10_050723,2,0.0,0.0,6.03082498855656e-05,0.00016845428035594523,0.007406404009088874,-0.000875948229804635,0.0007366351783275604,0.22360679941597944,25.36744785308838
100.0,11_c2_x10_050723,2,0.0,1.0,5.132316618983168e-05,0.00014847836428089067,0.00710923713631928,6.826920434832573e-05,0.00020621716976165771,0.2915601564253875,24.074993133544922
102.0,11_c2_x10_050723,2,0.0,1.0,5.109058110974729e-05,0.00014868063590256497,0.007090712198987603,-5.588727071881294e-05,-0.00012518838047981262,0.22360679941597944,22.4638032913208
104.0,11_c2_x10_050723,2,0.0,1.0,5.088110265205614e-05,0.000148509512655437,0.007077368907630444,2.2961990907788277e-05,-0.0004201717674732208,0.24998779565108997,25.13643741607666
106.0,12_c2_x10_070723,2,0.0,1.0,5.140142820891924e-05,0.00013660667900694534,0.0069727846421301365,-1.15914735943079e-05,-0.0006648339331150055,0.21212340707186456,21.385972023010254
108.0,12_c2_x10_070723,2,1.0,1.0,5.7332976211910136e-05,0.00015919339057290927,0.007320160279050469,0.001159335020929575,-6.332993507385254e-05,0.22360679941597944,20.142327308654785
110.0,12_c2_x10_070723,2,1.0,1.0,0.00010114129690919071,0.0002825620977091603,0.009325460996478796,-0.0019061448983848095,-0.00011946633458137512,0.21216656105426437,21.54570484161377
112.0,12_c2_x10_070723,2,1.0,1.0,0.00011818170605693012,0.0003089587116846815,0.009924679528921843,-0.0020277416333556175,-0.0003781430423259735,0.21216656105426437,23.522708892822266
114.0,12_c2_x10_070723,2,1.0,1.0,5.051271728007123e-05,0.00013348052743822336,0.006790932733565569,-0.00011082412675023079,-0.0003071501851081848,0.21216656105426437,21.918387413024902
124.0,14_c2_x10_HighCOV_110723,2,0.0,0.0,0.00010739928620751016,0.0002487304009264335,0.008744856575503945,-0.0005069710314273834,-0.00017040222883224487,0.22363409516745456,21.621214866638184
126.0,14_c2_x10_HighCOV_110723,2,0.0,0.0,8.456620344077237e-05,0.0001990868040593341,0.008167456602677703,-0.0016998660285025835,0.0008775480091571808,0.2915601564253875,20.62250804901123
128.0,14_c2_x10_HighCOV_110723,2,0.0,0.0,6.369309630827047e-05,0.00016887797028175555,0.007831242168322206,-5.324836820363998e-06,0.00018692389130592346,0.22363409516745456,22.68076801300049
130.0,14_c2_x10_HighCOV_110723,2,0.0,0.0,7.410179750877433e-05,0.00019111156143480912,0.008543257135897875,-0.0002122744917869568,3.8411468267440796e-05,0.2500244143604941,24.370256423950188
133.0,15_c2_x5_HighCOV_120723,2,0.0,0.0,0.0001109700242523104,0.0002573051242507063,0.008733535883948207,-0.001814715564250946,0.0027193352580070496,0.26927184323626285,18.37508487701416
134.0,15_c2_x5_HighCOV_120723,2,0.0,0.0,0.0001035763998515904,0.0002338088452233933,0.008504875004291534,-0.0009137559682130814,0.0009673982858657837,0.2915601564253875,19.960862636566162
138.0,16_c2_x10_HighHighCOV_130723,2,0.0,0.0,0.00022726136376149952,0.0006051730888430029,0.011971775908023119,-0.0005987514741718769,-0.001234486699104309,0.26927184323626285,28.654135704040527
141.0,16_c2_x10_HighHighCOV_130723,2,0.0,1.0,0.00034211021556984633,0.000702785124303773,0.013396143913269043,0.00186917744576931,-0.0006599612534046173,0.2500244143604941,21.916321754455566
143.0,16_c2_x10_HighHighCOV_130723,2,0.0,1.0,0.0001392426602251362,0.0002466831138008274,0.009577060118317604,-0.0020377428736537695,-0.0023751333355903625,0.2500244143604941,20.73723030090332
144.0,16_c2_x10_HighHighCOV_130723,2,0.0,1.0,0.00010513559755054303,0.00022613008331973106,0.008467660984024405,6.589875556528568e-05,-0.000715550035238266,0.22363409516745456,16.413323879241943
145.0,16_c2_x10_HighHighCOV_130723,2,0.0,1.0,0.00016399536980316043,0.00033523303864058107,0.01029038242995739,0.000366338063031435,-0.003082539886236191,0.22363409516745456,19.903438568115234
146.0,17_c2_x10_HighHighCOV_150723,2,0.0,1.0,0.00042649633542168885,0.0009590833506081253,0.013926125597208738,0.0001780400052666664,-0.0005517378449440002,0.2500244143604941,19.447050094604492
150.0,17_c2_x10_HighHighCOV_150723,2,1.0,1.0,0.0008798382477834821,0.0017360365018248558,0.01845699269324541,0.00041706208139657974,-0.0002702362835407257,0.22363409516745456,21.55990982055664
151.0,17_c2_x10_HighHighCOV_150723,2,1.0,1.0,0.0008109999762382358,0.0016249766340479255,0.01822371408343315,0.0035915328189730644,-7.933005690574646e-05,0.2500244143604941,18.86065483093262
152.0,17_c2_x10_HighHighCOV_150723,2,1.0,1.0,0.0013553971657529473,0.002682473394088447,0.021635429933667183,0.003416819032281637,-0.0002059154212474823,0.2915601564253875,22.61704158782959
154.0,17_c2_x10_HighHighCOV_150723,2,1.0,1.0,0.0005835478805238381,0.0012697016936726868,0.017659567296504974,-0.0012012254446744919,-0.0005096457898616791,0.2828168207439179,22.830381393432617
