roi_id,roi_class,is_event_roi,cycleNo,event_cycle,source_stem,validation_score,roi_mean_first,roi_mean_last,roi_mean_delta,roi_mean_slope_per_frame,roi_mean_slope_r2,high_fraction_delta,high_fraction_slope_per_frame,high_fraction_slope_r2,low_fraction_delta,low_fraction_slope_per_frame,temporal_diff_energy,cumulative_abs_change,persistence_tail_mse,stage_drift_xy_sampled
cycle116_rank4_obj58,event,1,116.0,116.0,13_c2_x6_100723,3.625239010614535,0.11979515105485916,0.11881519854068756,-0.0009799525141716003,8.190844907378448e-05,0.10780322862515812,-0.00575086805555558,0.00033176969704248855,0.08923836356814385,-0.005859375,-0.00042092216419485076,0.00010277752880938351,0.007870118133723736,0.00010111842857440934,0.2236067977499281
cycle88_rank1_obj1,control,0,88.0,86.0,10_c2_x10_030723,1.0,0.08868059515953064,0.08898951858282089,0.0003089234232902527,4.478310519345285e-05,0.04723564325868057,-0.00010850694444444753,5.854252859920548e-05,0.004651750286764789,-0.009006076388888895,-0.0007475608898817594,0.00015148796956054866,0.009146023541688919,0.00016532964946236461,0.1802775637731931
cycle88_rank2_obj2,control,0,88.0,86.0,10_c2_x10_030723,0.5,0.06922319531440735,0.06890388578176498,-0.0003193095326423645,4.127672527286633e-05,0.04179285089273044,-0.0013020833333333426,0.00023577299099068584,0.027189059494404977,0.003255208333333315,-0.00047849178055480183,0.00010494812886463478,0.007459795568138361,0.00011688982340274379,0.1802775637731931
cycle88_rank3_obj3,control,0,88.0,86.0,10_c2_x10_030723,0.3333333333333333,0.08806586265563965,0.08834276348352432,0.00027690082788467407,4.946422397815457e-05,0.07083280748123377,-0.0015190972222222376,3.5502465456758e-05,0.0016807766153345005,-0.006076388888888895,-0.0006982985604784608,9.373557986691594e-05,0.007131991907954216,0.00010395977005828172,0.1802775637731931
cycle88_rank4_obj4,control,0,88.0,86.0,10_c2_x10_030723,0.25,0.0745336189866066,0.07467475533485413,0.00014113634824752808,4.923060087651887e-05,0.08206799164046541,-0.0005425347222222099,0.00018596017871676723,0.03907831354491298,-0.00770399305555558,-0.0005997290093522025,5.6508928537368774e-05,0.00541380699723959,6.353747448883951e-05,0.1802775637731931
cycle88_rank5_obj5,control,0,88.0,86.0,10_c2_x10_030723,0.2,0.08522120863199234,0.08528100699186325,5.9798359870910645e-05,5.035910682628411e-05,0.05010332040385379,-0.0016276041666666852,0.00022125069354954414,0.02306619798828069,-0.005425347222222265,-0.0006327484143738312,6.224262324394658e-05,0.005593906156718731,7.147082942537963e-05,0.1802775637731931
cycle88_rank6_obj6,control,0,88.0,86.0,10_c2_x10_030723,0.1666666666666666,0.07694742828607559,0.07691822946071625,-2.9198825359344482e-05,4.691350133811678e-05,0.04180796182527191,0.001193576388888895,0.000174870303880676,0.0304090078033189,-0.00444878472222221,-0.0005841933229901405,0.00011531860218383372,0.007543905172497034,0.00013259673141874373,0.1802775637731931
cycle88_rank7_obj7,control,0,88.0,86.0,10_c2_x10_030723,0.1428571428571428,0.10021242499351501,0.10009723156690598,-0.0001151934266090393,4.631628060528488e-05,0.038275629591342786,-0.00032552083333331483,-8.516441009902386e-05,0.014602121801176482,-0.004774305555555525,-0.0006518460487222675,0.00015411712229251862,0.009019436314702034,0.00017426753765903413,0.1802775637731931
cycle88_rank8_obj8,control,0,88.0,86.0,10_c2_x10_030723,0.125,0.08456002920866013,0.08461129665374756,5.126744508743286e-05,5.2842731439527205e-05,0.05099560933349945,-0.001953125,0.0001662436191087175,0.01492618719821348,-0.005642361111111105,-0.0007564782708220285,6.432311056414619e-05,0.005681040696799755,7.374949200311676e-05,0.1802775637731931
cycle118_rank1_obj1,control,0,118.0,116.0,13_c2_x6_100723,1.0,0.08793079107999802,0.08690132200717926,-0.001029469072818756,4.42015842953525e-05,0.04575586004842924,-0.00640190972222221,0.00014697009517995984,0.023175895293958026,0.005208333333333315,-0.0003023321103782308,0.0001226103340741247,0.00866036955267191,0.00012221762153785676,0.2915475947422533
cycle118_rank2_obj2,control,0,118.0,116.0,13_c2_x6_100723,0.5,0.0755382776260376,0.07487042993307114,-0.0006678476929664612,2.9774453759808126e-05,0.0592625114666947,-0.0013020833333333148,0.00012215420962199782,0.03148384196491172,0.0034722222222222376,-0.00012307119044658481,4.301892840885557e-05,0.005088002420961857,4.3243511754553765e-05,0.2915475947422533
cycle118_rank3_obj3,control,0,118.0,116.0,13_c2_x6_100723,0.3333333333333333,0.08802825212478638,0.08741811662912369,-0.0006101354956626892,3.066891966043061e-05,0.04614950842833487,-0.001953125,0.0001292302695164146,0.01949821779977412,0.0023871527777777346,-0.000172649973906522,7.416454900521785e-05,0.0066977608948946,7.438276225002483e-05,0.2915475947422533
cycle118_rank4_obj4,control,0,118.0,116.0,13_c2_x6_100723,0.25,0.06603207439184189,0.06502790004014969,-0.0010041743516921997,4.3595280110173275e-05,0.05095365901579063,-0.00531684027777779,0.0002448235770106117,0.04155003680476688,0.00824652777777779,-0.0002835406269311051,7.508232374675572e-05,0.006739412900060415,7.504251698264852e-05,0.2915475947422533
cycle118_rank5_obj5,control,0,118.0,116.0,13_c2_x6_100723,0.2,0.12006228417158127,0.11901504546403885,-0.0010472387075424194,4.352407420798978e-05,0.038697232836080175,-0.0059678819444444475,0.0001323506537028262,0.019311364797150454,0.009223090277777762,-0.0001890629003511781,0.00010882683272939175,0.008113507181406021,0.00010890098928939551,0.2915475947422533
cycle118_rank6_obj6,control,0,118.0,116.0,13_c2_x6_100723,0.1666666666666666,0.08626040816307068,0.08551192283630371,-0.0007484853267669678,4.076599282411192e-05,0.04671616393478473,-0.0015190972222222099,0.00013330663932974862,0.013693947236519954,0.004557291666666685,-0.00015383935602806243,4.464562516659498e-05,0.00513113010674715,4.502766751102172e-05,0.2915475947422533
cycle118_rank7_obj7,control,0,118.0,116.0,13_c2_x6_100723,0.1428571428571428,0.07508322596549988,0.0741206631064415,-0.0009625628590583801,6.601505413069302e-05,0.06422491480296566,-0.0029296875,0.00022652443720044488,0.049957987707405116,0.006401909722222238,-0.0003053818443566499,7.762988389004022e-05,0.006821297109127045,7.790775271132588e-05,0.2915475947422533
cycle118_rank8_obj8,control,0,118.0,116.0,13_c2_x6_100723,0.125,0.08254025876522064,0.08160191029310226,-0.0009383484721183777,4.348772215620132e-05,0.04634254669929849,-0.004448784722222238,0.00014694801698996403,0.01582811182455579,0.00531684027777779,-0.00017182645741958903,4.6556335291825235e-05,0.005259423516690731,4.6886223572073504e-05,0.2915475947422533
