cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,cohort_role,selection_subrole,event_reference_cycle,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,balanced_cycle_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
76.0,9_c2_x10_010723,1,8,2,25.083032624261563,balanced_future_roi_candidate,future8_negative,low_risk_negative,76.0,1190.9818181818182,1047.490909090909,297.74545454545455,261.8727272727273,55,10902.2548828125,24.943334579467773,8,0.2739127589669339,0,1,0,909,1819,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_76_rank8_9_c2_x10_010723_local1.png
140.0,16_c2_x10_HighHighCOV_130723,4,9,3,24.698173268896447,balanced_future_roi_candidate,future8_negative,low_risk_negative,140.0,1347.7475728155339,182.46601941747574,336.93689320388347,45.616504854368934,206,4056.260986328125,14.353757858276367,9,0.2389476922815127,0,1,0,4898,6122,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_140_rank9_16_c2_x10_HighHighCOV_130723_local4.png
140.0,16_c2_x10_HighHighCOV_130723,4,9,1,24.114277585854143,balanced_future_roi_candidate,future8_negative,low_risk_negative,140.0,842.3188405797101,78.55072463768116,210.57971014492753,19.63768115942029,69,8441.869140625,21.410614013671875,9,0.2389476922815127,0,1,0,4898,6122,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_140_rank9_16_c2_x10_HighHighCOV_130723_local4.png
140.0,16_c2_x10_HighHighCOV_130723,4,9,2,23.56051462566941,balanced_future_roi_candidate,future8_negative,low_risk_negative,140.0,1199.6153846153845,1106.0,299.90384615384613,276.5,104,6757.494140625,17.313608169555664,9,0.2389476922815127,0,1,0,4898,6122,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_140_rank9_16_c2_x10_HighHighCOV_130723_local4.png
143.0,16_c2_x10_HighHighCOV_130723,7,10,3,24.550014363282017,balanced_future_roi_candidate,future8_negative,low_risk_negative,143.0,1349.1666666666667,184.02083333333334,337.2916666666667,46.005208333333336,192,4532.69482421875,14.615012168884277,10,0.2351301084038065,0,1,0,8571,9796,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_143_rank10_16_c2_x10_HighHighCOV_130723_local7.png
143.0,16_c2_x10_HighHighCOV_130723,7,10,2,24.19643345057739,balanced_future_roi_candidate,future8_negative,low_risk_negative,143.0,846.4126984126984,80.82539682539682,211.6031746031746,20.206349206349206,63,9385.5107421875,21.96653938293457,10,0.2351301084038065,0,1,0,8571,9796,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_143_rank10_16_c2_x10_HighHighCOV_130723_local7.png
143.0,16_c2_x10_HighHighCOV_130723,7,10,1,23.938501501741026,balanced_future_roi_candidate,future8_negative,low_risk_negative,143.0,1200.0898876404494,1101.6179775280898,300.02247191011236,275.40449438202245,89,8306.1904296875,19.09581756591797,10,0.2351301084038065,0,1,0,8571,9796,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_143_rank10_16_c2_x10_HighHighCOV_130723_local7.png
139.0,16_c2_x10_HighHighCOV_130723,3,11,1,25.116391273429674,balanced_future_roi_candidate,future8_negative,low_risk_negative,139.0,844.1379310344828,79.3103448275862,211.0344827586207,19.82758620689655,58,10062.8916015625,24.999120712280273,11,0.2177667218010263,0,0,0,3673,4898,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_139_rank11_16_c2_x10_HighHighCOV_130723_local3.png
139.0,16_c2_x10_HighHighCOV_130723,3,11,3,24.49537938711706,balanced_future_roi_candidate,future8_negative,low_risk_negative,139.0,1203.304347826087,664.0,300.82608695652175,166.0,46,9929.759765625,24.59981918334961,11,0.2177667218010263,0,0,0,3673,4898,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_139_rank11_16_c2_x10_HighHighCOV_130723_local3.png
139.0,16_c2_x10_HighHighCOV_130723,3,11,2,23.937760651918044,balanced_future_roi_candidate,future8_negative,low_risk_negative,139.0,1200.516129032258,1104.6451612903227,300.1290322580645,276.16129032258067,93,7522.54833984375,19.040559768676758,11,0.2177667218010263,0,0,0,3673,4898,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_139_rank11_16_c2_x10_HighHighCOV_130723_local3.png
158.0,18_c2_xN_HighHighCOV_170723,2,12,2,24.371538861173466,balanced_future_roi_candidate,future8_negative,low_risk_negative,158.0,1345.8479532163742,128.0701754385965,336.46198830409355,32.01754385964912,171,5541.0498046875,15.08823299407959,12,0.1268052199398837,0,0,0,3878,5818,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_158_rank12_18_c2_xN_HighHighCOV_170723_local2.png
