model,feature,importance,abs_importance,feature_set,holdout_event_reference_cycle
logistic_l2,latent_path_length,-0.20700221436129965,0.20700221436129965,all_physics_plus_qc,116.0
logistic_l2,latent_mean_step,-0.2070022150758169,0.2070022150758169,all_physics_plus_qc,116.0
logistic_l2,latent_net_displacement,-0.09088732014179417,0.09088732014179417,all_physics_plus_qc,116.0
logistic_l2,latent_component0_delta,-0.014231089377171227,0.014231089377171227,all_physics_plus_qc,116.0
logistic_l2,latent_component1_delta,-0.18569242876713404,0.18569242876713404,all_physics_plus_qc,116.0
logistic_l2,persistence_mse,-0.07948358528390748,0.07948358528390748,all_physics_plus_qc,116.0
logistic_l2,persistence_mae,0.02657031745450534,0.02657031745450534,all_physics_plus_qc,116.0
logistic_l2,persistence_ssim,0.16573781016736136,0.16573781016736136,all_physics_plus_qc,116.0
logistic_l2,velocity_mse,-0.07639543824011218,0.07639543824011218,all_physics_plus_qc,116.0
logistic_l2,velocity_mae,0.003795440253341614,0.003795440253341614,all_physics_plus_qc,116.0
logistic_l2,velocity_ssim,0.18913971570919524,0.18913971570919524,all_physics_plus_qc,116.0
logistic_l2,low_rank_dmd_mse,0.055035749463836735,0.055035749463836735,all_physics_plus_qc,116.0
logistic_l2,low_rank_dmd_mae,0.056544326340267445,0.056544326340267445,all_physics_plus_qc,116.0
logistic_l2,low_rank_dmd_ssim,-0.004343828859274973,0.004343828859274973,all_physics_plus_qc,116.0
logistic_l2,dmd_minus_persistence_mse,0.06313207832410182,0.06313207832410182,all_physics_plus_qc,116.0
logistic_l2,velocity_minus_persistence_mse,-0.06858016159518611,0.06858016159518611,all_physics_plus_qc,116.0
random_forest,roi_norm_mean_delta,0.036506191855763606,0.036506191855763606,all_physics_plus_qc,116.0
random_forest,roi_norm_mean_slope,0.05948640911048921,0.05948640911048921,all_physics_plus_qc,116.0
random_forest,roi_norm_mean_slope_r2,0.04753871694356383,0.04753871694356383,all_physics_plus_qc,116.0
random_forest,high_fraction_delta,0.01534668716787502,0.01534668716787502,all_physics_plus_qc,116.0
random_forest,high_fraction_slope,0.031309390332915014,0.031309390332915014,all_physics_plus_qc,116.0
random_forest,low_fraction_delta,0.03306867110932726,0.03306867110932726,all_physics_plus_qc,116.0
random_forest,low_fraction_slope,0.028365978726444866,0.028365978726444866,all_physics_plus_qc,116.0
random_forest,high_radius2_delta_px2,0.01886604323737598,0.01886604323737598,all_physics_plus_qc,116.0
random_forest,high_radius2_slope_px2_per_frame,0.018779676117637326,0.018779676117637326,all_physics_plus_qc,116.0
random_forest,high_radius2_slope_um2_per_frame,0.020697766344027944,0.020697766344027944,all_physics_plus_qc,116.0
random_forest,centroid_path_px,0.041703045396654696,0.041703045396654696,all_physics_plus_qc,116.0
random_forest,first_last_corr,0.0432139326859496,0.0432139326859496,all_physics_plus_qc,116.0
random_forest,cumulative_abs_norm_change,0.04352549334289936,0.04352549334289936,all_physics_plus_qc,116.0
random_forest,temporal_diff_energy,0.008435469806982461,0.008435469806982461,all_physics_plus_qc,116.0
random_forest,stage_drift_xy_sampled,0.08695821380913571,0.08695821380913571,all_physics_plus_qc,116.0
random_forest,validation_score,0.04763261683846063,0.04763261683846063,all_physics_plus_qc,116.0
random_forest,front_quality_score,0.16996916866110756,0.16996916866110756,all_physics_plus_qc,116.0
random_forest,apparent_diffusion_proxy_ds_px2_per_frame,0.00983323833715287,0.00983323833715287,all_physics_plus_qc,116.0
random_forest,latent_path_length,0.009915189536181153,0.009915189536181153,all_physics_plus_qc,116.0
random_forest,latent_mean_step,0.008052424860175947,0.008052424860175947,all_physics_plus_qc,116.0
random_forest,latent_net_displacement,0.03270218880985164,0.03270218880985164,all_physics_plus_qc,116.0
random_forest,latent_component0_delta,0.02759496766927574,0.02759496766927574,all_physics_plus_qc,116.0
random_forest,latent_component1_delta,0.008997702206833953,0.008997702206833953,all_physics_plus_qc,116.0
random_forest,persistence_mse,0.015391692497343349,0.015391692497343349,all_physics_plus_qc,116.0
random_forest,persistence_mae,0.005542620902844168,0.005542620902844168,all_physics_plus_qc,116.0
random_forest,persistence_ssim,0.01310601497625472,0.01310601497625472,all_physics_plus_qc,116.0
random_forest,velocity_mse,0.004174848489951518,0.004174848489951518,all_physics_plus_qc,116.0
random_forest,velocity_mae,0.005929274023615913,0.005929274023615913,all_physics_plus_qc,116.0
