roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png
source_balanced_cycle125_rank11_obj1_14_c2_x10_HighCOV_110723,125.0,14_c2_x10_HighCOV_110723,4,11,1,source_representative,False,24.66506279371305,source_balanced_expansion_candidate,844.72,78.4,50.0,11897.259765625,27.71571350097656,749,0,941,192,192,96,96,4760,5950,8881.5146484375,8881.4873046875,-0.02734375,0.07767942547798157,0.07777675986289978,9.733438491821289e-05,0.2692582403567336,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle125_rank11_obj1_14_c2_x10_HighCOV_110723.npz,
source_balanced_cycle125_rank11_obj2_14_c2_x10_HighCOV_110723,125.0,14_c2_x10_HighCOV_110723,4,11,2,source_representative,False,23.607037258302373,source_balanced_expansion_candidate,1351.0144927536232,181.2463768115942,138.0,6389.43359375,18.29157447814941,1255,85,1447,277,192,96,96,4760,5950,8764.3896484375,8770.5166015625,6.126953125,0.06696885079145432,0.06720474362373352,0.00023589283227920532,0.2692582403567336,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle125_rank11_obj2_14_c2_x10_HighCOV_110723.npz,
source_balanced_cycle126_rank12_obj1_14_c2_x10_HighCOV_110723,126.0,14_c2_x10_HighCOV_110723,5,12,1,future16_negative,False,23.592093817165647,source_balanced_expansion_candidate,1352.3435582822085,180.85889570552143,163.0,5375.2314453125,16.614131927490234,1256,85,1448,277,192,96,96,5951,7140,8770.5869140625,8792.0205078125,21.43359375,0.06724902987480164,0.06835123896598816,0.0011022090911865234,0.29154759474225334,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle126_rank12_obj1_14_c2_x10_HighCOV_110723.npz,
source_balanced_cycle126_rank12_obj2_14_c2_x10_HighCOV_110723,126.0,14_c2_x10_HighCOV_110723,5,12,2,future16_negative,False,23.989019468618885,source_balanced_expansion_candidate,842.1052631578947,79.43859649122807,57.0,10190.8544921875,24.630884170532227,746,0,938,192,192,96,96,5951,7140,8875.33203125,8879.3173828125,3.9853515625,0.07733862847089767,0.07799151539802551,0.0006528869271278381,0.29154759474225334,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle126_rank12_obj2_14_c2_x10_HighCOV_110723.npz,
source_balanced_cycle127_rank13_obj1_14_c2_x10_HighCOV_110723,127.0,14_c2_x10_HighCOV_110723,6,13,1,source_fill,False,24.150236360303246,source_balanced_expansion_candidate,843.8461538461538,79.15384615384616,52.0,11258.3525390625,25.90870857238769,748,0,940,192,192,96,96,7141,8330,8882.072265625,8886.5927734375,4.5205078125,0.07822605222463608,0.07878032326698303,0.0005542710423469543,0.2236067977500298,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle127_rank13_obj1_14_c2_x10_HighCOV_110723.npz,
source_balanced_cycle127_rank13_obj2_14_c2_x10_HighCOV_110723,127.0,14_c2_x10_HighCOV_110723,6,13,2,source_fill,False,22.91224776047345,source_balanced_expansion_candidate,1202.13698630137,1103.2876712328766,73.0,8852.8828125,20.280948638916016,1106,1007,1298,1199,192,96,96,7141,8330,8412.5625,8390.9140625,-21.6484375,0.06923899054527283,0.0684678852558136,-0.0007711052894592285,0.2236067977500298,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle127_rank13_obj2_14_c2_x10_HighCOV_110723.npz,
source_balanced_cycle132_rank14_obj1_15_c2_x5_HighCOV_120723,132.0,15_c2_x5_HighCOV_120723,1,14,1,source_fill,False,23.50996224586616,source_balanced_expansion_candidate,842.8771929824561,78.59649122807018,57.0,10375.26953125,23.42484474182129,747,0,939,192,192,96,96,1238,2476,8918.5986328125,8937.515625,18.9169921875,0.0846426710486412,0.08488990366458893,0.0002472326159477234,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle132_rank14_obj1_15_c2_x5_HighCOV_120723.npz,
source_balanced_cycle132_rank14_obj2_15_c2_x5_HighCOV_120723,132.0,15_c2_x5_HighCOV_120723,1,14,2,source_fill,False,22.95129908326105,source_balanced_expansion_candidate,1670.7628865979382,200.7422680412371,97.0,7444.3251953125,18.85873031616211,1575,105,1767,297,192,96,96,1238,2476,8211.8232421875,8246.03515625,34.2119140625,0.07429610192775726,0.07533852010965347,0.0010424181818962097,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle132_rank14_obj2_15_c2_x5_HighCOV_120723.npz,
source_balanced_cycle133_rank15_obj1_15_c2_x5_HighCOV_120723,133.0,15_c2_x5_HighCOV_120723,2,15,1,source_representative,False,23.315318479269443,source_balanced_expansion_candidate,841.8983050847457,78.23728813559322,59.0,10075.9150390625,22.637056350708008,746,0,938,192,192,96,96,2477,3714,8936.296875,8984.427734375,48.130859375,0.08230766654014587,0.08476927876472473,0.0024616122245788574,0.2692582403567336,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle133_rank15_obj1_15_c2_x5_HighCOV_120723.npz,
source_balanced_cycle133_rank15_obj2_15_c2_x5_HighCOV_120723,133.0,15_c2_x5_HighCOV_120723,2,15,2,source_representative,False,22.92968319579963,source_balanced_expansion_candidate,1345.5777777777778,183.35555555555555,180.0,4940.9755859375,14.113113403320312,1250,87,1442,279,192,96,96,2477,3714,8827.2578125,8902.9658203125,75.7080078125,0.07094675302505493,0.07392381131649017,0.0029770582914352417,0.2692582403567336,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle133_rank15_obj2_15_c2_x5_HighCOV_120723.npz,
