target,rule,echem_quantile,optical_quantile,n_eval,n_covered,n_covered_positive,precision,recall,base_rate,lift,binary_auc,fisher_p_greater,n_sources_with_hits,n_sources_with_positive_hits
future_any_drop_within_8cycles,echem_ge_q75_AND_optical_ge_q75,0.75,0.75,72,8,7,0.875,0.19444444444444445,0.5,1.75,0.5833333333333334,0.027636090591369317,2,1
future_any_drop_within_8cycles,echem_ge_q70_OR_optical_ge_q70,0.7,0.7,72,37,23,0.6216216216216216,0.6388888888888888,0.5,1.2432432432432432,0.625,0.029256782007918578,7,3
future_any_drop_within_8cycles,echem_ge_q60_OR_optical_ge_q50,0.6,0.5,72,52,30,0.5769230769230769,0.8333333333333334,0.5,1.1538461538461537,0.6111111111111112,0.03201849953452813,9,3
future_any_drop_within_8cycles,echem_ge_q75_OR_optical_ge_q50,0.75,0.5,72,42,25,0.5952380952380952,0.6944444444444444,0.5,1.1904761904761905,0.6111111111111112,0.04676603741480914,8,3
future_any_drop_within_8cycles,echem_ge_q70_OR_optical_ge_q50,0.7,0.5,72,47,27,0.574468085106383,0.75,0.5,1.148936170212766,0.5972222222222222,0.06837853262113595,9,3
future_any_drop_within_8cycles,optical_ge_q50,0.5,0.5,72,36,21,0.5833333333333334,0.5833333333333334,0.5,1.1666666666666667,0.5833333333333333,0.11921760948431909,8,3
future_any_drop_within_8cycles,optical_ge_q50,0.6,0.5,72,36,21,0.5833333333333334,0.5833333333333334,0.5,1.1666666666666667,0.5833333333333333,0.11921760948431909,8,3
future_any_drop_within_8cycles,optical_ge_q50,0.7,0.5,72,36,21,0.5833333333333334,0.5833333333333334,0.5,1.1666666666666667,0.5833333333333333,0.11921760948431909,8,3
future_any_drop_within_8cycles,optical_ge_q50,0.75,0.5,72,36,21,0.5833333333333334,0.5833333333333334,0.5,1.1666666666666667,0.5833333333333333,0.11921760948431909,8,3
future_any_drop_within_8cycles,optical_ge_q60,0.5,0.6,72,29,17,0.5862068965517241,0.4722222222222222,0.5,1.1724137931034482,0.5694444444444445,0.16829531007241058,8,3
future_any_drop_within_8cycles,optical_ge_q60,0.6,0.6,72,29,17,0.5862068965517241,0.4722222222222222,0.5,1.1724137931034482,0.5694444444444445,0.16829531007241058,8,3
future_any_drop_within_8cycles,optical_ge_q60,0.7,0.6,72,29,17,0.5862068965517241,0.4722222222222222,0.5,1.1724137931034482,0.5694444444444445,0.16829531007241058,8,3
future_any_drop_within_8cycles,optical_ge_q60,0.75,0.6,72,29,17,0.5862068965517241,0.4722222222222222,0.5,1.1724137931034482,0.5694444444444445,0.16829531007241058,8,3
future_any_drop_within_8cycles,optical_ge_q75,0.5,0.75,72,18,11,0.6111111111111112,0.3055555555555556,0.5,1.2222222222222223,0.5555555555555556,0.20739445344751317,6,3
future_any_drop_within_8cycles,optical_ge_q75,0.6,0.75,72,18,11,0.6111111111111112,0.3055555555555556,0.5,1.2222222222222223,0.5555555555555556,0.20739445344751317,6,3
future_any_drop_within_8cycles,optical_ge_q75,0.7,0.75,72,18,11,0.6111111111111112,0.3055555555555556,0.5,1.2222222222222223,0.5555555555555556,0.20739445344751317,6,3
future_any_drop_within_8cycles,optical_ge_q75,0.75,0.75,72,18,11,0.6111111111111112,0.3055555555555556,0.5,1.2222222222222223,0.5555555555555556,0.20739445344751317,6,3
future_any_drop_within_8cycles,optical_ge_q70,0.5,0.7,72,22,13,0.5909090909090909,0.3611111111111111,0.5,1.1818181818181819,0.5555555555555556,0.22162145235236513,6,3
future_any_drop_within_8cycles,optical_ge_q70,0.6,0.7,72,22,13,0.5909090909090909,0.3611111111111111,0.5,1.1818181818181819,0.5555555555555556,0.22162145235236513,6,3
future_any_drop_within_8cycles,optical_ge_q70,0.7,0.7,72,22,13,0.5909090909090909,0.3611111111111111,0.5,1.1818181818181819,0.5555555555555556,0.22162145235236513,6,3
future_any_drop_within_8cycles,optical_ge_q70,0.75,0.7,72,22,13,0.5909090909090909,0.3611111111111111,0.5,1.1818181818181819,0.5555555555555556,0.22162145235236513,6,3
future_any_drop_within_16cycles,echem_ge_q75_OR_optical_ge_q75,0.75,0.75,72,28,28,1.0,0.49122807017543857,0.7916666666666666,1.2631578947368423,0.7456140350877193,0.00019897945641821947,6,6
future_any_drop_within_16cycles,echem_ge_q50_OR_optical_ge_q75,0.5,0.75,72,45,42,0.9333333333333333,0.7368421052631579,0.7916666666666666,1.1789473684210527,0.768421052631579,0.00023147151526415287,7,6
future_any_drop_within_16cycles,echem_ge_q50_OR_optical_ge_q70,0.5,0.7,72,48,44,0.9166666666666666,0.7719298245614035,0.7916666666666666,1.1578947368421053,0.7526315789473684,0.00046335194718193963,7,6
future_any_drop_within_16cycles,echem_ge_q75_OR_optical_ge_q70,0.75,0.7,72,32,31,0.96875,0.543859649122807,0.7916666666666666,1.223684210526316,0.7385964912280701,0.0006775233561421278,6,6
future_any_drop_within_16cycles,echem_ge_q50_OR_optical_ge_q60,0.5,0.6,72,53,47,0.8867924528301887,0.8245614035087719,0.7916666666666666,1.1201588877855015,0.712280701754386,0.002085078643312876,9,6
future_any_drop_within_16cycles,echem_ge_q60_OR_optical_ge_q75,0.6,0.75,72,40,37,0.925,0.6491228070175439,0.7916666666666666,1.168421052631579,0.724561403508772,0.00218200614112064,7,6
future_any_drop_within_16cycles,echem_ge_q60_OR_optical_ge_q70,0.6,0.7,72,43,39,0.9069767441860465,0.6842105263157895,0.7916666666666666,1.1456548347613218,0.7087719298245614,0.00430548755343133,7,6
future_any_drop_within_16cycles,echem_ge_q75_OR_optical_ge_q60,0.75,0.6,72,38,35,0.9210526315789473,0.6140350877192983,0.7916666666666666,1.1634349030470914,0.7070175438596492,0.00461553477325324,8,6
