roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,degradation_mode_hypothesis,threshold_quantile,threshold_value,phase_fraction_first,phase_fraction_last,phase_fraction_delta,phase_fraction_slope_per_s,phase_fraction_slope_r2,radius2_delta_px2,radius2_slope_px2_per_s,radius2_slope_r2,apparent_diffusion_proxy_um2_per_s,interface_density_delta,interface_density_slope_per_s,interface_density_slope_r2,centroid_path_px,centroid_net_px,threshold_cohort,source_stem
cycle84_rank23_obj2,84.0,future8_positive,0,84.0,,0.7,0.0729623161256313,0.2856500898741761,0.2860994607549431,0.0004493708807669,4.602315163798391e-07,0.0015410307035942,4.240627393702425,-0.0001062482730537,0.0025524524208356,-2.447960211158605e-07,0.0041941282204913,-2.8165840019653498e-08,0.000205614834314,21.503336887120557,0.2634223999812015,balanced_future_threshold_robust_fronts,
cycle84_rank23_obj2,84.0,future8_positive,0,84.0,,0.75,0.0822584293782711,0.2368184541641701,0.2371180347513481,0.0002995805871779,5.546681904287963e-07,0.0026415896218976,14.486807369413214,-0.0002927114684342,0.0149102799367788,-6.74407223272492e-07,0.0023966446974235,2.492812667669275e-07,0.0072155643058919,20.076499280237417,0.4778668523039113,balanced_future_threshold_robust_fronts,
cycle84_rank23_obj2,84.0,future8_positive,0,84.0,,0.8,0.0947736650705337,0.1914319952067106,0.1917315757938885,0.0002995805871779,3.7206875360304796e-07,0.0018093557875573,3.0680677816901607,-0.0005228870644685,0.0371603819011788,-1.2047317965356418e-06,0.0040443379269023,2.410030399887165e-07,0.0047762728887935,24.33227681638397,0.3860336904829328,balanced_future_threshold_robust_fronts,
cycle84_rank23_obj2,84.0,future8_positive,0,84.0,,0.85,0.1128382433205842,0.1421509886159377,0.1448472139005392,0.0026962252846015,5.276543055617698e-07,0.0068153678795629,10.962249491382067,-0.0003409501468849,0.0108269373722866,-7.85549138422841e-07,-0.0002995805871779,1.3822188129069702e-07,0.0024773110003706,29.120852348124085,0.5398602313961622,balanced_future_threshold_robust_fronts,
cycle108_rank21_obj3,108.0,future8_positive,0,108.0,,0.55,0.0761842131614685,0.4427801078490114,0.4399340922708208,-0.0028460155781905,1.1863508150984557e-06,0.0152327996051749,4.597419282607234,-0.0010483445835766,0.2012151084775747,-2.4153859205605697e-06,-0.0022468544038346,9.773262385406617e-08,0.0021185210692873,22.40846700544329,0.2708603242083858,balanced_future_threshold_robust_fronts,
cycle108_rank21_obj3,108.0,future8_positive,0,108.0,,0.6,0.0817068725824356,0.3954463750748951,0.3914020371479928,-0.0040443379269023,9.555860730608436e-07,0.0101608566850951,-3.038833803012949,-0.001176258882043,0.25592307112193,-2.710100464227109e-06,-0.0017974835230677,2.4763041827036146e-07,0.0098730414442625,23.030485203848723,0.2171550960876598,balanced_future_threshold_robust_fronts,
cycle108_rank21_obj3,108.0,future8_positive,0,108.0,,0.65,0.0875165577977895,0.3436189334931096,0.3418214499700419,-0.0017974835230676,7.536594743268118e-07,0.0068411650505556,3.2901590629674047,-0.0010705725691705,0.2392787858005084,-2.4665991993690243e-06,0.0013481126423007,2.382125587453565e-07,0.0068702395800933,26.155379258616843,0.3075684038539638,balanced_future_threshold_robust_fronts,
cycle108_rank21_obj3,108.0,future8_positive,0,108.0,,0.7,0.0937143199145793,0.2901437986818454,0.2937387657279808,0.0035949670461353,7.33089357448983e-07,0.0075110732191682,4.737489459535709,-0.0008935291458943,0.1369600359507899,-2.0586911521405155e-06,-0.0019472738166566,2.4395625548491624e-07,0.0056886568051492,32.154380080383504,0.5774899340954717,balanced_future_threshold_robust_fronts,
cycle108_rank21_obj3,108.0,future8_positive,0,108.0,,0.75,0.1002484951168298,0.2426602756141402,0.2425104853205512,-0.0001497902935889,8.598190275741233e-07,0.0124619972460436,9.360910179275606,-0.0012078105738669,0.2722918185999896,-2.782795562189568e-06,-0.0040443379269023,3.285927851864817e-07,0.0094432692963917,33.990786615634406,1.4954945337150476,balanced_future_threshold_robust_fronts,
cycle108_rank21_obj3,108.0,future8_positive,0,108.0,,0.8,0.108155246078968,0.1924805272618334,0.1957759137207909,0.0032953864589574,8.645953331191477e-07,0.0167674423581132,7.052061482767158,-0.0008496931688756,0.1242273311530131,-1.957693061089404e-06,0.0011983223487118,5.532536318370896e-07,0.0256644548339709,36.92048192685374,0.824499511877963,balanced_future_threshold_robust_fronts,
