feature_set,transform,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p,permutation
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4084201388888889,0.4461286286871097,-0.1586295788334654,0.12266636458028392,58
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4861111111111111,0.4849347432114761,-0.02405756645815589,0.8160246873550893,59
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5277777777777777,0.5778229588022477,0.04811513291631178,0.6415559883612767,60
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5199652777777777,0.5234915683451618,0.0345827517835991,0.738000915706687,61
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5173611111111112,0.5339484619527799,0.03007195807269486,0.7711661151309266,62
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.6375868055555555,0.6761814594384474,0.23832026772610682,0.019373634741869112,63
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3828125,0.43370710761794395,-0.20298571699069032,0.047312323320395165,64
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.6406249999999999,0.6451606266939617,0.2435828603888284,0.016780112419887545,65
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5698784722222222,0.5374549571262361,0.12103963124259683,0.24010239110074358,66
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5373263888888888,0.5960229277759759,0.06465470985629396,0.5314191166655722,67
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.59765625,0.5894623456118051,0.16915476415890862,0.0994437314038821,68
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4036458333333333,0.43848630995087035,-0.1668993673034565,0.10410434202894486,69
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5021701388888888,0.5235044108582844,0.0037589947590868575,0.9710047668670045,70
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5616319444444445,0.5414924069084681,0.10675545115806677,0.3005542432833451,71
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5442708333333333,0.5153369315244086,0.0766834930853719,0.4577275697450776,72
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.265625,0.37254399077500727,-0.40597143398138064,4.0648082994813815e-05,73
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.47265625,0.48207959502277825,-0.047363333964494415,0.6467783682760941,74
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.6332465277777778,0.6166933782808491,0.2308022782079331,0.0236723074084153,75
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5538194444444444,0.5916964040125032,0.09322307002535409,0.36631356544684834,76
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3229166666666667,0.4028476497078937,-0.3067339723414876,0.0023687159412542256,77
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5677083333333333,0.5820707015781017,0.11728063648350998,0.2551244920493326,78
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.37586805555555547,0.434725562541491,-0.21501450021976828,0.035397696455718934,79
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5611979166666666,0.5584843725032536,0.1060036522062494,0.3039904848328182,80
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5160590277777778,0.5302995257814695,0.027816561217242755,0.78790862252379,81
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3463541666666667,0.41232035920124166,-0.26613682894334956,0.008770142085099842,82
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3428819444444444,0.4304078386663387,-0.27215122055788854,0.007308985895308151,83
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5442708333333334,0.5352396399016034,0.0766834930853719,0.4577275697450776,84
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.29947916666666663,0.3845051716877165,-0.34733111573962566,0.000525991436600584,85
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.6111111111111112,0.5756672399758997,0.19246053166524713,0.06029612097423431,86
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.509982638888889,0.5349281558327481,0.01729137589179955,0.8672021775560904,87
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.39236111111111116,0.42466965921050814,-0.18644614005070817,0.06893499819364499,88
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3919270833333333,0.45611578998165575,-0.18719793900252554,0.06780330635681914,89
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3858506944444445,0.48121758722912245,-0.19772312432796874,0.053481186763288,90
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4765625,0.5276572892548339,-0.040597143398138066,0.6945259014583225,91
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4913194444444444,0.48394822870331367,-0.01503597903634743,0.8843948569963467,92
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5789930555555556,0.5576674261251714,0.13682740923076164,0.18373936245236386,93
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.6024305555555556,0.6058757718836255,0.1774245526288997,0.08374194212103,94
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.6701388888888888,0.5997487828663628,0.29470518911240967,0.0035601877912282637,95
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3680555555555556,0.4409108281264177,-0.22854688135248097,0.025111011064732576,96
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5551215277777778,0.5475537365128966,0.09547846688080618,0.3547808246170105,97
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.6206597222222223,0.5872954263704027,0.2090001086052293,0.04099535451478212,98
