heldout_event_reference_cycle,method,alpha,target_coverage,group,n,global_quantile,local_quantile,coverage_global,coverage_local,mean_excess_over_global,mean_excess_over_local,median_error
60.0,velocity,0.1,0.9,near_transition,116,0.0157012417912483,0.0168885216116905,0.853448275862069,0.8706896551724138,0.0005410556231850137,0.00037853358763044915,0.011718729510903352
60.0,velocity,0.1,0.9,far_from_transition,332,0.0157012417912483,0.0155372954905033,0.786144578313253,0.7831325301204819,0.0011432280158062947,0.0011785916019096342,0.0120686553418636
60.0,velocity,0.1,0.9,event_roi,192,0.0157012417912483,0.0157012417912483,0.7708333333333334,0.7708333333333334,0.001020360165663678,0.001020360165663678,0.011908225249499051
60.0,velocity,0.1,0.9,control_roi,256,0.0157012417912483,0.0157012417912483,0.828125,0.828125,0.0009625195380067394,0.0009625195380067394,0.011910750530660149
60.0,velocity,0.05,0.95,all,448,0.0194929130375385,0.0194929130375385,0.8950892857142857,0.8950892857142857,0.0003330622816325276,0.0003330622816325276,0.011910750530660149
60.0,velocity,0.05,0.95,near_transition,116,0.0194929130375385,0.0198800656944513,0.9224137931034483,0.9482758620689655,5.202178425829822e-05,2.8835481096956856e-05,0.011718729510903352
60.0,velocity,0.05,0.95,far_from_transition,332,0.0194929130375385,0.0194855127483606,0.8855421686746988,0.8825301204819277,0.0004312571542090655,0.0004321143076003299,0.0120686553418636
60.0,velocity,0.05,0.95,event_roi,192,0.0194929130375385,0.0194929130375385,0.8697916666666666,0.8697916666666666,0.0003070228752524874,0.0003070228752524874,0.011908225249499051
60.0,velocity,0.05,0.95,control_roi,256,0.0194929130375385,0.0194929130375385,0.9140625,0.9140625,0.00035259183641755775,0.00035259183641755775,0.011910750530660149
86.0,low_rank_dmd,0.1,0.9,all,448,0.0334388427436351,0.0334388427436351,0.9977678571428571,0.9977678571428571,1.198812554191272e-05,1.198812554191272e-05,0.01880637090653175
86.0,low_rank_dmd,0.1,0.9,near_transition,128,0.0334388427436351,0.0342992581427097,1.0,1.0,0.0,0.0,0.0183785101398825
86.0,low_rank_dmd,0.1,0.9,far_from_transition,320,0.0334388427436351,0.0333060473203659,0.996875,0.996875,1.6783375758677806e-05,1.7198361456394065e-05,0.01911298185586925
86.0,low_rank_dmd,0.1,0.9,event_roi,192,0.0334388427436351,0.0334388427436351,1.0,1.0,0.0,0.0,0.0167726213112473
86.0,low_rank_dmd,0.1,0.9,control_roi,256,0.0334388427436351,0.0334388427436351,0.99609375,0.99609375,2.097921969834726e-05,2.097921969834726e-05,0.019106242805719348
86.0,low_rank_dmd,0.05,0.95,all,448,0.0370243452489376,0.0370243452489376,0.9977678571428571,0.9977678571428571,3.984771735433928e-06,3.984771735433928e-06,0.01880637090653175
86.0,low_rank_dmd,0.05,0.95,near_transition,128,0.0370243452489376,0.0377459079027175,1.0,1.0,0.0,0.0,0.0183785101398825
86.0,low_rank_dmd,0.05,0.95,far_from_transition,320,0.0370243452489376,0.0365267992019653,0.996875,0.996875,5.578680429607499e-06,7.1335118263959454e-06,0.01911298185586925
86.0,low_rank_dmd,0.05,0.95,event_roi,192,0.0370243452489376,0.0370243452489376,1.0,1.0,0.0,0.0,0.0167726213112473
86.0,low_rank_dmd,0.05,0.95,control_roi,256,0.0370243452489376,0.0370243452489376,0.99609375,0.99609375,6.973350537009375e-06,6.973350537009375e-06,0.019106242805719348
86.0,persistence,0.1,0.9,all,448,0.0115544777363538,0.0115544777363538,0.9799107142857143,0.9799107142857143,0.00010467652256401026,0.00010467652256401026,0.0070443723816424
86.0,persistence,0.1,0.9,near_transition,128,0.0115544777363538,0.011451075784862,0.9609375,0.9609375,0.0001444158187950969,0.0001484549575252453,0.007117491215467399
86.0,persistence,0.1,0.9,far_from_transition,320,0.0115544777363538,0.0116706639528274,0.9875,0.9875,8.878080407157563e-05,8.732847636565562e-05,0.00698588625527915
86.0,persistence,0.1,0.9,event_roi,192,0.0115544777363538,0.0115544777363538,0.9739583333333334,0.9739583333333334,9.627721253006459e-05,9.627721253006459e-05,0.0070671977009624
86.0,persistence,0.1,0.9,control_roi,256,0.0115544777363538,0.0115544777363538,0.984375,0.984375,0.00011097600508946955,0.00011097600508946955,0.0070331213064491
