roi_id,cycleNo,method,mae_mean,mae_median,mae_max,q90_undercoverage_rate,near_transition_fraction,transition_distance_frac_median,cohort_role_first,is_event_roi_first,event_reference_cycle_first,mode_label_first,is_event_enriched_mode_first,q70_max_abs_rate_per_s_first,q70_transformed_fraction_delta_first,roi_norm_total_variation_first,front_quality_score_first,high_fraction_slope_per_s_first,first_last_corr_first,cumulative_abs_first_last_first,calibration_review_priority
cycle86_rank4_obj9,86.0,velocity,0.013614955329103347,0.01313910493627185,0.0201276764273643,0.03125,0.3125,0.25806451612903225,event,1,86.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,7.632818939224111e-05,0.0100477430555555,0.047686293721199,1.1156177975150214,5.387279228579849e-06,0.9761626362204234,0.0187912229448556,2.7243589743589745
cycle60_rank6_obj26,60.0,persistence,0.012828209582949009,0.012525683734565949,0.0190348718315362,1.0,0.28125,0.268421052631579,event,1,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,4.344812352132291e-05,0.0054904513888888,0.0485904946923255,1.320031653911962,1.5122221316547535e-06,0.8344286417451272,0.0480567663908004,2.673076923076923
cycle86_rank4_obj9,86.0,low_rank_dmd,0.020918691967381116,0.023360189050436,0.0332450419664382,0.0,0.3125,0.25806451612903225,event,1,86.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,7.632818939224111e-05,0.0100477430555555,0.047686293721199,1.1156177975150214,5.387279228579849e-06,0.9761626362204234,0.0187912229448556,2.657051282051282
cycle158_rank1_obj2,158.0,persistence,0.006069489376386569,0.004907275782898,0.0235055703669786,0.03125,0.28125,0.37368421052631584,control,0,156.0,front_negative_high_apparent_front_proxy,0,0.0138671874999999,0.0175130208333332,0.0539323598146438,0.8210227064111154,7.840760989608736e-08,0.9689371661183168,0.0166026204824447,2.6506410256410255
cycle60_rank4_obj5,60.0,low_rank_dmd,0.033649528864771086,0.033514957875013296,0.0345968455076217,1.0,0.28125,0.25806451612903225,event,1,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,3.776644583007257e-05,-0.0005642361111111,0.0359739810228348,1.5337954930279185,7.404400996871604e-07,0.843922762808349,0.036674365401268,2.641025641025641
cycle116_rank7_obj37,116.0,persistence,0.01192851536325175,0.01192161953076715,0.0121802799403667,1.0,0.3125,0.25806451612903225,event,1,116.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,2.890487412445008e-05,-0.0018012152777777,0.0468433856964111,1.32518717317117,4.411200455434452e-06,0.992595935657166,0.0134140457957983,2.6314102564102564
cycle86_rank4_obj9,86.0,persistence,0.00813008572731628,0.00774060934782025,0.017086025327444,0.03125,0.3125,0.25806451612903225,event,1,86.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,7.632818939224111e-05,0.0100477430555555,0.047686293721199,1.1156177975150214,5.387279228579849e-06,0.9761626362204234,0.0187912229448556,2.6282051282051277
cycle156_rank5_obj4,156.0,velocity,0.010425857413792938,0.00984605448320505,0.0154012758284807,0.0,0.3125,0.25806451612903225,event,1,156.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,0.0122938368055555,0.2067925347222222,0.1083476044237613,1.3097972948929866,3.2944787174310696e-06,0.8783012282705677,0.0476934053003788,2.605769230769231
cycle116_rank7_obj37,116.0,low_rank_dmd,0.0308268098160624,0.0307537401095032,0.031951256096363,0.0,0.3125,0.25806451612903225,event,1,116.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,2.890487412445008e-05,-0.0018012152777777,0.0468433856964111,1.32518717317117,4.411200455434452e-06,0.992595935657166,0.0134140457957983,2.5993589743589745
cycle60_rank5_obj18,60.0,low_rank_dmd,0.023718568496406023,0.0228137960657477,0.0326226726174354,0.15625,0.28125,0.25806451612903225,event,1,60.0,front_negative_high_apparent_front_proxy,0,3.96603383938229e-05,-0.0008029513888889,0.0386143594980239,1.236404564188312,-4.892557063710127e-07,0.8976056754686801,0.0300665665417909,2.583333333333333
cycle58_rank6_obj29,58.0,low_rank_dmd,0.033653122314717565,0.03471288643777365,0.0404237285256385,0.71875,0.1875,0.46842105263157896,control,0,60.0,near_baseline_or_context_like,0,4.1584697014847424e-05,0.0066623263888889,0.046927985548973,1.6155277307729818,1.984228924776045e-06,0.9707466068408068,0.0224153436720371,2.564102564102564
cycle58_rank6_obj29,58.0,velocity,0.02184105897322292,0.0196137754246592,0.0361992493271827,1.0,0.1875,0.46842105263157896,control,0,60.0,near_baseline_or_context_like,0,4.1584697014847424e-05,0.0066623263888889,0.046927985548973,1.6155277307729818,1.984228924776045e-06,0.9707466068408068,0.0224153436720371,2.5608974358974357
cycle157_rank2_obj2,157.0,low_rank_dmd,0.023754406312946178,0.0236226618289947,0.0271540898829698,0.0,0.28125,0.37368421052631584,control,0,156.0,optical_loss_rollout_hard,0,0.0071723090277777,-0.0994140624999999,0.1020794421434402,0.6756360226257907,-1.6627463988316578e-06,0.889086857718422,0.0363945141434669,2.5256410256410255
cycle156_rank8_obj10,156.0,velocity,0.009669369872426573,0.00902712717652315,0.015378002077341,0.0,0.3125,0.25806451612903225,event,1,156.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,0.0119032118055555,0.1720269097222221,0.0990672260522842,1.5796474218170364,2.0633059720247663e-06,0.902474052423648,0.0451687537133693,2.516025641025641
