roi_id,cohort_role,event_reference_cycle,roi_norm_mean_delta_protocol_residual,roi_norm_mean_slope_protocol_residual,high_fraction_delta_protocol_residual,high_fraction_slope_protocol_residual,low_fraction_delta_protocol_residual,high_radius2_delta_px2_protocol_residual,high_radius2_slope_px2_per_frame_protocol_residual,centroid_path_px_protocol_residual,first_last_corr_protocol_residual,cumulative_abs_norm_change_protocol_residual,temporal_diff_energy_protocol_residual,latent_path_length_protocol_residual,latent_mean_step_protocol_residual,latent_net_displacement_protocol_residual,persistence_mse_protocol_residual,velocity_mse_protocol_residual,low_rank_dmd_mse_protocol_residual,dmd_minus_persistence_mse_protocol_residual,physics_no_qc_rf_event_probability_protocol_residual
cycle88_rank2_obj4,control,86.0,-0.002140066343804028,-2.512695623444173e-05,-0.010348533036179663,-0.00015178989353480007,0.010717709210320382,1.1770602674457296,-0.31726913699320164,1.621518453720281,-0.007299548701258374,-0.0030750691494628836,-5.797540122258795e-05,-5.3257884115676415,-0.05606092936352822,0.3266065069863975,-6.663686234587704e-05,-0.00013337119062955478,-0.0008116883422573718,-0.0007617570004292447,0.0431477579842342
cycle88_rank5_obj9,control,86.0,-0.0036910164537626283,2.4265833224547707e-05,-0.01574098360538266,0.0002232550984214999,0.011167080091087281,6.271404512569878,0.009375366595263779,3.245654038001316,-0.007562611638008532,5.5254569770415984e-05,5.070054997369812e-05,6.19093426757054,0.06516772829934028,0.08428447930313937,5.0265603487947326e-05,0.00012204677758964524,-0.00025144789691897195,-0.00031841902092464474,0.050002109466702416
cycle88_rank3_obj6,control,86.0,-0.0023097905698019525,-2.7104949607693494e-05,-0.009300000981056863,-0.0001781952337508001,0.010118548035964481,3.389632524963834,-0.2378689642093551,-0.6311564585120841,-0.009215751755659363,-0.0008348662941440824,5.822676240098111e-06,-0.7400750250319987,-0.007790264254370627,-0.016270881014090854,1.7653847063473253e-06,1.5111898476245225e-05,1.5383554962428115e-05,-3.0873502616447e-06,0.014163191946534981
cycle88_rank4_obj8,control,86.0,-0.0022294062557417413,-1.9893502115560428e-05,-0.011097484504124563,-7.158281531250007e-05,0.010717709210320382,2.0976609398388364,-0.47969883025307253,-2.024753983165441,-0.006452269777686537,-0.0031055969721361836,-4.89643459961502e-05,-4.263277921150163,-0.04487660950974552,-0.02861208231948026,-5.657177665652899e-05,-0.00011349677143475477,0.00023529145033332824,0.0002751577064720554,0.13861731670053345
cycle90_rank6_obj3,control,86.0,-0.001231111536396475,-1.983601310724862e-05,-0.010357455084263577,-5.892907157077932e-05,0.0034470302054487034,-7.767518799849932,-0.008213383605688213,-0.4203923791279518,0.00721410567942582,5.901523912865518e-05,2.9537010513862674e-05,-1.797929886319979,-0.018925579422805427,-0.4010475942813339,4.799854271011083e-05,0.00012457806322950174,0.0005791116273719369,0.0005463573560799977,-0.04511157252836934
cycle90_rank3_obj4,control,86.0,-0.0007205530504116749,-3.369525648845733e-05,-0.005264585102238277,-0.0001778148293120989,0.0061432554900503035,-11.517968895373478,-0.13294997878102374,-1.4564641191926757,0.010846550506620423,-0.003960797907313444,-6.649487612793325e-05,-2.719973686673981,-0.028631301754806132,-0.19266045782198327,-4.565960914429221e-05,-0.00014406632536819827,-0.0007317604249003631,-0.0006708565443379024,-0.05351989726162215
cycle90_rank4_obj6,control,86.0,-0.000888340125454375,-2.0690363917934843e-05,-0.0009206665881580773,-0.00011602633320667932,-0.0026943718316992963,-18.833809701484874,-0.1915297387933371,-0.7743761253731378,0.009744800165456424,-0.0029940725020078454,-6.086217535101912e-05,-1.3378516468790593,-0.014082649880740733,-0.1517186233722152,-4.117864448185779e-05,-0.00013168796014119828,-0.0004224203438973631,-0.00036599742799740234,-0.03357824696996342
cycle90_rank5_obj10,control,86.0,-0.001223474691284675,6.044683318783059e-05,-0.0013700374689249774,0.00030604759845382067,0.011086335178486404,-3.092929666272135,0.12693615401696437,0.39121053967002695,0.008325451703823594,0.00018139381940085464,2.151250238036266e-05,4.64140498306479,0.04885689712157476,-0.04808998796572106,3.491772743121085e-05,7.983176154690175e-05,-0.00041713241619096317,-0.00043680587220400234,0.012702788382482844
cycle116_rank2_obj2,event,116.0,0.0009631748315977387,-5.415224879700953e-05,0.006527496190401796,-0.0001904280103142638,-0.008360082930151006,-2.52190114166656,-0.015399358764839811,2.311689407066279,-0.00203234912690331,-0.003518843250290394,-6.97833801037316e-05,-2.572437312132994,-0.027078286794482,0.08011002521914551,-5.946252426098902e-05,-0.00016224530423531025,-0.0008353938055637018,-0.0007820605096708862,-0.02789642763930622
cycle116_rank3_obj9,event,116.0,9.606881114713876e-05,4.7529202273913925e-05,0.0003860941532538957,0.0003412486588324362,-0.0016195197186472067,2.9136013289991505,0.1633904995177645,0.6528368751882265,-0.00358778136588489,-0.0009318298380233941,-2.4230348435198964e-05,3.1796841363838517,0.0334703614437,0.29580197911662176,-1.4927450562818135e-05,-3.666619982941021e-05,-0.0001373255026823018,-0.00012852728048768627,0.019825288721357803
cycle116_rank1_obj6,event,116.0,-1.0720360548561363e-05,1.5922688192013915e-05,0.0006856747404317956,0.00014012226874563616,-0.005364277058371607,0.7322487645741809,0.10823289356196679,-0.713893444525949,-0.002255660840403073,-0.0023247163462795945,-3.332376750182927e-05,1.85207221316608,0.019495493682564896,0.059517186693373414,-2.3751168980079397e-05,-6.408345376141024e-05,0.0008713400029688981,0.0008889619435808137,0.062169953296074776
cycle116_rank5_obj43,event,116.0,-9.059803512816134e-05,2.883214339641391e-05,0.0018839970891436956,8.716264623936183e-06,0.0021252376210771935,4.0957072088058775,-0.2388263173953797,-2.7091041126166804,-0.002574950479484528,-0.0015514741371728934,-2.9108121315917076e-05,-0.7200961370536483,-0.0075799609101397936,-0.10680650491314816,-2.0074471846664833e-05,-5.145042228721022e-05,-0.0005763871731591018,-0.0005624419296806863,-0.06410198804089934
cycle116_rank7_obj37,event,116.0,0.00015048040124643878,2.795987669013906e-06,0.0003860941532538957,0.00015157601372243617,-0.0037165838288928063,5.594139806888095,0.3537029389110851,-0.21557159991203,-0.007376660106551136,0.0036157242302439063,0.00012067322145448622,-0.6548896093436873,-0.0068935761726482,-0.039225983806428166,0.0001310651998966269,0.0003944562340086898,0.0010658408327895983,0.0009286464045248138,0.09683765585033355
cycle116_rank8_obj20,event,116.0,0.0014125118968175386,-5.226690910286089e-06,0.003232109731444396,-0.0002807136982632638,-0.00012161678275740637,9.704267527468616,-0.2744538637284051,-2.592783818359802,-0.006765723260298895,-0.0006863760481931949,-3.0641776765665115e-05,-2.2599830885001815,-0.023789295045195405,-0.06431345958310059,-2.1384511653077366e-05,-4.7723693622910224e-05,-0.0007452442418884018,-0.0007299889586034863,-0.027341369128830506
cycle118_rank4_obj1,control,116.0,-0.000599575307873759,-2.6035285575374157e-05,-0.007344227061116725,-0.0001684869062946792,0.006795424430809679,-0.7205387798383993,0.16455899398277551,0.45200324622286914,0.004112158209714112,0.002135519391123202,9.017798815034368e-06,-0.9083442421035137,-0.009561519130894564,-0.15571660564397738,4.1825744363817993e-05,6.89376709366709e-05,-0.00019948825513470714,-0.0002195400021438779,-0.11841730731557845
cycle118_rank1_obj7,control,116.0,-0.0005321773557939591,5.306436953093533e-06,-0.0022513570790916237,4.517344723232081e-05,0.007095005017987679,11.607010899013991,0.17108798895357724,-1.74518448389321,0.006786134800742749,-4.41628636679986e-05,-3.4504389392098745e-05,1.564663913719242,0.016470146373084138,-0.055644877414454674,-2.4420221339393767e-06,-6.522351506042909e-05,2.0544923131392886e-05,4.476094261992203e-05,0.0011005706838661533
cycle118_rank2_obj2,control,116.0,-0.00023654576828865904,-4.80719198313246e-05,0.002092561434988676,-0.0002550346954338792,-0.0008438805422280216,-2.7595168383527167,-0.018660383034544675,2.3269956941807983,0.007244233271183953,-0.0012437016831598983,-7.066531665798124e-05,-2.5783667297438946,-0.02714070211333937,-0.13267419503187106,-3.707273502327799e-05,-0.0001602275530907291,-0.0006088709125154072,-0.0005500241801375779,-0.14374008867522395
