source_stem,cycle_from,cycle_to,mode_from,mode_to,changed
16_c2_x10_HighHighCOV_130723,145.0,145.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
17_c2_x10_HighHighCOV_150723,150.0,150.0,source_residual_front_geometry_state,source_residual_temporal_dictionary_state,True
17_c2_x10_HighHighCOV_150723,150.0,151.0,source_residual_temporal_dictionary_state,source_residual_front_geometry_state,True
17_c2_x10_HighHighCOV_150723,151.0,151.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
17_c2_x10_HighHighCOV_150723,151.0,152.0,source_residual_front_geometry_state,source_residual_temporal_dictionary_state,True
17_c2_x10_HighHighCOV_150723,152.0,152.0,source_residual_temporal_dictionary_state,source_residual_front_geometry_state,True
2_c2_x14_200623,2.0,2.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
2_c2_x14_200623,2.0,6.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
2_c2_x14_200623,6.0,6.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
2_c2_x14_200623,6.0,10.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
2_c2_x14_200623,10.0,10.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
2_c2_x14_200623,10.0,12.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
2_c2_x14_200623,12.0,12.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
4_c2_x10_240623,26.0,26.0,source_residual_temporal_dictionary_state,source_residual_front_geometry_state,True
4_c2_x10_240623,26.0,28.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
4_c2_x10_240623,28.0,28.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
4_c2_x10_240623,28.0,30.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
4_c2_x10_240623,30.0,30.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
4_c2_x10_240623,30.0,34.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
4_c2_x10_240623,34.0,34.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
5_c2_x10_260623,36.0,36.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
5_c2_x10_260623,36.0,38.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
5_c2_x10_260623,38.0,38.0,source_residual_front_geometry_state,source_residual_temporal_dictionary_state,True
5_c2_x10_260623,38.0,42.0,source_residual_temporal_dictionary_state,source_residual_front_geometry_state,True
5_c2_x10_260623,42.0,42.0,source_residual_front_geometry_state,source_residual_temporal_dictionary_state,True
6_c2_x10_270623_2,46.0,46.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
6_c2_x10_270623_2,46.0,48.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
6_c2_x10_270623_2,48.0,48.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
6_c2_x10_270623_2,48.0,52.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
6_c2_x10_270623_2,52.0,52.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
6_c2_x10_270623_2,52.0,54.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
6_c2_x10_270623_2,54.0,54.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
7_c2_x10_290623,56.0,56.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
7_c2_x10_290623,56.0,64.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
7_c2_x10_290623,64.0,64.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
8_c2_x10_300623,68.0,68.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
8_c2_x10_300623,68.0,70.0,source_residual_temporal_dictionary_state,source_residual_front_geometry_state,True
8_c2_x10_300623,70.0,70.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
8_c2_x10_300623,70.0,72.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
8_c2_x10_300623,72.0,72.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
8_c2_x10_300623,72.0,74.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
8_c2_x10_300623,74.0,74.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
9_c2_x10_010723,78.0,78.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
9_c2_x10_010723,78.0,80.0,source_residual_front_geometry_state,source_residual_temporal_dictionary_state,True
9_c2_x10_010723,80.0,80.0,source_residual_temporal_dictionary_state,source_residual_front_geometry_state,True
9_c2_x10_010723,80.0,82.0,source_residual_front_geometry_state,source_residual_temporal_dictionary_state,True
9_c2_x10_010723,82.0,82.0,source_residual_temporal_dictionary_state,source_residual_front_geometry_state,True
9_c2_x10_010723,82.0,84.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
9_c2_x10_010723,84.0,84.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
