feature,transform,pre_clock_n,pre_clock_rho,pre_clock_p,pre_clock_perm_p_abs,post_clock_n,post_clock_rho,post_clock_p,post_clock_perm_p_abs,abs_pre_minus_abs_post_rho,source_eta2_after_transform,raw_source_eta2
dark_fraction_025_delta,source_residual,76,0.15851790428533633,0.17140941841832844,0.12749003984063745,40,0.006055375809513027,0.9704184755902135,0.9243027888446215,0.1524625284758233,2.582430716117343e-33,0.24516094962236806
mask_area_fraction_slope,within_source_rank,76,0.071120355302485,0.5415232848594255,0.12749003984063745,40,0.1470057429562333,0.3653619715465888,0.5378486055776892,-0.0758853876537483,0.002220577350111029,0.3709568317727134
roi_norm_mean_first,raw,76,-0.09726578504664721,0.4032253677178448,0.12749003984063745,40,-0.2529893034162517,0.11524443295400909,0.7211155378486056,-0.1557235183696045,0.1770683094060683,0.1770683094060683
roi_norm_mean_first,within_source_rank,76,-0.08026204565202287,0.4906816798912822,0.13545816733067728,40,-0.046426107531341916,0.7760524918458999,0.6693227091633466,0.033835938120680954,0.0022205773501110283,0.1770683094060683
raw_roi_mean_delta_last_minus_first,within_source_rank,76,-0.07358533340345359,0.5275648827216202,0.15139442231075698,40,0.0429173480215266,0.7925913528600221,0.649402390438247,0.030667985381926992,0.0022205773501110296,0.4591139102176846
roi_norm_mean_delta_last_minus_first,raw,76,-0.13490556037614174,0.24527262083217663,0.15139442231075698,40,0.2539354115068136,0.11384532667195583,0.22709163346613545,-0.11902985113067185,0.41398376879987014,0.41398376879987014
front_radius_q70_delta_px,source_residual,76,0.09508541954995407,0.4138993580887838,0.1593625498007968,40,-0.3086415791415501,0.05265694767096024,0.3107569721115538,-0.21355615959159602,5.203567976391899e-34,0.11678601772059717
raw_roi_mean_delta_last_minus_first,source_residual,76,-0.07360728096117466,0.5274414127720789,0.1593625498007968,40,0.03216767507910455,0.8437916743766009,0.7171314741035857,0.041439605882070116,6.8939850661600945e-34,0.4591139102176846
mask_centroid_max_step_px,raw,76,0.16684317017866257,0.14972100520730233,0.17131474103585656,40,-0.0868527227135823,0.594106143176588,0.5219123505976095,0.07999044746508027,0.7553858029701687,0.7553858029701687
front_gradient_peak_radius_median_px,source_residual,76,-0.05579079804225215,0.6321625668005513,0.17131474103585656,40,-0.06498543497851544,0.690340783361754,0.7529880478087649,-0.009194636936263295,9.771833214225567e-33,0.25372647451269464
roi_norm_mean_delta,source_residual,76,-0.07034498433756954,0.545951001386718,0.18725099601593626,40,-0.04598085320130828,0.7781460118216429,0.8366533864541833,0.024364131136261263,1.0175061883037838e-33,0.41398376879987014
mask_area_fraction_slope,raw,76,0.05049706202252653,0.6648667086871807,0.199203187250996,40,-0.03803354524058832,0.8157600239854593,0.6254980079681275,0.01246351678193821,0.3709568317727134,0.3709568317727134
mask_area_fraction_slope,source_residual,76,0.05611698477747655,0.6301694683464937,0.20318725099601595,40,0.057901815142388194,0.7226728150564559,0.6613545816733067,-0.0017848303649116437,1.544281629907837e-33,0.3709568317727134
roi_norm_mean_delta,within_source_rank,76,-0.07416081707992248,0.5243321767780763,0.2151394422310757,40,-0.004080532483418973,0.9800635218189058,0.9800796812749004,0.0700802845965035,0.00222057735011103,0.41398376879987014
spatial_std_mean,within_source_rank,76,-0.05666980695531902,0.6267975792921054,0.21912350597609562,40,0.00644958821070456,0.9684936137712269,0.9482071713147411,0.050220218744614464,0.00222057735011103,0.27212879085565306
raw_roi_mean_delta_last_minus_first,raw,76,-0.15272482764793446,0.18780518774492846,0.21912350597609562,40,0.32527196153518073,0.04055677065445424,0.2350597609561753,-0.17254713388724627,0.4591139102176846,0.4591139102176846
roi_norm_mean_delta_last_minus_first,source_residual,76,-0.07034498433756954,0.545951001386718,0.23107569721115537,40,-0.04598085320130828,0.7781460118216429,0.8207171314741036,0.024364131136261263,1.0175061883037838e-33,0.41398376879987014
front_radius_q60_delta_px,within_source_rank,76,0.07367395186869448,0.5270664321034962,0.24302788844621515,40,-0.25643117547917915,0.1102161967878803,0.1394422310756972,-0.1827572236104847,0.004737540269092287,0.19692374664441703
front_radius_q60_delta_px,source_residual,76,0.13968046061364714,0.22880813333921818,0.2749003984063745,40,-0.30413963376359415,0.056387698412491104,0.11952191235059761,-0.164459173149947,1.6097856765574955e-33,0.19692374664441703
roi_norm_mean_delta,raw,76,-0.13490556037614174,0.24527262083217663,0.2868525896414343,40,0.2539354115068136,0.11384532667195583,0.22310756972111553,-0.11902985113067185,0.41398376879987014,0.41398376879987014
roi_norm_mean_last,source_residual,76,-0.04704286559753286,0.6865533083634919,0.2948207171314741,40,-0.022138929319148428,0.892141159666465,0.8326693227091634,0.02490393627838443,3.3782122478153968e-31,0.19923670283826445
front_radius_q70_delta_px,within_source_rank,76,0.05253342464886296,0.6522078984615487,0.30278884462151395,40,-0.3202452968698815,0.04394788687363801,0.35856573705179284,-0.26771187222101855,0.004390072582533365,0.11678601772059717
front_radius_q60_delta_px,raw,76,0.039223446343098184,0.7365658671984594,0.3107569721115538,40,-0.01184457118003453,0.9421732392266657,0.9681274900398407,0.027378875163063653,0.19692374664441703,0.19692374664441703
roi_norm_mean_delta_last_minus_first,within_source_rank,76,-0.07416081707992248,0.5243321767780763,0.3107569721115538,40,-0.004080532483418973,0.9800635218189058,0.9840637450199203,0.0700802845965035,0.00222057735011103,0.41398376879987014
front_radius_q60_median_px,source_residual,76,0.10957936872785562,0.34603899460830945,0.33067729083665337,40,0.17465409766937823,0.2810811291338905,0.4581673306772908,-0.06507472894152261,5.013778355353885e-33,0.18916582859938572
dark_fraction_025_delta,raw,76,0.03590027762699184,0.7581708452420859,0.33067729083665337,40,-0.026433637482971808,0.8713784191286416,0.7768924302788844,0.009466640144020034,0.24516094962236806,0.24516094962236806
mask_area_fraction_median,within_source_rank,76,-0.06374097566450951,0.5843593067638722,0.3426294820717131,40,0.06898295782531559,0.6723270863773332,0.4940239043824701,-0.005241982160806083,0.00222057735011103,0.29077556614059247
persistence_mse_late_mean,raw,76,0.20341378947184952,0.07800057222599639,0.3466135458167331,40,-0.4819474613322311,0.0016386181711729735,0.3346613545816733,-0.2785336718603816,0.6646846224893732,0.6646846224893732
front_radius_q70_median_px,source_residual,76,0.10231203308100909,0.3791495830873615,0.3545816733067729,40,0.16657357775907178,0.3042808648662023,0.3426294820717131,-0.0642615446780627,4.493758802926673e-33,0.18852166145600718
front_radius_q80_median_px,source_residual,76,0.0795699147211127,0.49444096331126264,0.36254980079681276,40,0.1591961834853442,0.326497060413937,0.3745019920318725,-0.0796262687642315,4.3206642759263126e-33,0.18760524310145266
mask_area_fraction_iqr,raw,76,0.19001990752791864,0.10015186283137677,0.3665338645418327,40,-0.09888221044989558,0.5438205601031246,0.7609561752988048,0.09113769707802306,0.3839107963796472,0.3839107963796472
roi_norm_mean_first,source_residual,76,-0.04323228382710333,0.7107734875517449,0.3665338645418327,40,0.0007568864724495189,0.9963016821018035,1.0,0.042475397354653804,8.843458469968833e-31,0.1770683094060683
object_area_ds_px,raw,76,0.137285709592445,0.23696655251927137,0.3705179282868526,40,0.1989441483073696,0.21844204102485687,0.6852589641434262,-0.0616584387149246,0.10986075143354154,0.10986075143354154
front_radius_q80_delta_px,source_residual,76,0.035996451720062814,0.7575428889480427,0.3705179282868526,40,-0.48765257667720274,0.0014141836611728425,0.05976095617529881,-0.4516561249571399,2.9055650284383496e-34,0.08729908603844944
object_area_ds_px,source_residual,76,0.14036771390628586,0.2265034186818135,0.41832669322709165,40,-0.13661313537929537,0.4005885398149704,0.2749003984063745,0.0037545785269904874,5.2761596432882684e-33,0.10986075143354154
front_gradient_peak_radius_median_px,within_source_rank,76,-0.03780072905744817,0.7457915568434096,0.41832669322709165,40,-0.031770711508510775,0.8456959593782072,0.8406374501992032,0.006030017548937394,0.002407318247472316,0.25372647451269464
object_y_full_approx,source_residual,76,-0.11020531451170285,0.34327417038925545,0.41832669322709165,40,0.13984133510094146,0.3894424041090599,0.545816733067729,-0.029636020589238615,7.63482183250649e-33,0.1767898202994347
roi_norm_mean_abs_step_mean,raw,76,0.1712568656105989,0.13908922682765895,0.42231075697211157,40,-0.36614383104745474,0.020146723292861064,0.2589641434262948,-0.19488696543685582,0.7875712256091358,0.7875712256091358
roi_norm_mean_positive_step_fraction,raw,76,0.09186953124168658,0.4299380292184354,0.42231075697211157,40,0.1829596268188935,0.25846952339549817,0.2589641434262948,-0.09109009557720692,0.12356133059905985,0.12356133059905985
roi_norm_mean_abs_step_p95,source_residual,76,-0.05787149724731461,0.6194943453555587,0.4302788844621514,40,-0.07114732841025477,0.6626480203401642,0.4860557768924303,-0.013275831162940163,2.3134422122068482e-32,0.676182004236315
front_radius_q80_median_px,within_source_rank,76,0.036543448868061726,0.7539743334201419,0.4342629482071713,40,0.013841822669914502,0.9324431772643051,0.8884462151394422,0.022701626198147223,0.002815632391035026,0.18760524310145266
front_gradient_peak_radius_slope_px_per_norm_time,source_residual,70,-0.11781152652758624,0.3313879389505963,0.43824701195219123,32,0.08871677487461609,0.6292058221125617,0.4701195219123506,0.029094751652970152,2.4913504964176567e-33,0.1932607245506234
persistence_mse_p95,source_residual,76,0.040271544034251615,0.7297930527418394,0.450199203187251,40,-0.0877988308041442,0.5900782889274566,0.3904382470119522,-0.04752728676989259,4.033324419610283e-32,0.681991026318554
frame_diff_abs_mean,source_residual,76,0.03544663474219696,0.7611349491238045,0.450199203187251,40,-0.11826351132023732,0.46734680360360414,0.29880478087649404,-0.08281687657804036,1.4794432606440277e-31,0.6168376064037338
mask_area_fraction_median,source_residual,76,-0.036680276322551844,0.7530824853907633,0.450199203187251,40,0.010785632232405645,0.9473355513374426,0.9322709163346613,0.025894644090146197,4.675779742438587e-31,0.29077556614059247
roi_norm_mean_positive_step_fraction,within_source_rank,76,0.03421645457314747,0.7691901372081759,0.46613545816733065,40,0.19950520800062696,0.21711956921359682,0.05976095617529881,-0.1652887534274795,0.002472391626833691,0.12356133059905985
front_radius_q70_delta_px,raw,76,0.030038394095635988,0.7967258570785768,0.46613545816733065,40,0.20530918305360904,0.20376280786845746,0.5298804780876494,-0.17527078895797304,0.11678601772059717,0.11678601772059717
frame_diff_mse_mean,raw,76,0.12328191526346459,0.28869516136297674,0.4701195219123506,40,-0.5061678284506158,0.0008612809993133262,0.06374501992031872,-0.3828859131871512,0.7541983734421749,0.7541983734421749
roi_norm_mean_abs_step_p95,within_source_rank,76,0.06368548083392848,0.5846872097696149,0.4820717131474104,40,-0.031112711790840405,0.8488543698001805,0.7171314741035857,0.032572769043088076,0.002220577350111029,0.676182004236315
object_x_full_approx,raw,76,0.22224738426526738,0.0536559061486116,0.4860557768924303,40,0.2568924464465556,0.10955517032660796,0.7410358565737052,-0.03464506218128824,0.2701791145026204,0.2701791145026204
bright_fraction_060_delta,within_source_rank,76,0.04951420309578505,0.671010474162304,0.4860557768924303,40,-0.11880431658003701,0.46529846594020424,0.5179282868525896,-0.06929011348425196,0.0022865853658536584,0.16156767534943997
mask_centroid_path_px,raw,76,0.1074913030349221,0.35536217842688467,0.4940239043824701,40,-0.002649102653573316,0.9870563878772199,0.9920318725099602,0.10484220038134878,0.7648575103265738,0.7648575103265738
persistence_mse_mean,raw,76,0.12328191526346459,0.28869516136297674,0.49800796812749004,40,-0.5061678284506158,0.0008612809993133262,0.07569721115537849,-0.3828859131871512,0.7541982340374828,0.7541982340374828
mask_base_area_fraction,within_source_rank,76,-0.027728690622818308,0.8120575347982496,0.49800796812749004,40,-0.09413693543143306,0.5634123446201739,0.46613545816733065,-0.06640824480861475,0.002223737658255997,0.21608411441791764
front_radius_q80_slope_px_per_norm_time,raw,43,-0.059944217855624815,0.7025790960468653,0.5059760956175299,18,-0.10362101801933014,0.6824149547654927,0.7529880478087649,-0.04367680016370533,0.15336694105565868,0.15336694105565868
roi_norm_mean_abs_step_p95,raw,76,0.16160704702648965,0.16310788121757813,0.5099601593625498,40,-0.3691713769372528,0.019063220992242596,0.38247011952191234,-0.20756432991076318,0.676182004236315,0.676182004236315
spatial_std_mean,raw,76,0.1963683253351561,0.08910768282100898,0.5179282868525896,40,0.05903714485106248,0.7174569588452503,0.6294820717131474,0.13733118048409362,0.27212879085565306,0.27212879085565306
temporal_energy_mean,source_residual,76,0.03421299316184208,0.7692128373534766,0.5179282868525896,40,-0.13851022445826197,0.3940162626536957,0.28286852589641437,-0.10429723129641989,1.566178043106527e-31,0.7281690036904103
velocity_mse_p95,source_residual,76,0.0296348121858584,0.7993994529878271,0.5179282868525896,40,-0.07039044193780525,0.6660267712412669,0.5099601593625498,-0.04075562975194685,5.276242806263867e-32,0.67054335146267
object_mean_residual,raw,76,-0.11549626617855825,0.3204587292172245,0.5258964143426295,40,-0.023274259027822704,0.8866449333297529,0.8844621513944223,0.09222200715073554,0.17496062687710975,0.17496062687710975
mask_area_fraction_median,raw,76,-0.022918945774555492,0.844205417033138,0.5338645418326693,40,-0.065281458248771,0.6890009018453652,0.8247011952191236,-0.04236251247421551,0.29077556614059247,0.29077556614059247
roi_norm_mean_late_minus_early,source_residual,76,-0.032951937324145975,0.7774956681525521,0.545816733067729,40,-0.2064407853606063,0.20122703597637584,0.27091633466135456,-0.17348884803646034,1.304843487590849e-32,0.5985554655138969
roi_norm_mean_abs_step_mean,within_source_rank,76,0.022751853330475975,0.8453271530295222,0.549800796812749,40,-0.08852971066164987,0.5869750162319535,0.38247011952191234,-0.06577785733117389,0.0022205773501110288,0.7875712256091358
object_mean_abs_z,raw,76,-0.10359847849246892,0.3731534454741069,0.5617529880478087,40,-0.15629705656082565,0.3354973107967281,0.8047808764940239,-0.05269857806835673,0.24062877316727443,0.24062877316727443
object_x_full_approx,within_source_rank,76,-0.026883640417789793,0.8176849435261535,0.5737051792828686,40,0.05551946090484372,0.7336577203340469,0.749003984063745,-0.028635820487053928,0.002225849532571599,0.2701791145026204
front_radius_q70_positive_step_fraction,source_residual,76,-0.05533299155439584,0.634964319975624,0.5776892430278885,40,-0.2935822255108801,0.0659667203990117,0.07171314741035857,-0.23824923395648426,9.9401611149228e-33,0.36398625429553283
object_y_full_approx,raw,76,0.21023993954981324,0.06832077436782633,0.5816733067729084,40,-0.14854593782711645,0.3603043438633801,0.33067729083665337,0.06169400172269679,0.1767898202994347,0.1767898202994347
mask_base_area_fraction,source_residual,76,-0.029813412426808898,0.79821599969358,0.5816733067729084,40,-0.04087186951227402,0.8022749048325087,0.6653386454183267,-0.011058457085465122,5.605480752452472e-31,0.21608411441791764
roi_norm_mean_abs_step_mean,source_residual,76,-0.05803598279136193,0.6184975244251927,0.5816733067729084,40,-0.13131980296999154,0.4192577386100509,0.40239043824701193,-0.07328382017862961,6.690804662782244e-32,0.7875712256091358
masked_minus_background_mean_slope,within_source_rank,76,-0.03558184144603419,0.7602511466804461,0.5936254980079682,40,-0.07986860770697445,0.6242049955992817,0.3665338645418327,-0.044286766260940254,0.0022205773501110288,0.5781004525786195
bright_fraction_075_delta,within_source_rank,76,-0.03756585057583753,0.7473181191484091,0.5936254980079682,40,-0.13121654735100347,0.4196267264926659,0.30677290836653387,-0.09365069677516594,0.0022937182702305954,0.27582890038621466
front_radius_q70_positive_step_fraction,raw,76,0.10613834117485714,0.36148521575229037,0.5976095617529881,40,0.10836248055458099,0.5056818956164919,0.9282868525896414,-0.0022241393797238496,0.36398625429553283,0.36398625429553283
front_radius_q80_median_px,raw,76,-0.09637520827764946,0.4075655350726231,0.6175298804780877,40,0.15205550382492486,0.348938381959769,0.47808764940239046,-0.055680295547275396,0.18760524310145266,0.18760524310145266
front_radius_q80_slope_px_per_norm_time,within_source_rank,43,-0.10092925720016337,0.5195867018970894,0.6254980079681275,18,-0.44732819486033615,0.06269648281171292,0.02390438247011952,-0.34639893766017277,0.07950603579852919,0.15336694105565868
front_radius_q70_median_px,raw,76,-0.10325088266432929,0.3747678944012069,0.6294820717131474,40,0.2019833483039623,0.21134451986434144,0.3466135458167331,-0.09873246563963302,0.18852166145600718,0.18852166145600718
object_mean_residual,source_residual,76,-0.03953135908603868,0.7345740256149791,0.6334661354581673,40,0.13037369487942962,0.42264553681578304,0.2749003984063745,-0.09084233579339095,2.2920707034723626e-32,0.17496062687710975
temporal_energy_mean,within_source_rank,76,0.021265197295962723,0.8553207451956387,0.6374501992031872,40,-0.11458584098577805,0.4814026540459543,0.29880478087649404,-0.09332064368981532,0.00222057735011103,0.7281690036904103
mask_centroid_max_step_px,source_residual,76,-0.06091447981218998,0.601165710097678,0.6374501992031872,40,-0.2622611627037583,0.10208107178427102,0.18725099601593626,-0.20134668289156835,3.5021997566846926e-32,0.7553858029701687
