feature,transform,target,n,n_positive,oriented_auc,average_precision,direction,median_positive,median_negative,median_positive_minus_negative,mwu_p,within_source_perm_p,source_eta2_after_transform,raw_source_eta2,pre_clock_n,pre_clock_rho,pre_clock_p,pre_clock_perm_p_abs,post_clock_n,post_clock_rho,post_clock_p,post_clock_perm_p_abs,abs_pre_minus_abs_post_rho
spatial_std_mean,raw,clean_pre8_vs_post_control,84,32,0.6304086538461539,0.5275117138333881,higher_in_positive,0.13104515522718424,0.12698004394769666,0.004065111279487582,0.0461333684147207,,0.27212879085565306,0.27212879085565306,76,0.1963683253351561,0.08910768282100898,,40,0.05903714485106248,0.7174569588452503,,0.13733118048409362
masked_minus_background_mean_median,raw,clean_pre8_vs_post_control,84,32,0.6274038461538461,0.5214562236222127,higher_in_positive,0.14788679964840407,0.1455672727897763,0.0023195268586277684,0.05140105381374687,,0.43670484472087534,0.43670484472087534,76,0.3297661015575308,0.003625493206253862,,40,-0.481379796477894,0.0016625829266779311,,-0.1516136949203632
front_radius_q70_positive_step_fraction,raw,clean_pre8_vs_post_control,84,32,0.6225961538461537,0.562704613095238,higher_in_positive,0.0210526315789473,0.0,0.0210526315789473,0.04229237200038923,,0.36398625429553283,0.36398625429553283,76,0.10613834117485714,0.36148521575229037,,40,0.10836248055458099,0.5056818956164919,,-0.0022241393797238496
object_mean_abs_z,raw,clean_pre8_vs_post_control,84,32,0.6177884615384617,0.4615446085551368,lower_in_positive,22.140566825866703,24.51110553741455,-2.370538711547848,0.07174370683660192,,0.24062877316727443,0.24062877316727443,76,-0.10359847849246892,0.3731534454741069,,40,-0.15629705656082565,0.3354973107967281,,-0.05269857806835673
object_x_full_approx,raw,clean_pre8_vs_post_control,84,32,0.6147836538461539,0.47993164820569956,higher_in_positive,1200.3937888198757,1178.88,21.513788819875572,0.07930994444592715,,0.2701791145026204,0.2701791145026204,76,0.22224738426526738,0.0536559061486116,,40,0.2568924464465556,0.10955517032660796,,-0.03464506218128824
object_area_ds_px,raw,clean_pre8_vs_post_control,84,32,0.6111778846153845,0.42013813952354767,higher_in_positive,73.5,56.0,17.5,0.08914764029310902,,0.10986075143354154,0.10986075143354154,76,0.137285709592445,0.23696655251927137,,40,0.1989441483073696,0.21844204102485687,,-0.0616584387149246
mask_area_fraction_slope,raw,clean_pre8_vs_post_control,84,32,0.6027644230769231,0.4776874900786505,lower_in_positive,-0.00401255464499205,0.0016195640258089,-0.00563211867080095,0.11630644915184575,,0.3709568317727134,0.3709568317727134,76,0.05049706202252653,0.6648667086871807,,40,-0.03803354524058832,0.8157600239854593,,0.01246351678193821
persistence_mse_late_mean,raw,clean_pre8_vs_post_control,84,32,0.6015624999999999,0.6166358157253672,higher_in_positive,8.86154011823237e-05,7.546272536274046e-05,1.3152675819583237e-05,0.12065137509337417,,0.6646846224893732,0.6646846224893732,76,0.20341378947184952,0.07800057222599639,,40,-0.4819474613322311,0.0016386181711729735,,-0.2785336718603816
object_mean_residual,raw,clean_pre8_vs_post_control,84,32,0.5979567307692307,0.4289057964366551,lower_in_positive,9020.50732421875,9993.2158203125,-972.70849609375,0.13445060795505656,,0.17496062687710975,0.17496062687710975,76,-0.11549626617855825,0.3204587292172245,,40,-0.023274259027822704,0.8866449333297529,,0.09222200715073554
front_radius_q60_delta_px,raw,clean_pre8_vs_post_control,84,32,0.5964543269230769,0.4720139486517499,higher_in_positive,0.0,0.0,0.0,0.03557192785947493,,0.19692374664441703,0.19692374664441703,76,0.039223446343098184,0.7365658671984594,,40,-0.01184457118003453,0.9421732392266657,,0.027378875163063653
velocity_minus_persistence_mse,raw,clean_pre8_vs_post_control,84,32,0.5895432692307692,0.58512178641983,higher_in_positive,0.0001565629208926,0.00013749769277630002,1.9065228116299987e-05,0.17136645042807686,,0.7970380411936366,0.7970380411936366,76,0.11363209667935531,0.328383959795331,,40,-0.4669989535013532,0.002382338395157935,,-0.35336685682199787
velocity_mse_mean,raw,clean_pre8_vs_post_control,84,32,0.5889423076923077,0.5871737432911249,higher_in_positive,0.00024980193120425,0.0002148312341887,3.497069701555001e-05,0.17426850606531707,,0.783022062622364,0.783022062622364,76,0.11618162261208873,0.3175760952732874,,40,-0.47835225058809594,0.0017956939686069081,,-0.3621706279760072
persistence_mse_mean,raw,clean_pre8_vs_post_control,84,32,0.5859375,0.589174563812623,higher_in_positive,8.821699520922266e-05,7.944349272293039e-05,8.773502486292273e-06,0.1893310534413083,,0.7541982340374828,0.7541982340374828,76,0.12328191526346459,0.28869516136297674,,40,-0.5061678284506158,0.0008612809993133262,,-0.3828859131871512
frame_diff_mse_mean,raw,clean_pre8_vs_post_control,84,32,0.5859375,0.589174563812623,higher_in_positive,8.821699157124385e-05,7.94434963609092e-05,8.773495210334659e-06,0.1893310534413083,,0.7541983734421749,0.7541983734421749,76,0.12328191526346459,0.28869516136297674,,40,-0.5061678284506158,0.0008612809993133262,,-0.3828859131871512
roi_norm_mean_slope,raw,clean_pre8_vs_post_control,84,32,0.5817307692307693,0.5409395409653535,higher_in_positive,0.0017887736843494998,0.0017157576968605,7.301598748899992e-05,0.21200031945104092,,0.5832240213168814,0.5832240213168814,76,0.20818387024922175,0.07112873183585965,,40,-0.28496775687724385,0.07469971752497633,,-0.0767838866280221
