embedding_row_id,roi_id,embedding_cohort,cycleNo,cohort_role,future_any_drop_within_8cycles,video_embedding_cluster,cluster_distance
transfer_ranked::cycle153_rank7_obj2,cycle153_rank7_obj2,transfer_ranked,153.0,,,6,5.732239779511735
transfer_ranked::cycle153_rank7_obj4,cycle153_rank7_obj4,transfer_ranked,153.0,,,6,7.8264103871299735
transfer_ranked::cycle154_rank6_obj3,cycle154_rank6_obj3,transfer_ranked,154.0,,,7,10.207617623171657
transfer_ranked::cycle154_rank6_obj1,cycle154_rank6_obj1,transfer_ranked,154.0,,,7,3.8696771694362853
transfer_ranked::cycle154_rank6_obj4,cycle154_rank6_obj4,transfer_ranked,154.0,,,7,4.20439512978414
transfer_ranked::cycle154_rank6_obj2,cycle154_rank6_obj2,transfer_ranked,154.0,,,6,4.083471910796658
transfer_ranked::cycle155_rank10_obj1,cycle155_rank10_obj1,transfer_ranked,155.0,,,7,4.305435999130984
transfer_ranked::cycle155_rank10_obj2,cycle155_rank10_obj2,transfer_ranked,155.0,,,7,4.742225876706974
transfer_ranked::cycle155_rank10_obj3,cycle155_rank10_obj3,transfer_ranked,155.0,,,6,4.246916537741913
transfer_ranked::cycle155_rank10_obj4,cycle155_rank10_obj4,transfer_ranked,155.0,,,6,7.87390867275094
transfer_ranked::cycle156_rank3_obj1,cycle156_rank3_obj1,transfer_ranked,156.0,,,2,13.13320515350369
transfer_ranked::cycle156_rank3_obj2,cycle156_rank3_obj2,transfer_ranked,156.0,,,2,6.11874095810177
transfer_ranked::cycle156_rank3_obj3,cycle156_rank3_obj3,transfer_ranked,156.0,,,2,8.410746618508627
transfer_ranked::cycle156_rank3_obj4,cycle156_rank3_obj4,transfer_ranked,156.0,,,2,11.248650195160597
balanced_future::cycle40_rank2_obj3,cycle40_rank2_obj3,balanced_future,40.0,future8_negative,0.0,1,9.342667725089527
balanced_future::cycle40_rank2_obj1,cycle40_rank2_obj1,balanced_future,40.0,future8_negative,0.0,4,4.209719504040611
balanced_future::cycle40_rank2_obj2,cycle40_rank2_obj2,balanced_future,40.0,future8_negative,0.0,1,2.3657797487412138
balanced_future::cycle44_rank4_obj1,cycle44_rank4_obj1,balanced_future,44.0,future8_negative,0.0,1,3.8860389307195042
balanced_future::cycle44_rank4_obj3,cycle44_rank4_obj3,balanced_future,44.0,future8_negative,0.0,4,3.000536627391235
balanced_future::cycle44_rank4_obj2,cycle44_rank4_obj2,balanced_future,44.0,future8_negative,0.0,1,3.5951928096779553
balanced_future::cycle76_rank8_obj1,cycle76_rank8_obj1,balanced_future,76.0,future8_negative,0.0,1,2.9909443383206225
