roi_id,cycleNo,cohort_role,event_reference_cycle,method,particle_mse_ratio_vs_persistence,particle_mse_delta_vs_persistence
cycle62_rank4_obj1,62.0,control,62.0,low_rank_dmd,55.62050390920905,0.0057183509907190455
cycle86_rank2_obj6,86.0,event,86.0,velocity,2.2262387155051773,8.768238461698274e-05
cycle86_rank2_obj6,86.0,event,86.0,low_rank_dmd,31.90885970370411,0.002210142682940841
cycle86_rank3_obj5,86.0,event,86.0,velocity,2.280729958918827,0.00017839219003690232
cycle86_rank3_obj5,86.0,event,86.0,low_rank_dmd,42.49100500878105,0.005779259865676067
cycle86_rank4_obj9,86.0,event,86.0,velocity,1.9902711378535396,0.00025167812236759346
cycle86_rank4_obj9,86.0,event,86.0,low_rank_dmd,43.886414242265225,0.01089961304433018
cycle86_rank5_obj8,86.0,event,86.0,velocity,2.075303021675492,9.227557018220978e-05
cycle86_rank5_obj8,86.0,event,86.0,low_rank_dmd,50.76286366437384,0.00427032801542282
cycle86_rank6_obj78,86.0,event,86.0,velocity,2.4206921876848253,0.00021898193881497718
cycle86_rank6_obj78,86.0,event,86.0,low_rank_dmd,90.71247604771062,0.013828056570673652
cycle86_rank8_obj17,86.0,event,86.0,velocity,2.093035871900288,0.00018936762626253767
cycle86_rank8_obj17,86.0,event,86.0,low_rank_dmd,103.86612187106583,0.017821476698372862
cycle88_rank2_obj4,88.0,control,88.0,velocity,1.8353117453137437,9.041133534992696e-05
cycle88_rank2_obj4,88.0,control,88.0,low_rank_dmd,17.88711303496838,0.0018278043476129824
cycle88_rank3_obj6,88.0,control,88.0,velocity,1.7350142838545244,0.00017771988450476783
cycle88_rank3_obj6,88.0,control,88.0,low_rank_dmd,31.812086965223703,0.007450087239249115
cycle88_rank4_obj8,88.0,control,88.0,velocity,1.8029785765450028,0.00010929255199698673
cycle88_rank4_obj8,88.0,control,88.0,low_rank_dmd,30.314037202398758,0.003989902132843781
cycle88_rank5_obj9,88.0,control,88.0,velocity,1.628483376355089,0.00029414627169899177
cycle88_rank5_obj9,88.0,control,88.0,low_rank_dmd,15.8004184860074,0.00692697385647989
cycle90_rank3_obj4,90.0,control,90.0,velocity,2.6649404188856174,7.634666769718024e-05
cycle90_rank3_obj4,90.0,control,90.0,low_rank_dmd,50.55704008419722,0.002272462622954663
cycle90_rank4_obj6,90.0,control,90.0,velocity,2.7484261466480886,8.744498495616426e-05
cycle90_rank4_obj6,90.0,control,90.0,low_rank_dmd,37.167411835918756,0.0018088603799242264
cycle90_rank5_obj10,90.0,control,90.0,velocity,2.634095012455828,0.0002084671091324708
cycle90_rank5_obj10,90.0,control,90.0,low_rank_dmd,37.217367107271265,0.004620373823854607
cycle90_rank6_obj3,90.0,control,90.0,velocity,2.852092934212885,0.00021096960722388758
cycle90_rank6_obj3,90.0,control,90.0,low_rank_dmd,78.06504395572675,0.008778383499929987
