method,x,y,n,spearman_rho,p_value
persistence,particle_mse_mean,mask_instability_score,52,0.05575002134380603,0.6946504119374552
persistence,particle_mse_fraction_of_full_mean,mask_instability_score,52,0.053188764620507124,0.7080389018502105
low_rank_dmd,particle_mse_mean,high_fraction_slope_per_s,52,0.05250576282762742,0.7116241944959387
velocity,particle_mse_mean,fallback_frame_fraction,52,-0.05131510260529168,0.7178891158162749
velocity,particle_mse_mean,accepted_area_cv,52,0.050712883121318185,0.721064875462705
velocity,particle_to_nonparticle_mse_ratio_mean,mask_instability_score,52,0.04985913088021856,0.7255750673905671
persistence,particle_mse_mean,accepted_centroid_path_px,52,0.049176129087338843,0.7291898860734032
low_rank_dmd,particle_mse_fraction_of_full_mean,accepted_centroid_path_px,52,0.048151626398019294,0.7346230539429862
velocity,particle_to_nonparticle_mse_ratio_mean,fallback_frame_fraction,52,-0.041985083949784105,0.7675895699057037
velocity,particle_to_nonparticle_mse_ratio_mean,accepted_centroid_path_px,52,0.040638606676342524,0.7748447365352633
velocity,particle_mse_fraction_of_full_mean,accepted_centroid_path_px,52,-0.03935797831469308,0.7817628342556051
velocity,particle_mse_fraction_of_full_mean,accepted_area_cv,52,0.03739434816016392,0.792403005663186
persistence,particle_mse_fraction_of_full_mean,accepted_centroid_path_px,52,0.03662597114317425,0.7965768939132309
low_rank_dmd,particle_mse_mean,mask_instability_score,52,0.033552463075215574,0.8133278269379535
velocity,particle_mse_fraction_of_full_mean,fallback_frame_fraction,52,0.032655065294276524,0.8182347537976076
low_rank_dmd,particle_mse_fraction_of_full_mean,mask_instability_score,52,0.029966703662597113,0.8329752442552376
velocity,particle_mse_fraction_of_full_mean,mask_instability_score,52,-0.025441816784769058,0.8579120743519719
velocity,particle_mse_mean,accepted_centroid_path_px,52,-0.02450268931955946,0.8631057585744242
low_rank_dmd,particle_mse_fraction_of_full_mean,accepted_area_cv,52,0.023307436182019976,0.8697241802523292
persistence,particle_mse_ratio_vs_persistence_low_rank_dmd,mask_instability_score,52,0.02117305557927089,0.8815645403441249
velocity,particle_mse_ratio_vs_persistence_low_rank_dmd,mask_instability_score,52,0.02117305557927089,0.8815645403441249
low_rank_dmd,particle_mse_ratio_vs_persistence_low_rank_dmd,mask_instability_score,52,0.02117305557927089,0.8815645403441249
velocity,particle_mse_mean,mask_instability_score,52,-0.02083155468283104,0.8834614510535391
persistence,particle_mse_ratio_vs_persistence_low_rank_dmd,accepted_centroid_path_px,52,0.012379407495944678,0.9305901050046094
velocity,particle_mse_ratio_vs_persistence_low_rank_dmd,accepted_centroid_path_px,52,0.012379407495944678,0.9305901050046094
low_rank_dmd,particle_mse_ratio_vs_persistence_low_rank_dmd,accepted_centroid_path_px,52,0.012379407495944678,0.9305901050046094
low_rank_dmd,particle_mse_mean,accepted_centroid_path_px,52,0.00990352599675574,0.9444475887045236
velocity,particle_mse_fraction_of_full_mean,high_fraction_slope_per_s,52,-0.00887902330743618,0.9501867260326412
persistence,particle_mse_ratio_vs_persistence_low_rank_dmd,accepted_area_cv,52,0.005378639118927687,0.9698126049472633
low_rank_dmd,particle_mse_ratio_vs_persistence_low_rank_dmd,accepted_area_cv,52,0.005378639118927687,0.9698126049472633
velocity,particle_mse_ratio_vs_persistence_low_rank_dmd,accepted_area_cv,52,0.005378639118927687,0.9698126049472633
