cycleNo,expansion_cycle_rank,selection_reason,selection_priority,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,cycle_table_n_frames,downsample,n_candidates,overlay_png
133,15,source_representative,0.030127214571300274,False,0,0,0,15_c2_x5_HighCOV_120723,2,5,6193,2477,3715,2477,3714,12,1179.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_133_rank15_15_c2_x5_HighCOV_120723_local2.png
134,16,future16_negative,0.03025897076805526,False,0,0,0,15_c2_x5_HighCOV_120723,3,5,6193,3715,4954,3715,4953,12,1179.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_134_rank16_15_c2_x5_HighCOV_120723_local3.png
136,17,future16_negative,0.09223468725062586,False,0,0,0,16_c2_x10_HighHighCOV_130723,0,10,12245,0,1224,0,1223,12,975.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_136_rank17_16_c2_x10_HighHighCOV_130723_local0.png
142,18,source_fill,1.027242449118582,False,0,1,0,16_c2_x10_HighHighCOV_130723,6,10,12245,7347,8571,7347,8570,12,1250.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_142_rank18_16_c2_x10_HighHighCOV_130723_local6.png
144,19,future16_positive,1.0680623588412903,False,0,1,0,16_c2_x10_HighHighCOV_130723,8,10,12245,9796,11020,9796,11019,12,1245.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_144_rank19_16_c2_x10_HighHighCOV_130723_local8.png
145,20,source_representative,1.0557396504349976,False,0,1,0,16_c2_x10_HighHighCOV_130723,9,10,12245,11020,12245,11020,12244,12,1247.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_145_rank20_16_c2_x10_HighHighCOV_130723_local9.png
150,21,future16_positive,3.399676351675395,True,1,1,0,17_c2_x10_HighHighCOV_150723,4,10,12377,4950,6188,4950,6187,12,1237.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_150_rank21_17_c2_x10_HighHighCOV_150723_local4.png
151,22,source_representative,1.7962925794723135,True,1,1,0,17_c2_x10_HighHighCOV_150723,5,10,12377,6188,7426,6188,7425,12,1236.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_151_rank22_17_c2_x10_HighHighCOV_150723_local5.png
152,23,source_fill,1.7785072698540159,True,1,1,0,17_c2_x10_HighHighCOV_150723,6,10,12377,7426,8663,7426,8662,12,1235.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_152_rank23_17_c2_x10_HighHighCOV_150723_local6.png
2,24,future16_negative,0.12717422476736295,False,0,0,0,2_c2_x14_200623,1,14,13648,974,1949,974,1948,12,945.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_2_rank24_2_c2_x14_200623_local1.png
6,25,source_fill,0.07660648780510143,False,0,0,0,2_c2_x14_200623,13,14,13648,12673,13648,12673,13647,12,940.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_6_rank25_2_c2_x14_200623_local13.png
10,26,source_representative,0.11126427117564457,False,0,0,0,2_c2_x14_200623,5,14,13648,4874,5849,4874,5848,12,942.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_10_rank26_2_c2_x14_200623_local5.png
12,27,source_fill,0.09946575057279493,False,0,0,0,2_c2_x14_200623,7,14,13648,6824,7798,6824,7797,12,941.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_12_rank27_2_c2_x14_200623_local7.png
26,28,source_fill,0.1210118601036766,False,0,0,0,4_c2_x10_240623,1,10,9365,936,1873,936,1872,12,927.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_26_rank28_4_c2_x10_240623_local1.png
28,29,source_fill,0.13706844312700855,False,0,0,0,4_c2_x10_240623,3,10,9365,2809,3746,2809,3745,12,934.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_28_rank29_4_c2_x10_240623_local3.png
30,30,source_representative,0.14198561778817437,False,0,0,0,4_c2_x10_240623,5,10,9365,4682,5619,4682,5618,12,933.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_30_rank30_4_c2_x10_240623_local5.png
34,31,future16_negative,0.15249910417927084,False,0,0,0,4_c2_x10_240623,9,10,9365,8428,9365,8428,9364,12,933.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_34_rank31_4_c2_x10_240623_local9.png
36,32,source_representative,0.12753023717517897,False,0,0,0,5_c2_x10_260623,1,10,9279,927,1855,927,1854,12,921.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_36_rank32_5_c2_x10_260623_local1.png
38,33,future16_negative,0.15294969279755272,False,0,0,0,5_c2_x10_260623,3,10,9279,2783,3711,2783,3710,12,929.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_38_rank33_5_c2_x10_260623_local3.png
42,34,source_fill,0.09778960454264189,False,0,0,0,5_c2_x10_260623,7,10,9279,6495,7423,6495,7422,12,925.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_42_rank34_5_c2_x10_260623_local7.png
46,35,source_fill,1.0774506461319981,False,0,1,0,6_c2_x10_270623_2,1,10,9256,925,1851,925,1850,12,919.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_46_rank35_6_c2_x10_270623_2_local1.png
48,36,source_fill,1.0881606821113832,False,0,1,0,6_c2_x10_270623_2,3,10,9256,2776,3702,2776,3701,12,924.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_48_rank36_6_c2_x10_270623_2_local3.png
52,37,source_representative,1.7477891455525512,False,1,1,0,6_c2_x10_270623_2,7,10,9256,6479,7404,6479,7403,12,925.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_52_rank37_6_c2_x10_270623_2_local7.png
54,38,future16_positive,1.75355494964699,False,1,1,0,6_c2_x10_270623_2,9,10,9256,8330,9256,8330,9255,12,924.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_54_rank38_6_c2_x10_270623_2_local9.png
56,39,future16_positive,1.752368573077143,False,1,1,0,7_c2_x10_290623,1,10,9206,920,1841,920,1840,12,913.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_56_rank39_7_c2_x10_290623_local1.png
64,40,future16_negative,0.09623369801073366,False,0,0,0,7_c2_x10_290623,9,10,9206,8285,9206,8285,9205,12,915.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_64_rank40_7_c2_x10_290623_local9.png
68,41,future16_negative,0.09599068966843866,False,0,0,0,8_c2_x10_300623,3,10,9141,2742,3656,2742,3655,12,913.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_68_rank41_8_c2_x10_300623_local3.png
70,42,source_representative,1.086086372186693,False,0,1,0,8_c2_x10_300623,5,10,9141,4570,5484,4570,5483,12,913.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_70_rank42_8_c2_x10_300623_local5.png
72,43,source_fill,1.0826449101168432,False,0,1,0,8_c2_x10_300623,7,10,9141,6398,7312,6398,7311,12,911.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_72_rank43_8_c2_x10_300623_local7.png
74,44,future16_positive,1.0978332725296478,False,0,1,0,8_c2_x10_300623,9,10,9141,8226,9141,8226,9140,12,910.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_74_rank44_8_c2_x10_300623_local9.png
78,45,source_fill,1.7862325372020702,True,1,1,0,9_c2_x10_010723,3,10,9096,2728,3638,2728,3637,12,908.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_78_rank45_9_c2_x10_010723_local3.png
80,46,source_representative,1.7434306201693075,False,1,1,0,9_c2_x10_010723,5,10,9096,4548,5457,4548,5456,12,906.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_80_rank46_9_c2_x10_010723_local5.png
82,47,future16_positive,1.7614516573225605,False,1,1,0,9_c2_x10_010723,7,10,9096,6367,7276,6367,7275,12,905.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_82_rank47_9_c2_x10_010723_local7.png
84,48,source_fill,1.7748600309462768,True,1,1,0,9_c2_x10_010723,9,10,9096,8186,9096,8186,9095,12,907.0,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_84_rank48_9_c2_x10_010723_local9.png
