cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,validation_score,validation_label,cohort_role,selection_reason,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
125,14_c2_x10_HighCOV_110723,4,11,1,24.665062793713055,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,0,0,0,844.72,78.4,211.18,19.6,50,11897.259765625,27.715713500976562,4760,5951,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_125_rank11_14_c2_x10_HighCOV_110723_local4.png
125,14_c2_x10_HighCOV_110723,4,11,2,23.607037258302373,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,0,0,0,1351.0144927536232,181.2463768115942,337.7536231884058,45.31159420289855,138,6389.43359375,18.291574478149414,4760,5951,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_125_rank11_14_c2_x10_HighCOV_110723_local4.png
126,14_c2_x10_HighCOV_110723,5,12,2,23.989019468618885,source_balanced_expansion_candidate,source_balanced_expansion,future16_negative,False,0,0,0,842.1052631578947,79.43859649122807,210.52631578947367,19.859649122807017,57,10190.8544921875,24.630884170532227,5951,7141,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_126_rank12_14_c2_x10_HighCOV_110723_local5.png
126,14_c2_x10_HighCOV_110723,5,12,1,23.592093817165647,source_balanced_expansion_candidate,source_balanced_expansion,future16_negative,False,0,0,0,1352.3435582822085,180.85889570552146,338.0858895705521,45.214723926380366,163,5375.2314453125,16.614131927490234,5951,7141,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_126_rank12_14_c2_x10_HighCOV_110723_local5.png
127,14_c2_x10_HighCOV_110723,6,13,1,24.150236360303246,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,843.8461538461538,79.15384615384616,210.96153846153845,19.78846153846154,52,11258.3525390625,25.908708572387695,7141,8331,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_127_rank13_14_c2_x10_HighCOV_110723_local6.png
127,14_c2_x10_HighCOV_110723,6,13,2,22.91224776047345,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,1202.13698630137,1103.2876712328766,300.5342465753425,275.82191780821915,73,8852.8828125,20.280948638916016,7141,8331,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_127_rank13_14_c2_x10_HighCOV_110723_local6.png
132,15_c2_x5_HighCOV_120723,1,14,1,23.50996224586616,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,842.8771929824561,78.59649122807018,210.71929824561403,19.649122807017545,57,10375.26953125,23.42484474182129,1238,2477,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_132_rank14_15_c2_x5_HighCOV_120723_local1.png
132,15_c2_x5_HighCOV_120723,1,14,2,22.951299083261052,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,1670.7628865979382,200.7422680412371,417.69072164948454,50.18556701030928,97,7444.3251953125,18.85873031616211,1238,2477,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_132_rank14_15_c2_x5_HighCOV_120723_local1.png
133,15_c2_x5_HighCOV_120723,2,15,1,23.315318479269443,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,0,0,0,841.8983050847457,78.23728813559322,210.47457627118644,19.559322033898304,59,10075.9150390625,22.637056350708008,2477,3715,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_133_rank15_15_c2_x5_HighCOV_120723_local2.png
133,15_c2_x5_HighCOV_120723,2,15,2,22.92968319579963,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,0,0,0,1345.5777777777778,183.35555555555555,336.39444444444445,45.83888888888889,180,4940.9755859375,14.113113403320312,2477,3715,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_133_rank15_15_c2_x5_HighCOV_120723_local2.png
134,15_c2_x5_HighCOV_120723,3,16,2,23.681392703729433,source_balanced_expansion_candidate,source_balanced_expansion,future16_negative,False,0,0,0,841.1111111111111,76.88888888888889,210.27777777777777,19.22222222222222,54,11074.1396484375,24.12325096130371,3715,4954,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_134_rank16_15_c2_x5_HighCOV_120723_local3.png
134,15_c2_x5_HighCOV_120723,3,16,1,23.11031509401015,source_balanced_expansion_candidate,source_balanced_expansion,future16_negative,False,0,0,0,1347.0588235294117,182.6143790849673,336.7647058823529,45.65359477124183,153,6119.85302734375,15.798474311828613,3715,4954,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_134_rank16_15_c2_x5_HighCOV_120723_local3.png
136,16_c2_x10_HighHighCOV_130723,0,17,2,24.919375121126063,source_balanced_expansion_candidate,source_balanced_expansion,future16_negative,False,0,0,0,1206.054054054054,664.5405405405405,301.5135135135135,166.13513513513513,37,12306.5205078125,30.2327938079834,0,1224,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_136_rank17_16_c2_x10_HighHighCOV_130723_local0.png
136,16_c2_x10_HighHighCOV_130723,0,17,1,23.793970845072934,source_balanced_expansion_candidate,source_balanced_expansion,future16_negative,False,0,0,0,845.3103448275862,79.72413793103448,211.32758620689654,19.93103448275862,58,9831.376953125,24.424619674682617,0,1224,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_136_rank17_16_c2_x10_HighHighCOV_130723_local0.png
142,16_c2_x10_HighHighCOV_130723,6,18,2,23.542206642552863,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,1,0,844.4516129032259,80.19354838709677,211.11290322580646,20.048387096774192,62,9644.3876953125,22.557668685913086,7347,8571,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_142_rank18_16_c2_x10_HighHighCOV_130723_local6.png
142,16_c2_x10_HighHighCOV_130723,6,18,1,23.28082113703134,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,1,0,1198.7906976744187,1103.0697674418604,299.69767441860466,275.7674418604651,86,8535.712890625,19.777803421020508,7347,8571,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_142_rank18_16_c2_x10_HighHighCOV_130723_local6.png
144,16_c2_x10_HighHighCOV_130723,8,19,1,23.399605984768616,source_balanced_expansion_candidate,source_balanced_expansion,future16_positive,False,0,1,0,1349.6830601092897,182.8415300546448,337.42076502732243,45.7103825136612,183,4845.72216796875,14.803238868713379,9796,11020,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_144_rank19_16_c2_x10_HighHighCOV_130723_local8.png
144,16_c2_x10_HighHighCOV_130723,8,19,2,22.79686314903875,source_balanced_expansion_candidate,source_balanced_expansion,future16_positive,False,0,1,0,1199.6043956043957,1099.956043956044,299.9010989010989,274.989010989011,91,7784.32568359375,18.023408889770508,9796,11020,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_144_rank19_16_c2_x10_HighHighCOV_130723_local8.png
145,16_c2_x10_HighHighCOV_130723,9,20,2,23.192096544358797,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,0,1,0,848.375,82.875,212.09375,20.71875,64,8952.8564453125,21.39645004272461,11020,12245,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_145_rank20_16_c2_x10_HighHighCOV_130723_local9.png
145,16_c2_x10_HighHighCOV_130723,9,20,1,22.859438504036213,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,0,1,0,1200.943820224719,1101.123595505618,300.23595505617976,275.2808988764045,89,7778.58837890625,18.41042709350586,11020,12245,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_145_rank20_16_c2_x10_HighHighCOV_130723_local9.png
150,17_c2_x10_HighHighCOV_150723,4,21,2,23.829821346321634,source_balanced_expansion_candidate,source_balanced_expansion,future16_positive,True,1,1,0,846.4516129032259,85.09677419354838,211.61290322580646,21.274193548387096,62,8405.9931640625,23.582231521606445,4950,6188,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_150_rank21_17_c2_x10_HighHighCOV_150723_local4.png
150,17_c2_x10_HighHighCOV_150723,4,21,1,23.281277283321874,source_balanced_expansion_candidate,source_balanced_expansion,future16_positive,True,1,1,0,1201.1304347826087,1102.7391304347825,300.2826086956522,275.6847826086956,92,6924.46533203125,19.537588119506836,4950,6188,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_150_rank21_17_c2_x10_HighHighCOV_150723_local4.png
151,17_c2_x10_HighHighCOV_150723,5,22,1,23.196808212155457,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,True,1,1,0,844.0588235294117,81.82352941176471,211.01470588235293,20.455882352941178,68,7681.2578125,22.204782485961914,6188,7426,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_151_rank22_17_c2_x10_HighHighCOV_150723_local5.png
151,17_c2_x10_HighHighCOV_150723,5,22,2,22.14284578886551,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,True,1,1,0,1201.4426229508197,1108.7868852459017,300.3606557377049,277.1967213114754,122,5056.99951171875,15.51652717590332,6188,7426,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_151_rank22_17_c2_x10_HighHighCOV_150723_local5.png
152,17_c2_x10_HighHighCOV_150723,6,23,1,24.05585395051531,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,True,1,1,0,845.448275862069,83.03448275862068,211.36206896551724,20.75862068965517,58,9333.2646484375,25.55080223083496,7426,8663,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_152_rank23_17_c2_x10_HighHighCOV_150723_local6.png
152,17_c2_x10_HighHighCOV_150723,6,23,2,23.057440352851156,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,True,1,1,0,1199.1827956989248,1103.1397849462367,299.7956989247312,275.78494623655916,93,7140.58154296875,19.68328094482422,7426,8663,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_152_rank23_17_c2_x10_HighHighCOV_150723_local6.png
2,2_c2_x14_200623,1,24,1,23.28035659408796,source_balanced_expansion_candidate,source_balanced_expansion,future16_negative,False,0,0,0,1185.4794520547946,1029.5342465753424,296.36986301369865,257.3835616438356,73,8466.7255859375,21.60968589782715,974,1949,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_2_rank24_2_c2_x14_200623_local1.png
2,2_c2_x14_200623,1,24,2,23.002846619816157,source_balanced_expansion_candidate,source_balanced_expansion,future16_negative,False,0,0,0,1655.926605504587,127.70642201834862,413.9816513761468,31.926605504587155,109,6310.44970703125,18.527402877807617,974,1949,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_2_rank24_2_c2_x14_200623_local1.png
6,2_c2_x14_200623,13,25,1,24.437490368868,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,1182.2142857142858,1027.857142857143,295.55357142857144,256.9642857142857,56,10571.0400390625,26.6348876953125,12673,13648,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_6_rank25_2_c2_x14_200623_local13.png
6,2_c2_x14_200623,13,25,2,22.90952187010828,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,1647.0260869565218,121.00869565217391,411.75652173913045,30.252173913043478,115,6168.99462890625,17.858083724975586,12673,13648,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_6_rank25_2_c2_x14_200623_local13.png
10,2_c2_x14_200623,5,26,1,23.886724973652964,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,0,0,0,1653.0454545454545,126.4090909090909,413.2613636363636,31.602272727272727,88,7940.71728515625,22.496131896972656,4874,5849,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_10_rank26_2_c2_x14_200623_local5.png
10,2_c2_x14_200623,5,26,2,23.53190240693432,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,0,0,0,1333.8074074074075,108.23703703703704,333.45185185185187,27.05925925925926,135,5872.78076171875,18.528026580810547,4874,5849,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_10_rank26_2_c2_x14_200623_local5.png
12,2_c2_x14_200623,7,27,1,23.60120249867158,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,1651.8241758241759,123.42857142857143,412.95604395604397,30.857142857142858,91,7553.72265625,21.441333770751953,6824,7798,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_12_rank27_2_c2_x14_200623_local7.png
12,2_c2_x14_200623,7,27,2,23.428033056236295,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,1330.2133333333334,109.06666666666666,332.55333333333334,27.266666666666666,150,5535.62548828125,17.309221267700195,6824,7798,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_12_rank27_2_c2_x14_200623_local7.png
26,4_c2_x10_240623,1,28,1,25.534861816174494,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,569.7142857142857,189.25714285714287,142.42857142857142,47.31428571428572,35,13485.7822265625,32.374229431152344,936,1873,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_26_rank28_4_c2_x10_240623_local1.png
26,4_c2_x10_240623,1,28,2,23.54736157812341,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,1332.4963503649635,128.2919708029197,333.1240875912409,32.07299270072993,137,5932.49560546875,18.39220428466797,936,1873,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_26_rank28_4_c2_x10_240623_local1.png
28,4_c2_x10_240623,3,29,1,26.525012820022155,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,825.1111111111111,25.22222222222222,206.27777777777777,6.305555555555555,36,14946.62890625,35.38248825073242,2809,3746,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_28_rank29_4_c2_x10_240623_local3.png
28,4_c2_x10_240623,3,29,2,23.714410636542098,source_balanced_expansion_candidate,source_balanced_expansion,source_fill,False,0,0,0,1332.9375,128.90625,333.234375,32.2265625,128,6481.3994140625,19.310503005981445,2809,3746,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_28_rank29_4_c2_x10_240623_local3.png
30,4_c2_x10_240623,5,30,1,24.95512500826466,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,0,0,0,826.6666666666666,25.6,206.66666666666666,6.4,45,12095.6220703125,29.271419525146484,4682,5619,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_30_rank30_4_c2_x10_240623_local5.png
30,4_c2_x10_240623,5,30,2,23.49281268703481,source_balanced_expansion_candidate,source_balanced_expansion,source_representative,False,0,0,0,1329.1870967741936,128.25806451612902,332.2967741935484,32.064516129032256,155,5364.740234375,17.243749618530273,4682,5619,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_expansion_manifest/overlays/cycle_30_rank30_4_c2_x10_240623_local5.png
