feature,target,n,rho,p_value
pos_dq_abs_peak_voltage,mean_delta_prev,80,0.15273722452102406,0.1761919298546263
pos_dq_abs_total_mAh,coulombic_efficiency_pct,81,-0.15162601626016262,0.17661503002967383
all_dq_abs_entropy,mean_abs_delta_prev,80,-0.15205199280613188,0.17816272127616678
pos_dq_abs_lowV_frac,mean_delta_prev,80,0.15162099443908972,0.17941052729629148
shape_V_q50,max_abs_delta_prev,80,-0.15086948187076196,0.18160148981895868
shape_charge_mAh_pos,max_abs_delta_prev,80,-0.14970129348836492,0.185045781197125
shape_V_q50,mean_abs_delta_prev,80,-0.14791498548418258,0.19040379115354686
all_dq_abs_midV_frac,max_abs_delta_prev,80,0.14338629145486975,0.20448754532796487
shape_V_q05,mean_abs_delta_prev,80,0.1433587156667519,0.20457551926541423
shape_charge_mAh_signed,mean_delta_prev,80,0.1426160337552743,0.20695502918288283
shape_charge_mAh_signed,mean_abs_delta_prev,80,-0.14255826628389592,0.2071409350446297
shape_V_q05,coulombic_efficiency_pct,81,0.1365196986509995,0.22425951122032925
pos_dq_abs_peak_voltage,capacity_mAh,81,0.13618346181161348,0.2254135973455273
all_dq_abs_midV_frac,mean_delta_prev,80,-0.13520862634786687,0.23177081419957474
neg_dq_abs_peak_frac,mean_abs_delta_prev,80,0.13046255545556568,0.24871952103603412
shape_dVdt_sign_consistency,mean_abs_delta_prev,80,0.1277668059492518,0.2587158480416944
neg_dq_abs_peak_frac,mean_delta_prev,80,-0.12630098452883265,0.2642644398500747
all_dq_abs_peak_frac,max_abs_delta_prev,80,0.12408383240909206,0.27280894538686573
shape_V_q05,capacity_mAh,81,0.12294452676330085,0.2741931566413996
all_dq_abs_lowV_frac,mean_delta_prev,80,0.12276136896390062,0.2779927621201713
pos_dq_abs_peak_frac,mean_delta_prev,80,-0.12205813408345055,0.2807759228206906
all_dq_abs_lowV_frac,max_abs_delta_prev,80,-0.12178421846104567,0.2818649895922803
shape_V_q25,mean_abs_delta_prev,80,-0.11949832985061683,0.29106299036454325
shape_V_q10,particle_norm_mean,81,0.11662469441612212,0.29980512344949506
pos_dqdv_abs_integral_proxy,mean_delta_prev,80,-0.11713548992030005,0.30077639440319404
all_dq_abs_entropy,mean_delta_prev,80,0.11406469760900141,0.3137130091260513
neg_dq_abs_peak_frac,max_abs_delta_prev,80,0.11377727248650085,0.31494197537587815
shape_V_min,capacity_mAh,81,-0.11001236688983097,0.32822579516143363
neg_dq_abs_midV_frac,mean_delta_prev,80,-0.10972808251289265,0.33258453446653863
all_dq_abs_total_mAh,mean_abs_delta_prev,80,-0.10916613435568583,0.335081495840669
pos_dq_abs_peak_frac,max_abs_delta_prev,80,0.10580607180648524,0.35025776503873846
