n,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,median_positive,median_negative,median_positive_minus_negative,permutation,feature,transform,window_cycles,label_col,future_direction
96,48,0.45920138888888884,0.5163798525803301,-0.07066910147083293,0.4938496225670857,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,50,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.5186631944444444,0.5611979973145762,0.03232735492814698,0.7545278429889738,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,51,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.45703125,0.5073904045283821,-0.07442809622991979,0.4710995484794461,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,52,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.5186631944444444,0.5611979973145762,0.03232735492814698,0.7545278429889738,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,53,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.44921875,0.4957899477502292,-0.08796047736263247,0.3941047636101395,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,54,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.45442708333333337,0.5016343040112522,-0.07893888994082403,0.4445679070310314,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,55,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4513888888888889,0.5049549147276962,-0.08420148260354561,0.4147029704486102,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,56,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4565972222222222,0.5107992709887191,-0.07517989518173716,0.46661881433466507,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,57,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4518229166666667,0.501546048267359,-0.08344968365172825,0.418896483849326,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,58,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.5160590277777778,0.5613829081735067,0.027816561217242755,0.78790862252379,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,59,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4513888888888889,0.5047793958021773,-0.08420148260354561,0.4147029704486102,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,60,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4565972222222222,0.5107992709887191,-0.07517989518173716,0.46661881433466507,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,61,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
