cycleNo,source_stem,local_cycle_index,coverage_gap_priority,has_any_roi_video_sequence,has_primary_roi_sequence,any_abrupt_drop,future_any_drop_within_8cycles,future_any_drop_within_16cycles,cycles_to_next_drop_within_16,n_roi_total_across_tracked_cohorts,capacity_fraction_of_first,cross_modal_consensus_score,hazard_probability_mean,echem_outlier_score,consensus_class,transfer_max_transfer_oriented_feature_score,transfer_mean_transfer_oriented_feature_score,transfer_max_fixed_transport_mechanism_score,transfer_mean_fixed_transport_mechanism_score,transfer_max_fixed_qc_review_score,transfer_mean_fixed_qc_review_score,transfer_n_roi_rows,mechanism_max_transport_mechanism_score,mechanism_mean_transport_mechanism_score,mechanism_max_front_kinetic_score,mechanism_mean_front_kinetic_score,mechanism_max_qc_review_score,mechanism_mean_qc_review_score,mechanism_max_visual_sanity_score,mechanism_mean_visual_sanity_score,mechanism_n_roi_rows,manual_qc_max_manual_qc_decision_score,manual_qc_mean_manual_qc_decision_score,manual_qc_max_strict_qc_priority_score,manual_qc_mean_strict_qc_priority_score,manual_qc_max_front_evidence_score,manual_qc_mean_front_evidence_score,manual_qc_max_kinetic_evidence_score,manual_qc_mean_kinetic_evidence_score,manual_qc_n_roi_rows,diffusion_max_review_priority,diffusion_mean_review_priority,diffusion_max_gate_count,diffusion_mean_gate_count,diffusion_max_median_radius2_fit_r2,diffusion_mean_median_radius2_fit_r2,diffusion_n_roi_rows,cycle_action_priority,roi_count_penalty_bonus,recommended_cycle_action
70,8_c2_x10_300623,5.0,2.749145890827942,True,True,0,0,1,16.0,8,0.9583905997688662,0.6249321059714319,0.5095937326785109,0.4864197530864197,low_consensus,,,,,,,,0.5811925439927185,0.5811925439927185,0.3529733009708738,0.3529733009708738,0.317578125,0.317578125,,,1.0,0.2776741653022656,0.24832332382293937,,,0.6701872678752195,-0.04677311974830617,-0.0861658922282484,-0.2633408129567815,2.0,,,,,,,,5.167650793596894,1.0,manual_qc_existing_visual_assets
124,14_c2_x10_HighCOV_110723,3.0,0.8145816324063266,True,True,0,0,0,,4,1.24280365548795,0.5563158502704836,0.2527986612519755,0.2913580246913579,low_consensus,,,,,,,,0.7478631295509709,0.6859968522451456,0.6320691747572815,0.5900030339805825,0.48828125,0.4576171875,0.5362728174354411,0.5362728174354411,2.0,0.428017572707477,0.39251340822146613,0.2732898549347591,0.2732898549347591,0.0182068750598705,-0.010779018546565452,0.4890736811252418,0.4758488027602003,2.0,,,,,,,,5.05655734578332,1.0,manual_qc_existing_visual_assets
48,6_c2_x10_270623_2,3.0,1.908644918539172,True,True,0,0,1,12.0,8,0.9671063880273276,0.3786159293727958,,0.3999999999999999,low_consensus,0.2064638015693055,0.20522656645079196,0.4246609526699029,0.41721945160800966,0.4515625,0.44609374999999996,2.0,,,,,,,,,,0.4057455616133963,0.39038560228349556,,,0.0684616879037833,-0.03947488555374625,0.6831429060637272,0.4292616591933624,2.0,,,,,,,,4.882915079363579,1.0,manual_qc_existing_visual_assets
36,5_c2_x10_260623,1.0,0.5918731867722942,True,True,0,0,0,,8,0.9726725307298484,0.4987028262231134,,0.3753086419753086,low_consensus,,,,,,,,0.6340200242718448,0.6340200242718448,0.7848300970873787,0.7848300970873787,0.492578125,0.492578125,,,1.0,0.5356824110017222,0.35177200101916406,,,0.7237023495510817,-0.6654589117960472,1.1500971916112743,0.22990428641751648,2.0,,,,,,,,4.85688944758508,1.0,manual_qc_existing_visual_assets
146,17_c2_x10_HighHighCOV_150723,0.0,2.7096354322042,True,True,0,0,1,10.0,18,1.279212774633289,0.5240337128483498,0.3928365304369413,0.8246913580246913,low_consensus,0.4337666771500649,0.4307677037163745,0.3448359754247573,0.3219647868628641,0.4351562499999999,0.3804687499999999,2.0,,,,,,,,,,0.3731631105191577,0.3035242628954575,,,0.2692374996110931,0.13461874980554656,-0.3297060980986419,-0.9696290959979667,2.0,,,,,,,,4.782793903742715,0.0,manual_qc_existing_visual_assets
155,17_c2_x10_HighHighCOV_150723,9.0,4.475500459597905,True,True,0,1,1,1.0,14,,0.4438913875983466,0.7849514472160799,,low_consensus,,,,,,,,,,,,,,,,,,,,,,,,,,4.2955835617091385,4.2955835617091385,4.0,4.0,0.152414906218773,0.152414906218773,1.0,4.747224379061767,0.0,manual_qc_diffusion_blocker_followup
72,8_c2_x10_300623,7.0,2.443682018445596,True,True,0,0,1,14.0,8,0.9575150062038144,0.4689789085327928,0.4563104095395468,0.4765432098765432,low_consensus,,,,,,,,,,,,,,,,,0.3498362148806679,0.2279761343939394,,,0.5794883154850676,0.5794883154850676,-0.0526844412118719,-0.06814322855484264,2.0,,,,,,,,4.72873394198562,1.0,manual_qc_existing_visual_assets
100,11_c2_x10_050723,5.0,2.6094034953778604,True,True,0,0,1,16.0,8,0.9476792599739868,0.550540452157886,0.6312103242346581,0.3160493827160494,low_consensus,,,,,,,,,,,,,,,,,0.2786760297444617,0.1954034587303666,,,-0.4701743239390102,-0.4701743239390102,0.5570392610214056,0.5501416042610228,2.0,,,,,,,,4.728044892966072,1.0,manual_qc_existing_visual_assets
141,16_c2_x10_HighHighCOV_130723,5.0,2.2794245707541223,True,True,0,0,1,15.0,4,1.2954918098811627,0.2825770716537298,0.478012746969591,0.6765432098765433,low_consensus,,,,,,,,0.6869468674150486,0.6723031705097087,0.3227093446601942,0.23874393203883493,0.333984375,0.3134765625,,,2.0,0.2467559419114854,0.20970399070120255,,,0.0456944524402308,-0.40626748447457484,-1.858392362589859,-1.9289585871949568,2.0,,,,,,,,4.7242492094433075,1.0,manual_qc_existing_visual_assets
148,17_c2_x10_HighHighCOV_150723,2.0,4.6730476212313095,True,True,0,1,1,8.0,14,1.2783811435164876,0.4704060687622062,0.5371560453871215,0.7345679012345678,low_consensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6730476212313095,0.0,manual_qc_existing_roi_assets
