event_cycle,n_sources,source_stems,feature,n_cycle_rows,has_mid_bin,near_median,mid_median,far_median,near_minus_far
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,roi_norm_mean_last,16,True,0.08031266368925569,0.0849122870713472,0.0818342883139848,-0.0015216246247291149
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,roi_norm_mean_last,12,True,0.07876763492822643,0.07344250008463854,0.0793465450406074,-0.0005789101123809676
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,roi_norm_mean_late_minus_early,16,True,0.001289707492105625,0.0016003323641294999,0.00129458777761705,-4.8802855114249075e-06
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,roi_norm_mean_late_minus_early,12,True,0.0040171295016382755,-0.00151690212078385,-0.00742989731952545,0.011447026821163726
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,roi_norm_mean_positive_step_fraction,16,True,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.0
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,roi_norm_mean_positive_step_fraction,12,True,0.5157894736842106,0.5105263157894736,0.531578947368421,-0.015789473684210464
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,temporal_energy_late_minus_early,16,True,3.817200195044279e-05,-2.660788595676422e-05,6.0214661061763736e-05,-2.2042659111320945e-05
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,temporal_energy_late_minus_early,12,True,0.0019169405568390248,0.0001780400052666,-0.0009137559682130499,0.0028306965250520745
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,temporal_energy_mean,16,True,0.00808918278198685,0.009616370778530775,0.008392152143642225,-0.0003029693616553742
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,temporal_energy_mean,12,True,0.018340353388339226,0.01029038242995735,0.008733535883948151,0.009606817504391074
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,temporal_energy_p95,16,True,0.008386612252797899,0.010060989134944926,0.0088179553393274,-0.0004313430865295013
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,temporal_energy_p95,12,True,0.0761000151745974,0.02470500692725175,0.01104433033615345,0.06505568483844396
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,velocity_minus_persistence_mse,16,True,0.0001305982805206196,0.00017490440222897499,0.00014094883226785867,-1.0350551747239078e-05
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,velocity_minus_persistence_mse,12,True,0.00082732402370305,0.00017018859944065,0.0001458178412576,0.0006815061824454499
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,velocity_mse_mean,16,True,0.000199446771148325,0.000267833846009975,0.000215686188312175,-1.623941716384999e-05
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,velocity_mse_mean,12,True,0.001680506567936325,0.0003352330386405,0.00025730512425065,0.0014232014436856748
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,velocity_mse_p95,16,True,0.0007843925708583999,0.0010510597370739,0.0008471742723486001,-6.278170149020016e-05
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,velocity_mse_p95,12,True,0.0026038379466626254,0.00086793220252725,0.00075343935022825,0.0018503985964343755
