split,feature_set,target,n_eval,n_positive,positive_rate,roc_auc,average_precision,balanced_accuracy_at_0p5,brier,spearman_rho,spearman_p,empirical_p_ge_observed,null_auc_mean,null_auc_p95,n_permutation
leave_one_cycle,echem_plus_acquisition,high_particle_norm_cv_q75,89,23,0.25842696629213485,0.6416337285902504,0.4279665661792367,0.6149538866930171,0.23291547153560221,0.21479818451529425,0.043236727706047015,0.022595480903819236,0.4994241106719368,0.6139657444005271,5000.0
rolling_origin,echem_plus_acquisition,high_particle_norm_cv_q75,73,20,0.273972602739726,0.5773584905660377,0.39747998920278266,0.5485849056603773,0.30446797909183765,0.11952793998840537,0.3138207551067815,,,,
leave_one_cycle,cycle_state_upper_bound,high_particle_norm_cv_q75,89,23,0.25842696629213485,0.7266139657444005,0.5176236285520287,0.6821475625823452,0.20784472318730562,0.3436770952244708,0.0009756400593483564,,,,
leave_one_cycle,acquisition_context,high_roi_phase_slope_abs_q75,24,6,0.25,0.9444444444444444,0.7345238095238095,0.8888888888888888,0.1300728785385876,0.667246124982639,0.000368570138680337,0.0005998800239952009,0.5020462962962963,0.7314814814814814,5000.0
leave_one_cycle,echem_regime,high_roi_phase_slope_abs_q75,24,6,0.25,0.9444444444444444,0.8416666666666667,0.8888888888888888,0.14466635033714856,0.667246124982639,0.000368570138680337,0.0003999200159968006,0.5024611111111111,0.7314814814814815,5000.0
leave_one_cycle,echem_plus_acquisition,high_roi_phase_slope_abs_q75,24,6,0.25,0.9814814814814814,0.9583333333333334,0.9166666666666667,0.10322440358248712,0.7228499687311924,6.607520574420816e-05,0.0001999600079984003,0.4984462962962963,0.7314814814814815,5000.0
leave_one_cycle,cycle_state_upper_bound,high_roi_phase_slope_abs_q75,24,6,0.25,0.9351851851851851,0.7166666666666667,0.9166666666666667,0.11918406165765826,0.6533451640455008,0.0005367318687086354,,,,
leave_one_cycle,acquisition_context,high_state_step_norm_q75,88,22,0.25,0.5840220385674931,0.32902851684383927,0.5378787878787878,0.2434518277826689,0.1260411961044268,0.24194514922322283,0.1201759648070386,0.49890523415977966,0.6157024793388429,5000.0
leave_one_cycle,echem_regime,high_state_step_norm_q75,88,22,0.25,0.4944903581267217,0.4050778856130811,0.48484848484848486,0.25148464672688836,-0.008264996465864054,0.9390807819800481,0.5226954609078185,0.49891721763085395,0.6143250688705234,5000.0
leave_one_cycle,echem_plus_acquisition,high_state_step_norm_q75,88,22,0.25,0.5268595041322315,0.39589848840481257,0.5378787878787878,0.2523396032150427,0.040291857771087264,0.7093581793510837,0.34253149370125974,0.4988756198347108,0.6164256198347109,5000.0
leave_one_cycle,cycle_state_upper_bound,high_state_step_norm_q75,88,22,0.25,0.902892561983471,0.8384153168431321,0.7954545454545454,0.11734387790749044,0.6043778665663088,4.5203669689371584e-10,,,,
